,group,variable,month,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,L 23.1 N° DE SINTOMÁTICOS RESPIRATORIOS CANTIDAD,TOTALES
SAMAIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,2,3
SAN AGUSTIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,2,2
SAN ANDRES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,1,2
SAN ANDRES DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,1,2
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,5,8
SAN BENITO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,1,1
SAN BORJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,10,16,26
SAN BUENA VENTURA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,2,6
SAN CARLOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,5,9,14
SAN IGNACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,6,8,14
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,3,7
SAN JAVIER(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,3,7
SAN JOAQUIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,1,5
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,5,7
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,7,5,12
SAN JULIAN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,47,31,78
SAN LORENZO(PND),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,9,4,13
SAN LUCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,14,19,33
SAN MATIAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,0,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,1,3
SAN PABLO DE LIPEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,1,1
SAN PEDRO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,6,6,12
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,6,14,20
SAN PEDRO DE QUEMES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,1,2
SAN PEDRO(PND),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,0,1
SAN RAFAEL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,1,3
SAN RAMON SCZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,5,4,9
SANTA ANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,592,578,1170
SANTA ROSA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,1,2
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,5,12,17
SANTIAGO DE HUARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,4,7
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,1,4
SANTIAGO DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,4,4
SANTIVAÑES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,1,2
SAPAHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,1,3
SENA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,2,5
SHINAOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,9,14,23
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,1,5
SICAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,1,1
SIPE SIPE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,5,6,11
SOPACHUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,4,8
SORACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,2,6
SORATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,17,9,26
SUCRE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,129,142,271
TACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,1,1
TACACOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,1,2
TACOBAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,1,2
TACOPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,2,5
TAPACARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,4,5
TARABUCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,4,7
TARACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,0,2
TARATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,4,4
TARIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,95,97,192
TARVITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,5,9,14
TEOPONTE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,7,11
TIAWANACU,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,1,4
TINGUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,11,2,13
TIPUANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,18,6,24
TIQUIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,29,33,62
TIRAQUE (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,3,6
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,1,1
TOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,1,1
TOLATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,12,3,15
TOLEDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,6,10
TOMAVE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,1,3
TOMINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,5,5,10
TORO TORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,5,7
TOTORA(CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,3,5
TOTORA(ORR),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,1,5
TRIGAL,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,6,9
TRINIDAD,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,49,18,67
TUPIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,72,16,88
UNCIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,11,8,19
URIONDO (A. CONCEPCION),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,5,7,12
URUBICHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,3,5
UYUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,6,10
VACAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,4,4,8
VALLEGRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,9,12
VIACHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,12,13,25
VILA VILA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,1,1
VILLA CHARCAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,5,4,9
VILLA MONTES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,26,29,55
VILLA NUEVA (LOMA ALTA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,4,6
VILLA SERRANO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,2,5
VILLA TUNARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,51,36,87
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,8,10
VILLAZON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,16,13,29
VINTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,10,14,24
VITICHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,10,7,17
WARNES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,30,30,60
YACO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,0,2
YACUIBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,120,136,256
YAMPARAEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,7,6,13
YANACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,1,0,1
YAPACANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,57,36,93
YOCALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,2,0,2
YOTALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,9,10,19
YUNCHARA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,3,1,4
ZUDAÑEZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-07-01,7,4,11
ACACIO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,7,8
ACHACACHI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,24,12,36
ACHOCALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,3,5
AIQUILE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,6,5,11
ALCALA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,4,4
ALTO BENI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,14,9,23
ANCORAIMES,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,5,8
ANDAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,4,7
ANTEQUERA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,1,3
ANZALDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,2,4
APOLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,2,6
ARAMPAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,3,6
ARANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,2,4
ARBIETO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,5,7,12
ARQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,3,5
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,14,9,23
ATOCHA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,5,3,8
AUCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,12,7,19
AYATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,3,5
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,6,7,13
AZURDUY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,16,15,31
BATALLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,6,10
BELEN DE ANDAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,1,1
BELEN DE URMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,1,3
BERMEJO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,46,37,83
BETANZOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,5,5
BOLIVAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,1,4
BOLPEBRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,2,3
BOYUIBE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,1,2
BUENA VISTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,16,7,23
CABEZAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,11,6,17
CAIROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,5,5,10
CAJUATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,5,4,9
CALACOTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,1,1
CALAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,3,4
CAMARGO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,10,9,19
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,3,6
CAMIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,13,19,32
CAPINOTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,7,7,14
CARACOLLO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,14,5,19
CARANAVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,72,63,135
CARAPARI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,13,18,31
CARIPUYO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,1,5
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,1,2
CHALLAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,7,5,12
CHAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,0,2
CHARAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,8,12,20
CHAYANTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,8,2,10
CHIMORE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,21,20,41
CHIPAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,8,14,22
CHUMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,7,7,14
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,0,2
CKOCHAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,2,4
CLIZA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,13,16
COBIJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,35,30,65
COCAPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,15,10,25
COCHABAMBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,255,202,457
COLCAPIRHUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,19,20,39
"COLCHA ""K""",tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,1,5
COLOMI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,7,5,12
COLPA BELGICA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,1,4
COLQUECHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,11,14,25
COLQUIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,3,7
COMARAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,8,6,14
COMBAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,2,4
CONCEPCION,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,5,6
COPACABANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,3,5
CORIPATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,20,6,26
CORO CORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,1,2
COROICO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,30,31,61
CORQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,2,4
COTAGAITA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,11,8,19
COTOCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,33,20,53
CRUZ DE MACHACAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,18,25,43
CUEVO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,2,5
CULPINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,11,9,20
CURAHUARA DE CARANGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,3,7
CURVA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,1,1
DESAGUADERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,2,2
EL ALTO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,303,288,591
EL CHORO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,4,6
EL PUENTE(STC),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,5,8,13
EL PUENTE(TJA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,6,8,14
EL TORNO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,56,57,113
EL VILLAR,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,16,22,38
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,18,14,32
ESCOMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,3,7
EUCALIPTUS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,1,4
EXALTACION,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,1,3
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,8,17,25
FILADELFIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,2,2
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,7,3,10
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,1,4
GUANAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,14,4,18
GUAQUI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,3,4
GUAYARAMERIN,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,30,17,47
GUTIERREZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,12,12,24
HUACARETA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,1,5
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,3,6
HUACHACALLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,3,4
HUANUNI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,29,5,34
HUARACAJE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,2,3
HUARINA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,6,2,8
HUAYLLAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,2,5
HUMANATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,0,2
ICHOCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,6,3,9
ICLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,5,9
INCAHUASI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,17,5,22
INQUISIVI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,6,3,9
JESUS DE MACHACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,7,9
LA ASUNTA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,27,21,48
LA GUARDIA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,50,50,100
LA PAZ,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,437,317,754
LAGUNILLAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,3,6
LAJA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,2,3
LAS CARRERAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,1,3
LICOMA PAMPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,4,4
LLALLAGUA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,51,15,66
LLICA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,2,6
LURIBAY,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,1,1
MACHACAMARCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,2,5
MACHARETI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,7,7,14
MAGDALENA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,2,4
MAIRANA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,6,7
MAPIRI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,14,11,25
MECAPACA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,6,7
MINEROS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,12,11,23
MIZQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,7,11
MOCOMOCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,3,3
MOJOCOYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,4,7,11
MONTEAGUDO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,27,17,44
MONTERO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,82,101,183
MOROCHATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,4,6
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,1,1
OCURI,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,5,3,8
OKINAWA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,7,11,18
OMEREQUE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,3,2,5
ORURO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,151,110,261
PADCAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,15,12,27
PADILLA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,9,10,19
PAILON,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,13,15,28
PALCA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,5,6,11
PALOS BLANCOS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,22,18,40
PAMPA AULLAGAS,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,2,2
PAMPA GRANDE,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,0,2
PASORAPA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,0,1,1
PATACAMAYA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,9,9,18
POCOATA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,12,13,25
POCONA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,3,5
POJO (CBBA),tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,1,2,3
POOPO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,3,5
PORCO,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,2,5,7
POROMA,tuberculosis y lepra,l 23.1       n de sintomaticos respiratorios,2012-08-01,8,13,21
