,group,variable,month,L 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,L 23.8 N° DE QUIMIOPROFILAXIS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES
SIPE SIPE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,2,0,2
SUCRE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,1,2
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,4,4
TIQUIPAYA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,3,2,5
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,0,1
TUPIZA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,2,2,4
VILLAZON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,1,2
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,1,2
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,3,1,4
YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-10-01,1,3,4
ALTO BENI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,3,0,3
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,1,3
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,2,2
BOLIVAR,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,5,1,6
CAMIRI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,2,3
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,4,5,9
CHIMORE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,8,1,9
CORIPATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
COROICO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,3,0,3
COTOCA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,10,2,12
EL TORNO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,3,3
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,2,3
GUAYARAMERIN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,2,4
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,3,4
LLALLAGUA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,1,2
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,0,2
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,1,2
PORONGO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,2,2
PUERTO SUAREZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,4,2,6
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,1,3
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,1,3
RIBERALTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,1,1
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,3,4
SAN JUAN DE YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,1,1
SAN LUCAS,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,1,1
SAN PEDRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,20,19,39
SHINAOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,3,0,3
SIPE SIPE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,2,2
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,4,6
TEOPONTE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,0,2
VIACHA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,2,0,2
VILLA MONTES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,1,2
VINTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,1,0,1
YACUIBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-11-01,3,3,6
ALTO BENI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,1,2
BERMEJO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
BUENA VISTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,2,0,2
"CAIZA ""D""",tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
CAJUATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
CAPINOTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,2,0,2
CARANAVI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,2,3
COBIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,2,3
CORIPATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
CULPINA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,8,7,15
EL PUENTE(STC),tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
EL TORNO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,3,1,4
LA ASUNTA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,1,2
LA PAZ,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,3,1,4
MAIRANA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,1,2
MONTERO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
ORURO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
PAILON,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,2,2
POCOATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
POTOSI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
PUNATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,5,0,5
SACABA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,2,1,3
SAN BORJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,2,1,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
SAN JULIAN,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,21,29,50
SORATA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,2,1,3
TIPUANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
URUBICHA,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,0,2,2
VILLA MONTES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,4,0,4
WARNES,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,1,2
YAPACANI,tuberculosis y lepra,l 23.8       n de quimioprofilaxis en menores de 5 anos,2012-12-01,1,1,2
