,group,variable,month,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,L 23.5 TRATAMIENTOS INICIADOS CON ESQUEMA L CANTIDAD,TOTALES
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,3,2,5
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,3,2,5
SAN BENITO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,2,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,0,2
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,2,2
SAN LORENZO(TJA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,1,2
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
SANTA ANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,90,61,151
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,0,2
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
SICA SICA (VILLA AROMA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,4,1,5
TAPACARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,0,2
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,3,6,9
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,3,4,7
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,12,1,13
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,0,2
UNCIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,2,0,2
URIONDO (A. CONCEPCION),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,3,2,5
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,4,3,7
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,1,0,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,4,4,8
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,10,5,15
YANACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,0,1,1
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-05-01,3,2,5
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,2,2
AIQUILE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,1,3
APOLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
AYATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
CABEZAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,5,4,9
CARAPARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
CHIMORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,2,4
CHUMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
CLIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,4,2,6
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,24,12,36
COLCAPIRHUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
COLQUECHACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
CONCEPCION,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,2,2
CORO CORO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
COTAGAITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,1,2
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,4,0,4
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,27,13,40
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,1,3
FILADELFIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,3,0,3
GUANAY,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
HUMANATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,1,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
IXIAMAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,1,2
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,1,2
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,51,49,100
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
MAPIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,1,2
MOJOCOYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,2,2
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,7,1,8
MOROCHATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
OKINAWA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
OMEREQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,4,4,8
PADCAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,1,2
PELECHUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
PORONGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,3,2,5
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,1,2
PUERTO SUAREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,1,2
PUNA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
PUNATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,1,3
QUIABAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,4,5
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,6,2,8
ROBORE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,9,4,13
SAN BENITO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,2,3
SAN CARLOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,2,2
SAN IGNACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,1,3
SAN JOAQUIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SAN MATIAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,86,63,149
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,2,2
SANTIAGO DE HUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
SENA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,17,6,23
TACOBAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
TAPACARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
TARABUCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,2,3
TARATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,7,9,16
TARVITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
TIAWANACU,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,3,0,3
TORO TORO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,8,3,11
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
URUBICHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,1,0,1
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,3,0,3
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,4,1,5
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,6,1,7
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,3,0,3
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,7,4,11
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,9,3,12
YAMPARAEZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,0,1,1
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-06-01,4,2,6
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
ACHOCALLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
ARBIETO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
AUCAPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,1,3
AYATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
BERMEJO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,1,4
BETANZOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,2,2
CABEZAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,0,2
CAIROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
CAJUATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
CAMARGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
CAMATAQUI (C. VILLA ABECIA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
CAMIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,0,2
CAPINOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
CARANAVI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,4,6
CARMEN RIVERO TORREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
CHARAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,1,3
CHUMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
CLIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,0,2
COBIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,1,3
COCHABAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,19,4,23
CORIPATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,2,5
COROICO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,2,4
COTAGAITA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
COTOCA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,1,4
CUATRO CAÑADAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,2,2
CULPINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
EL ALTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,36,13,49
EL TORNO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,2,4
ENTRE RIOS CBBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,2,3
GENERAL SAAVEDRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
GUAQUI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
HUACARETA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
INCAHUASI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
IXIAMAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
JESUS DE MACHACA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
LA ASUNTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,4,7
LA GUARDIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,5,3,8
LA PAZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,64,52,116
LLALLAGUA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
MAIRANA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,1,3
MAPIRI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
MINEROS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,0,3
MONTEAGUDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
MONTERO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,9,4,13
MOROCHATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
ORURO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,13,6,19
PADILLA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
PAILON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
PAMPA GRANDE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
PORCO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
POROMA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
PORONGO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
POTOSI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,37,6,43
PUCARANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,6,3,9
PUNA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,9,5,14
REYES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,2,2
RIBERALTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,2,5
RURRENABAQUE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
SACABA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,3,6
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
SAN BORJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,2,3
SAN CARLOS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
SAN IGNACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,0,2
SAN JULIAN,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,2,4
SAN LORENZO(TJA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
SAN LUCAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,4,0,4
SAN MATIAS,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
SAN PEDRO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
SAN PEDRO DE TIQUINA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,81,70,151
SANTA ROSA DEL SARA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
SAPAHAQUI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
SHINAOTA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
SIPE SIPE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
SORACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
SORATA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,1,2
SUCRE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,8,3,11
TACOBAMBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
TARIJA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,4,5,9
TEOPONTE,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,2,3
TIPUANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,1,4
TIRAQUE (CBBA),tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
TOLEDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,4,1,5
TUPIZA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,3,4
UNCIA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,0,2
VIACHA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,2,0,2
VILLA MONTES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,3,0,3
VILLAZON,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,1,0,1
VINTO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
WARNES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,4,1,5
YACUIBA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,6,5,11
YAPACANI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,4,3,7
YOTALA,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-07-01,0,1,1
ACACIO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
ACHACACHI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,1,2
ALTO BENI,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,1,0,1
ANCORAIMES,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
ANZALDO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
ARBIETO,tuberculosis y lepra,l 23.5       tratamientos iniciados con esquema l,2012-08-01,0,1,1
