municipality,group,variable,month,Actividades Odontológicas en la Comunidad,TOTAL
MOCOMOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
MOJOCOYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
MONTEAGUDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,22,22
MONTERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,147,147
MOROCHATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,21,21
ORURO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1615,1615
PADCAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,6,6
PADILLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,7,7
PAILON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,154,154
PALCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,7,7
PALOS BLANCOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1,1
PATACAMAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,4,4
PAZÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,3,3
PELECHUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
POCONA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
POOPO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1,1
PORCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1,1
POROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,3,3
PORONGO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,15,15
PORTACHUELO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,16,16
PORVENIR,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,8,8
POSTRER VALLE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,5,5
POTOSI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,934,934
PRESTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,4,4
PUCARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,4,4
PUCARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,16,16
PUERTO ACOSTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,83,83
PUERTO CARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,10,10
PUERTO GONZALO MORENO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1,1
PUERTO QUIJARRO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,6,6
PUERTO RICO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
PUERTO SUAREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,170,170
PUERTO VILLARROEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
PUNA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,16,16
PUNATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,291,291
QUILLACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1,1
QUIME,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,20,20
RIBERALTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,12,12
ROBORE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,349,349
SABAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,7,7
SACABA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,39,39
SACACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,3,3
SALINAS DE GARCI MENDOZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,20,20
SAMAIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,7,7
SAN ANDRES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,9,9
SAN ANDRES DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,17,17
SAN ANTONIO DE LOMERIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,16,16
SAN BORJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,9,9
SAN BUENA VENTURA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
SAN CARLOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,7,7
SAN IGNACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,388,388
SAN IGNACIO DE VELASCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,27,27
SAN JAVIER(STC),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,13,13
SAN LORENZO(PND),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
SAN LORENZO(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,42,42
SAN LUCAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,5,5
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,60,60
SAN PEDRO DE CURAHUARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,4,4
SAN PEDRO DE TIQUINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,9,9
SAN RAFAEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
SAN RAMON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1,1
SAN RAMON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,16,16
SANTA ANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,3,3
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1053,1053
SANTA ROSA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
SANTA ROSA DEL SARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,15,15
SANTIAGO DE HUARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,33,33
SANTIAGO DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,4,4
SANTUARIO DE QUILLACAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,17,17
SAPAHAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,5,5
SENA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,3,3
SICA SICA (VILLA AROMA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,6,6
SIPE SIPE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,6,6
SORACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,7,7
SORATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,3,3
SUCRE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,43,43
TACACOMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
TAPACARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,13,13
TARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,28,28
TARATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,38,38
TARIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,219,219
TARVITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,10,10
TINGUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,9,9
TIQUIPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,16,16
TIRAQUE (CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,298,298
TITO YUPANQUI (PARQUIPUJIO),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,3,3
TOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,13,13
TOLEDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,27,27
TOMAVE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
TORO TORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,17,17
TOTORA(CBBA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
TOTORA(ORR),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,9,9
TRIGAL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
TRINIDAD,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,492,492
TUPIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,32,32
TURCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,9,9
UMALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,13,13
UNCIA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,32,32
URIONDO (A. CONCEPCION),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,27,27
URUBICHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,17,17
VACAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,268,268
VALLEGRANDE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,10,10
VIACHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,32,32
VILA VILA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,12,12
VILLA MONTES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
VILLA NUEVA (LOMA ALTA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1,1
VILLA SERRANO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,86,86
VILLA TUNARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,143,143
VILLA VACA GUZMAN (MUYUPAMPA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,3,3
WARNES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,2,2
YACO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,5,5
YACUIBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,689,689
YAMPARAEZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,295,295
YANACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,1,1
YAPACANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,280,280
YOCALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,62,62
YOTALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,6,6
YUNCHARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,8,8
ZUDAÑEZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-07-01,7,7
ACACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
ACHACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,35,35
ACHOCALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,30,30
AIQUILE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
ALALAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
ALCALA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,15,15
ANCORAIMES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,20,20
ANDAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,105,105
ANZALDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,11,11
ARAMPAMPA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
ARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,215,215
ARQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
ASCENCION DE GUARAYOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
ATOCHA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
AYATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
AYO AYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
AZURDUY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,13,13
BATALLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
BELEN DE URMIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
BELLA FLOR,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,10,10
BERMEJO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,6,6
BETANZOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
BOLPEBRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
CABEZAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
CAIROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,24,24
"CAIZA ""D""",atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,9,9
CALAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,15,15
CAMARGO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,13,13
CAMATAQUI (C. VILLA ABECIA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
CAMIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,50,50
CAPINOTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
CAQUIAVIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
CARACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,13,13
CARANAVI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,24,24
CARAPARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,37,37
CARIPUYO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
CARMEN RIVERO TORREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
CHALLAPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,29,29
CHAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
CHARAGUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,43,43
CHARAÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,16,16
CHAYANTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
CHUMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,19,19
CLIZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,51,51
COBIJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,11,11
COCHABAMBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2894,2894
COLCAPIRHUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,99,99
"COLCHA ""K""",atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,22,22
COLOMI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
COLPA BELGICA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,34,34
COLQUECHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
COMARAPA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,6,6
COMBAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
CONCEPCION,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,122,122
COPACABANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
CORIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,14,14
CORO CORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
CORQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,10,10
COTAGAITA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,52,52
CUATRO CAÑADAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,68,68
CUEVO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
CULPINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
DESAGUADERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
EL ALTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,969,969
EL CHORO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
EL PUENTE(STC),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
EL PUENTE(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,12,12
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,16,16
ENTRE RIOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
EUCALIPTUS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
FERNANDEZ ALONSO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,43,43
GRAL. J.J. PEREZ (CHARAZANI),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,17,17
GUANAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
GUAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
GUAYARAMERIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,23,23
HUACARETA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
HUACAYA (VILLA DE HUACAYA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
HUACHACALLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
HUANUNI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,10,10
HUAYLLAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
ICLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,10,10
INCAHUASI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,10,10
IRUPANA (VILLA DE LANZA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,227,227
IXIAMAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
JESUS DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,6,6
LA ASUNTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,194,194
LA GUARDIA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1821,1821
LA PAZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,276,276
LAGUNILLAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
LAJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
LAS CARRERAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
LLALLAGUA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,6588,6588
LURIBAY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
MACHACAMARCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
MACHARETI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
MAIRANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,18,18
MAPIRI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
MECAPACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,20,20
MINEROS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,9,9
MOCOMOCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
MONTEAGUDO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
MONTERO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
MOROCHATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,20,20
OCURI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
OKINAWA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
OMEREQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
ORURO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,623,623
PADCAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,10,10
PADILLA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,181,181
PAILON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
PALCA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,19,19
PALOS BLANCOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
PAMPA AULLAGAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
PAMPA GRANDE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
PATACAMAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
PAZÑA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
PELECHUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
POCOATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
POCONA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
POOPO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
PORCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
POROMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,9,9
PORONGO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,6,6
PORTACHUELO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,29,29
PORVENIR,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
POSTRER VALLE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
POTOSI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
PRESTO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
PUCARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
PUCARANI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,20,20
PUERTO ACOSTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,120,120
PUERTO CARABUCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,32,32
PUERTO GONZALO MORENO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,7,7
PUERTO QUIJARRO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,10,10
PUERTO RICO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
PUERTO SUAREZ,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,460,460
PUERTO VILLARROEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
PUNA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
PUNATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,40,40
QUILLACOLLO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
QUIME,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,20,20
REYES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,15,15
RIBERALTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,136,136
RURRENABAQUE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
SABAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,11,11
SACABA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,46,46
SACABAMBA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
SACACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
SAIPINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
SALINAS DE GARCI MENDOZA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,23,23
SAMAIPATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
SAN AGUSTIN,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
SAN ANDRES,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,20,20
SAN ANDRES DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,14,14
SAN ANTONIO DE LOMERIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,22,22
SAN BORJA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,10,10
SAN BUENA VENTURA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
SAN CARLOS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
SAN IGNACIO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,438,438
SAN IGNACIO DE VELASCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,757,757
SAN LORENZO(TJA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,26,26
SAN LUCAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
SAN MIGUEL DE VELASCO,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
SAN PEDRO DE BUENA VISTA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,52,52
SAN PEDRO DE CURAHUARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
SAN PEDRO DE TIQUINA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,19,19
SAN RAFAEL,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3,3
SAN RAMON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,33,33
SAN RAMON,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,2,2
SANTA ANA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
SANTA CRUZ DE LA SIERRA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,3541,3541
SANTA ROSA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,11,11
SANTA ROSA DEL SARA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,21,21
SANTIAGO DE HUARI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,27,27
SANTIAGO DE MACHACA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
SANTUARIO DE QUILLACAS,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,13,13
SAPAHAQUI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,13,13
SENA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,5,5
SICA SICA (VILLA AROMA),atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,6,6
SICAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
SIPE SIPE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,6,6
SOPACHUY,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,142,142
SORACACHI,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,13,13
SORATA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,8,8
SUCRE,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,20,20
TACACOMA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,4,4
TACOPAYA,atenciones odontologicas,actividades odontologicas en la comunidad,2008-08-01,1,1
