municipality,group,variable,month,Niños (as) 6 a 23 meses que reciben Alimento compl,TOTAL
YAMPARAEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-07-01,206,206
YAPACANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-07-01,3,3
YOTALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-07-01,181,181
YUNCHARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-07-01,147,147
ACACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,115,115
ALCALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,79,79
ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,29,29
ANTEQUERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,47,47
ANZALDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,2,2
APOLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
ARANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,9,9
ARQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,81,81
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,218,218
AUCAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
BAURES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,42,42
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,18,18
BELEN DE URMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,13,13
BELLA FLOR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,21,21
BERMEJO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,786,786
BETANZOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,509,509
BOLIVAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,210,210
CABEZAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
"CAIZA ""D""",nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,40,40
CALACOTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,79,79
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,88,88
CAMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,9,9
CARACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,302,302
CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
CHALLAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,445,445
CHARAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,1,1
CHIMORE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,4,4
CHIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,21,21
CHOQUE COTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,24,24
CHUMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,40,40
CLIZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,68,68
COCHABAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,11,11
COIPASA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
COLCAPIRHUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,92,92
COLLANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,38,38
COLOMI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,201,201
COLQUECHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,578,578
COLQUENCHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,163,163
COLQUIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,148,148
COMANCHE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,41,41
COMARAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,9,9
CORO CORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,66,66
CORQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,122,122
COTAGAITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,248,248
CULPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,110,110
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,84,84
CURVA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,19,19
EL ALTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3073,3073
EL CHORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,88,88
EL PUENTE(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,117,117
EL PUENTE(TJA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,243,243
EL VILLAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,110,110
ENTRE RIOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,554,554
ESMERALDA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,1,1
EUCALIPTUS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,122,122
EXALTACION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,37,37
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,2,2
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,61,61
GUAYARAMERIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,442,442
HUACARETA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,12,12
HUACHACALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,14,14
HUANUNI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,239,239
HUARACAJE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,56,56
HUAYLLAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,84,84
ICLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,121,121
INCAHUASI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,388,388
LA PAZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,75,75
LA RIVERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,1,1
LLALLAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,197,197
LORETO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,65,65
MACHACAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,62,62
MACHARETI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,166,166
MOJOCOYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,19,19
MONTEAGUDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,607,607
MONTERO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,21,21
MOROCHATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,153,153
NUEVO MANOA (NUEVA ESPERANZA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,12,12
OCURI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,780,780
ORURO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,2528,2528
PADCAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,281,281
PADILLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,263,263
PAMPA AULLAGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,54,54
PAZÑA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,106,106
POCOATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,535,535
POCONA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,12,12
POJO (CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,143,143
POOPO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,40,40
PORVENIR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,125,125
POTOSI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,2,2
PUERTO GONZALO MORENO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,23,23
PUERTO QUIJARRO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,2,2
PUERTO RICO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,158,158
PUERTO SILES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,1,1
PUNA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,331,331
PUNATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,244,244
QUIABAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,20,20
RAVELO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,486,486
RIBERALTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,2337,2337
RURRENABAQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,137,137
SABAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,19,19
SACABA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,718,718
SACABAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,59,59
SACACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,234,234
SAIPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
SALINAS DE GARCI MENDOZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,185,185
SAN AGUSTIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,15,15
SAN ANDRES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,133,133
SAN ANDRES DE MACHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,2,2
SAN BENITO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,1,1
SAN BORJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,423,423
SAN IGNACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,332,332
SAN JAVIER(BNI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,20,20
SAN JOAQUIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,51,51
SAN JULIAN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,10,10
SAN LORENZO(PND),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,28,28
SAN LORENZO(TJA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,103,103
SAN LUCAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,420,420
SAN MATIAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,1,1
SAN PABLO DE LIPEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,78,78
SAN PEDRO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,13,13
SAN PEDRO DE BUENA VISTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,542,542
SAN RAFAEL,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,57,57
SAN RAMON,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
SANTA ANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,154,154
SANTA CRUZ DE LA SIERRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,18,18
SANTA ROSA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,72,72
SANTIAGO DE HUARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,139,139
SANTIVAÑES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,5,5
SANTUARIO DE QUILLACAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,59,59
SICAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,39,39
SIPE SIPE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,371,371
SOPACHUY,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,200,200
SORACACHI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,246,246
SUCRE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,51,51
TACOPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,263,263
TAPACARI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,237,237
TARABUCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,364,364
TARACO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,1,1
TARIJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,2579,2579
TARVITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,55,55
TIQUIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,290,290
TIRAQUE (CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,14,14
TOLEDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,71,71
TOMINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,39,39
TORO TORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,267,267
TOTORA(CBBA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,200,200
TOTORA(ORR),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,101,101
TRINIDAD,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,604,604
TUPIZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,5,5
TURCO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,73,73
URIONDO (A. CONCEPCION),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,263,263
URUBICHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,73,73
VIACHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,507,507
VILLA MONTES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,484,484
VILLA SERRANO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,69,69
VILLA VACA GUZMAN (MUYUPAMPA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,146,146
VINTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,18,18
VITICHI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,122,122
WALDO BALLIVIAN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
WARNES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,3,3
YACUIBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,1136,1136
YAMPARAEZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,79,79
YOTALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,230,230
YUNCHARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-08-01,143,143
ACACIO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,131,131
AIQUILE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,10,10
ALCALA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,80,80
ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,68,68
ANTEQUERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,38,38
ANZALDO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,1,1
APOLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,13,13
ARANI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,8,8
ARQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,166,166
ASCENCION DE GUARAYOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,111,111
ATOCHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,1,1
BAURES,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,43,43
BELEN DE ANDAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,11,11
BELEN DE URMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,16,16
BELLA FLOR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,71,71
BERMEJO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,567,567
BETANZOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,403,403
BOLIVAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,270,270
BOLPEBRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,1,1
CABEZAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,21,21
"CAIZA ""D""",nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,145,145
CALACOTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,98,98
CAMATAQUI (C. VILLA ABECIA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,58,58
CAMIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,3,3
CARACOLLO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,285,285
CARANAVI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,1,1
CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,2,2
CHALLAPATA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,495,495
CHARAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,17,17
CHIPAYA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,26,26
CHOQUE COTA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,24,24
CHULUMANI (V. DE LA LIBERTAD),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,1,1
CHUMA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,64,64
CLIZA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,50,50
COBIJA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,238,238
COCHABAMBA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,10,10
COIPASA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,6,6
COLCAPIRHUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,96,96
COLLANA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,3,3
COLOMI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,118,118
COLQUECHACA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,707,707
COLQUENCHA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,168,168
COLQUIRI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,215,215
COMANCHE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,43,43
COMARAPA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,3,3
CONCEPCION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,6,6
CORO CORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,77,77
CORQUE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,138,138
COTAGAITA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,312,312
CULPINA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,132,132
CURAHUARA DE CARANGAS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,90,90
CURVA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,14,14
EL ALTO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,2087,2087
EL CHORO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,65,65
EL PUENTE(STC),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,78,78
EL PUENTE(TJA),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,241,241
EL VILLAR,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,111,111
ENTRE RIOS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,437,437
ESCARA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,1,1
ESMERALDA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,3,3
EUCALIPTUS,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,133,133
EXALTACION,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,15,15
GENERAL SAAVEDRA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,39,39
GUAYARAMERIN,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,268,268
GUTIERREZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,26,26
HUACARETA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,3,3
HUACHACALLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,13,13
HUANUNI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,256,256
HUARACAJE,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,40,40
HUAYLLAMARCA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,73,73
ICLA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,181,181
INCAHUASI,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,116,116
LA PAZ,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,91,91
LA RIVERA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,2,2
LLALLAGUA,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,442,442
LORETO,nutricion y micronutrientes,ninos (as) 6 a 23 meses que reciben alimento compl,2008-09-01,39,39
