,group,variable,month,TALLA BAJA < DE 1 AÑO,TALLA BAJA < DE 1 AÑO,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 1 A MENOR DE 2 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
"CAIZA ""D""",estado nutricional,talla baja,2010-07-01,12,2,31,16,15,16,58,34,92
CAJUATA,estado nutricional,talla baja,2010-07-01,1,2,5,3,2,4,8,9,17
CALACOTO,estado nutricional,talla baja,2010-07-01,5,2,9,7,10,14,24,23,47
CALAMARCA,estado nutricional,talla baja,2010-07-01,23,17,29,23,23,20,75,60,135
CAMARGO,estado nutricional,talla baja,2010-07-01,11,11,37,26,54,61,102,98,200
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla baja,2010-07-01,2,2,7,1,3,10,12,13,25
CAMIRI,estado nutricional,talla baja,2010-07-01,2,4,1,6,8,7,11,17,28
CAPINOTA,estado nutricional,talla baja,2010-07-01,8,12,28,44,29,22,65,78,143
CAQUIAVIRI,estado nutricional,talla baja,2010-07-01,10,4,15,6,18,9,43,19,62
CARACOLLO,estado nutricional,talla baja,2010-07-01,18,11,48,34,16,24,82,69,151
CARANAVI,estado nutricional,talla baja,2010-07-01,30,31,57,52,68,77,155,160,315
CARANGAS,estado nutricional,talla baja,2010-07-01,0,0,0,0,0,1,0,1,1
CARAPARI,estado nutricional,talla baja,2010-07-01,2,4,5,4,5,4,12,12,24
CARIPUYO,estado nutricional,talla baja,2010-07-01,20,15,38,28,67,54,125,97,222
CARMEN RIVERO TORREZ,estado nutricional,talla baja,2010-07-01,0,0,2,0,1,1,3,1,4
CATACORA,estado nutricional,talla baja,2010-07-01,3,3,2,2,6,3,11,8,19
CHACARILLA,estado nutricional,talla baja,2010-07-01,0,0,1,1,3,1,4,2,6
CHALLAPATA,estado nutricional,talla baja,2010-07-01,28,9,76,36,37,37,141,82,223
CHAQUI,estado nutricional,talla baja,2010-07-01,6,8,15,16,11,13,32,37,69
CHARAGUA,estado nutricional,talla baja,2010-07-01,6,1,19,13,21,20,46,34,80
CHARAÑA,estado nutricional,talla baja,2010-07-01,1,0,3,2,7,2,11,4,15
CHAYANTA,estado nutricional,talla baja,2010-07-01,30,28,53,53,71,76,154,157,311
CHIMORE,estado nutricional,talla baja,2010-07-01,11,3,14,16,11,20,36,39,75
CHIPAYA,estado nutricional,talla baja,2010-07-01,4,0,6,5,7,14,17,19,36
CHOQUE COTA,estado nutricional,talla baja,2010-07-01,2,0,1,0,1,0,4,0,4
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla baja,2010-07-01,1,0,2,4,8,3,11,7,18
CHUMA,estado nutricional,talla baja,2010-07-01,7,3,12,8,10,20,29,31,60
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla baja,2010-07-01,2,4,15,8,7,13,24,25,49
CKOCHAS,estado nutricional,talla baja,2010-07-01,32,35,58,35,84,61,174,131,305
CLIZA,estado nutricional,talla baja,2010-07-01,7,5,9,21,3,8,19,34,53
COBIJA,estado nutricional,talla baja,2010-07-01,34,11,28,21,25,25,87,57,144
COCAPATA,estado nutricional,talla baja,2010-07-01,11,15,27,17,35,27,73,59,132
COCHABAMBA,estado nutricional,talla baja,2010-07-01,91,132,163,166,169,144,423,442,865
COIPASA,estado nutricional,talla baja,2010-07-01,0,0,0,1,0,0,0,1,1
COLCAPIRHUA,estado nutricional,talla baja,2010-07-01,5,4,14,17,10,8,29,29,58
"COLCHA ""K""",estado nutricional,talla baja,2010-07-01,10,4,15,5,4,4,29,13,42
COLLANA,estado nutricional,talla baja,2010-07-01,1,1,4,2,1,5,6,8,14
COLOMI,estado nutricional,talla baja,2010-07-01,14,17,19,27,22,27,55,71,126
COLPA BELGICA,estado nutricional,talla baja,2010-07-01,0,1,2,0,0,0,2,1,3
COLQUECHACA,estado nutricional,talla baja,2010-07-01,97,73,145,110,103,101,345,284,629
COLQUENCHA,estado nutricional,talla baja,2010-07-01,12,7,13,16,11,12,36,35,71
COLQUIRI,estado nutricional,talla baja,2010-07-01,15,15,23,14,26,39,64,68,132
COMANCHE,estado nutricional,talla baja,2010-07-01,2,2,5,2,1,5,8,9,17
COMARAPA,estado nutricional,talla baja,2010-07-01,1,2,8,10,14,9,23,21,44
COMBAYA,estado nutricional,talla baja,2010-07-01,0,1,3,0,3,2,6,3,9
CONCEPCION,estado nutricional,talla baja,2010-07-01,2,1,10,10,7,12,19,23,42
COPACABANA,estado nutricional,talla baja,2010-07-01,1,0,4,1,5,4,10,5,15
CORIPATA,estado nutricional,talla baja,2010-07-01,0,0,1,1,4,3,5,4,9
CORO CORO,estado nutricional,talla baja,2010-07-01,3,4,8,9,12,14,23,27,50
COROICO,estado nutricional,talla baja,2010-07-01,3,2,6,5,3,4,12,11,23
CORQUE,estado nutricional,talla baja,2010-07-01,3,3,10,7,15,8,28,18,46
COTAGAITA,estado nutricional,talla baja,2010-07-01,45,28,89,58,66,79,200,165,365
COTOCA,estado nutricional,talla baja,2010-07-01,7,5,11,11,12,10,30,26,56
CUATRO CAÑADAS,estado nutricional,talla baja,2010-07-01,5,0,1,1,11,7,17,8,25
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,talla baja,2010-07-01,1,0,0,1,0,0,1,1,2
CUEVO,estado nutricional,talla baja,2010-07-01,3,3,8,5,10,11,21,19,40
CULPINA,estado nutricional,talla baja,2010-07-01,18,15,30,16,46,52,94,83,177
CURAHUARA DE CARANGAS,estado nutricional,talla baja,2010-07-01,5,2,12,6,6,8,23,16,39
CURVA,estado nutricional,talla baja,2010-07-01,11,6,7,6,11,9,29,21,50
DESAGUADERO,estado nutricional,talla baja,2010-07-01,3,1,1,1,1,2,5,4,9
EL ALTO,estado nutricional,talla baja,2010-07-01,503,270,716,418,297,272,1516,960,2476
EL CHORO,estado nutricional,talla baja,2010-07-01,4,0,4,5,12,8,20,13,33
EL PUENTE(STC),estado nutricional,talla baja,2010-07-01,7,3,9,12,20,17,36,32,68
EL PUENTE(TJA),estado nutricional,talla baja,2010-07-01,10,7,24,6,21,18,55,31,86
EL TORNO,estado nutricional,talla baja,2010-07-01,5,2,11,5,12,16,28,23,51
EL VILLAR,estado nutricional,talla baja,2010-07-01,6,6,9,8,25,32,40,46,86
ENTRE RIOS TRJ,estado nutricional,talla baja,2010-07-01,8,4,17,14,21,31,46,49,95
ENTRE RIOS CBBA,estado nutricional,talla baja,2010-07-01,3,4,35,22,18,19,56,45,101
ESCARA,estado nutricional,talla baja,2010-07-01,0,0,1,0,1,0,2,0,2
ESCOMA,estado nutricional,talla baja,2010-07-01,1,2,5,2,2,7,8,11,19
ESMERALDA,estado nutricional,talla baja,2010-07-01,0,0,1,0,0,1,1,1,2
EUCALIPTUS,estado nutricional,talla baja,2010-07-01,6,7,13,7,9,14,28,28,56
EUREKA (SANTOS MERCADO),estado nutricional,talla baja,2010-07-01,0,0,2,0,0,0,2,0,2
FERNANDEZ ALONSO,estado nutricional,talla baja,2010-07-01,0,3,5,4,8,6,13,13,26
FILADELFIA,estado nutricional,talla baja,2010-07-01,1,0,2,2,2,2,5,4,9
GENERAL SAAVEDRA,estado nutricional,talla baja,2010-07-01,4,3,12,12,9,9,25,24,49
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla baja,2010-07-01,4,8,17,11,19,14,40,33,73
GUANAY,estado nutricional,talla baja,2010-07-01,13,3,14,12,10,6,37,21,58
GUAQUI,estado nutricional,talla baja,2010-07-01,6,6,17,4,6,5,29,15,44
GUAYARAMERIN,estado nutricional,talla baja,2010-07-01,9,10,8,7,8,12,25,29,54
GUTIERREZ,estado nutricional,talla baja,2010-07-01,24,12,38,21,65,53,127,86,213
HUACARETA,estado nutricional,talla baja,2010-07-01,1,2,9,6,15,19,25,27,52
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla baja,2010-07-01,4,3,5,3,12,10,21,16,37
HUACHACALLA,estado nutricional,talla baja,2010-07-01,1,0,3,2,3,3,7,5,12
HUANUNI,estado nutricional,talla baja,2010-07-01,32,27,47,26,36,24,115,77,192
HUARACAJE,estado nutricional,talla baja,2010-07-01,0,0,0,1,0,0,0,1,1
HUARINA,estado nutricional,talla baja,2010-07-01,5,5,3,2,2,5,10,12,22
HUAYLLAMARCA,estado nutricional,talla baja,2010-07-01,2,0,1,7,6,3,9,10,19
HUMANATA,estado nutricional,talla baja,2010-07-01,4,2,19,13,13,2,36,17,53
ICHOCA,estado nutricional,talla baja,2010-07-01,3,5,9,12,10,14,22,31,53
ICLA,estado nutricional,talla baja,2010-07-01,12,8,53,43,142,158,207,209,416
INCAHUASI,estado nutricional,talla baja,2010-07-01,15,18,47,30,68,85,130,133,263
INGAVI (HUMAITA),estado nutricional,talla baja,2010-07-01,0,2,0,2,0,0,0,4,4
INQUISIVI,estado nutricional,talla baja,2010-07-01,4,3,10,6,12,14,26,23,49
IRUPANA (VILLA DE LANZA),estado nutricional,talla baja,2010-07-01,1,0,3,2,1,3,5,5,10
IXIAMAS,estado nutricional,talla baja,2010-07-01,4,2,6,2,7,8,17,12,29
JESUS DE MACHACA,estado nutricional,talla baja,2010-07-01,4,2,8,6,6,5,18,13,31
LA ASUNTA,estado nutricional,talla baja,2010-07-01,16,8,37,39,20,25,73,72,145
LA GUARDIA,estado nutricional,talla baja,2010-07-01,10,12,18,9,19,13,47,34,81
LA PAZ,estado nutricional,talla baja,2010-07-01,478,266,439,285,335,250,1252,801,2053
LAGUNILLAS,estado nutricional,talla baja,2010-07-01,4,1,7,3,14,7,25,11,36
LAJA,estado nutricional,talla baja,2010-07-01,0,5,9,5,3,4,12,14,26
LAS CARRERAS,estado nutricional,talla baja,2010-07-01,0,2,5,0,11,4,16,6,22
LICOMA PAMPA,estado nutricional,talla baja,2010-07-01,4,2,3,3,3,4,10,9,19
LLALLAGUA,estado nutricional,talla baja,2010-07-01,42,36,63,53,48,47,153,136,289
LLICA,estado nutricional,talla baja,2010-07-01,4,0,3,0,5,5,12,5,17
LORETO,estado nutricional,talla baja,2010-07-01,1,2,8,4,5,5,14,11,25
LURIBAY,estado nutricional,talla baja,2010-07-01,5,5,13,6,13,5,31,16,47
MACHACAMARCA,estado nutricional,talla baja,2010-07-01,3,0,11,4,3,1,17,5,22
MACHARETI,estado nutricional,talla baja,2010-07-01,1,1,10,7,13,9,24,17,41
MAGDALENA,estado nutricional,talla baja,2010-07-01,3,1,2,1,3,4,8,6,14
MAIRANA,estado nutricional,talla baja,2010-07-01,0,9,2,1,2,10,4,20,24
MALLA,estado nutricional,talla baja,2010-07-01,2,1,9,3,8,7,19,11,30
MAPIRI,estado nutricional,talla baja,2010-07-01,2,0,1,2,1,0,4,2,6
MECAPACA,estado nutricional,talla baja,2010-07-01,5,8,16,10,7,7,28,25,53
MINEROS,estado nutricional,talla baja,2010-07-01,6,4,21,12,11,15,38,31,69
MIZQUE,estado nutricional,talla baja,2010-07-01,9,9,36,20,42,47,87,76,163
MOCOMOCO,estado nutricional,talla baja,2010-07-01,9,1,14,9,19,20,42,30,72
MOJINETE,estado nutricional,talla baja,2010-07-01,1,4,3,2,0,0,4,6,10
MOJOCOYA,estado nutricional,talla baja,2010-07-01,0,2,5,4,13,11,18,17,35
MONTEAGUDO,estado nutricional,talla baja,2010-07-01,6,3,17,17,38,31,61,51,112
MONTERO,estado nutricional,talla baja,2010-07-01,31,17,43,35,30,28,104,80,184
MORO MORO,estado nutricional,talla baja,2010-07-01,1,0,0,0,2,0,3,0,3
MOROCHATA,estado nutricional,talla baja,2010-07-01,24,19,45,25,34,41,103,85,188
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla baja,2010-07-01,0,0,1,0,0,0,1,0,1
NAZACARA DE PACAJES,estado nutricional,talla baja,2010-07-01,1,0,1,2,0,0,2,2,4
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla baja,2010-07-01,0,0,1,2,6,1,7,3,10
OCURI,estado nutricional,talla baja,2010-07-01,40,35,89,61,87,95,216,191,407
OKINAWA,estado nutricional,talla baja,2010-07-01,0,1,1,1,1,3,2,5,7
OMEREQUE,estado nutricional,talla baja,2010-07-01,2,1,3,3,2,4,7,8,15
ORURO,estado nutricional,talla baja,2010-07-01,475,343,529,373,298,240,1302,956,2258
PADCAYA,estado nutricional,talla baja,2010-07-01,8,9,13,4,23,17,44,30,74
PADILLA,estado nutricional,talla baja,2010-07-01,7,5,19,11,54,43,80,59,139
PAILON,estado nutricional,talla baja,2010-07-01,3,1,6,10,12,13,21,24,45
PALCA,estado nutricional,talla baja,2010-07-01,4,5,11,15,5,13,20,33,53
PALOS BLANCOS,estado nutricional,talla baja,2010-07-01,5,8,13,8,14,21,32,37,69
PAMPA AULLAGAS,estado nutricional,talla baja,2010-07-01,5,1,11,7,3,6,19,14,33
PAMPA GRANDE,estado nutricional,talla baja,2010-07-01,2,2,7,4,3,2,12,8,20
PAPEL PAMPA,estado nutricional,talla baja,2010-07-01,2,4,5,0,5,4,12,8,20
PASORAPA,estado nutricional,talla baja,2010-07-01,2,0,1,3,9,2,12,5,17
PATACAMAYA,estado nutricional,talla baja,2010-07-01,9,5,23,12,8,8,40,25,65
PAZÑA,estado nutricional,talla baja,2010-07-01,6,7,15,5,18,25,39,37,76
PELECHUCO,estado nutricional,talla baja,2010-07-01,8,6,8,9,7,12,23,27,50
POCOATA,estado nutricional,talla baja,2010-07-01,37,32,87,69,100,92,224,193,417
POCONA,estado nutricional,talla baja,2010-07-01,21,25,36,40,34,47,91,112,203
POJO (CBBA),estado nutricional,talla baja,2010-07-01,2,5,10,11,8,12,20,28,48
POOPO,estado nutricional,talla baja,2010-07-01,3,7,14,4,17,13,34,24,58
PORCO,estado nutricional,talla baja,2010-07-01,11,10,13,5,9,6,33,21,54
POROMA,estado nutricional,talla baja,2010-07-01,17,16,38,31,66,77,121,124,245
PORONGO,estado nutricional,talla baja,2010-07-01,2,0,4,1,4,2,10,3,13
PORTACHUELO,estado nutricional,talla baja,2010-07-01,3,0,2,1,4,3,9,4,13
PORVENIR,estado nutricional,talla baja,2010-07-01,3,4,1,1,1,6,5,11,16
POSTRER VALLE,estado nutricional,talla baja,2010-07-01,0,0,0,0,4,5,4,5,9
POTOSI,estado nutricional,talla baja,2010-07-01,133,95,199,147,108,101,440,343,783
PRESTO,estado nutricional,talla baja,2010-07-01,14,13,31,17,55,49,100,79,179
PUCARA,estado nutricional,talla baja,2010-07-01,1,2,0,1,2,2,3,5,8
PUCARANI,estado nutricional,talla baja,2010-07-01,28,12,44,26,22,20,94,58,152
PUERTO ACOSTA,estado nutricional,talla baja,2010-07-01,8,9,7,10,15,13,30,32,62
PUERTO CARABUCO,estado nutricional,talla baja,2010-07-01,9,5,13,11,27,17,49,33,82
PUERTO GONZALO MORENO,estado nutricional,talla baja,2010-07-01,2,6,15,7,34,27,51,40,91
PUERTO PEREZ,estado nutricional,talla baja,2010-07-01,0,0,2,1,1,0,3,1,4
PUERTO QUIJARRO,estado nutricional,talla baja,2010-07-01,3,2,2,1,0,0,5,3,8
PUERTO RICO,estado nutricional,talla baja,2010-07-01,4,1,6,7,4,0,14,8,22
PUERTO SILES,estado nutricional,talla baja,2010-07-01,0,0,1,2,3,1,4,3,7
PUERTO SUAREZ,estado nutricional,talla baja,2010-07-01,11,3,5,3,2,4,18,10,28
PUERTO VILLARROEL,estado nutricional,talla baja,2010-07-01,38,24,53,48,54,55,145,127,272
PUNA,estado nutricional,talla baja,2010-07-01,25,17,37,32,67,53,129,102,231
PUNATA,estado nutricional,talla baja,2010-07-01,5,4,18,11,8,10,31,25,56
QUIABAYA,estado nutricional,talla baja,2010-07-01,6,2,5,8,7,7,18,17,35
QUILLACOLLO,estado nutricional,talla baja,2010-07-01,13,6,27,16,12,16,52,38,90
QUIME,estado nutricional,talla baja,2010-07-01,6,1,10,5,12,15,28,21,49
QUIRUSILLAS,estado nutricional,talla baja,2010-07-01,0,0,0,0,1,1,1,1,2
RAVELO,estado nutricional,talla baja,2010-07-01,42,40,106,76,152,193,300,309,609
REYES,estado nutricional,talla baja,2010-07-01,3,3,11,11,5,3,19,17,36
RIBERALTA,estado nutricional,talla baja,2010-07-01,30,22,66,51,30,31,126,104,230
ROBORE,estado nutricional,talla baja,2010-07-01,0,2,3,1,0,2,3,5,8
RURRENABAQUE,estado nutricional,talla baja,2010-07-01,7,1,16,7,13,7,36,15,51
SABAYA,estado nutricional,talla baja,2010-07-01,1,0,3,1,2,5,6,6,12
SACABA,estado nutricional,talla baja,2010-07-01,102,27,92,70,77,89,271,186,457
SACABAMBA,estado nutricional,talla baja,2010-07-01,0,7,2,4,22,23,24,34,58
SACACA,estado nutricional,talla baja,2010-07-01,69,43,107,63,107,129,283,235,518
SAIPINA,estado nutricional,talla baja,2010-07-01,2,0,1,3,2,7,5,10,15
SALINAS DE GARCI MENDOZA,estado nutricional,talla baja,2010-07-01,9,7,17,9,26,24,52,40,92
SAMAIPATA,estado nutricional,talla baja,2010-07-01,3,1,1,1,4,3,8,5,13
SAN AGUSTIN,estado nutricional,talla baja,2010-07-01,0,0,0,0,1,2,1,2,3
SAN ANDRES,estado nutricional,talla baja,2010-07-01,2,4,6,6,0,2,8,12,20
SAN ANDRES DE MACHACA,estado nutricional,talla baja,2010-07-01,2,2,1,2,1,4,4,8,12
SAN ANTONIO DE ESMORUCO,estado nutricional,talla baja,2010-07-01,0,0,3,3,3,8,6,11,17
SAN ANTONIO DE LOMERIO,estado nutricional,talla baja,2010-07-01,3,4,11,6,15,13,29,23,52
SAN BENITO,estado nutricional,talla baja,2010-07-01,9,8,20,17,8,10,37,35,72
SAN BORJA,estado nutricional,talla baja,2010-07-01,19,16,41,13,60,47,120,76,196
SAN BUENA VENTURA,estado nutricional,talla baja,2010-07-01,4,5,12,7,5,8,21,20,41
SAN CARLOS,estado nutricional,talla baja,2010-07-01,0,1,3,2,6,2,9,5,14
SAN IGNACIO,estado nutricional,talla baja,2010-07-01,6,5,12,12,19,15,37,32,69
SAN IGNACIO DE VELASCO,estado nutricional,talla baja,2010-07-01,40,16,31,26,42,38,113,80,193
SAN JAVIER(BNI),estado nutricional,talla baja,2010-07-01,1,0,0,0,1,2,2,2,4
SAN JAVIER(STC),estado nutricional,talla baja,2010-07-01,3,6,2,5,2,1,7,12,19
SAN JOAQUIN,estado nutricional,talla baja,2010-07-01,1,4,2,3,4,1,7,8,15
SAN JOSE DE CHIQUITOS,estado nutricional,talla baja,2010-07-01,5,3,2,2,4,3,11,8,19
SAN JUAN DE YAPACANI,estado nutricional,talla baja,2010-07-01,2,1,4,8,3,3,9,12,21
SAN JULIAN,estado nutricional,talla baja,2010-07-01,3,6,4,5,4,12,11,23,34
SAN LORENZO(PND),estado nutricional,talla baja,2010-07-01,1,1,4,2,5,0,10,3,13
SAN LORENZO(TJA),estado nutricional,talla baja,2010-07-01,17,5,18,9,11,15,46,29,75
SAN LUCAS,estado nutricional,talla baja,2010-07-01,64,45,135,103,319,280,518,428,946
SAN MATIAS,estado nutricional,talla baja,2010-07-01,2,7,1,1,2,1,5,9,14
SAN MIGUEL DE VELASCO,estado nutricional,talla baja,2010-07-01,2,3,10,9,15,18,27,30,57
SAN PABLO DE LIPEZ,estado nutricional,talla baja,2010-07-01,4,0,5,3,5,5,14,8,22
SAN PEDRO,estado nutricional,talla baja,2010-07-01,2,1,1,1,1,3,4,5,9
SAN PEDRO DE BUENA VISTA,estado nutricional,talla baja,2010-07-01,50,39,103,58,85,88,238,185,423
SAN PEDRO DE CURAHUARA,estado nutricional,talla baja,2010-07-01,0,4,5,5,19,14,24,23,47
SAN PEDRO DE QUEMES,estado nutricional,talla baja,2010-07-01,0,1,2,0,1,1,3,2,5
SAN PEDRO DE TIQUINA,estado nutricional,talla baja,2010-07-01,3,2,5,3,1,4,9,9,18
SAN PEDRO(PND),estado nutricional,talla baja,2010-07-01,0,1,1,0,4,2,5,3,8
SAN RAFAEL,estado nutricional,talla baja,2010-07-01,0,2,2,3,3,1,5,6,11
SAN RAMON BENI,estado nutricional,talla baja,2010-07-01,1,1,1,3,4,4,6,8,14
SANTA ANA,estado nutricional,talla baja,2010-07-01,0,2,3,7,2,3,5,12,17
SANTA CRUZ DE LA SIERRA,estado nutricional,talla baja,2010-07-01,132,110,98,100,96,91,326,301,627
SANTA ROSA,estado nutricional,talla baja,2010-07-01,1,1,3,4,3,0,7,5,12
SANTA ROSA DEL SARA,estado nutricional,talla baja,2010-07-01,1,1,1,5,6,5,8,11,19
SANTIAGO DE CALLAPA,estado nutricional,talla baja,2010-07-01,3,2,4,8,1,0,8,10,18
SANTIAGO DE HUARI,estado nutricional,talla baja,2010-07-01,4,6,15,10,19,23,38,39,77
SANTIAGO DE HUATA,estado nutricional,talla baja,2010-07-01,2,1,2,0,3,2,7,3,10
SANTIAGO DE MACHACA,estado nutricional,talla baja,2010-07-01,1,2,6,13,9,5,16,20,36
SANTIVAÑES,estado nutricional,talla baja,2010-07-01,2,1,4,6,7,6,13,13,26
SANTUARIO DE QUILLACAS,estado nutricional,talla baja,2010-07-01,1,3,6,5,18,16,25,24,49
SAPAHAQUI,estado nutricional,talla baja,2010-07-01,5,2,9,8,17,16,31,26,57
SENA,estado nutricional,talla baja,2010-07-01,1,3,6,6,0,0,7,9,16
SHINAOTA,estado nutricional,talla baja,2010-07-01,2,2,4,1,3,3,9,6,15
SICA SICA (VILLA AROMA),estado nutricional,talla baja,2010-07-01,7,7,29,22,11,12,47,41,88
SICAYA,estado nutricional,talla baja,2010-07-01,6,2,20,9,18,9,44,20,64
SIPE SIPE,estado nutricional,talla baja,2010-07-01,14,8,36,27,23,20,73,55,128
SOPACHUY,estado nutricional,talla baja,2010-07-01,6,11,25,21,97,84,128,116,244
SORACACHI,estado nutricional,talla baja,2010-07-01,7,5,7,15,23,17,37,37,74
SORATA,estado nutricional,talla baja,2010-07-01,11,6,12,17,18,20,41,43,84
SUCRE,estado nutricional,talla baja,2010-07-01,123,91,196,130,193,185,512,406,918
TACACOMA,estado nutricional,talla baja,2010-07-01,1,4,7,12,10,6,18,22,40
TACOBAMBA,estado nutricional,talla baja,2010-07-01,20,13,31,34,20,13,71,60,131
TACOPAYA,estado nutricional,talla baja,2010-07-01,14,9,33,28,35,39,82,76,158
TAHUA,estado nutricional,talla baja,2010-07-01,1,1,1,0,5,3,7,4,11
TAPACARI,estado nutricional,talla baja,2010-07-01,62,41,69,58,81,74,212,173,385
TARABUCO,estado nutricional,talla baja,2010-07-01,33,19,73,64,197,195,303,278,581
TARACO,estado nutricional,talla baja,2010-07-01,0,1,1,3,0,0,1,4,5
TARATA,estado nutricional,talla baja,2010-07-01,4,2,11,6,5,10,20,18,38
TARIJA,estado nutricional,talla baja,2010-07-01,36,30,55,36,47,32,138,98,236
TARVITA,estado nutricional,talla baja,2010-07-01,26,15,73,49,201,203,300,267,567
TEOPONTE,estado nutricional,talla baja,2010-07-01,5,5,5,5,9,12,19,22,41
TIAWANACU,estado nutricional,talla baja,2010-07-01,13,13,10,17,7,5,30,35,65
TINGUIPAYA,estado nutricional,talla baja,2010-07-01,30,24,40,24,37,29,107,77,184
TIPUANI,estado nutricional,talla baja,2010-07-01,3,1,2,1,3,6,8,8,16
TIQUIPAYA,estado nutricional,talla baja,2010-07-01,12,19,35,47,38,48,85,114,199
TIRAQUE (CBBA),estado nutricional,talla baja,2010-07-01,9,3,28,21,14,15,51,39,90
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla baja,2010-07-01,0,1,1,0,3,2,4,3,7
TOCO,estado nutricional,talla baja,2010-07-01,1,2,1,6,5,4,7,12,19
TODOS SANTOS,estado nutricional,talla baja,2010-07-01,0,0,0,0,0,1,0,1,1
TOLATA,estado nutricional,talla baja,2010-07-01,0,0,6,3,3,3,9,6,15
TOLEDO,estado nutricional,talla baja,2010-07-01,10,1,12,6,2,4,24,11,35
TOMAVE,estado nutricional,talla baja,2010-07-01,17,10,35,16,33,26,85,52,137
TOMINA,estado nutricional,talla baja,2010-07-01,9,4,33,24,99,107,141,135,276
TORO TORO,estado nutricional,talla baja,2010-07-01,18,13,29,23,41,37,88,73,161
TOTORA(CBBA),estado nutricional,talla baja,2010-07-01,4,9,11,7,7,7,22,23,45
TOTORA(ORR),estado nutricional,talla baja,2010-07-01,3,0,7,5,4,7,14,12,26
TRIGAL,estado nutricional,talla baja,2010-07-01,1,0,0,0,1,0,2,0,2
TRINIDAD,estado nutricional,talla baja,2010-07-01,33,15,17,17,15,16,65,48,113
TUPIZA,estado nutricional,talla baja,2010-07-01,29,22,35,27,43,46,107,95,202
TURCO,estado nutricional,talla baja,2010-07-01,1,5,8,6,1,3,10,14,24
UMALA,estado nutricional,talla baja,2010-07-01,2,1,5,4,5,0,12,5,17
UNCIA,estado nutricional,talla baja,2010-07-01,33,16,62,47,54,44,149,107,256
URIONDO (A. CONCEPCION),estado nutricional,talla baja,2010-07-01,6,2,5,3,9,19,20,24,44
UYUNI,estado nutricional,talla baja,2010-07-01,23,15,41,24,22,29,86,68,154
VACAS,estado nutricional,talla baja,2010-07-01,17,9,20,17,8,20,45,46,91
VALLEGRANDE,estado nutricional,talla baja,2010-07-01,3,0,5,2,0,2,8,4,12
VIACHA,estado nutricional,talla baja,2010-07-01,31,16,49,24,17,16,97,56,153
VILA VILA,estado nutricional,talla baja,2010-07-01,11,10,12,16,58,55,81,81,162
VILLA CHARCAS,estado nutricional,talla baja,2010-07-01,36,28,49,39,61,73,146,140,286
VILLA MONTES,estado nutricional,talla baja,2010-07-01,9,11,5,6,12,12,26,29,55
VILLA NUEVA (LOMA ALTA),estado nutricional,talla baja,2010-07-01,0,0,2,1,1,6,3,7,10
VILLA RIVERO,estado nutricional,talla baja,2010-07-01,2,4,3,12,16,12,21,28,49
VILLA SERRANO,estado nutricional,talla baja,2010-07-01,12,8,36,20,69,60,117,88,205
VILLA TUNARI,estado nutricional,talla baja,2010-07-01,44,25,53,54,84,74,181,153,334
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla baja,2010-07-01,6,0,4,12,14,15,24,27,51
VILLAZON,estado nutricional,talla baja,2010-07-01,36,13,62,41,50,31,148,85,233
VINTO,estado nutricional,talla baja,2010-07-01,16,12,27,24,15,8,58,44,102
VITICHI,estado nutricional,talla baja,2010-07-01,11,4,19,27,42,55,72,86,158
WALDO BALLIVIAN,estado nutricional,talla baja,2010-07-01,0,1,2,1,2,4,4,6,10
WARNES,estado nutricional,talla baja,2010-07-01,1,2,4,5,4,13,9,20,29
YACO,estado nutricional,talla baja,2010-07-01,7,9,19,13,34,23,60,45,105
YACUIBA,estado nutricional,talla baja,2010-07-01,25,57,13,23,10,10,48,90,138
YAMPARAEZ,estado nutricional,talla baja,2010-07-01,4,9,22,16,74,76,100,101,201
YANACACHI,estado nutricional,talla baja,2010-07-01,4,0,2,0,4,6,10,6,16
YAPACANI,estado nutricional,talla baja,2010-07-01,1,3,21,14,14,21,36,38,74
YOCALLA,estado nutricional,talla baja,2010-07-01,4,1,15,7,19,12,38,20,58
YOTALA,estado nutricional,talla baja,2010-07-01,4,4,14,7,34,29,52,40,92
YUNCHARA,estado nutricional,talla baja,2010-07-01,10,2,9,10,34,24,53,36,89
ZUDAÑEZ,estado nutricional,talla baja,2010-07-01,7,3,20,17,81,72,108,92,200
ACACIO,estado nutricional,talla baja,2010-08-01,21,20,19,19,39,37,79,76,155
ACHACACHI,estado nutricional,talla baja,2010-08-01,20,23,29,16,13,18,62,57,119
ACHOCALLA,estado nutricional,talla baja,2010-08-01,1,0,2,7,6,4,9,11,20
AIQUILE,estado nutricional,talla baja,2010-08-01,10,4,12,12,17,19,39,35,74
