,group,variable,month,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL < DE 1 AÑO,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 1 A MENOR DE 2 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SANTUARIO DE QUILLACAS,estado nutricional,talla normal,2010-06-01,21,23,8,22,12,17,41,62,103
SAPAHAQUI,estado nutricional,talla normal,2010-06-01,46,45,32,33,41,42,119,120,239
SENA,estado nutricional,talla normal,2010-06-01,35,37,24,23,20,19,79,79,158
SHINAOTA,estado nutricional,talla normal,2010-06-01,270,220,204,115,159,143,633,478,1111
SICA SICA (VILLA AROMA),estado nutricional,talla normal,2010-06-01,151,149,92,101,118,103,361,353,714
SICAYA,estado nutricional,talla normal,2010-06-01,20,14,5,19,12,14,37,47,84
SIPE SIPE,estado nutricional,talla normal,2010-06-01,316,261,182,149,144,109,642,519,1161
SOPACHUY,estado nutricional,talla normal,2010-06-01,50,61,34,51,80,78,164,190,354
SORACACHI,estado nutricional,talla normal,2010-06-01,93,91,82,77,92,73,267,241,508
SORATA,estado nutricional,talla normal,2010-06-01,111,134,91,91,95,114,297,339,636
SUCRE,estado nutricional,talla normal,2010-06-01,2049,1998,1551,1527,1426,1374,5026,4899,9925
TACACHI,estado nutricional,talla normal,2010-06-01,9,8,5,4,4,8,18,20,38
TACACOMA,estado nutricional,talla normal,2010-06-01,54,35,28,26,38,37,120,98,218
TACOBAMBA,estado nutricional,talla normal,2010-06-01,83,72,74,56,40,51,197,179,376
TACOPAYA,estado nutricional,talla normal,2010-06-01,97,71,52,70,88,88,237,229,466
TAHUA,estado nutricional,talla normal,2010-06-01,5,4,6,8,7,9,18,21,39
TAPACARI,estado nutricional,talla normal,2010-06-01,193,180,101,115,141,132,435,427,862
TARABUCO,estado nutricional,talla normal,2010-06-01,164,162,101,100,237,207,502,469,971
TARACO,estado nutricional,talla normal,2010-06-01,27,31,11,15,13,17,51,63,114
TARATA,estado nutricional,talla normal,2010-06-01,77,82,54,52,43,56,174,190,364
TARIJA,estado nutricional,talla normal,2010-06-01,1166,1005,830,751,615,601,2611,2357,4968
TARVITA,estado nutricional,talla normal,2010-06-01,98,115,74,85,155,152,327,352,679
TEOPONTE,estado nutricional,talla normal,2010-06-01,82,53,78,47,55,32,215,132,347
TIAWANACU,estado nutricional,talla normal,2010-06-01,122,76,68,84,66,49,256,209,465
TINGUIPAYA,estado nutricional,talla normal,2010-06-01,89,111,44,59,72,60,205,230,435
TIPUANI,estado nutricional,talla normal,2010-06-01,97,94,51,59,80,69,228,222,450
TIQUIPAYA,estado nutricional,talla normal,2010-06-01,492,547,322,352,355,359,1169,1258,2427
TIRAQUE (CBBA),estado nutricional,talla normal,2010-06-01,145,147,100,118,66,68,311,333,644
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,talla normal,2010-06-01,7,7,3,3,12,11,22,21,43
TOCO,estado nutricional,talla normal,2010-06-01,27,46,33,30,43,38,103,114,217
TODOS SANTOS,estado nutricional,talla normal,2010-06-01,5,1,3,3,6,3,14,7,21
TOLATA,estado nutricional,talla normal,2010-06-01,90,58,51,71,50,58,191,187,378
TOLEDO,estado nutricional,talla normal,2010-06-01,45,40,33,37,38,35,116,112,228
TOMAVE,estado nutricional,talla normal,2010-06-01,76,83,49,56,66,63,191,202,393
TOMINA,estado nutricional,talla normal,2010-06-01,74,61,48,49,146,145,268,255,523
TORO TORO,estado nutricional,talla normal,2010-06-01,85,91,116,54,58,80,259,225,484
TOTORA(CBBA),estado nutricional,talla normal,2010-06-01,102,94,53,51,55,53,210,198,408
TOTORA(ORR),estado nutricional,talla normal,2010-06-01,34,30,17,23,26,21,77,74,151
TRIGAL,estado nutricional,talla normal,2010-06-01,10,12,12,13,9,11,31,36,67
TRINIDAD,estado nutricional,talla normal,2010-06-01,626,578,283,278,261,272,1170,1128,2298
TUPIZA,estado nutricional,talla normal,2010-06-01,272,264,173,204,222,205,667,673,1340
TURCO,estado nutricional,talla normal,2010-06-01,38,28,18,25,29,27,85,80,165
UMALA,estado nutricional,talla normal,2010-06-01,69,59,76,46,51,35,196,140,336
UNCIA,estado nutricional,talla normal,2010-06-01,124,110,56,74,64,47,244,231,475
URIONDO (A. CONCEPCION),estado nutricional,talla normal,2010-06-01,160,145,120,119,197,155,477,419,896
URUBICHA,estado nutricional,talla normal,2010-06-01,71,57,71,70,219,224,361,351,712
UYUNI,estado nutricional,talla normal,2010-06-01,194,201,126,129,80,78,400,408,808
VACAS,estado nutricional,talla normal,2010-06-01,54,40,40,44,32,49,126,133,259
VALLEGRANDE,estado nutricional,talla normal,2010-06-01,105,88,73,42,97,68,275,198,473
VIACHA,estado nutricional,talla normal,2010-06-01,401,394,269,288,242,245,912,927,1839
VILA VILA,estado nutricional,talla normal,2010-06-01,24,38,19,25,34,34,77,97,174
VILLA CHARCAS,estado nutricional,talla normal,2010-06-01,136,147,108,103,146,139,390,389,779
VILLA MONTES,estado nutricional,talla normal,2010-06-01,300,321,231,209,127,121,658,651,1309
VILLA NUEVA (LOMA ALTA),estado nutricional,talla normal,2010-06-01,5,22,15,25,27,41,47,88,135
VILLA RIVERO,estado nutricional,talla normal,2010-06-01,56,41,39,41,51,27,146,109,255
VILLA SERRANO,estado nutricional,talla normal,2010-06-01,109,96,64,65,95,108,268,269,537
VILLA TUNARI,estado nutricional,talla normal,2010-06-01,548,564,402,398,520,390,1470,1352,2822
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,talla normal,2010-06-01,84,72,61,84,165,154,310,310,620
VILLAZON,estado nutricional,talla normal,2010-06-01,292,314,220,232,214,206,726,752,1478
VINTO,estado nutricional,talla normal,2010-06-01,265,272,201,183,110,90,576,545,1121
VITICHI,estado nutricional,talla normal,2010-06-01,71,71,53,62,96,103,220,236,456
WALDO BALLIVIAN,estado nutricional,talla normal,2010-06-01,7,14,12,11,4,7,23,32,55
WARNES,estado nutricional,talla normal,2010-06-01,231,202,169,145,183,171,583,518,1101
YACO,estado nutricional,talla normal,2010-06-01,60,51,37,39,58,59,155,149,304
YACUIBA,estado nutricional,talla normal,2010-06-01,608,474,409,324,292,276,1309,1074,2383
YAMPARAEZ,estado nutricional,talla normal,2010-06-01,43,56,26,38,110,113,179,207,386
YANACACHI,estado nutricional,talla normal,2010-06-01,43,30,23,27,20,33,86,90,176
YAPACANI,estado nutricional,talla normal,2010-06-01,428,383,251,229,235,184,914,796,1710
YOCALLA,estado nutricional,talla normal,2010-06-01,58,80,40,54,48,52,146,186,332
YOTALA,estado nutricional,talla normal,2010-06-01,62,59,48,68,101,114,211,241,452
YUNCHARA,estado nutricional,talla normal,2010-06-01,47,40,43,33,72,73,162,146,308
YUNGUYO DE LITORAL,estado nutricional,talla normal,2010-06-01,1,1,0,1,3,0,4,2,6
ZUDAÑEZ,estado nutricional,talla normal,2010-06-01,49,45,48,46,89,88,186,179,365
ACACIO,estado nutricional,talla normal,2010-07-01,37,49,18,29,39,43,94,121,215
ACHACACHI,estado nutricional,talla normal,2010-07-01,221,224,174,132,107,137,502,493,995
ACHOCALLA,estado nutricional,talla normal,2010-07-01,77,69,52,37,31,33,160,139,299
AIQUILE,estado nutricional,talla normal,2010-07-01,228,207,143,148,191,230,562,585,1147
ALALAY,estado nutricional,talla normal,2010-07-01,26,18,20,14,20,20,66,52,118
ALCALA,estado nutricional,talla normal,2010-07-01,23,17,17,20,42,50,82,87,169
ALTO BENI,estado nutricional,talla normal,2010-07-01,72,64,39,29,38,43,149,136,285
ANCORAIMES,estado nutricional,talla normal,2010-07-01,72,60,35,46,57,53,164,159,323
ANDAMARCA,estado nutricional,talla normal,2010-07-01,15,35,17,13,38,37,70,85,155
ANTEQUERA,estado nutricional,talla normal,2010-07-01,27,41,33,16,29,26,89,83,172
ANZALDO,estado nutricional,talla normal,2010-07-01,63,68,33,54,35,39,131,161,292
APOLO,estado nutricional,talla normal,2010-07-01,112,104,77,75,101,110,290,289,579
ARAMPAMPA,estado nutricional,talla normal,2010-07-01,20,24,21,15,39,37,80,76,156
ARANI,estado nutricional,talla normal,2010-07-01,109,108,106,65,55,60,270,233,503
ARBIETO,estado nutricional,talla normal,2010-07-01,118,93,81,94,108,104,307,291,598
ARQUE,estado nutricional,talla normal,2010-07-01,96,115,80,50,104,88,280,253,533
ASCENCION DE GUARAYOS,estado nutricional,talla normal,2010-07-01,49,42,11,13,13,19,73,74,147
ATOCHA,estado nutricional,talla normal,2010-07-01,53,58,81,73,52,45,186,176,362
AUCAPATA,estado nutricional,talla normal,2010-07-01,19,28,17,14,10,18,46,60,106
AYATA,estado nutricional,talla normal,2010-07-01,60,43,50,39,37,32,147,114,261
AYO AYO,estado nutricional,talla normal,2010-07-01,42,36,38,39,15,16,95,91,186
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,talla normal,2010-07-01,167,124,119,107,152,127,438,358,796
AZURDUY,estado nutricional,talla normal,2010-07-01,73,87,39,51,103,108,215,246,461
BATALLAS,estado nutricional,talla normal,2010-07-01,121,177,88,87,76,68,285,332,617
BAURES,estado nutricional,talla normal,2010-07-01,44,34,28,38,52,29,124,101,225
BELEN DE ANDAMARCA,estado nutricional,talla normal,2010-07-01,9,9,7,5,13,10,29,24,53
BELEN DE URMIRI,estado nutricional,talla normal,2010-07-01,5,11,15,15,6,2,26,28,54
BELLA FLOR,estado nutricional,talla normal,2010-07-01,17,18,11,16,18,20,46,54,100
BERMEJO,estado nutricional,talla normal,2010-07-01,277,269,222,213,155,176,654,658,1312
BETANZOS,estado nutricional,talla normal,2010-07-01,253,310,189,192,240,209,682,711,1393
BOLIVAR,estado nutricional,talla normal,2010-07-01,63,78,37,48,87,71,187,197,384
BOLPEBRA,estado nutricional,talla normal,2010-07-01,9,16,15,5,14,20,38,41,79
BOYUIBE,estado nutricional,talla normal,2010-07-01,25,23,17,22,41,40,83,85,168
BUENA VISTA,estado nutricional,talla normal,2010-07-01,113,84,58,65,97,89,268,238,506
CABEZAS,estado nutricional,talla normal,2010-07-01,145,122,106,74,120,102,371,298,669
CAIROMA,estado nutricional,talla normal,2010-07-01,54,68,52,41,48,54,154,163,317
"CAIZA ""D""",estado nutricional,talla normal,2010-07-01,87,66,47,46,46,58,180,170,350
CAJUATA,estado nutricional,talla normal,2010-07-01,59,49,54,48,58,53,171,150,321
CALACOTO,estado nutricional,talla normal,2010-07-01,37,33,24,26,41,29,102,88,190
CALAMARCA,estado nutricional,talla normal,2010-07-01,69,83,52,65,53,63,174,211,385
CAMARGO,estado nutricional,talla normal,2010-07-01,125,108,72,84,113,121,310,313,623
CAMATAQUI (C. VILLA ABECIA),estado nutricional,talla normal,2010-07-01,46,26,16,14,48,51,110,91,201
CAMIRI,estado nutricional,talla normal,2010-07-01,231,226,191,131,202,214,624,571,1195
CAPINOTA,estado nutricional,talla normal,2010-07-01,226,171,104,103,59,71,389,345,734
CAQUIAVIRI,estado nutricional,talla normal,2010-07-01,57,43,26,26,28,21,111,90,201
CARACOLLO,estado nutricional,talla normal,2010-07-01,152,166,112,147,87,85,351,398,749
CARANAVI,estado nutricional,talla normal,2010-07-01,418,367,254,249,211,203,883,819,1702
CARANGAS,estado nutricional,talla normal,2010-07-01,0,1,1,0,1,1,2,2,4
CARAPARI,estado nutricional,talla normal,2010-07-01,131,101,98,106,71,64,300,271,571
CARIPUYO,estado nutricional,talla normal,2010-07-01,62,51,27,34,55,58,144,143,287
CARMEN RIVERO TORREZ,estado nutricional,talla normal,2010-07-01,22,11,15,22,16,22,53,55,108
CATACORA,estado nutricional,talla normal,2010-07-01,2,2,2,0,4,3,8,5,13
CHACARILLA,estado nutricional,talla normal,2010-07-01,3,6,5,7,4,2,12,15,27
CHALLAPATA,estado nutricional,talla normal,2010-07-01,284,250,170,197,130,132,584,579,1163
CHAQUI,estado nutricional,talla normal,2010-07-01,46,51,41,45,35,32,122,128,250
CHARAGUA,estado nutricional,talla normal,2010-07-01,243,198,143,166,248,234,634,598,1232
CHARAÑA,estado nutricional,talla normal,2010-07-01,14,16,15,14,14,12,43,42,85
CHAYANTA,estado nutricional,talla normal,2010-07-01,75,86,52,52,50,56,177,194,371
CHIMORE,estado nutricional,talla normal,2010-07-01,135,77,187,53,84,85,406,215,621
CHIPAYA,estado nutricional,talla normal,2010-07-01,8,9,13,13,16,13,37,35,72
CHOQUE COTA,estado nutricional,talla normal,2010-07-01,10,14,6,6,8,4,24,24,48
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,talla normal,2010-07-01,99,90,65,59,56,50,220,199,419
CHUMA,estado nutricional,talla normal,2010-07-01,67,46,37,34,24,29,128,109,237
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,talla normal,2010-07-01,62,43,32,36,28,28,122,107,229
CKOCHAS,estado nutricional,talla normal,2010-07-01,99,82,73,83,77,88,249,253,502
CLIZA,estado nutricional,talla normal,2010-07-01,150,159,105,86,100,98,355,343,698
COBIJA,estado nutricional,talla normal,2010-07-01,473,429,280,283,209,218,962,930,1892
COCAPATA,estado nutricional,talla normal,2010-07-01,130,98,61,75,110,102,301,275,576
COCHABAMBA,estado nutricional,talla normal,2010-07-01,2963,2551,1833,1594,1135,1029,5931,5174,11105
COIPASA,estado nutricional,talla normal,2010-07-01,4,11,10,6,2,2,16,19,35
COLCAPIRHUA,estado nutricional,talla normal,2010-07-01,364,374,170,160,214,225,748,759,1507
"COLCHA ""K""",estado nutricional,talla normal,2010-07-01,50,53,26,41,46,29,122,123,245
COLLANA,estado nutricional,talla normal,2010-07-01,27,15,4,10,12,17,43,42,85
COLOMI,estado nutricional,talla normal,2010-07-01,174,189,99,100,64,66,337,355,692
COLPA BELGICA,estado nutricional,talla normal,2010-07-01,35,45,23,31,13,19,71,95,166
COLQUECHACA,estado nutricional,talla normal,2010-07-01,253,271,173,211,90,101,516,583,1099
COLQUENCHA,estado nutricional,talla normal,2010-07-01,55,44,49,47,44,52,148,143,291
COLQUIRI,estado nutricional,talla normal,2010-07-01,122,96,74,81,72,75,268,252,520
COMANCHE,estado nutricional,talla normal,2010-07-01,5,19,5,16,6,15,16,50,66
COMARAPA,estado nutricional,talla normal,2010-07-01,130,113,67,85,63,64,260,262,522
COMBAYA,estado nutricional,talla normal,2010-07-01,18,12,16,12,19,17,53,41,94
CONCEPCION,estado nutricional,talla normal,2010-07-01,88,91,40,62,59,49,187,202,389
COPACABANA,estado nutricional,talla normal,2010-07-01,67,85,40,39,42,45,149,169,318
CORIPATA,estado nutricional,talla normal,2010-07-01,108,107,63,85,104,74,275,266,541
CORO CORO,estado nutricional,talla normal,2010-07-01,55,53,44,46,39,44,138,143,281
COROICO,estado nutricional,talla normal,2010-07-01,127,107,81,84,79,82,287,273,560
CORQUE,estado nutricional,talla normal,2010-07-01,46,37,36,33,51,44,133,114,247
COTAGAITA,estado nutricional,talla normal,2010-07-01,145,161,124,125,163,171,432,457,889
COTOCA,estado nutricional,talla normal,2010-07-01,442,413,287,258,301,243,1030,914,1944
CUATRO CAÑADAS,estado nutricional,talla normal,2010-07-01,131,120,89,99,125,103,345,322,667
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,talla normal,2010-07-01,14,3,3,2,4,4,21,9,30
CUEVO,estado nutricional,talla normal,2010-07-01,38,33,35,26,62,62,135,121,256
CULPINA,estado nutricional,talla normal,2010-07-01,119,98,83,103,108,128,310,329,639
CURAHUARA DE CARANGAS,estado nutricional,talla normal,2010-07-01,41,41,38,28,31,11,110,80,190
CURVA,estado nutricional,talla normal,2010-07-01,21,14,6,5,8,9,35,28,63
DESAGUADERO,estado nutricional,talla normal,2010-07-01,23,21,11,12,16,9,50,42,92
EL ALTO,estado nutricional,talla normal,2010-07-01,5378,5180,3770,3528,2171,2017,11319,10725,22044
EL CHORO,estado nutricional,talla normal,2010-07-01,39,40,25,21,38,26,102,87,189
EL PUENTE(STC),estado nutricional,talla normal,2010-07-01,93,93,98,60,97,91,288,244,532
EL PUENTE(TJA),estado nutricional,talla normal,2010-07-01,88,76,50,68,73,85,211,229,440
EL TORNO,estado nutricional,talla normal,2010-07-01,309,294,190,172,171,152,670,618,1288
EL VILLAR,estado nutricional,talla normal,2010-07-01,32,28,21,26,64,54,117,108,225
ENTRE RIOS TRJ,estado nutricional,talla normal,2010-07-01,171,138,139,120,145,167,455,425,880
ENTRE RIOS CBBA,estado nutricional,talla normal,2010-07-01,272,250,177,141,158,186,607,577,1184
ESCARA,estado nutricional,talla normal,2010-07-01,3,2,1,2,1,0,5,4,9
ESCOMA,estado nutricional,talla normal,2010-07-01,21,21,13,16,22,13,56,50,106
ESMERALDA,estado nutricional,talla normal,2010-07-01,0,3,0,1,2,0,2,4,6
EUCALIPTUS,estado nutricional,talla normal,2010-07-01,52,62,31,38,31,23,114,123,237
EUREKA (SANTOS MERCADO),estado nutricional,talla normal,2010-07-01,7,10,3,4,5,11,15,25,40
EXALTACION,estado nutricional,talla normal,2010-07-01,5,11,11,7,3,4,19,22,41
FERNANDEZ ALONSO,estado nutricional,talla normal,2010-07-01,97,92,74,62,84,62,255,216,471
FILADELFIA,estado nutricional,talla normal,2010-07-01,23,22,19,5,25,22,67,49,116
GENERAL SAAVEDRA,estado nutricional,talla normal,2010-07-01,97,120,123,111,115,123,335,354,689
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,talla normal,2010-07-01,51,63,37,33,34,34,122,130,252
GUANAY,estado nutricional,talla normal,2010-07-01,114,130,78,91,73,100,265,321,586
GUAQUI,estado nutricional,talla normal,2010-07-01,46,47,29,36,13,13,88,96,184
GUAYARAMERIN,estado nutricional,talla normal,2010-07-01,276,274,136,134,148,159,560,567,1127
GUTIERREZ,estado nutricional,talla normal,2010-07-01,97,97,115,112,206,231,418,440,858
HUACARETA,estado nutricional,talla normal,2010-07-01,73,65,67,57,86,103,226,225,451
HUACAYA (VILLA DE HUACAYA),estado nutricional,talla normal,2010-07-01,21,14,12,12,41,50,74,76,150
HUACHACALLA,estado nutricional,talla normal,2010-07-01,3,4,4,3,8,7,15,14,29
HUANUNI,estado nutricional,talla normal,2010-07-01,165,192,75,89,79,57,319,338,657
HUARACAJE,estado nutricional,talla normal,2010-07-01,27,29,14,12,14,21,55,62,117
HUARINA,estado nutricional,talla normal,2010-07-01,17,22,19,19,6,9,42,50,92
HUAYLLAMARCA,estado nutricional,talla normal,2010-07-01,38,42,26,39,38,31,102,112,214
HUMANATA,estado nutricional,talla normal,2010-07-01,38,27,25,27,11,11,74,65,139
ICHOCA,estado nutricional,talla normal,2010-07-01,22,18,13,9,22,22,57,49,106
ICLA,estado nutricional,talla normal,2010-07-01,74,66,38,49,144,130,256,245,501
INCAHUASI,estado nutricional,talla normal,2010-07-01,138,110,72,58,64,88,274,256,530
INGAVI (HUMAITA),estado nutricional,talla normal,2010-07-01,15,10,6,10,18,11,39,31,70
INQUISIVI,estado nutricional,talla normal,2010-07-01,59,53,42,35,51,47,152,135,287
IRUPANA (VILLA DE LANZA),estado nutricional,talla normal,2010-07-01,94,90,90,80,112,119,296,289,585
IXIAMAS,estado nutricional,talla normal,2010-07-01,40,88,52,62,47,64,139,214,353
JESUS DE MACHACA,estado nutricional,talla normal,2010-07-01,76,82,45,51,49,65,170,198,368
LA ASUNTA,estado nutricional,talla normal,2010-07-01,340,253,180,151,151,148,671,552,1223
LA GUARDIA,estado nutricional,talla normal,2010-07-01,784,711,400,333,500,430,1684,1474,3158
LA PAZ,estado nutricional,talla normal,2010-07-01,4264,3777,2686,2487,2086,2073,9036,8337,17373
LA RIVERA,estado nutricional,talla normal,2010-07-01,1,1,1,1,4,1,6,3,9
LAGUNILLAS,estado nutricional,talla normal,2010-07-01,67,59,38,52,126,103,231,214,445
LAJA,estado nutricional,talla normal,2010-07-01,91,78,82,80,32,40,205,198,403
LAS CARRERAS,estado nutricional,talla normal,2010-07-01,32,32,16,31,58,67,106,130,236
LICOMA PAMPA,estado nutricional,talla normal,2010-07-01,20,17,14,18,8,16,42,51,93
LLALLAGUA,estado nutricional,talla normal,2010-07-01,263,235,161,171,135,120,559,526,1085
LLICA,estado nutricional,talla normal,2010-07-01,15,37,14,13,30,18,59,68,127
LORETO,estado nutricional,talla normal,2010-07-01,22,21,14,15,29,32,65,68,133
LURIBAY,estado nutricional,talla normal,2010-07-01,52,35,44,41,43,63,139,139,278
MACHACAMARCA,estado nutricional,talla normal,2010-07-01,50,43,42,45,30,36,122,124,246
MACHARETI,estado nutricional,talla normal,2010-07-01,48,51,59,48,150,118,257,217,474
MAGDALENA,estado nutricional,talla normal,2010-07-01,88,59,40,28,89,101,217,188,405
MAIRANA,estado nutricional,talla normal,2010-07-01,96,79,53,55,42,60,191,194,385
MALLA,estado nutricional,talla normal,2010-07-01,19,11,10,10,12,11,41,32,73
MAPIRI,estado nutricional,talla normal,2010-07-01,56,53,59,25,33,33,148,111,259
MECAPACA,estado nutricional,talla normal,2010-07-01,79,59,54,65,46,55,179,179,358
MINEROS,estado nutricional,talla normal,2010-07-01,195,161,127,124,114,130,436,415,851
MIZQUE,estado nutricional,talla normal,2010-07-01,178,185,123,127,166,156,467,468,935
MOCOMOCO,estado nutricional,talla normal,2010-07-01,64,76,58,64,51,63,173,203,376
MOJINETE,estado nutricional,talla normal,2010-07-01,5,3,2,3,1,3,8,9,17
MOJOCOYA,estado nutricional,talla normal,2010-07-01,52,46,44,47,85,102,181,195,376
MONTEAGUDO,estado nutricional,talla normal,2010-07-01,214,242,157,152,218,237,589,631,1220
MONTERO,estado nutricional,talla normal,2010-07-01,929,928,579,570,566,542,2074,2040,4114
MORO MORO,estado nutricional,talla normal,2010-07-01,17,14,6,17,13,12,36,43,79
MOROCHATA,estado nutricional,talla normal,2010-07-01,101,88,76,66,69,109,246,263,509
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,talla normal,2010-07-01,17,18,10,6,17,7,44,31,75
NAZACARA DE PACAJES,estado nutricional,talla normal,2010-07-01,4,2,2,1,1,2,7,5,12
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,talla normal,2010-07-01,22,8,12,11,26,23,60,42,102
OCURI,estado nutricional,talla normal,2010-07-01,154,134,92,95,73,66,319,295,614
OKINAWA,estado nutricional,talla normal,2010-07-01,106,97,61,61,85,108,252,266,518
OMEREQUE,estado nutricional,talla normal,2010-07-01,68,38,27,30,28,44,123,112,235
ORURO,estado nutricional,talla normal,2010-07-01,1638,1710,1195,1254,677,698,3510,3662,7172
PADCAYA,estado nutricional,talla normal,2010-07-01,194,156,130,121,177,191,501,468,969
PADILLA,estado nutricional,talla normal,2010-07-01,78,80,73,54,142,163,293,297,590
PAILON,estado nutricional,talla normal,2010-07-01,181,124,107,89,156,123,444,336,780
PALCA,estado nutricional,talla normal,2010-07-01,65,52,28,39,32,37,125,128,253
PALOS BLANCOS,estado nutricional,talla normal,2010-07-01,241,216,149,172,194,185,584,573,1157
PAMPA AULLAGAS,estado nutricional,talla normal,2010-07-01,15,15,5,10,7,5,27,30,57
PAMPA GRANDE,estado nutricional,talla normal,2010-07-01,62,38,26,30,22,28,110,96,206
PAPEL PAMPA,estado nutricional,talla normal,2010-07-01,23,24,17,19,6,17,46,60,106
PASORAPA,estado nutricional,talla normal,2010-07-01,29,16,17,12,58,30,104,58,162
PATACAMAYA,estado nutricional,talla normal,2010-07-01,169,154,124,127,41,36,334,317,651
PAZÑA,estado nutricional,talla normal,2010-07-01,66,40,36,42,71,74,173,156,329
PELECHUCO,estado nutricional,talla normal,2010-07-01,31,38,21,13,27,26,79,77,156
POCOATA,estado nutricional,talla normal,2010-07-01,129,134,103,123,80,79,312,336,648
POCONA,estado nutricional,talla normal,2010-07-01,83,75,76,64,82,55,241,194,435
POJO (CBBA),estado nutricional,talla normal,2010-07-01,116,118,73,84,112,101,301,303,604
POOPO,estado nutricional,talla normal,2010-07-01,34,40,47,34,20,35,101,109,210
PORCO,estado nutricional,talla normal,2010-07-01,81,70,34,31,22,34,137,135,272
POROMA,estado nutricional,talla normal,2010-07-01,147,123,86,113,164,153,397,389,786
PORONGO,estado nutricional,talla normal,2010-07-01,74,66,50,44,59,64,183,174,357
PORTACHUELO,estado nutricional,talla normal,2010-07-01,110,79,54,73,92,84,256,236,492
PORVENIR,estado nutricional,talla normal,2010-07-01,47,66,40,34,80,69,167,169,336
POSTRER VALLE,estado nutricional,talla normal,2010-07-01,7,7,8,8,10,13,25,28,53
POTOSI,estado nutricional,talla normal,2010-07-01,896,875,524,515,279,310,1699,1700,3399
PRESTO,estado nutricional,talla normal,2010-07-01,77,69,59,47,82,92,218,208,426
PUCARA,estado nutricional,talla normal,2010-07-01,11,9,6,7,8,9,25,25,50
PUCARANI,estado nutricional,talla normal,2010-07-01,253,236,157,175,103,116,513,527,1040
PUERTO ACOSTA,estado nutricional,talla normal,2010-07-01,53,50,29,30,33,36,115,116,231
PUERTO CARABUCO,estado nutricional,talla normal,2010-07-01,111,75,59,57,58,43,228,175,403
PUERTO GONZALO MORENO,estado nutricional,talla normal,2010-07-01,52,43,28,30,68,67,148,140,288
PUERTO PEREZ,estado nutricional,talla normal,2010-07-01,25,39,31,39,19,19,75,97,172
PUERTO QUIJARRO,estado nutricional,talla normal,2010-07-01,124,115,69,62,24,24,217,201,418
PUERTO RICO,estado nutricional,talla normal,2010-07-01,49,45,28,26,44,33,121,104,225
PUERTO SILES,estado nutricional,talla normal,2010-07-01,11,17,9,10,17,12,37,39,76
PUERTO SUAREZ,estado nutricional,talla normal,2010-07-01,100,127,45,46,17,28,162,201,363
PUERTO VILLARROEL,estado nutricional,talla normal,2010-07-01,521,565,343,293,286,225,1150,1083,2233
PUNA,estado nutricional,talla normal,2010-07-01,158,170,106,139,165,142,429,451,880
PUNATA,estado nutricional,talla normal,2010-07-01,281,280,170,159,119,105,570,544,1114
QUIABAYA,estado nutricional,talla normal,2010-07-01,22,11,14,9,13,10,49,30,79
QUILLACOLLO,estado nutricional,talla normal,2010-07-01,441,392,204,194,177,151,822,737,1559
QUIME,estado nutricional,talla normal,2010-07-01,65,51,43,38,34,35,142,124,266
QUIRUSILLAS,estado nutricional,talla normal,2010-07-01,12,3,10,11,11,12,33,26,59
RAVELO,estado nutricional,talla normal,2010-07-01,96,118,67,64,111,107,274,289,563
REYES,estado nutricional,talla normal,2010-07-01,71,95,46,56,47,59,164,210,374
RIBERALTA,estado nutricional,talla normal,2010-07-01,1076,1006,676,658,507,508,2259,2172,4431
ROBORE,estado nutricional,talla normal,2010-07-01,95,99,116,90,78,77,289,266,555
RURRENABAQUE,estado nutricional,talla normal,2010-07-01,97,120,64,69,53,47,214,236,450
SABAYA,estado nutricional,talla normal,2010-07-01,15,10,9,14,15,10,39,34,73
SACABA,estado nutricional,talla normal,2010-07-01,1192,1046,705,676,474,490,2371,2212,4583
SACABAMBA,estado nutricional,talla normal,2010-07-01,29,29,14,24,31,38,74,91,165
SACACA,estado nutricional,talla normal,2010-07-01,105,123,62,91,60,70,227,284,511
SAIPINA,estado nutricional,talla normal,2010-07-01,49,42,24,25,19,31,92,98,190
SALINAS DE GARCI MENDOZA,estado nutricional,talla normal,2010-07-01,80,81,78,75,86,86,244,242,486
SAMAIPATA,estado nutricional,talla normal,2010-07-01,54,50,41,31,49,42,144,123,267
SAN AGUSTIN,estado nutricional,talla normal,2010-07-01,9,5,6,11,6,12,21,28,49
SAN ANDRES,estado nutricional,talla normal,2010-07-01,76,67,38,63,82,74,196,204,400
SAN ANDRES DE MACHACA,estado nutricional,talla normal,2010-07-01,17,17,11,20,9,17,37,54,91
SAN ANTONIO DE ESMORUCO,estado nutricional,talla normal,2010-07-01,2,9,6,8,9,6,17,23,40
