,group,variable,month,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,DIARREAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,5,2,5,7
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,2,2,2,2,4
TORO TORO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,1,0,1,1
TOTORA(CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,1,1,1,1,2
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,81,55,81,55,136
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,6,0,6,0,6
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,1,0,1,1
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,4,4,4,4,8
VILLA SERRANO,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,3,0,3,3
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,21,17,21,17,38
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,9,5,9,5,14
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,6,2,6,2,8
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,14,14,14,14,28
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,33,11,33,11,44
ZUDAÑEZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-06-01,0,2,0,2,2
ACHACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,11,5,11,5,16
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,0,4,0,4,4
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,1,2,1,3
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,5,3,5,8
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,0,2,0,2
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,25,24,25,24,49
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,3,3,3,6
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,9,6,9,6,15
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,0,3,0,3,3
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,6,3,6,9
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,6,4,6,4,10
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,3,1,3,4
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,2,3,2,5
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,2,1,2,3
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,4,6,4,6,10
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,35,19,35,19,54
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,6,6,6,6,12
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,4,2,4,2,6
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,1,1,1,2
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,2,2,2,4
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,0,2,0,2,2
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,52,50,52,50,102
EL PUENTE(TJA),diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,3,2,3,5
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,2,2,2,4
ENTRE RIOS TRJ,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
ESCOMA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,32,14,32,14,46
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,6,4,6,4,10
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,15,14,15,14,29
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,2,3,2,5
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,8,4,8,4,12
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,0,1,0,1,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,3,3,3,6
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,10,11,10,11,21
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,54,67,54,67,121
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,6,5,6,5,11
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
MOJOCOYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,1,1,1,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,6,4,6,4,10
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,76,55,76,55,131
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,14,12,14,12,26
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,8,6,8,6,14
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,0,2,0,2
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,1,2,1,3
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,17,14,17,14,31
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,12,12,12,12,24
PRESTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,0,1,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,4,1,4,1,5
PUNA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,0,2,0,2,2
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,10,9,10,9,19
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,1,2,1,3
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,11,7,11,7,18
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,1,2,1,3
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,5,6,5,6,11
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,3,2,3,5
SAN ANDRES,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,1,3,1,4
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,12,11,12,11,23
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,1,3,1,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,5,6,5,6,11
SAN JAVIER(STC),diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,5,3,5,8
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,20,17,20,17,37
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,5,1,5,1,6
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,8,8,8,8,16
SAN PEDRO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,11,2,11,2,13
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,27,33,27,33,60
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,0,2,0,2,2
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,4,1,4,1,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,209,128,209,128,337
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,1,3,1,4
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,2,2,2,4
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,1,1,1,2
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,38,20,38,20,58
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,1,2,1,3
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,14,9,14,9,23
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,4,6,4,6,10
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,1,1,1,2
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,4,6,4,6,10
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,1,1,1,2
TOTORA(CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,64,52,64,52,116
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,5,2,5,2,7
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,0,2,0,2,2
VILA VILA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,1,0,1,0,1
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,3,1,3,1,4
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,12,7,12,7,19
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,14,8,14,8,22
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,10,7,10,7,17
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,24,23,24,23,47
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,25,20,25,20,45
ZUDAÑEZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-07-01,2,5,2,5,7
ACHACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,1,0,1,1
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,1,2,1,3
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,10,8,10,8,18
BELLA FLOR,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,4,0,4,4
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,35,19,35,19,54
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,3,1,3,4
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,1,0,1,1
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,12,4,12,4,16
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,1,3,1,4
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,7,5,7,5,12
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,0,2,0,2
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,1,3,1,4
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,7,6,7,6,13
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,40,26,40,26,66
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,4,2,4,6
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,2,1,2,3
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,4,5,4,5,9
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,56,56,56,56,112
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,3,3,3,6
ENTRE RIOS TRJ,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
ENTRE RIOS CBBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
ESCOMA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,2,1,2,3
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,20,18,20,18,38
GENERAL SAAVEDRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,8,7,8,7,15
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,3,1,3,4
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,17,10,17,10,27
GUTIERREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,1,1,1,2
HUACARETA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,15,12,15,12,27
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,4,1,4,1,5
IRUPANA (VILLA DE LANZA),diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,10,6,10,6,16
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,43,50,43,50,93
LAGUNILLAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,7,3,7,3,10
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,6,4,6,4,10
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,74,45,74,45,119
OKINAWA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,4,3,4,7
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,4,3,4,7
PADCAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,1,2,1,3
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,16,14,16,14,30
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,10,7,10,7,17
PUERTO GONZALO MORENO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,1,0,1,1
PUERTO QUIJARRO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,10,7,10,7,17
PUERTO SILES,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,5,2,5,2,7
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,1,1,1,2
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,3,3,3,6
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,8,2,8,2,10
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,10,3,10,3,13
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,4,2,4,2,6
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,12,10,12,10,22
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,1,1,1,2
SAN ANTONIO DE LOMERIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,1,0,1,1
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,6,5,6,5,11
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,7,4,7,4,11
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,5,3,5,8
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,14,11,14,11,25
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,5,0,5,5
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,1,3,1,4
SAN JUAN DE YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,8,5,8,5,13
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,34,18,34,18,52
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,16,9,16,9,25
SAN RAMON BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,27,36,27,36,63
SAN RAMON SCZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,3,1,3,4
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,7,0,7,0,7
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,211,147,211,147,358
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,0,2,0,2
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
SHINAOTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,6,1,6,7
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,23,10,23,10,33
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,0,2,0,2
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,12,5,12,5,17
TARVITA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,10,15,10,15,25
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,3,3,3,3,6
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,0,2,0,2
TOTORA(CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,106,81,106,81,187
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,1,0,1,0,1
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,1,0,1,1
VIACHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,0,1,0,1,1
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,5,5,5,5,10
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,13,9,13,9,22
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,1,2,1,3
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,12,7,12,7,19
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,8,5,8,5,13
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,42,37,42,37,79
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,38,27,38,27,65
YUNCHARA,diagnostico de egreso,diarreas en menores de 5 anos,2010-08-01,2,0,2,0,2
ACHACACHI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,1,1,1,2
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,0,2,0,2
ALTO BENI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,0,2,0,2
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,2,0,2,2
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,1,2,1,3
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,4,3,4,3,7
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,20,27,20,27,47
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,1,0,1,1
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,2,0,2,2
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,1,2,1,3
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,5,4,5,4,9
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,2,0,2,2
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,5,1,5,1,6
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,3,1,3,4
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,1,2,1,3
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,5,8,5,8,13
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,42,21,42,21,63
COLCAPIRHUA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,1,0,1,1
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,1,1,1,2
COROICO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,3,2,3,5
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,2,1,2,3
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,23,21,23,21,44
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,0,2,0,2
ENTRE RIOS CBBA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
EXALTACION,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,1,1,1,2
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,27,25,27,25,52
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,16,12,16,12,28
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,3,1,3,4
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,8,4,8,4,12
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,38,36,38,36,74
MACHARETI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,1,0,1,1
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,4,4,4,4,8
MOJOCOYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,0,2,0,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,3,11,3,11,14
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,55,44,55,44,99
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,10,16,10,16,26
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,14,10,14,10,24
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,7,3,7,3,10
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,4,0,4,0,4
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,4,1,4,1,5
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,5,4,5,4,9
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,4,2,4,6
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,1,1,1,2
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,5,11,5,11,16
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,3,2,3,2,5
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,7,5,7,5,12
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,3,2,3,5
SAN ANTONIO DE LOMERIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,4,7,4,7,11
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,6,4,6,4,10
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,10,9,10,9,19
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,11,2,11,2,13
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
SAN JUAN DE YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,1,0,1,0,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,20,10,20,10,30
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,8,10,8,10,18
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2010-09-01,0,1,0,1,1
