,group,variable,month,OTROS EN MENORES DE 5 AÑOS CANTIDAD,OTROS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,10,6,10,6,16
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,228,227,228,227,455
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,5,3,5,3,8
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,0,1,0,1
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,4,0,4,4
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,3,2,3,2,5
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,89,88,89,88,177
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,2,2,2,2,4
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,1,1,1,2
ESCOMA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,0,1,0,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,42,100,42,100,142
GUANAY,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,2,1,2,3
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,25,13,25,13,38
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,5,3,5,3,8
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,346,367,346,367,713
LAGUNILLAS,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,0,1,0,1
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,18,19,18,19,37
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,4,1,4,1,5
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,0,1,0,1
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,1,1,1,2
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,22,13,22,13,35
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,123,94,123,94,217
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,16,13,16,13,29
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,3,4,3,4,7
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,80,82,80,82,162
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,45,37,45,37,82
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,2,1,2,3
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,7,8,7,8,15
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,16,14,16,14,30
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,4,5,4,5,9
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,16,13,16,13,29
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,0,1,0,1
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,14,13,14,13,27
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,23,29,23,29,52
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,3,1,3,1,4
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,7,6,7,6,13
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,4,4,4,4,8
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,44,43,44,43,87
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,2,0,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,8,6,8,6,14
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,3,4,3,4,7
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,1,1,1,2
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,7,6,7,6,13
SAN RAMON SCZ,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,1,0,1,1
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,2,5,2,5,7
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,446,243,446,243,689
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,8,2,8,2,10
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,1,0,1,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,103,70,103,70,173
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,2,1,2,3
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,29,29,29,29,58
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,17,6,17,6,23
TIPUANI,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,0,1,0,1
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,3,11,3,11,14
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,1,0,1,1
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,120,92,120,92,212
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,24,10,24,10,34
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,2,0,2,2
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,2,4,2,4,6
VIACHA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,0,3,0,3,3
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,9,9,9,9,18
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,13,8,13,8,21
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,20,29,20,29,49
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,13,6,13,6,19
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,109,77,109,77,186
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,1,3,1,3,4
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-08-01,3,0,3,0,3
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,8,9,8,9,17
ALTO BENI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,3,0,3,0,3
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,16,14,16,14,30
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,0,2,0,2,2
AZURDUY,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,21,14,21,14,35
BAURES,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,280,252,280,252,532
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,4,0,4,0,4
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,27,15,27,15,42
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,4,5,4,5,9
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,4,2,4,6
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,2,2,2,4
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,1,1,1,2
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,16,11,16,11,27
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,247,165,247,165,412
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,6,3,6,3,9
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,1,1,1,2
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,2,1,2,3
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,7,3,7,3,10
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,2,1,2,3
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,3,1,3,4
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,107,125,107,125,232
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,0,2,0,2
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,0,1,0,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,22,28,22,28,50
GUANAY,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,3,1,3,4
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,26,19,26,19,45
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,1,1,1,2
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,5,1,5,6
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,0,2,0,2,2
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,399,434,399,434,833
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,19,12,19,12,31
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,3,3,3,3,6
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,1,2,1,3
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,24,21,24,21,45
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,81,78,81,78,159
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,29,20,29,20,49
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,4,4,4,4,8
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,103,90,103,90,193
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,51,32,51,32,83
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,2,2,2,4
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,6,8,6,8,14
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,12,17,12,17,29
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,3,2,3,5
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,15,8,15,8,23
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,1,2,1,3
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,6,9,6,9,15
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,18,22,18,22,40
SACACA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,7,5,7,5,12
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,4,1,4,1,5
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,46,26,46,26,72
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,3,2,3,5
SAN JUAN DE YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,18,15,18,15,33
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,9,10,9,10,19
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,3,0,3,0,3
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,4,1,4,1,5
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,5,0,5,0,5
SAN RAFAEL,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,1,0,1,0,1
SAN RAMON BENI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,0,1,0,1,1
SAN RAMON SCZ,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,0,1,0,1,1
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,576,340,576,340,916
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,6,5,6,5,11
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,6,0,6,0,6
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,108,81,108,81,189
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,3,3,3,3,6
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,71,49,71,49,120
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,13,0,13,0,13
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,134,76,134,76,210
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,50,23,50,23,73
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,3,1,3,1,4
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,3,4,3,4,7
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,6,3,6,3,9
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,9,10,9,10,19
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,18,19,18,19,37
VINTO,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,7,0,7,0,7
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,8,6,8,6,14
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,95,141,95,141,236
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,5,3,5,3,8
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-09-01,6,4,6,4,10
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,3,4,3,4,7
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,25,15,25,15,40
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,2,1,2,1,3
AZURDUY,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,5,6,5,6,11
BAURES,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,2,1,2,3
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,207,203,207,203,410
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,2,1,2,3
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,12,10,12,10,22
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,29,21,29,21,50
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,4,8,4,8,12
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,2,2,2,2,4
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,4,2,4,2,6
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-10-01,4,0,4,0,4
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,16,12,16,12,28
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,267,244,267,244,511
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,7,6,7,6,13
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,0,1,0,1
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,8,5,8,5,13
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,104,138,104,138,242
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,0,1,0,1,1
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,3,1,3,4
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,55,61,55,61,116
GUANAY,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,2,1,2,3
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,21,21,21,21,42
HUACARETA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,0,1,0,1,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,2,3,2,3,5
IRUPANA (VILLA DE LANZA),diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,0,1,0,1
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,0,2,0,2,2
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,3,1,3,4
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,439,489,439,489,928
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,11,14,11,14,25
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,4,4,4,4,8
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,0,1,0,1,1
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,13,5,13,5,18
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,67,45,67,45,112
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,31,20,31,20,51
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,5,6,5,6,11
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,107,73,107,73,180
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,62,46,62,46,108
PUERTO GONZALO MORENO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,1,1,1,2
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,4,1,4,5
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,8,12,8,12,20
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,16,15,16,15,31
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,8,3,8,3,11
REYES,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,3,1,3,4
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,14,15,14,15,29
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,0,1,0,1
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,8,7,8,7,15
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,82,86,82,86,168
SACACA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,0,1,0,1,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,4,4,4,4,8
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,2,6,2,6,8
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,23,24,23,24,47
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,5,4,5,4,9
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,18,21,18,21,39
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,1,1,1,2
SAN RAMON BENI,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,1,1,1,2
SAN RAMON SCZ,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,1,1,1,2
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,618,224,618,224,842
SHINAOTA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,5,9,5,9,14
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,3,2,3,2,5
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,165,135,165,135,300
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,7,2,7,2,9
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,64,56,64,56,120
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,1,1,1,1,2
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,5,13,5,13,18
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,93,55,93,55,148
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,42,38,42,38,80
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,5,0,5,0,5
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,9,6,9,6,15
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,15,14,15,14,29
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,otros en menores de 5 anos,2010-10-01,0,1,0,1,1
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,26,21,26,21,47
VINTO,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,5,1,5,1,6
WARNES,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,3,6,3,6,9
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,140,130,140,130,270
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,4,5,4,5,9
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2010-10-01,6,11,6,11,17
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,2,2,2,4
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,19,16,19,16,35
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
AZURDUY,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,12,8,12,8,20
BAURES,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,0,1,0,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,260,268,260,268,528
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,2,1,2,3
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,8,16,8,16,24
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,19,26,19,26,45
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,16,6,16,6,22
CARAPARI,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,0,1,0,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,10,7,10,7,17
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,25,0,25,0,25
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,6,8,6,8,14
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,3,3,3,6
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,3,1,3,4
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,48,25,48,25,73
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,272,228,272,228,500
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,6,3,6,9
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,0,2,0,2
COROICO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,4,7,4,7,11
CULPINA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,4,3,4,7
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,97,49,97,49,146
EL PUENTE(TJA),diagnostico de egreso,otros en menores de 5 anos,2010-11-01,8,7,8,7,15
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,3,1,3,4
ENTRE RIOS TRJ,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,1,3,1,4
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,41,37,41,37,78
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,22,16,22,16,38
GUTIERREZ,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,1,3,1,4
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,2,2,2,4
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,0,2,0,2
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,351,407,351,407,758
LAGUNILLAS,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,0,2,0,2
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,15,21,15,21,36
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,3,3,3,3,6
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,3,1,3,4
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,33,28,33,28,61
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,95,84,95,84,179
ORURO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,7,4,7,4,11
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,4,5,4,5,9
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,2,1,2,3
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,73,81,73,81,154
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,54,34,54,34,88
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,0,1,0,1,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,10,11,10,11,21
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,14,18,14,18,32
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,11,5,11,5,16
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,21,11,21,11,32
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,1,1,1,2
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,12,10,12,10,22
SACABA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,26,28,26,28,54
SACACA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,1,0,1,0,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,1,2,1,3
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,7,1,7,1,8
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2010-11-01,2,1,2,1,3
