,group,variable,month,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,NEUMONÍAS EN MENORES DE 5 AÑOS CANTIDAD,TOTALES,TOTALES,TOTALES
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,8,3,8,3,11
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,6,6,6,6,12
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,0,1,0,1,1
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,3,1,3,4
VIACHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,2,2,2,2,4
VILA VILA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,0,1,0,1
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,4,2,4,2,6
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,4,5,4,5,9
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,1,4,1,4,5
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,8,9,8,9,17
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,15,15,15,15,30
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-07-01,55,35,55,35,90
ACHACACHI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,0,2,0,2
AIQUILE,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,2,1,2,3
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,4,3,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
BAURES,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
BELLA FLOR,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,29,13,29,13,42
BOYUIBE,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,1,1,1,2
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,0,2,0,2
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,7,3,7,3,10
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,9,6,9,6,15
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,3,0,3,3
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,7,10,7,10,17
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,34,32,34,32,66
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,1,2,1,3
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,2,1,2,3
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,11,11,11,11,22
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,1,1,1,2
EXALTACION,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
GENERAL SAAVEDRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,2,0,2,2
GUANAY,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,12,8,12,8,20
GUTIERREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
HUACARETA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,3,3,3,3,6
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,2,2,2,4
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,2,2,2,4
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,18,23,18,23,41
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,4,8,4,8,12
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,2,1,2,3
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,2,0,2,2
MIZQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,3,3,3,3,6
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,36,18,36,18,54
OKINAWA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,1,2,1,3
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,4,4,4,4,8
PADCAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,1,1,1,2
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,1,1,1,2
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,1,1,1,2
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,13,9,13,9,22
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,5,6,5,6,11
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,2,1,2,3
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,4,1,4,1,5
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,2,2,2,4
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,3,3,3,3,6
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,7,8,7,8,15
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,20,12,20,12,32
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,3,5,3,5,8
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,3,1,3,4
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,0,2,0,2
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,2,2,2,4
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,4,6,4,6,10
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,17,10,17,10,27
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,2,1,2,3
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,5,1,5,1,6
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,1,2,1,3
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,6,1,6,1,7
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,10,0,10,0,10
SAN RAMON BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,3,6,3,6,9
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,1,1,1,2
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,61,59,61,59,120
SANTA ROSA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,2,0,2,2
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,5,2,5,2,7
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,26,20,26,20,46
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,20,9,20,9,29
TARVITA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,15,21,15,21,36
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,18,6,18,6,24
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,5,4,5,4,9
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,1,1,1,2
VIACHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,3,0,3,0,3
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,7,7,7,7,14
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
VITICHI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,0,1,0,1,1
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,10,1,10,1,11
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,30,18,30,18,48
YANACACHI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,1,0,1,0,1
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-08-01,62,45,62,45,107
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,2,1,2,3
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,7,2,7,2,9
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,1,0,1,1
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,11,7,11,7,18
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,0,3,0,3
BOYUIBE,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,0,3,0,3
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,7,3,7,3,10
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,2,2,2,4
CARMEN RIVERO TORREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,19,0,19,0,19
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,1,3,1,4
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,4,2,4,2,6
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,12,6,12,6,18
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,49,47,49,47,96
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,0,2,0,2
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,5,2,5,7
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,7,0,7,0,7
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,0,2,0,2
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,13,14,13,14,27
GUANAY,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,1,1,1,2
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,1,3,1,4
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,4,0,4,4
IRUPANA (VILLA DE LANZA),diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,1,0,1,1
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,1,0,1,1
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,3,3,3,6
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,25,29,25,29,54
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,1,3,1,4
MACHARETI,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,1,0,1,1
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,1,1,1,2
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,1,0,1,1
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,7,3,7,3,10
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,22,18,22,18,40
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,11,9,11,9,20
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
PALOS BLANCOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,1,0,1,1
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,1,1,1,2
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,3,1,3,4
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,6,5,6,5,11
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,3,3,3,6
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,5,3,5,8
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,0,2,0,2
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,2,2,2,4
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,22,5,22,5,27
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,4,3,4,3,7
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,4,3,4,3,7
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,2,0,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,24,10,24,10,34
SAN JOSE DE CHIQUITOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,0,2,0,2
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,6,9,6,9,15
SAN LUCAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,3,1,3,1,4
SAN MATIAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,5,1,5,1,6
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,1,1,1,2
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,3,2,3,5
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,4,2,4,2,6
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,202,136,202,136,338
SANTA ROSA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,0,1,0,1,1
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,12,8,12,8,20
SOPACHUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,42,39,42,39,81
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,8,11,8,11,19
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,6,1,6,7
TOMINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,9,4,9,4,13
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,13,11,13,11,24
VALLEGRANDE,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,2,2,2,4
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,5,4,5,4,9
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,11,2,11,2,13
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,1,0,1,0,1
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,2,0,2,0,2
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,5,4,5,4,9
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,9,20,9,20,29
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-09-01,5,3,5,3,8
ACHACACHI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,1,0,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,7,2,7,2,9
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,6,4,6,4,10
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,1,1,1,2
AZURDUY,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,6,11,6,11,17
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,17,5,17,5,22
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,3,0,3,0,3
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
CAMARGO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,16,16,16,16,32
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,14,8,14,8,22
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,5,3,5,3,8
CARMEN RIVERO TORREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,12,18,12,18,30
CHALLAPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,1,1,1,2
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,6,3,6,3,9
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,6,2,6,2,8
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,45,46,45,46,91
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,2,2,2,4
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,2,0,2,2
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,23,15,23,15,38
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,1,1,1,2
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,10,6,10,6,16
HUANUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,4,0,4,4
LA ASUNTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,0,2,0,2
LA GUARDIA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,3,5,3,5,8
LA PAZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,28,20,28,20,48
LLALLAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,6,0,6,6
MACHARETI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
MAGDALENA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,1,0,1,1
MAIRANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,2,0,2,2
MONTEAGUDO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,2,1,2,3
MONTERO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,29,24,29,24,53
ORURO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,10,6,10,6,16
PADILLA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,3,2,3,2,5
PATACAMAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
POROMA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
PORTACHUELO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,5,0,5,0,5
POTOSI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,11,6,11,6,17
PUERTO GONZALO MORENO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
PUERTO SILES,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,1,0,1,1
PUERTO SUAREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,2,1,2,3
PUERTO VILLARROEL,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,5,4,5,4,9
PUNATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,5,2,5,7
QUILLACOLLO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,3,0,3,3
REYES,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,2,2,2,4
RIBERALTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,25,18,25,18,43
ROBORE,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,1,2,1,3
RURRENABAQUE,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,2,0,2,2
SACABA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,11,8,11,8,19
SACABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
SAMAIPATA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,3,2,3,5
SAN BORJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
SAN CARLOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,4,6,4,6,10
SAN IGNACIO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,19,15,19,15,34
SAN JULIAN,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,19,6,19,6,25
SAN MIGUEL DE VELASCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,1,2,1,3
SAN RAMON SCZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,1,1,1,2
SANTA ANA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,3,2,3,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,77,39,77,39,116
SHINAOTA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,13,5,13,5,18
SUCRE,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,34,40,34,40,74
TACOPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,1,0,1,1
TARABUCO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,6,0,6,0,6
TARIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,12,5,12,5,17
TINGUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,2,0,2,2
TIQUIPAYA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,2,2,2,2,4
TRINIDAD,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,8,7,8,7,15
TUPIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,23,12,23,12,35
UYUNI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,3,1,3,1,4
VILLA MONTES,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,5,3,5,3,8
VILLA TUNARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,9,9,9,9,18
VILLAZON,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,0,1,0,1
VINTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,0,1,0,1,1
WARNES,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,1,1,1,1,2
YACUIBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,33,24,33,24,57
YAPACANI,diagnostico de egreso,neumonias en menores de 5 anos,2010-10-01,5,7,5,7,12
ACHACACHI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
ALTO BENI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,4,2,4,6
ATOCHA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,4,3,4,3,7
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
BERMEJO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,10,13,10,13,23
BETANZOS,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,1,1,1,2
CABEZAS,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,3,0,3,3
CAMIRI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,8,9,8,9,17
CARANAVI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,4,2,4,6
CARAPARI,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,15,5,15,5,20
CHARAGUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,3,8,3,8,11
CLIZA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,1,1,1,2
COBIJA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,6,0,6,0,6
COCHABAMBA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,50,37,50,37,87
COLCAPIRHUA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
COMARAPA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
CONCEPCION,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
COROICO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,1,0,1,0,1
COTOCA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,2,0,2,0,2
CULPINA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,3,0,3,0,3
EL ALTO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,11,10,11,10,21
EL PUENTE(TJA),diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,11,12,11,12,23
EL TORNO,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,3,1,3,1,4
GENERAL SAAVEDRA,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,1,0,1,1
GUANAY,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,0,2,0,2,2
GUAYARAMERIN,diagnostico de egreso,neumonias en menores de 5 anos,2010-11-01,6,4,6,4,10
