,group,variable,month,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,L 2111 ANTIRRÁBICA EN PERROS Y GATOS CANTIDAD,TOTALES,TOTALES,TOTALES
MACHARETI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,615,0,615,615
MECAPACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,10,15,10,15,25
MIZQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,19,767,19,767,786
MOCOMOCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,213,0,213,213
MOJOCOYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,58,238,58,238,296
MONTEAGUDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,321,1390,321,1390,1711
MONTERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,39,286,39,286,325
MORO MORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,183,0,183,183
MOROCHATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,5,845,5,845,850
OCURI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,115,858,115,858,973
OMEREQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,2,223,2,223,225
ORURO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,391,0,391,0,391
PADCAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,50,1912,50,1912,1962
PADILLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,1849,341,1849,341,2190
PAILON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,130,0,130,130
PALCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,240,0,240,240
PALOS BLANCOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,312,0,312,312
PAMPA AULLAGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,4,19,4,19,23
PAMPA GRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,308,546,308,546,854
PAPEL PAMPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,15,0,15,15
PASORAPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,72,190,72,190,262
PATACAMAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,12,269,12,269,281
PAZÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,10,0,10,0,10
PELECHUCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,236,0,236,236
POCOATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,3588,0,3588,3588
POCONA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,24,334,24,334,358
POJO (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,10,127,10,127,137
POOPO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,105,424,105,424,529
PORCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,20,0,20,20
POROMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,60,330,60,330,390
PORONGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,477,0,477,477
POSTRER VALLE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,245,110,245,110,355
POTOSI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,150,1173,150,1173,1323
PRESTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,40,0,40,40
PUCARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,167,0,167,0,167
PUCARANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,91,0,91,91
PUERTO ACOSTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,253,0,253,253
PUERTO CARABUCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,387,0,387,387
PUERTO VILLARROEL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,12,100,12,100,112
PUNA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,55,193,55,193,248
PUNATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,47,5,47,5,52
QUIABAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,65,0,65,65
QUILLACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,21,2754,21,2754,2775
QUIME,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,58,0,58,58
QUIRUSILLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,14,0,14,14
RAVELO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,2545,0,2545,2545
ROBORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,227,0,227,227
RURRENABAQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,34,0,34,0,34
SABAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,135,0,135,135
SACABA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,162,3320,162,3320,3482
SACABAMBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,40,0,40,40
SACACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,2,381,2,381,383
SAIPINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,1580,0,1580,1580
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,155,0,155,155
SAN AGUSTIN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,41,0,41,41
SAN ANDRES DE MACHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,223,0,223,223
SAN ANTONIO DE ESMORUCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,10,113,10,113,123
SAN BENITO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,166,0,166,166
SAN BUENA VENTURA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,257,0,257,257
SAN CARLOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,1619,0,1619,1619
SAN IGNACIO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,286,0,286,286
SAN IGNACIO DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,117,3374,117,3374,3491
SAN JAVIER(BNI),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,4,0,4,4
SAN JAVIER(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,476,0,476,476
SAN JUAN DE YAPACANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,30,1314,30,1314,1344
SAN JULIAN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,74,5398,74,5398,5472
SAN LORENZO(TJA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,3064,0,3064,3064
SAN LUCAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,216,813,216,813,1029
SAN MATIAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,36,336,36,336,372
SAN MIGUEL DE VELASCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,1,0,1,1
SAN PABLO DE LIPEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,10,0,10,10
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,323,1774,323,1774,2097
SAN PEDRO DE CURAHUARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,350,0,350,350
SAN PEDRO DE TIQUINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,30,0,30,30
SAN RAFAEL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,25,0,25,25
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,18531,11202,18531,11202,29733
SANTA ROSA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,12,0,12,0,12
SANTA ROSA DEL SARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,183,5016,183,5016,5199
SANTIAGO DE CALLAPA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,145,0,145,145
SANTIAGO DE HUARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,53,0,53,53
SANTIAGO DE HUATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,287,0,287,287
SANTIAGO DE MACHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,96,0,96,96
SANTIVAÑES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,11,80,11,80,91
SAPAHAQUI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,116,0,116,116
SHINAOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,205,0,205,205
SICA SICA (VILLA AROMA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,125,0,125,125
SICAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,13,8,13,8,21
SIPE SIPE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,202,129,202,129,331
SOPACHUY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,106,420,106,420,526
SORACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,490,0,490,490
SORATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,38,1415,38,1415,1453
SUCRE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,66,1937,66,1937,2003
TACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,22,0,22,22
TACACOMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,35,166,35,166,201
TACOBAMBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,2,1546,2,1546,1548
TACOPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,1,95,1,95,96
TAPACARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,8,298,8,298,306
TARABUCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,506,392,506,392,898
TARATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,11,0,11,0,11
TARIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,99,1304,99,1304,1403
TARVITA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,415,3250,415,3250,3665
TEOPONTE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,26,0,26,26
TIAWANACU,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,647,0,647,647
TINGUIPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,170,0,170,170
TIPUANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,20,0,20,20
TIQUIPAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,199,438,199,438,637
TIRAQUE (CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,60,764,60,764,824
TOCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,81,0,81,81
TOLATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,37,0,37,37
TOLEDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,16,317,16,317,333
TOMAVE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,201,332,201,332,533
TOMINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,4,218,4,218,222
TORO TORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,1337,0,1337,1337
TOTORA(CBBA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,252,0,252,252
TOTORA(ORR),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,78,0,78,78
TRIGAL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,243,0,243,243
TUPIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,27,910,27,910,937
TURCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,56,0,56,56
UMALA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,24,0,24,24
UNCIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,332,0,332,332
URIONDO (A. CONCEPCION),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,4,249,4,249,253
UYUNI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,100,0,100,0,100
VACAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,120,0,120,120
VALLEGRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,107,0,107,0,107
VIACHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,140,0,140,140
VILA VILA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,165,0,165,165
VILLA CHARCAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,257,0,257,257
VILLA MONTES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,6901,0,6901,6901
VILLA NUEVA (LOMA ALTA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,4,26,4,26,30
VILLA RIVERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,3,36,3,36,39
VILLA SERRANO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,58,1857,58,1857,1915
VILLA TUNARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,107,771,107,771,878
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,88,1158,88,1158,1246
VILLAZON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,23,758,23,758,781
VINTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,330,422,330,422,752
WALDO BALLIVIAN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,8,0,8,8
WARNES,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,2,0,2,0,2
YACO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,144,110,144,110,254
YAMPARAEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,148,167,148,167,315
YANACACHI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,10,0,10,10
YAPACANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,463,1092,463,1092,1555
YOCALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,300,0,300,300
YOTALA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,239,1383,239,1383,1622
YUNCHARA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,525,0,525,525
YUNGUYO DE LITORAL,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,20,0,20,20
ZUDAÑEZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-07-01,0,839,0,839,839
ACACIO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,169,0,169,169
ACHOCALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,41,0,41,41
AIQUILE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,15,361,15,361,376
ALALAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,37,0,37,37
ALCALA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,17,0,17,17
ANDAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,3,15,3,15,18
ANZALDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,28,206,28,206,234
ARANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,316,759,316,759,1075
ARBIETO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,7,728,7,728,735
ARQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,6,134,6,134,140
ATOCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,142,0,142,142
AYATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,26,0,26,26
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,19,936,19,936,955
AZURDUY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,15,75,15,75,90
BATALLAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,6,0,6,6
BELEN DE ANDAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,3,3,3,3,6
BERMEJO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,20,0,20,20
BETANZOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,100,0,100,100
BOLIVAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,5,129,5,129,134
BOYUIBE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,4,0,4,0,4
BUENA VISTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,1166,0,1166,1166
CABEZAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,331,0,331,331
"CAIZA ""D""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,39,0,39,39
CALACOTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,62,0,62,62
CALAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,18,0,18,18
CAMARGO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,216,1171,216,1171,1387
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,226,0,226,226
CAPINOTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,27,137,27,137,164
CAQUIAVIRI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,19,0,19,19
CARACOLLO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,80,0,80,80
CARANAVI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,265,0,265,265
CARAPARI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,1306,0,1306,1306
CATACORA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,419,0,419,419
CHALLAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,69,0,69,69
CHARAGUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,1252,0,1252,1252
CHARAÑA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,9,0,9,9
CHAYANTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,220,140,220,140,360
CHIMORE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,62,249,62,249,311
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,13,0,13,13
CHUMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,32,105,32,105,137
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,128,0,128,128
CLIZA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,9,1637,9,1637,1646
COBIJA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,235,0,235,235
COCAPATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,27,292,27,292,319
COCHABAMBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,242,2567,242,2567,2809
COLCAPIRHUA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,2751,908,2751,908,3659
"COLCHA ""K""",otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,10,131,10,131,141
COLOMI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,30,169,30,169,199
COLQUECHACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,80,0,80,80
COLQUENCHA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,4,91,4,91,95
COLQUIRI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,188,0,188,188
COMBAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,20,0,20,20
COPACABANA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,59,796,59,796,855
COROICO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,16,0,16,16
CORQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,8,44,8,44,52
COTAGAITA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,171,0,171,171
COTOCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,10,1042,10,1042,1052
CUATRO CAÑADAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,3802,0,3802,3802
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,130,0,130,130
CUEVO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,52,0,52,52
CULPINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,203,0,203,203
CURVA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,14,0,14,14
DESAGUADERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,811,0,811,811
EL ALTO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,692,4553,692,4553,5245
EL PUENTE(STC),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,385,36,385,36,421
EL PUENTE(TJA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,1530,0,1530,1530
EL TORNO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,32,34,32,34,66
EL VILLAR,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,4,72,4,72,76
ENTRE RIOS TRJ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,50,1458,50,1458,1508
ENTRE RIOS CBBA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,5,345,5,345,350
ESCOMA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,16,20,16,20,36
FERNANDEZ ALONSO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,19,8,19,8,27
GENERAL SAAVEDRA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,4,14,4,14,18
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,8,320,8,320,328
GUAYARAMERIN,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,8,0,8,8
GUTIERREZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,25,0,25,25
HUACARETA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,17,0,17,17
HUACHACALLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,7,0,7,0,7
HUANUNI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,50,0,50,50
HUARINA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,8,0,8,8
HUAYLLAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,1,35,1,35,36
ICLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,12,48,12,48,60
INCAHUASI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,90,100,90,100,190
INQUISIVI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,125,0,125,125
IRUPANA (VILLA DE LANZA),otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,80,0,80,80
IXIAMAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,100,0,100,100
LA ASUNTA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,3,244,3,244,247
LA GUARDIA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,10,643,10,643,653
LA PAZ,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,1385,1225,1385,1225,2610
LAS CARRERAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,18,0,18,18
LLICA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,178,588,178,588,766
LURIBAY,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,27,0,27,27
MACHACAMARCA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,8,0,8,8
MACHARETI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,730,0,730,730
MAGDALENA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,50,0,50,50
MECAPACA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,6,0,6,6
MIZQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,47,359,47,359,406
MOCOMOCO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,80,0,80,80
MOJOCOYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,71,0,71,71
MONTEAGUDO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,39,312,39,312,351
MONTERO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,124,97,124,97,221
MORO MORO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,55,0,55,55
MOROCHATA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,120,198,120,198,318
OCURI,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,2,124,2,124,126
OKINAWA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,123,0,123,123
OMEREQUE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,125,0,125,125
ORURO,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,178,1738,178,1738,1916
PADCAYA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,199,0,199,199
PADILLA,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,6,30,6,30,36
PAILON,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,10,0,10,10
PALOS BLANCOS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,10,30,10,30,40
PAMPA AULLAGAS,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,4,10,4,10,14
PAMPA GRANDE,otras vacunaciones,l 2111       antirrabica en perros y gatos,2012-08-01,0,58,0,58,58
