,group,variable,month,L 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,L 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SACABA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
SAIPINA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,5,0,5,0,5
SAN RAMON BENI,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,3,0,3,0,3
SICAYA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,6,0,6,0,6
SUCRE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,6,0,6,0,6
TARIJA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,7,0,7,0,7
TRINIDAD,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,54,0,54,0,54
VALLEGRANDE,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
VILLA SERRANO,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,6,0,6,0,6
VILLAZON,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,1,0,1,0,1
WARNES,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,10,0,10,0,10
YACUIBA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,4,0,4,0,4
YOCALLA,otras vacunaciones,l 21.6       trabajador de salud hepatitis b 1ra dosis,2012-12-01,8,0,8,0,8
