,group,variable,month,L 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,L 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
SABAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,0,2,0,2
SACABA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,195,410,195,410,605
SACABAMBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,38,2,38,40
SACACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,42,3,42,45
SAIPINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,18,2,18,2,20
SALINAS DE GARCI MENDOZA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,4,62,4,62,66
SAMAIPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,15,1,15,16
SAN ANDRES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,23,31,23,31,54
SAN ANDRES DE MACHACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,3,1,3,4
SAN ANTONIO DE LOMERIO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,18,3,18,21
SAN BENITO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,8,11,8,11,19
SAN BORJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,69,41,69,41,110
SAN BUENA VENTURA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,18,2,18,2,20
SAN CARLOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,17,137,17,137,154
SAN IGNACIO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,43,58,43,58,101
SAN IGNACIO DE VELASCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,83,80,83,80,163
SAN JAVIER(BNI),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,0,1,0,1
SAN JAVIER(STC),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,9,87,9,87,96
SAN JOSE DE CHIQUITOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,14,30,14,30,44
SAN JUAN DE YAPACANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,9,2,9,2,11
SAN JULIAN,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,37,61,37,61,98
SAN LORENZO(PND),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,18,25,18,25,43
SAN LORENZO(TJA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,16,88,16,88,104
SAN LUCAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,16,66,16,66,82
SAN MATIAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,32,94,32,94,126
SAN MIGUEL DE VELASCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,10,67,10,67,77
SAN PABLO DE LIPEZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,2,2,2,4
SAN PEDRO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,18,128,18,128,146
SAN PEDRO DE BUENA VISTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,6,38,6,38,44
SAN PEDRO DE CURAHUARA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,2,1,2,3
SAN PEDRO DE TIQUINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,6,35,6,35,41
SAN PEDRO(PND),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,0,20,0,20,20
SAN RAFAEL,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,11,3,11,14
SAN RAMON BENI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,0,2,0,2,2
SAN RAMON SCZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,15,3,15,3,18
SANTA ANA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,10,4,10,4,14
SANTA CRUZ DE LA SIERRA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2091,2153,2091,2153,4244
SANTA ROSA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,17,6,17,6,23
SANTA ROSA DEL SARA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,28,119,28,119,147
SANTIAGO DE CALLAPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,6,2,6,8
SANTIAGO DE HUARI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,21,1,21,22
SANTIAGO DE HUATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,19,3,19,22
SANTIAGO DE MACHACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,7,1,7,8
SANTIVAÑES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,5,15,5,15,20
SANTUARIO DE QUILLACAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,0,3,0,3,3
SAPAHAQUI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,2,2,2,4
SENA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,5,8,5,8,13
SHINAOTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,8,69,8,69,77
SICA SICA (VILLA AROMA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,22,12,22,12,34
SICAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,0,10,0,10,10
SIPE SIPE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,37,104,37,104,141
SOPACHUY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,3,1,3,4
SORACACHI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,11,6,11,6,17
SORATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,34,1,34,35
SUCRE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,179,509,179,509,688
TACACOMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,9,2,9,11
TACOBAMBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,33,3,33,36
TACOPAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,42,2,42,44
TAHUA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,10,0,10,0,10
TAPACARI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,23,147,23,147,170
TARABUCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,4,36,4,36,40
TARACO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,0,1,0,1
TARATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,6,26,6,26,32
TARIJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,328,665,328,665,993
TARVITA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,22,1,22,23
TEOPONTE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,13,61,13,61,74
TIAWANACU,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,4,110,4,110,114
TINGUIPAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,12,6,12,6,18
TIPUANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,12,4,12,4,16
TIQUIPAYA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,23,265,23,265,288
TIRAQUE (CBBA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,30,39,30,39,69
TITO YUPANQUI (PARQUIPUJIO),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,0,2,0,2,2
TOCO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,5,278,5,278,283
TOLATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,4,3,4,3,7
TOLEDO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,3,3,3,6
TOMAVE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,10,3,10,13
TOMINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,76,2,76,78
TORO TORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,6,6,6,6,12
TOTORA(CBBA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,15,47,15,47,62
TOTORA(ORR),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,8,0,8,0,8
TRINIDAD,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,211,135,211,135,346
TUPIZA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,48,22,48,22,70
UMALA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,10,1,10,11
UNCIA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,0,6,0,6,6
URIONDO (A. CONCEPCION),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,15,48,15,48,63
URUBICHA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,12,12,12,12,24
UYUNI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,12,0,12,0,12
VACAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,14,84,14,84,98
VALLEGRANDE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,15,0,15,0,15
VIACHA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,60,38,60,38,98
VILA VILA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,8,60,8,60,68
VILLA CHARCAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,15,19,15,19,34
VILLA MONTES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,34,118,34,118,152
VILLA NUEVA (LOMA ALTA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,0,1,0,1,1
VILLA RIVERO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,11,295,11,295,306
VILLA SERRANO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,5,40,5,40,45
VILLA TUNARI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,104,109,104,109,213
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,55,3,55,58
VILLAZON,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,129,67,129,67,196
VINTO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,43,0,43,0,43
VITICHI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,5,2,5,2,7
WARNES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,100,359,100,359,459
YACO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,3,7,3,7,10
YACUIBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,86,307,86,307,393
YAMPARAEZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,1,9,1,9,10
YANACACHI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,4,2,4,6
YAPACANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,48,65,48,65,113
YOCALLA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,6,0,6,0,6
YOTALA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,2,7,2,7,9
YUNCHARA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,6,17,6,17,23
ZUDAÑEZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-06-01,5,2,5,2,7
ACACIO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,8,9,8,9,17
ACHACACHI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,24,36,24,36,60
ACHOCALLA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,8,11,8,11,19
AIQUILE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,9,1,9,1,10
ALALAY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,17,1,17,18
ALCALA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,4,0,4,0,4
ALTO BENI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,11,30,11,30,41
ANCORAIMES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,2,4,2,4,6
ANDAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,2,18,2,18,20
ANTEQUERA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,5,2,5,2,7
ANZALDO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,2,52,2,52,54
APOLO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,20,32,20,32,52
ARAMPAMPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,6,13,6,13,19
ARANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,16,1,16,17
ARBIETO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,4,22,4,22,26
ARQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,7,26,7,26,33
ASCENCION DE GUARAYOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,58,8,58,8,66
ATOCHA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,7,275,7,275,282
AUCAPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,6,19,6,19,25
AYATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,8,5,8,5,13
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,31,34,31,34,65
AZURDUY,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,15,1,15,16
BATALLAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,6,20,6,20,26
BAURES,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,13,0,13,0,13
BELEN DE ANDAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,4,1,4,5
BELEN DE URMIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,4,0,4,4
BELLA FLOR,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,3,0,3,3
BERMEJO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,39,62,39,62,101
BETANZOS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,17,11,17,11,28
BOLIVAR,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,1,0,1,1
BOLPEBRA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,0,1,0,1
BOYUIBE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,121,1,121,122
BUENA VISTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,21,36,21,36,57
CABEZAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,30,16,30,16,46
CAIROMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,8,9,8,9,17
"CAIZA ""D""",otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,4,1,4,1,5
CAJUATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,6,26,6,26,32
CALACOTO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,5,22,5,22,27
CALAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,20,1,20,21
CAMARGO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,14,3,14,3,17
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,12,4,12,4,16
CAMIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,20,19,20,19,39
CAPINOTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,4,74,4,74,78
CAQUIAVIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,11,31,11,31,42
CARACOLLO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,17,0,17,17
CARANAVI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,69,88,69,88,157
CARAPARI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,20,6,20,6,26
CARIPUYO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,7,11,7,11,18
CARMEN RIVERO TORREZ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,3,0,3,0,3
CATACORA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,38,6,38,6,44
CHAQUI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,26,18,26,18,44
CHARAGUA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,5,26,5,26,31
CHARAÑA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,2,0,2,2
CHAYANTA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,21,18,21,18,39
CHIMORE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,22,24,22,24,46
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,18,1,18,19
CHUMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,5,1,5,1,6
CHUQUIHUTA AYLLU JUCUMANI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,3,42,3,42,45
CKOCHAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,32,0,32,32
CLIZA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,28,10,28,10,38
COBIJA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,117,40,117,40,157
COCAPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,9,14,9,14,23
COCHABAMBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,753,148,753,148,901
COLCAPIRHUA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,71,27,71,27,98
"COLCHA ""K""",otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,22,1,22,1,23
COLOMI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,46,58,46,58,104
COLPA BELGICA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,9,1,9,1,10
COLQUECHACA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,18,51,18,51,69
COLQUENCHA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,7,0,7,0,7
COLQUIRI,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,12,33,12,33,45
COMANCHE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,2,10,2,10,12
COMARAPA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,22,5,22,5,27
CONCEPCION,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,25,50,25,50,75
CORIPATA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,4,1,4,1,5
CORO CORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,7,17,7,17,24
COROICO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,8,1,8,1,9
CORQUE,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,4,0,4,4
COTAGAITA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,21,22,21,22,43
COTOCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,85,339,85,339,424
CRUZ DE MACHACAMARCA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,3,0,3,3
CUATRO CAÑADAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,33,153,33,153,186
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,2,0,2,0,2
CUEVO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,8,0,8,0,8
CULPINA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,15,5,15,5,20
CURAHUARA DE CARANGAS,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,3,0,3,3
CURVA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,3,9,3,9,12
DESAGUADERO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,11,70,11,70,81
EL ALTO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1395,2607,1395,2607,4002
EL CHORO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,0,3,0,3,3
EL PUENTE(STC),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,55,0,55,0,55
EL PUENTE(TJA),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,7,28,7,28,35
EL TORNO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,76,43,76,43,119
EL VILLAR,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,4,11,4,11,15
ENTRE RIOS TRJ,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,26,141,26,141,167
ENTRE RIOS CBBA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,44,49,44,49,93
ESCOMA,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,5,4,5,4,9
EUREKA (SANTOS MERCADO),otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,3,1,3,4
EXALTACION,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,1,2,1,2,3
FERNANDEZ ALONSO,otras vacunaciones,l 21.2       mujeres de 10 a 49 anos 2da dosis de dt,2012-07-01,7,6,7,6,13
