,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES PRIMERA,MENORES DE 6 MESES PRIMERA,TOTALES,TOTALES,TOTALES
SAN JOSE DE CHIQUITOS,consulta externa,menores de 6 meses,2024-06-01,20,12,0,0,2,1,32,0,32
SAN JUAN DE YAPACANI,consulta externa,menores de 6 meses,2024-06-01,8,8,0,0,0,1,16,0,16
SAN JULIAN,consulta externa,menores de 6 meses,2024-06-01,146,116,33,19,1,0,262,52,314
SAN LORENZO(PND),consulta externa,menores de 6 meses,2024-06-01,18,23,0,1,4,2,41,1,42
SAN LORENZO(TJA),consulta externa,menores de 6 meses,2024-06-01,75,62,5,5,0,0,137,10,147
SAN LUCAS,consulta externa,menores de 6 meses,2024-06-01,65,61,7,1,4,3,126,8,134
SAN MATIAS,consulta externa,menores de 6 meses,2024-06-01,39,27,1,3,2,2,66,4,70
SAN MIGUEL DE VELASCO,consulta externa,menores de 6 meses,2024-06-01,25,22,3,1,0,0,47,4,51
SAN PABLO DE LIPEZ,consulta externa,menores de 6 meses,2024-06-01,4,5,0,0,0,0,9,0,9
SAN PEDRO,consulta externa,menores de 6 meses,2024-06-01,65,55,11,9,0,0,120,20,140
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 6 meses,2024-06-01,44,20,0,0,0,0,64,0,64
SAN PEDRO DE CURAHUARA,consulta externa,menores de 6 meses,2024-06-01,3,7,1,0,0,0,10,1,11
SAN PEDRO DE MACHA,consulta externa,menores de 6 meses,2024-06-01,24,18,0,0,2,2,42,0,42
SAN PEDRO DE QUEMES,consulta externa,menores de 6 meses,2024-06-01,0,1,0,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,consulta externa,menores de 6 meses,2024-06-01,3,8,5,3,0,0,11,8,19
SAN PEDRO(PND),consulta externa,menores de 6 meses,2024-06-01,4,6,0,0,0,0,10,0,10
SAN RAFAEL,consulta externa,menores de 6 meses,2024-06-01,15,28,19,19,0,0,43,38,81
SAN RAMON BENI,consulta externa,menores de 6 meses,2024-06-01,21,16,1,0,0,0,37,1,38
SAN RAMON SCZ,consulta externa,menores de 6 meses,2024-06-01,20,13,2,1,0,0,33,3,36
SANTA ANA,consulta externa,menores de 6 meses,2024-06-01,34,21,41,34,0,0,55,75,130
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 6 meses,2024-06-01,4341,4230,1605,1525,498,438,8571,3130,11701
SANTA ROSA,consulta externa,menores de 6 meses,2024-06-01,26,6,0,0,4,0,32,0,32
SANTA ROSA DEL SARA,consulta externa,menores de 6 meses,2024-06-01,35,30,0,2,4,3,65,2,67
SANTIAGO DE CALLAPA,consulta externa,menores de 6 meses,2024-06-01,7,8,1,0,0,0,15,1,16
SANTIAGO DE HUARI,consulta externa,menores de 6 meses,2024-06-01,6,5,4,2,0,0,11,6,17
SANTIAGO DE HUATA,consulta externa,menores de 6 meses,2024-06-01,3,4,0,0,2,1,7,0,7
SANTIAGO DE MACHACA,consulta externa,menores de 6 meses,2024-06-01,2,1,0,1,0,0,3,1,4
SANTIVAÑES,consulta externa,menores de 6 meses,2024-06-01,17,20,3,2,0,0,37,5,42
SANTUARIO DE QUILLACAS,consulta externa,menores de 6 meses,2024-06-01,3,1,0,0,0,4,4,0,4
SAPAHAQUI,consulta externa,menores de 6 meses,2024-06-01,13,15,1,1,3,4,28,2,30
SENA,consulta externa,menores de 6 meses,2024-06-01,14,11,0,0,0,0,25,0,25
SHINAOTA,consulta externa,menores de 6 meses,2024-06-01,168,122,8,5,17,26,290,13,303
SICA SICA (VILLA AROMA),consulta externa,menores de 6 meses,2024-06-01,28,30,3,1,0,0,58,4,62
SICAYA,consulta externa,menores de 6 meses,2024-06-01,6,6,8,6,0,0,12,14,26
SIPE SIPE,consulta externa,menores de 6 meses,2024-06-01,156,157,59,73,0,0,313,132,445
SOPACHUY,consulta externa,menores de 6 meses,2024-06-01,19,6,1,0,0,0,25,1,26
SORACACHI,consulta externa,menores de 6 meses,2024-06-01,5,9,0,0,0,0,14,0,14
SORATA,consulta externa,menores de 6 meses,2024-06-01,55,31,5,2,0,0,86,7,93
SUCRE,consulta externa,menores de 6 meses,2024-06-01,1027,990,222,188,13,5,2017,410,2427
TACACHI,consulta externa,menores de 6 meses,2024-06-01,0,7,0,0,0,0,7,0,7
TACACOMA,consulta externa,menores de 6 meses,2024-06-01,26,14,5,4,0,0,40,9,49
TACOBAMBA,consulta externa,menores de 6 meses,2024-06-01,5,16,0,0,0,0,21,0,21
TACOPAYA,consulta externa,menores de 6 meses,2024-06-01,17,17,1,3,0,0,34,4,38
TAPACARI,consulta externa,menores de 6 meses,2024-06-01,54,26,2,2,0,0,80,4,84
TARABUCO,consulta externa,menores de 6 meses,2024-06-01,39,27,1,0,0,0,66,1,67
TARACO,consulta externa,menores de 6 meses,2024-06-01,10,11,0,2,0,0,21,2,23
TARATA,consulta externa,menores de 6 meses,2024-06-01,28,15,0,1,0,0,43,1,44
TARIJA,consulta externa,menores de 6 meses,2024-06-01,764,772,369,373,45,52,1536,742,2278
TARVITA,consulta externa,menores de 6 meses,2024-06-01,45,42,1,2,4,5,87,3,90
TEOPONTE,consulta externa,menores de 6 meses,2024-06-01,14,20,4,7,0,0,34,11,45
TIAHUANACU,consulta externa,menores de 6 meses,2024-06-01,9,16,10,4,0,0,25,14,39
TINGUIPAYA,consulta externa,menores de 6 meses,2024-06-01,11,14,0,0,1,7,25,0,25
TIPUANI,consulta externa,menores de 6 meses,2024-06-01,18,29,13,19,0,0,47,32,79
TIQUIPAYA,consulta externa,menores de 6 meses,2024-06-01,277,240,12,28,0,0,517,40,557
TIRAQUE (CBBA),consulta externa,menores de 6 meses,2024-06-01,21,19,20,28,1,1,40,48,88
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 6 meses,2024-06-01,2,2,0,0,0,0,4,0,4
TOCO,consulta externa,menores de 6 meses,2024-06-01,10,7,1,3,3,0,17,4,21
TODOS SANTOS,consulta externa,menores de 6 meses,2024-06-01,0,2,0,0,0,0,2,0,2
TOLATA,consulta externa,menores de 6 meses,2024-06-01,21,19,9,8,0,0,40,17,57
TOLEDO,consulta externa,menores de 6 meses,2024-06-01,7,10,1,2,1,0,17,3,20
TOMAVE,consulta externa,menores de 6 meses,2024-06-01,6,10,1,1,0,0,16,2,18
TOMINA,consulta externa,menores de 6 meses,2024-06-01,21,10,1,0,0,0,31,1,32
TORO TORO,consulta externa,menores de 6 meses,2024-06-01,11,25,1,0,0,0,36,1,37
TOTORA(CBBA),consulta externa,menores de 6 meses,2024-06-01,57,39,12,9,6,8,96,21,117
TOTORA(ORR),consulta externa,menores de 6 meses,2024-06-01,2,2,1,1,0,1,4,2,6
TRIGAL,consulta externa,menores de 6 meses,2024-06-01,8,2,0,0,0,0,10,0,10
TRINIDAD,consulta externa,menores de 6 meses,2024-06-01,349,261,78,21,62,42,610,99,709
TUPIZA,consulta externa,menores de 6 meses,2024-06-01,96,96,33,44,7,4,192,77,269
TURCO,consulta externa,menores de 6 meses,2024-06-01,0,5,1,0,0,0,5,1,6
UMALA,consulta externa,menores de 6 meses,2024-06-01,7,11,4,7,0,0,18,11,29
UNCIA,consulta externa,menores de 6 meses,2024-06-01,47,60,3,0,0,0,107,3,110
URIONDO (A. CONCEPCION),consulta externa,menores de 6 meses,2024-06-01,55,43,6,6,14,14,98,12,110
URUBICHA,consulta externa,menores de 6 meses,2024-06-01,19,10,0,0,1,1,29,0,29
UYUNI,consulta externa,menores de 6 meses,2024-06-01,65,87,18,14,2,3,152,32,184
VACAS,consulta externa,menores de 6 meses,2024-06-01,15,10,0,0,0,0,25,0,25
VALLEGRANDE,consulta externa,menores de 6 meses,2024-06-01,24,28,28,32,7,6,52,60,112
VIACHA,consulta externa,menores de 6 meses,2024-06-01,289,248,68,87,9,7,537,155,692
VILA VILA,consulta externa,menores de 6 meses,2024-06-01,10,7,0,0,1,2,17,0,17
VILLA CHARCAS,consulta externa,menores de 6 meses,2024-06-01,33,21,2,1,2,6,54,3,57
VILLA MONTES,consulta externa,menores de 6 meses,2024-06-01,132,119,6,9,2,3,251,15,266
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 6 meses,2024-06-01,6,9,3,1,0,0,15,4,19
VILLA RIVERO,consulta externa,menores de 6 meses,2024-06-01,16,17,4,8,0,0,33,12,45
VILLA SERRANO,consulta externa,menores de 6 meses,2024-06-01,13,13,6,7,0,0,26,13,39
VILLA TUNARI,consulta externa,menores de 6 meses,2024-06-01,528,513,65,54,12,24,1041,119,1160
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 6 meses,2024-06-01,26,21,2,5,0,0,47,7,54
VILLAZON,consulta externa,menores de 6 meses,2024-06-01,44,52,6,11,37,28,96,17,113
VINTO,consulta externa,menores de 6 meses,2024-06-01,274,209,42,27,0,0,483,69,552
VITICHI,consulta externa,menores de 6 meses,2024-06-01,14,6,0,0,3,1,20,0,20
WALDO BALLIVIAN,consulta externa,menores de 6 meses,2024-06-01,1,6,3,7,0,0,7,10,17
WARNES,consulta externa,menores de 6 meses,2024-06-01,240,191,35,33,20,9,431,68,499
YACO,consulta externa,menores de 6 meses,2024-06-01,29,15,5,7,0,0,44,12,56
YACUIBA,consulta externa,menores de 6 meses,2024-06-01,314,243,33,38,68,49,557,71,628
YAMPARAEZ,consulta externa,menores de 6 meses,2024-06-01,11,7,1,0,1,0,18,1,19
YANACACHI,consulta externa,menores de 6 meses,2024-06-01,9,10,0,1,0,0,19,1,20
YAPACANI,consulta externa,menores de 6 meses,2024-06-01,122,89,19,23,6,2,211,42,253
YOCALLA,consulta externa,menores de 6 meses,2024-06-01,10,8,0,0,0,0,18,0,18
YOTALA,consulta externa,menores de 6 meses,2024-06-01,25,2,6,3,6,0,27,9,36
YUNCHARA,consulta externa,menores de 6 meses,2024-06-01,13,9,1,0,0,0,22,1,23
ZUDAÑEZ,consulta externa,menores de 6 meses,2024-06-01,17,13,9,7,0,0,30,16,46
ACACIO,consulta externa,menores de 6 meses,2024-07-01,3,3,0,0,0,0,6,0,6
ACHACACHI,consulta externa,menores de 6 meses,2024-07-01,83,73,16,17,0,0,156,33,189
ACHOCALLA,consulta externa,menores de 6 meses,2024-07-01,47,45,33,22,0,0,92,55,147
AIQUILE,consulta externa,menores de 6 meses,2024-07-01,37,28,29,47,15,10,65,76,141
ALALAY,consulta externa,menores de 6 meses,2024-07-01,3,2,0,0,0,1,5,0,5
ALCALA,consulta externa,menores de 6 meses,2024-07-01,9,5,0,0,4,1,14,0,14
ALTO BENI,consulta externa,menores de 6 meses,2024-07-01,33,33,1,0,0,0,66,1,67
ANCORAIMES,consulta externa,menores de 6 meses,2024-07-01,9,5,8,7,3,0,14,15,29
ANDAMARCA,consulta externa,menores de 6 meses,2024-07-01,9,5,1,1,0,0,14,2,16
ANTEQUERA,consulta externa,menores de 6 meses,2024-07-01,9,2,2,0,0,0,11,2,13
ANZALDO,consulta externa,menores de 6 meses,2024-07-01,8,8,1,4,0,0,16,5,21
APOLO,consulta externa,menores de 6 meses,2024-07-01,58,64,24,23,3,3,122,47,169
ARAMPAMPA,consulta externa,menores de 6 meses,2024-07-01,1,2,0,0,0,0,3,0,3
ARANI,consulta externa,menores de 6 meses,2024-07-01,7,9,1,1,0,0,16,2,18
ARBIETO,consulta externa,menores de 6 meses,2024-07-01,93,103,13,10,0,0,196,23,219
ARQUE,consulta externa,menores de 6 meses,2024-07-01,31,20,0,0,0,0,51,0,51
ASCENCION DE GUARAYOS,consulta externa,menores de 6 meses,2024-07-01,31,34,21,6,42,35,65,27,92
ATOCHA,consulta externa,menores de 6 meses,2024-07-01,44,25,3,1,0,0,69,4,73
AUCAPATA,consulta externa,menores de 6 meses,2024-07-01,16,20,0,0,1,1,36,0,36
AYATA,consulta externa,menores de 6 meses,2024-07-01,13,16,0,0,2,2,29,0,29
AYO AYO,consulta externa,menores de 6 meses,2024-07-01,31,8,8,1,0,0,39,9,48
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 6 meses,2024-07-01,50,36,1,3,9,7,86,4,90
AZURDUY,consulta externa,menores de 6 meses,2024-07-01,38,26,5,7,0,0,64,12,76
BATALLAS,consulta externa,menores de 6 meses,2024-07-01,12,17,5,12,1,1,29,17,46
BAURES,consulta externa,menores de 6 meses,2024-07-01,2,3,1,0,1,1,5,1,6
BELEN DE URMIRI,consulta externa,menores de 6 meses,2024-07-01,0,0,0,3,0,0,0,3,3
BELLA FLOR,consulta externa,menores de 6 meses,2024-07-01,3,14,1,2,2,0,17,3,20
BERMEJO,consulta externa,menores de 6 meses,2024-07-01,184,159,33,26,3,0,343,59,402
BETANZOS,consulta externa,menores de 6 meses,2024-07-01,29,32,1,5,0,0,61,6,67
BOLIVAR,consulta externa,menores de 6 meses,2024-07-01,2,7,4,7,0,0,9,11,20
BOLPEBRA,consulta externa,menores de 6 meses,2024-07-01,3,2,1,0,0,0,5,1,6
BOYUIBE,consulta externa,menores de 6 meses,2024-07-01,9,9,1,1,0,0,18,2,20
BUENA VISTA,consulta externa,menores de 6 meses,2024-07-01,10,13,0,0,1,0,23,0,23
CABEZAS,consulta externa,menores de 6 meses,2024-07-01,62,75,5,5,3,3,137,10,147
CAIROMA,consulta externa,menores de 6 meses,2024-07-01,17,17,0,1,0,0,34,1,35
"CAIZA ""D""",consulta externa,menores de 6 meses,2024-07-01,14,24,0,0,0,0,38,0,38
CAJUATA,consulta externa,menores de 6 meses,2024-07-01,37,19,5,4,8,2,56,9,65
CALACOTO,consulta externa,menores de 6 meses,2024-07-01,15,8,1,4,0,1,23,5,28
CALAMARCA,consulta externa,menores de 6 meses,2024-07-01,19,15,0,3,0,0,34,3,37
CAMARGO,consulta externa,menores de 6 meses,2024-07-01,43,43,12,16,0,0,86,28,114
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 6 meses,2024-07-01,5,7,0,0,0,0,12,0,12
CAMIRI,consulta externa,menores de 6 meses,2024-07-01,48,37,9,7,1,0,85,16,101
CAPINOTA,consulta externa,menores de 6 meses,2024-07-01,84,84,15,20,0,0,168,35,203
CAQUIAVIRI,consulta externa,menores de 6 meses,2024-07-01,27,10,3,0,0,0,37,3,40
CARACOLLO,consulta externa,menores de 6 meses,2024-07-01,68,60,4,5,11,4,128,9,137
CARANAVI,consulta externa,menores de 6 meses,2024-07-01,186,133,26,13,1,3,319,39,358
CARAPARI,consulta externa,menores de 6 meses,2024-07-01,45,31,7,3,2,3,76,10,86
CARIPUYO,consulta externa,menores de 6 meses,2024-07-01,5,6,0,0,0,0,11,0,11
CARMEN RIVERO TORREZ,consulta externa,menores de 6 meses,2024-07-01,10,4,0,2,0,1,14,2,16
CATACORA,consulta externa,menores de 6 meses,2024-07-01,1,5,0,0,0,0,6,0,6
CHACARILLA,consulta externa,menores de 6 meses,2024-07-01,1,2,0,0,0,0,3,0,3
CHALLAPATA,consulta externa,menores de 6 meses,2024-07-01,70,77,14,13,13,23,147,27,174
CHAQUI,consulta externa,menores de 6 meses,2024-07-01,12,6,1,0,0,0,18,1,19
CHARAGUA,consulta externa,menores de 6 meses,2024-07-01,84,82,18,13,0,0,166,31,197
CHARAÑA,consulta externa,menores de 6 meses,2024-07-01,3,1,0,0,0,0,4,0,4
CHAYANTA,consulta externa,menores de 6 meses,2024-07-01,26,21,0,3,3,4,47,3,50
CHIMORE,consulta externa,menores de 6 meses,2024-07-01,129,123,21,19,0,0,252,40,292
CHIPAYA,consulta externa,menores de 6 meses,2024-07-01,2,4,0,1,0,0,6,1,7
CHUA COCANI,consulta externa,menores de 6 meses,2024-07-01,11,4,7,2,0,0,15,9,24
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 6 meses,2024-07-01,32,47,2,4,5,8,79,6,85
CHUMA,consulta externa,menores de 6 meses,2024-07-01,16,7,0,0,2,4,23,0,23
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,menores de 6 meses,2024-07-01,19,13,0,0,0,0,32,0,32
CKOCHAS,consulta externa,menores de 6 meses,2024-07-01,16,20,1,0,5,6,36,1,37
CLIZA,consulta externa,menores de 6 meses,2024-07-01,86,81,39,28,0,0,167,67,234
COBIJA,consulta externa,menores de 6 meses,2024-07-01,184,166,73,60,4,1,350,133,483
COCAPATA,consulta externa,menores de 6 meses,2024-07-01,67,61,1,0,1,2,128,1,129
COCHABAMBA,consulta externa,menores de 6 meses,2024-07-01,2078,1897,1048,1017,127,126,3975,2065,6040
COLCAPIRHUA,consulta externa,menores de 6 meses,2024-07-01,110,97,79,41,0,0,207,120,327
"COLCHA ""K""",consulta externa,menores de 6 meses,2024-07-01,13,18,0,2,12,12,31,2,33
COLLANA,consulta externa,menores de 6 meses,2024-07-01,6,5,1,1,0,0,11,2,13
COLOMI,consulta externa,menores de 6 meses,2024-07-01,34,30,1,3,14,15,64,4,68
COLPA BELGICA,consulta externa,menores de 6 meses,2024-07-01,13,15,1,3,3,2,28,4,32
COLQUECHACA,consulta externa,menores de 6 meses,2024-07-01,31,42,0,0,2,0,73,0,73
COLQUENCHA,consulta externa,menores de 6 meses,2024-07-01,20,18,8,12,0,0,38,20,58
COLQUIRI,consulta externa,menores de 6 meses,2024-07-01,23,23,1,1,3,4,46,2,48
COMANCHE,consulta externa,menores de 6 meses,2024-07-01,2,0,0,0,0,0,2,0,2
COMARAPA,consulta externa,menores de 6 meses,2024-07-01,41,21,11,10,0,0,62,21,83
COMBAYA,consulta externa,menores de 6 meses,2024-07-01,1,4,0,1,0,0,5,1,6
CONCEPCION,consulta externa,menores de 6 meses,2024-07-01,52,42,13,5,3,2,94,18,112
COPACABANA,consulta externa,menores de 6 meses,2024-07-01,9,11,0,0,1,3,20,0,20
CORIPATA,consulta externa,menores de 6 meses,2024-07-01,50,32,11,4,5,7,82,15,97
CORO CORO,consulta externa,menores de 6 meses,2024-07-01,20,8,1,1,0,0,28,2,30
COROICO,consulta externa,menores de 6 meses,2024-07-01,36,54,7,10,5,11,90,17,107
CORQUE,consulta externa,menores de 6 meses,2024-07-01,5,9,1,4,0,1,14,5,19
COTAGAITA,consulta externa,menores de 6 meses,2024-07-01,27,33,5,5,3,2,60,10,70
COTOCA,consulta externa,menores de 6 meses,2024-07-01,160,149,17,14,26,29,309,31,340
CUATRO CAÑADAS,consulta externa,menores de 6 meses,2024-07-01,41,27,4,2,7,5,68,6,74
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 6 meses,2024-07-01,4,8,0,3,0,0,12,3,15
CUEVO,consulta externa,menores de 6 meses,2024-07-01,8,6,4,2,0,0,14,6,20
CULPINA,consulta externa,menores de 6 meses,2024-07-01,23,16,7,1,0,0,39,8,47
CURAHUARA DE CARANGAS,consulta externa,menores de 6 meses,2024-07-01,5,4,1,0,2,1,9,1,10
CURVA,consulta externa,menores de 6 meses,2024-07-01,2,6,0,0,1,0,8,0,8
DESAGUADERO,consulta externa,menores de 6 meses,2024-07-01,9,7,8,6,0,0,16,14,30
EL ALTO,consulta externa,menores de 6 meses,2024-07-01,2981,2839,1031,1042,350,343,5820,2073,7893
EL CHORO,consulta externa,menores de 6 meses,2024-07-01,2,1,0,0,0,0,3,0,3
EL PUENTE(STC),consulta externa,menores de 6 meses,2024-07-01,26,18,1,0,0,4,44,1,45
EL PUENTE(TJA),consulta externa,menores de 6 meses,2024-07-01,15,20,1,0,3,3,35,1,36
EL TORNO,consulta externa,menores de 6 meses,2024-07-01,157,175,194,163,0,0,332,357,689
EL VILLAR,consulta externa,menores de 6 meses,2024-07-01,7,6,0,0,0,0,13,0,13
ENTRE RIOS TRJ,consulta externa,menores de 6 meses,2024-07-01,54,37,1,2,0,0,91,3,94
ENTRE RIOS CBBA,consulta externa,menores de 6 meses,2024-07-01,131,132,5,11,1,1,263,16,279
ESCOMA,consulta externa,menores de 6 meses,2024-07-01,10,12,0,0,0,0,22,0,22
EUCALIPTUS,consulta externa,menores de 6 meses,2024-07-01,7,11,1,1,2,3,18,2,20
EUREKA (SANTOS MERCADO),consulta externa,menores de 6 meses,2024-07-01,3,0,0,0,0,0,3,0,3
EXALTACION,consulta externa,menores de 6 meses,2024-07-01,6,3,0,0,0,0,9,0,9
FERNANDEZ ALONSO,consulta externa,menores de 6 meses,2024-07-01,19,39,4,6,3,19,58,10,68
FILADELFIA,consulta externa,menores de 6 meses,2024-07-01,16,4,0,0,3,2,20,0,20
GAIOC JATUN AYLLU YURA,consulta externa,menores de 6 meses,2024-07-01,11,5,0,0,0,0,16,0,16
GENERAL SAAVEDRA,consulta externa,menores de 6 meses,2024-07-01,42,48,12,7,0,0,90,19,109
GIA-TIM,consulta externa,menores de 6 meses,2024-07-01,3,1,0,0,2,2,4,0,4
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 6 meses,2024-07-01,18,18,1,2,0,3,36,3,39
GUANAY,consulta externa,menores de 6 meses,2024-07-01,34,36,51,39,0,0,70,90,160
GUAQUI,consulta externa,menores de 6 meses,2024-07-01,7,13,0,0,2,1,20,0,20
GUAYARAMERIN,consulta externa,menores de 6 meses,2024-07-01,98,114,3,5,18,19,212,8,220
GUTIERREZ,consulta externa,menores de 6 meses,2024-07-01,35,27,0,0,0,0,62,0,62
HUACARAJE,consulta externa,menores de 6 meses,2024-07-01,4,4,9,10,3,2,8,19,27
HUACARETA,consulta externa,menores de 6 meses,2024-07-01,6,19,3,3,0,0,25,6,31
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 6 meses,2024-07-01,5,4,1,0,0,0,9,1,10
HUACHACALLA,consulta externa,menores de 6 meses,2024-07-01,0,0,0,1,0,1,0,1,1
HUANUNI,consulta externa,menores de 6 meses,2024-07-01,55,37,19,14,10,4,92,33,125
HUARINA,consulta externa,menores de 6 meses,2024-07-01,10,6,9,13,0,0,16,22,38
HUATAJATA,consulta externa,menores de 6 meses,2024-07-01,5,2,4,3,0,0,7,7,14
HUAYLLAMARCA,consulta externa,menores de 6 meses,2024-07-01,9,10,0,2,0,0,19,2,21
HUMANATA,consulta externa,menores de 6 meses,2024-07-01,3,3,2,5,0,0,6,7,13
ICHOCA,consulta externa,menores de 6 meses,2024-07-01,11,10,1,0,0,1,21,1,22
ICLA,consulta externa,menores de 6 meses,2024-07-01,17,14,3,5,0,0,31,8,39
INCAHUASI,consulta externa,menores de 6 meses,2024-07-01,41,33,3,3,6,2,74,6,80
INGAVI (HUMAITA),consulta externa,menores de 6 meses,2024-07-01,3,9,0,0,0,0,12,0,12
INQUISIVI,consulta externa,menores de 6 meses,2024-07-01,19,24,2,1,1,2,43,3,46
IRUPANA (VILLA DE LANZA),consulta externa,menores de 6 meses,2024-07-01,35,26,16,10,1,1,61,26,87
IXIAMAS,consulta externa,menores de 6 meses,2024-07-01,48,45,16,9,0,0,93,25,118
JESUS DE MACHACA,consulta externa,menores de 6 meses,2024-07-01,22,16,17,7,1,0,38,24,62
LA ASUNTA,consulta externa,menores de 6 meses,2024-07-01,126,126,23,10,71,47,252,33,285
LA GUARDIA,consulta externa,menores de 6 meses,2024-07-01,290,305,129,141,18,13,595,270,865
LA PAZ,consulta externa,menores de 6 meses,2024-07-01,2404,2313,863,834,201,203,4717,1697,6414
LAGUNILLAS,consulta externa,menores de 6 meses,2024-07-01,24,5,4,8,0,0,29,12,41
LAJA,consulta externa,menores de 6 meses,2024-07-01,23,30,12,4,0,0,53,16,69
LAS CARRERAS,consulta externa,menores de 6 meses,2024-07-01,0,2,0,0,0,0,2,0,2
LICOMA PAMPA,consulta externa,menores de 6 meses,2024-07-01,6,2,0,0,0,0,8,0,8
LLALLAGUA,consulta externa,menores de 6 meses,2024-07-01,97,148,3,10,9,4,245,13,258
LLICA,consulta externa,menores de 6 meses,2024-07-01,0,7,0,0,0,0,7,0,7
LORETO,consulta externa,menores de 6 meses,2024-07-01,9,7,5,6,1,0,16,11,27
LURIBAY,consulta externa,menores de 6 meses,2024-07-01,8,7,2,0,0,0,15,2,17
MACHACAMARCA,consulta externa,menores de 6 meses,2024-07-01,2,3,0,1,0,0,5,1,6
MACHARETI,consulta externa,menores de 6 meses,2024-07-01,11,10,0,1,3,1,21,1,22
MAGDALENA,consulta externa,menores de 6 meses,2024-07-01,10,10,0,4,4,13,20,4,24
MAIRANA,consulta externa,menores de 6 meses,2024-07-01,27,26,6,8,0,0,53,14,67
MALLA,consulta externa,menores de 6 meses,2024-07-01,6,5,0,0,0,0,11,0,11
MAPIRI,consulta externa,menores de 6 meses,2024-07-01,32,36,16,5,0,0,68,21,89
MECAPACA,consulta externa,menores de 6 meses,2024-07-01,18,14,7,5,0,0,32,12,44
MINEROS,consulta externa,menores de 6 meses,2024-07-01,40,32,7,7,2,5,72,14,86
MIZQUE,consulta externa,menores de 6 meses,2024-07-01,57,45,19,20,18,15,102,39,141
MOCOMOCO,consulta externa,menores de 6 meses,2024-07-01,22,16,2,7,0,0,38,9,47
MOJINETE,consulta externa,menores de 6 meses,2024-07-01,0,1,0,2,0,0,1,2,3
MOJOCOYA,consulta externa,menores de 6 meses,2024-07-01,11,1,1,0,0,0,12,1,13
MONTEAGUDO,consulta externa,menores de 6 meses,2024-07-01,72,86,7,8,4,2,158,15,173
MONTERO,consulta externa,menores de 6 meses,2024-07-01,635,637,148,128,12,5,1272,276,1548
MORO MORO,consulta externa,menores de 6 meses,2024-07-01,6,5,1,0,0,0,11,1,12
MOROCHATA,consulta externa,menores de 6 meses,2024-07-01,18,15,0,0,0,0,33,0,33
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 6 meses,2024-07-01,5,5,0,0,0,0,10,0,10
NAZACARA DE PACAJES,consulta externa,menores de 6 meses,2024-07-01,4,0,7,1,0,0,4,8,12
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 6 meses,2024-07-01,2,6,0,0,0,0,8,0,8
OCURI,consulta externa,menores de 6 meses,2024-07-01,24,20,4,2,2,0,44,6,50
OKINAWA,consulta externa,menores de 6 meses,2024-07-01,16,21,6,5,0,0,37,11,48
OMEREQUE,consulta externa,menores de 6 meses,2024-07-01,15,15,4,2,1,0,30,6,36
ORURO,consulta externa,menores de 6 meses,2024-07-01,1232,1275,388,504,285,281,2507,892,3399
PADCAYA,consulta externa,menores de 6 meses,2024-07-01,46,55,5,8,8,13,101,13,114
PADILLA,consulta externa,menores de 6 meses,2024-07-01,12,27,4,3,2,1,39,7,46
PAILON,consulta externa,menores de 6 meses,2024-07-01,58,76,43,30,1,1,134,73,207
PALCA,consulta externa,menores de 6 meses,2024-07-01,30,42,3,0,14,16,72,3,75
PALOS BLANCOS,consulta externa,menores de 6 meses,2024-07-01,93,115,11,11,0,0,208,22,230
PAMPA AULLAGAS,consulta externa,menores de 6 meses,2024-07-01,0,6,1,0,0,0,6,1,7
PAMPA GRANDE,consulta externa,menores de 6 meses,2024-07-01,8,6,2,0,0,0,14,2,16
PAPEL PAMPA,consulta externa,menores de 6 meses,2024-07-01,4,5,2,1,0,0,9,3,12
PASORAPA,consulta externa,menores de 6 meses,2024-07-01,6,3,5,3,0,0,9,8,17
PATACAMAYA,consulta externa,menores de 6 meses,2024-07-01,54,43,4,3,0,0,97,7,104
PAZÑA,consulta externa,menores de 6 meses,2024-07-01,8,12,2,2,0,0,20,4,24
PELECHUCO,consulta externa,menores de 6 meses,2024-07-01,28,20,1,2,3,2,48,3,51
POCOATA,consulta externa,menores de 6 meses,2024-07-01,19,21,1,2,0,0,40,3,43
POCONA,consulta externa,menores de 6 meses,2024-07-01,14,9,0,0,1,0,23,0,23
POJO (CBBA),consulta externa,menores de 6 meses,2024-07-01,17,22,5,10,0,0,39,15,54
