,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,PERSONAS DE 60 AÑOS Y MÁS PRIMERA,TOTALES,TOTALES,TOTALES
ARBIETO,consulta externa,personas de 60 anos y mas,2024-06-01,447,658,75,124,0,0,1105,199,1304
ARQUE,consulta externa,personas de 60 anos y mas,2024-06-01,231,354,0,1,0,0,585,1,586
ASCENCION DE GUARAYOS,consulta externa,personas de 60 anos y mas,2024-06-01,196,196,47,54,15,5,392,101,493
ATOCHA,consulta externa,personas de 60 anos y mas,2024-06-01,185,168,109,117,5,16,353,226,579
AUCAPATA,consulta externa,personas de 60 anos y mas,2024-06-01,74,65,0,5,18,20,139,5,144
AYATA,consulta externa,personas de 60 anos y mas,2024-06-01,194,233,17,26,13,17,427,43,470
AYO AYO,consulta externa,personas de 60 anos y mas,2024-06-01,272,297,19,11,0,0,569,30,599
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2024-06-01,872,947,73,65,39,36,1819,138,1957
AZURDUY,consulta externa,personas de 60 anos y mas,2024-06-01,185,291,64,111,0,0,476,175,651
BATALLAS,consulta externa,personas de 60 anos y mas,2024-06-01,202,229,164,151,1,1,431,315,746
BAURES,consulta externa,personas de 60 anos y mas,2024-06-01,134,130,14,20,0,0,264,34,298
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2024-06-01,106,141,14,14,0,0,247,28,275
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2024-06-01,87,103,0,1,0,0,190,1,191
BELLA FLOR,consulta externa,personas de 60 anos y mas,2024-06-01,45,33,81,48,0,0,78,129,207
BERMEJO,consulta externa,personas de 60 anos y mas,2024-06-01,1106,1424,435,554,119,129,2530,989,3519
BETANZOS,consulta externa,personas de 60 anos y mas,2024-06-01,1308,1477,72,71,0,0,2785,143,2928
BOLIVAR,consulta externa,personas de 60 anos y mas,2024-06-01,219,221,47,52,0,0,440,99,539
BOLPEBRA,consulta externa,personas de 60 anos y mas,2024-06-01,26,23,4,4,0,0,49,8,57
BOYUIBE,consulta externa,personas de 60 anos y mas,2024-06-01,94,112,67,79,0,0,206,146,352
BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-06-01,302,268,39,37,2,3,570,76,646
CABEZAS,consulta externa,personas de 60 anos y mas,2024-06-01,417,400,58,74,0,0,817,132,949
CAIROMA,consulta externa,personas de 60 anos y mas,2024-06-01,259,229,12,11,0,0,488,23,511
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2024-06-01,411,677,25,48,0,0,1088,73,1161
CAJUATA,consulta externa,personas de 60 anos y mas,2024-06-01,202,170,38,43,50,51,372,81,453
CALACOTO,consulta externa,personas de 60 anos y mas,2024-06-01,343,384,36,68,0,0,727,104,831
CALAMARCA,consulta externa,personas de 60 anos y mas,2024-06-01,242,295,11,21,0,0,537,32,569
CAMARGO,consulta externa,personas de 60 anos y mas,2024-06-01,439,653,136,236,0,0,1092,372,1464
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2024-06-01,158,223,38,52,0,0,381,90,471
CAMIRI,consulta externa,personas de 60 anos y mas,2024-06-01,623,863,580,721,0,0,1486,1301,2787
CAPINOTA,consulta externa,personas de 60 anos y mas,2024-06-01,536,666,85,92,0,0,1202,177,1379
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2024-06-01,477,545,20,23,0,0,1022,43,1065
CARACOLLO,consulta externa,personas de 60 anos y mas,2024-06-01,622,689,69,73,5,3,1311,142,1453
CARANAVI,consulta externa,personas de 60 anos y mas,2024-06-01,1063,745,146,148,11,7,1808,294,2102
CARANGAS,consulta externa,personas de 60 anos y mas,2024-06-01,15,14,18,19,0,0,29,37,66
CARAPARI,consulta externa,personas de 60 anos y mas,2024-06-01,421,422,123,171,28,29,843,294,1137
CARIPUYO,consulta externa,personas de 60 anos y mas,2024-06-01,369,440,1,2,0,0,809,3,812
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2024-06-01,140,149,3,5,5,3,289,8,297
CATACORA,consulta externa,personas de 60 anos y mas,2024-06-01,42,42,2,2,0,0,84,4,88
CHACARILLA,consulta externa,personas de 60 anos y mas,2024-06-01,64,63,12,8,0,0,127,20,147
CHALLAPATA,consulta externa,personas de 60 anos y mas,2024-06-01,844,956,83,135,106,132,1800,218,2018
CHAQUI,consulta externa,personas de 60 anos y mas,2024-06-01,545,749,1,2,0,0,1294,3,1297
CHARAGUA,consulta externa,personas de 60 anos y mas,2024-06-01,649,646,94,133,0,0,1295,227,1522
CHARAÑA,consulta externa,personas de 60 anos y mas,2024-06-01,128,139,11,18,0,0,267,29,296
CHAYANTA,consulta externa,personas de 60 anos y mas,2024-06-01,458,587,24,25,81,94,1045,49,1094
CHIMORE,consulta externa,personas de 60 anos y mas,2024-06-01,399,297,68,65,0,0,696,133,829
CHIPAYA,consulta externa,personas de 60 anos y mas,2024-06-01,65,55,1,2,0,0,120,3,123
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2024-06-01,48,61,0,1,0,0,109,1,110
CHUA COCANI,consulta externa,personas de 60 anos y mas,2024-06-01,38,39,65,92,0,0,77,157,234
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2024-06-01,239,212,78,83,3,0,451,161,612
CHUMA,consulta externa,personas de 60 anos y mas,2024-06-01,482,485,72,91,22,20,967,163,1130
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 60 anos y mas,2024-06-01,80,116,1,21,15,10,196,22,218
CKOCHAS,consulta externa,personas de 60 anos y mas,2024-06-01,560,734,6,2,1,3,1294,8,1302
CLIZA,consulta externa,personas de 60 anos y mas,2024-06-01,330,480,412,584,0,0,810,996,1806
COBIJA,consulta externa,personas de 60 anos y mas,2024-06-01,667,740,669,680,3,1,1407,1349,2756
COCAPATA,consulta externa,personas de 60 anos y mas,2024-06-01,501,540,7,11,0,0,1041,18,1059
COCHABAMBA,consulta externa,personas de 60 anos y mas,2024-06-01,14337,19984,14565,20142,437,573,34321,34707,69028
COIPASA,consulta externa,personas de 60 anos y mas,2024-06-01,23,26,2,1,0,0,49,3,52
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2024-06-01,648,954,364,645,0,0,1602,1009,2611
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2024-06-01,427,582,45,56,75,40,1009,101,1110
COLLANA,consulta externa,personas de 60 anos y mas,2024-06-01,51,76,40,50,0,0,127,90,217
COLOMI,consulta externa,personas de 60 anos y mas,2024-06-01,483,596,111,149,35,42,1079,260,1339
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2024-06-01,83,117,58,99,6,6,200,157,357
COLQUECHACA,consulta externa,personas de 60 anos y mas,2024-06-01,505,567,0,2,1,2,1072,2,1074
COLQUENCHA,consulta externa,personas de 60 anos y mas,2024-06-01,131,177,31,45,0,0,308,76,384
COLQUIRI,consulta externa,personas de 60 anos y mas,2024-06-01,461,419,51,28,25,14,880,79,959
COMANCHE,consulta externa,personas de 60 anos y mas,2024-06-01,113,102,5,2,0,0,215,7,222
COMARAPA,consulta externa,personas de 60 anos y mas,2024-06-01,250,328,71,90,5,2,578,161,739
COMBAYA,consulta externa,personas de 60 anos y mas,2024-06-01,103,101,43,41,0,0,204,84,288
CONCEPCION,consulta externa,personas de 60 anos y mas,2024-06-01,189,193,63,84,0,0,382,147,529
COPACABANA,consulta externa,personas de 60 anos y mas,2024-06-01,189,190,19,34,0,0,379,53,432
CORIPATA,consulta externa,personas de 60 anos y mas,2024-06-01,251,211,62,62,3,3,462,124,586
CORO CORO,consulta externa,personas de 60 anos y mas,2024-06-01,339,289,37,26,0,10,628,63,691
COROICO,consulta externa,personas de 60 anos y mas,2024-06-01,244,220,171,151,18,14,464,322,786
CORQUE,consulta externa,personas de 60 anos y mas,2024-06-01,438,467,29,32,1,1,905,61,966
COTAGAITA,consulta externa,personas de 60 anos y mas,2024-06-01,899,1248,69,115,26,28,2147,184,2331
COTOCA,consulta externa,personas de 60 anos y mas,2024-06-01,857,942,312,390,137,145,1799,702,2501
CRUZ DE MACHACAMARCA,consulta externa,personas de 60 anos y mas,2024-06-01,23,23,1,1,0,0,46,2,48
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2024-06-01,246,253,115,134,1,0,499,249,748
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2024-06-01,68,87,10,21,0,0,155,31,186
CUEVO,consulta externa,personas de 60 anos y mas,2024-06-01,118,163,13,22,0,0,281,35,316
CULPINA,consulta externa,personas de 60 anos y mas,2024-06-01,357,451,42,95,0,0,808,137,945
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2024-06-01,125,145,11,19,4,8,270,30,300
CURVA,consulta externa,personas de 60 anos y mas,2024-06-01,64,83,0,2,4,8,147,2,149
DESAGUADERO,consulta externa,personas de 60 anos y mas,2024-06-01,69,88,23,27,15,31,157,50,207
EL ALTO,consulta externa,personas de 60 anos y mas,2024-06-01,5729,6995,5021,5853,647,741,12724,10874,23598
EL CHORO,consulta externa,personas de 60 anos y mas,2024-06-01,143,161,14,14,0,0,304,28,332
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2024-06-01,245,220,74,48,2,0,465,122,587
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2024-06-01,325,469,97,186,102,115,794,283,1077
EL TORNO,consulta externa,personas de 60 anos y mas,2024-06-01,815,916,479,660,0,0,1731,1139,2870
EL VILLAR,consulta externa,personas de 60 anos y mas,2024-06-01,131,177,39,57,0,0,308,96,404
ENTRE RIOS TRJ,consulta externa,personas de 60 anos y mas,2024-06-01,407,462,182,238,0,0,869,420,1289
ENTRE RIOS CBBA,consulta externa,personas de 60 anos y mas,2024-06-01,510,424,69,86,0,0,934,155,1089
ESCARA,consulta externa,personas de 60 anos y mas,2024-06-01,19,26,0,1,0,0,45,1,46
ESCOMA,consulta externa,personas de 60 anos y mas,2024-06-01,148,100,16,13,0,0,248,29,277
ESMERALDA,consulta externa,personas de 60 anos y mas,2024-06-01,59,54,5,3,4,3,113,8,121
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2024-06-01,173,179,12,15,22,29,352,27,379
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2024-06-01,42,25,7,4,0,0,67,11,78
EXALTACION,consulta externa,personas de 60 anos y mas,2024-06-01,62,43,0,0,0,0,105,0,105
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2024-06-01,320,364,69,73,0,1,684,142,826
FILADELFIA,consulta externa,personas de 60 anos y mas,2024-06-01,122,88,87,60,0,0,210,147,357
GAIOC JATUN AYLLU YURA,consulta externa,personas de 60 anos y mas,2024-06-01,168,258,3,7,0,0,426,10,436
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2024-06-01,338,350,38,43,0,0,688,81,769
GIA-TIM,consulta externa,personas de 60 anos y mas,2024-06-01,28,23,7,1,7,1,51,8,59
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2024-06-01,188,160,21,23,1,4,348,44,392
GUANAY,consulta externa,personas de 60 anos y mas,2024-06-01,169,152,69,68,0,0,321,137,458
GUAQUI,consulta externa,personas de 60 anos y mas,2024-06-01,186,202,26,26,16,16,388,52,440
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2024-06-01,563,588,365,443,65,66,1151,808,1959
GUTIERREZ,consulta externa,personas de 60 anos y mas,2024-06-01,190,285,69,96,0,0,475,165,640
HUACARAJE,consulta externa,personas de 60 anos y mas,2024-06-01,29,34,17,11,1,1,63,28,91
HUACARETA,consulta externa,personas de 60 anos y mas,2024-06-01,193,291,95,132,0,0,484,227,711
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2024-06-01,67,89,28,43,2,1,156,71,227
HUACHACALLA,consulta externa,personas de 60 anos y mas,2024-06-01,25,64,16,11,0,0,89,27,116
HUANUNI,consulta externa,personas de 60 anos y mas,2024-06-01,535,597,221,215,10,5,1132,436,1568
HUARINA,consulta externa,personas de 60 anos y mas,2024-06-01,118,135,188,250,0,0,253,438,691
HUATAJATA,consulta externa,personas de 60 anos y mas,2024-06-01,29,37,46,66,0,0,66,112,178
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2024-06-01,285,270,10,16,0,0,555,26,581
HUMANATA,consulta externa,personas de 60 anos y mas,2024-06-01,97,92,64,60,0,0,189,124,313
ICHOCA,consulta externa,personas de 60 anos y mas,2024-06-01,205,175,29,19,32,31,380,48,428
ICLA,consulta externa,personas de 60 anos y mas,2024-06-01,181,274,80,145,0,0,455,225,680
INCAHUASI,consulta externa,personas de 60 anos y mas,2024-06-01,203,280,33,47,5,13,483,80,563
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2024-06-01,23,13,32,9,0,0,36,41,77
INQUISIVI,consulta externa,personas de 60 anos y mas,2024-06-01,289,235,32,29,12,7,524,61,585
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2024-06-01,299,238,83,66,0,0,537,149,686
IXIAMAS,consulta externa,personas de 60 anos y mas,2024-06-01,189,124,7,6,0,0,313,13,326
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2024-06-01,367,402,142,166,3,4,769,308,1077
LA ASUNTA,consulta externa,personas de 60 anos y mas,2024-06-01,410,270,50,54,143,92,680,104,784
LA GUARDIA,consulta externa,personas de 60 anos y mas,2024-06-01,1474,1785,517,528,37,25,3259,1045,4304
LA PAZ,consulta externa,personas de 60 anos y mas,2024-06-01,17717,24060,18414,26585,509,520,41777,44999,86776
LA RIVERA,consulta externa,personas de 60 anos y mas,2024-06-01,26,21,0,1,0,0,47,1,48
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2024-06-01,108,137,28,55,0,0,245,83,328
LAJA,consulta externa,personas de 60 anos y mas,2024-06-01,276,295,172,210,0,0,571,382,953
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2024-06-01,110,220,19,59,0,0,330,78,408
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2024-06-01,119,90,13,13,2,1,209,26,235
LLALLAGUA,consulta externa,personas de 60 anos y mas,2024-06-01,780,1054,121,132,2,4,1834,253,2087
LLICA,consulta externa,personas de 60 anos y mas,2024-06-01,131,139,11,10,0,0,270,21,291
LORETO,consulta externa,personas de 60 anos y mas,2024-06-01,27,39,21,16,1,1,66,37,103
LURIBAY,consulta externa,personas de 60 anos y mas,2024-06-01,369,304,83,78,0,0,673,161,834
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2024-06-01,115,129,20,50,4,5,244,70,314
MACHARETI,consulta externa,personas de 60 anos y mas,2024-06-01,165,224,95,122,8,13,389,217,606
MAGDALENA,consulta externa,personas de 60 anos y mas,2024-06-01,133,139,60,70,31,27,272,130,402
MAIRANA,consulta externa,personas de 60 anos y mas,2024-06-01,91,114,222,263,0,0,205,485,690
MALLA,consulta externa,personas de 60 anos y mas,2024-06-01,92,93,3,3,0,0,185,6,191
MAPIRI,consulta externa,personas de 60 anos y mas,2024-06-01,245,195,84,72,0,0,440,156,596
MECAPACA,consulta externa,personas de 60 anos y mas,2024-06-01,179,178,44,38,0,0,357,82,439
MINEROS,consulta externa,personas de 60 anos y mas,2024-06-01,299,336,66,77,0,0,635,143,778
MIZQUE,consulta externa,personas de 60 anos y mas,2024-06-01,476,544,352,488,43,34,1020,840,1860
MOCOMOCO,consulta externa,personas de 60 anos y mas,2024-06-01,401,420,53,83,0,0,821,136,957
MOJINETE,consulta externa,personas de 60 anos y mas,2024-06-01,35,36,8,8,0,0,71,16,87
MOJOCOYA,consulta externa,personas de 60 anos y mas,2024-06-01,404,441,44,48,0,0,845,92,937
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2024-06-01,740,985,300,498,56,73,1725,798,2523
MONTERO,consulta externa,personas de 60 anos y mas,2024-06-01,2722,2967,1064,1160,25,25,5689,2224,7913
MORO MORO,consulta externa,personas de 60 anos y mas,2024-06-01,34,44,74,99,0,0,78,173,251
MOROCHATA,consulta externa,personas de 60 anos y mas,2024-06-01,309,365,11,10,112,135,674,21,695
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2024-06-01,38,16,15,9,0,0,54,24,78
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2024-06-01,18,11,2,0,0,0,29,2,31
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2024-06-01,48,35,6,4,0,0,83,10,93
OCURI,consulta externa,personas de 60 anos y mas,2024-06-01,481,515,6,9,0,0,996,15,1011
OKINAWA,consulta externa,personas de 60 anos y mas,2024-06-01,196,203,78,88,0,0,399,166,565
OMEREQUE,consulta externa,personas de 60 anos y mas,2024-06-01,153,177,82,95,2,0,330,177,507
ORURO,consulta externa,personas de 60 anos y mas,2024-06-01,7394,8816,4168,5181,449,554,16210,9349,25559
PADCAYA,consulta externa,personas de 60 anos y mas,2024-06-01,405,624,151,195,64,127,1029,346,1375
PADILLA,consulta externa,personas de 60 anos y mas,2024-06-01,325,361,133,223,2,1,686,356,1042
PAILON,consulta externa,personas de 60 anos y mas,2024-06-01,415,345,223,233,2,0,760,456,1216
PALCA,consulta externa,personas de 60 anos y mas,2024-06-01,389,386,6,8,62,57,775,14,789
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2024-06-01,531,369,162,135,0,0,900,297,1197
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2024-06-01,80,99,3,3,0,0,179,6,185
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2024-06-01,84,114,53,82,0,0,198,135,333
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2024-06-01,172,171,22,29,21,18,343,51,394
PASORAPA,consulta externa,personas de 60 anos y mas,2024-06-01,85,120,115,113,6,6,205,228,433
PATACAMAYA,consulta externa,personas de 60 anos y mas,2024-06-01,326,286,98,117,0,0,612,215,827
PAZÑA,consulta externa,personas de 60 anos y mas,2024-06-01,168,183,20,19,0,0,351,39,390
PELECHUCO,consulta externa,personas de 60 anos y mas,2024-06-01,135,85,3,7,0,0,220,10,230
POCOATA,consulta externa,personas de 60 anos y mas,2024-06-01,1070,1443,4,3,0,0,2513,7,2520
POCONA,consulta externa,personas de 60 anos y mas,2024-06-01,537,705,19,18,0,0,1242,37,1279
POJO (CBBA),consulta externa,personas de 60 anos y mas,2024-06-01,205,205,25,41,0,0,410,66,476
POOPO,consulta externa,personas de 60 anos y mas,2024-06-01,133,150,36,37,1,3,283,73,356
PORCO,consulta externa,personas de 60 anos y mas,2024-06-01,65,102,0,0,0,1,167,0,167
POROMA,consulta externa,personas de 60 anos y mas,2024-06-01,686,798,111,127,6,10,1484,238,1722
PORONGO,consulta externa,personas de 60 anos y mas,2024-06-01,248,225,142,123,1,1,473,265,738
PORTACHUELO,consulta externa,personas de 60 anos y mas,2024-06-01,120,91,155,181,20,18,211,336,547
PORVENIR,consulta externa,personas de 60 anos y mas,2024-06-01,125,111,31,27,0,0,236,58,294
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2024-06-01,27,33,23,23,0,0,60,46,106
POTOSI,consulta externa,personas de 60 anos y mas,2024-06-01,3973,5206,1631,2131,395,617,9179,3762,12941
PRESTO,consulta externa,personas de 60 anos y mas,2024-06-01,399,465,33,44,0,0,864,77,941
PUCARA,consulta externa,personas de 60 anos y mas,2024-06-01,35,34,64,64,0,0,69,128,197
PUCARANI,consulta externa,personas de 60 anos y mas,2024-06-01,593,728,130,181,0,0,1321,311,1632
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2024-06-01,364,367,48,30,1,1,731,78,809
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2024-06-01,244,217,68,51,0,0,461,119,580
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2024-06-01,134,86,112,90,19,13,220,202,422
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2024-06-01,241,243,36,47,0,0,484,83,567
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2024-06-01,164,235,20,45,49,52,399,65,464
PUERTO RICO,consulta externa,personas de 60 anos y mas,2024-06-01,51,31,29,21,0,0,82,50,132
PUERTO SILES,consulta externa,personas de 60 anos y mas,2024-06-01,16,12,0,0,0,0,28,0,28
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2024-06-01,123,128,111,68,18,10,251,179,430
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2024-06-01,886,755,143,148,19,11,1641,291,1932
PUNA,consulta externa,personas de 60 anos y mas,2024-06-01,1053,1483,13,10,92,97,2536,23,2559
PUNATA,consulta externa,personas de 60 anos y mas,2024-06-01,791,1194,1003,1438,4,5,1985,2441,4426
QUIABAYA,consulta externa,personas de 60 anos y mas,2024-06-01,72,81,12,23,0,0,153,35,188
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2024-06-01,2270,3093,1706,2308,43,74,5363,4014,9377
QUIME,consulta externa,personas de 60 anos y mas,2024-06-01,133,106,53,32,0,1,239,85,324
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2024-06-01,54,78,45,56,0,0,132,101,233
RAQAYPAMPA(ETA),consulta externa,personas de 60 anos y mas,2024-06-01,201,262,5,7,12,17,463,12,475
RAVELO,consulta externa,personas de 60 anos y mas,2024-06-01,1109,1281,9,6,0,0,2390,15,2405
REYES,consulta externa,personas de 60 anos y mas,2024-06-01,230,220,2,1,6,5,450,3,453
RIBERALTA,consulta externa,personas de 60 anos y mas,2024-06-01,1788,1802,1106,1127,183,115,3590,2233,5823
ROBORE,consulta externa,personas de 60 anos y mas,2024-06-01,274,280,249,300,101,102,554,549,1103
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2024-06-01,445,396,141,170,46,56,841,311,1152
SABAYA,consulta externa,personas de 60 anos y mas,2024-06-01,132,125,23,27,8,4,257,50,307
SACABA,consulta externa,personas de 60 anos y mas,2024-06-01,2175,2966,1327,1884,280,408,5141,3211,8352
SACABAMBA,consulta externa,personas de 60 anos y mas,2024-06-01,118,159,66,107,0,0,277,173,450
SACACA,consulta externa,personas de 60 anos y mas,2024-06-01,501,655,4,2,0,0,1156,6,1162
SAIPINA,consulta externa,personas de 60 anos y mas,2024-06-01,142,128,59,74,0,0,270,133,403
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2024-06-01,339,375,43,53,27,14,714,96,810
SAMAIPATA,consulta externa,personas de 60 anos y mas,2024-06-01,230,218,132,132,0,0,448,264,712
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2024-06-01,46,76,0,0,9,14,122,0,122
SAN ANDRES,consulta externa,personas de 60 anos y mas,2024-06-01,145,108,51,38,22,6,253,89,342
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2024-06-01,190,230,33,30,0,0,420,63,483
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2024-06-01,38,42,2,0,0,0,80,2,82
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2024-06-01,77,70,11,17,0,0,147,28,175
SAN BENITO,consulta externa,personas de 60 anos y mas,2024-06-01,245,375,217,386,0,0,620,603,1223
SAN BORJA,consulta externa,personas de 60 anos y mas,2024-06-01,568,570,167,195,98,119,1138,362,1500
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2024-06-01,119,128,32,49,0,0,247,81,328
SAN CARLOS,consulta externa,personas de 60 anos y mas,2024-06-01,345,270,33,15,0,0,615,48,663
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2024-06-01,272,270,69,74,22,17,542,143,685
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2024-06-01,612,650,251,239,0,0,1262,490,1752
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2024-06-01,28,44,17,14,14,17,72,31,103
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2024-06-01,155,191,0,1,0,0,346,1,347
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2024-06-01,63,93,22,34,0,0,156,56,212
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2024-06-01,230,219,43,41,0,0,449,84,533
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2024-06-01,131,119,0,4,0,0,250,4,254
SAN JULIAN,consulta externa,personas de 60 anos y mas,2024-06-01,964,837,328,281,4,3,1801,609,2410
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2024-06-01,30,43,22,20,0,0,73,42,115
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2024-06-01,755,954,68,97,0,0,1709,165,1874
SAN LUCAS,consulta externa,personas de 60 anos y mas,2024-06-01,1171,1541,74,104,16,15,2712,178,2890
SAN MATIAS,consulta externa,personas de 60 anos y mas,2024-06-01,174,156,197,225,1,2,330,422,752
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2024-06-01,192,188,98,150,0,0,380,248,628
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2024-06-01,93,109,5,3,1,5,202,8,210
SAN PEDRO,consulta externa,personas de 60 anos y mas,2024-06-01,334,287,56,60,0,0,621,116,737
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2024-06-01,820,918,0,2,20,27,1738,2,1740
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2024-06-01,136,136,9,7,0,0,272,16,288
SAN PEDRO DE MACHA,consulta externa,personas de 60 anos y mas,2024-06-01,654,818,3,2,0,0,1472,5,1477
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2024-06-01,19,23,2,2,0,0,42,4,46
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2024-06-01,58,60,187,244,0,0,118,431,549
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2024-06-01,70,47,5,8,0,0,117,13,130
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2024-06-01,93,69,57,84,0,0,162,141,303
SAN RAMON BENI,consulta externa,personas de 60 anos y mas,2024-06-01,79,124,22,32,0,0,203,54,257
SAN RAMON SCZ,consulta externa,personas de 60 anos y mas,2024-06-01,88,95,18,18,0,0,183,36,219
SANTA ANA,consulta externa,personas de 60 anos y mas,2024-06-01,180,220,70,82,0,0,400,152,552
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2024-06-01,21802,25577,13548,23636,2678,3755,47379,37184,84563
SANTA ROSA,consulta externa,personas de 60 anos y mas,2024-06-01,146,130,67,61,8,6,276,128,404
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2024-06-01,412,368,37,32,84,62,780,69,849
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2024-06-01,245,274,18,20,0,0,519,38,557
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2024-06-01,421,447,13,23,0,1,868,36,904
SANTIAGO DE HUATA,consulta externa,personas de 60 anos y mas,2024-06-01,191,191,85,105,0,0,382,190,572
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2024-06-01,146,204,21,30,0,0,350,51,401
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2024-06-01,281,411,72,127,0,0,692,199,891
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2024-06-01,101,127,76,77,165,223,228,153,381
