,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO PRIMERA,NINOS DE 6 MESES A < 1 AÑO PRIMERA,TOTALES,TOTALES,TOTALES
NAZACARA DE PACAJES,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,1,0,1,1,0,0,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,4,4,0,0,0,0,8,0,8
OCURI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,29,30,0,2,0,0,59,2,61
OKINAWA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,27,26,6,8,0,0,53,14,67
OMEREQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,12,13,11,9,0,0,25,20,45
ORURO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,970,863,218,247,128,115,1833,465,2298
PADCAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,41,26,6,6,9,2,67,12,79
PADILLA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,33,28,5,2,0,1,61,7,68
PAILON,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,68,89,13,10,1,1,157,23,180
PALCA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,56,37,3,1,15,7,93,4,97
PALOS BLANCOS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,98,87,7,14,0,0,185,21,206
PAMPA AULLAGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,10,3,0,0,0,0,13,0,13
PAMPA GRANDE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,21,7,4,0,0,0,28,4,32
PAPEL PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,6,4,1,2,1,1,10,3,13
PASORAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,3,5,2,11,0,0,8,13,21
PATACAMAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,46,49,6,11,0,0,95,17,112
PAZÑA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,7,1,1,2,0,0,8,3,11
PELECHUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,30,27,2,5,2,1,57,7,64
POCOATA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,31,32,0,0,0,0,63,0,63
POCONA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,14,8,3,0,0,0,22,3,25
POJO (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,17,28,8,9,0,0,45,17,62
POOPO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,15,10,5,7,0,0,25,12,37
PORCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,18,23,0,1,0,0,41,1,42
POROMA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,29,19,3,9,2,2,48,12,60
PORONGO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,19,17,11,11,0,0,36,22,58
PORTACHUELO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,12,12,12,13,1,0,24,25,49
PORVENIR,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,17,12,5,0,0,0,29,5,34
POSTRER VALLE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,1,0,1,0,0,0,1,1,2
POTOSI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,588,490,78,66,43,35,1078,144,1222
PRESTO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,14,19,0,0,0,0,33,0,33
PUCARA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,3,0,0,0,0,0,3,0,3
PUCARANI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,76,52,16,5,0,0,128,21,149
PUERTO ACOSTA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,4,11,1,3,0,0,15,4,19
PUERTO CARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,14,14,1,0,0,0,28,1,29
PUERTO GONZALO MORENO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,27,23,14,20,0,2,50,34,84
PUERTO PEREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,14,14,2,2,0,0,28,4,32
PUERTO QUIJARRO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,37,47,1,1,6,4,84,2,86
PUERTO RICO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,2,4,0,0,0,0,6,0,6
PUERTO SILES,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,0,4,0,0,0,0,4,0,4
PUERTO SUAREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,29,14,0,0,3,0,43,0,43
PUERTO VILLARROEL,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,362,327,25,20,6,9,689,45,734
PUNA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,23,31,0,0,4,6,54,0,54
PUNATA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,73,90,82,76,0,0,163,158,321
QUIABAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,5,6,3,0,0,0,11,3,14
QUILLACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,423,458,154,161,11,11,881,315,1196
QUIME,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,8,6,6,1,0,1,14,7,21
QUIRUSILLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,5,2,0,0,0,0,7,0,7
RAQAYPAMPA(ETA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,16,22,8,2,2,3,38,10,48
RAVELO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,17,13,0,0,0,0,30,0,30
REYES,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,12,25,0,0,0,1,37,0,37
RIBERALTA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,283,254,25,32,32,21,537,57,594
ROBORE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,19,16,3,3,3,1,35,6,41
RURRENABAQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,65,51,6,4,2,3,116,10,126
SABAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,7,13,3,6,0,0,20,9,29
SACABA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,566,523,88,76,86,108,1089,164,1253
SACABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,5,1,1,3,0,0,6,4,10
SACACA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,28,35,0,1,0,0,63,1,64
SAIPINA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,9,7,3,0,0,0,16,3,19
SALINAS DE GARCI MENDOZA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,15,5,0,1,1,1,20,1,21
SAMAIPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,13,14,2,7,0,0,27,9,36
SAN AGUSTIN,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,1,2,0,0,2,0,3,0,3
SAN ANDRES,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,15,27,14,9,1,1,42,23,65
SAN ANDRES DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,3,0,7,5,0,0,3,12,15
SAN ANTONIO DE ESMORUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,0,7,0,0,0,0,7,0,7
SAN ANTONIO DE LOMERIO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,14,9,0,3,0,0,23,3,26
SAN BENITO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,37,19,7,9,0,0,56,16,72
SAN BORJA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,93,79,53,37,24,25,172,90,262
SAN BUENA VENTURA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,13,24,0,2,0,0,37,2,39
SAN CARLOS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,24,13,1,2,0,0,37,3,40
SAN IGNACIO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,49,46,11,5,1,9,95,16,111
SAN IGNACIO DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,91,109,9,13,0,0,200,22,222
SAN JAVIER(BNI),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,2,4,2,2,1,6,6,4,10
SAN JAVIER(STC),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,13,15,0,0,0,0,28,0,28
SAN JOAQUIN,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,22,27,0,0,0,0,49,0,49
SAN JOSE DE CHIQUITOS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,37,21,0,1,0,0,58,1,59
SAN JUAN DE YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,16,10,3,4,0,0,26,7,33
SAN JULIAN,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,128,135,24,24,0,0,263,48,311
SAN LORENZO(PND),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,16,31,2,1,0,0,47,3,50
SAN LORENZO(TJA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,79,65,2,6,0,0,144,8,152
SAN LUCAS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,96,66,4,5,0,1,162,9,171
SAN MATIAS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,34,26,5,4,0,1,60,9,69
SAN MIGUEL DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,19,19,1,2,0,0,38,3,41
SAN PABLO DE LIPEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,6,4,0,0,0,0,10,0,10
SAN PEDRO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,39,50,3,4,0,0,89,7,96
SAN PEDRO DE BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,41,30,0,0,0,0,71,0,71
SAN PEDRO DE CURAHUARA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,8,6,0,1,0,0,14,1,15
SAN PEDRO DE MACHA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,26,32,0,0,0,0,58,0,58
SAN PEDRO DE QUEMES,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,0,1,0,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,9,7,4,6,0,0,16,10,26
SAN PEDRO(PND),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,3,5,0,0,0,0,8,0,8
SAN RAFAEL,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,23,30,13,16,0,0,53,29,82
SAN RAMON BENI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,23,16,0,1,0,0,39,1,40
SAN RAMON SCZ,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,10,15,2,1,0,0,25,3,28
SANTA ANA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,25,18,23,23,0,0,43,46,89
SANTA CRUZ DE LA SIERRA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,2695,2531,1093,854,354,306,5226,1947,7173
SANTA ROSA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,20,20,0,0,2,3,40,0,40
SANTA ROSA DEL SARA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,35,32,3,4,3,7,67,7,74
SANTIAGO DE CALLAPA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,3,1,1,2,0,0,4,3,7
SANTIAGO DE HUARI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,8,4,2,1,0,0,12,3,15
SANTIAGO DE HUATA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,6,3,0,0,0,0,9,0,9
SANTIAGO DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,1,1,0,0,0,0,2,0,2
SANTIVAÑES,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,16,34,1,0,0,0,50,1,51
SANTUARIO DE QUILLACAS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,7,1,0,0,7,3,8,0,8
SAPAHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,10,7,6,3,2,0,17,9,26
SENA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,32,27,0,1,0,0,59,1,60
SHINAOTA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,104,111,6,5,13,15,215,11,226
SICA SICA (VILLA AROMA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,35,34,0,4,0,0,69,4,73
SICAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,5,8,3,7,0,0,13,10,23
SIPE SIPE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,184,143,66,73,0,0,327,139,466
SOPACHUY,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,11,11,0,6,0,0,22,6,28
SORACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,14,19,0,0,0,0,33,0,33
SORATA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,43,37,9,4,0,0,80,13,93
SUCRE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,907,870,106,141,10,4,1777,247,2024
TACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,2,2,0,0,0,0,4,0,4
TACACOMA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,20,25,0,1,0,0,45,1,46
TACOBAMBA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,18,10,0,0,0,0,28,0,28
TACOPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,10,20,0,0,0,0,30,0,30
TAHUA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,3,0,0,0,0,0,3,0,3
TAPACARI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,48,45,5,3,0,0,93,8,101
TARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,30,30,0,1,0,0,60,1,61
TARACO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,6,6,2,0,0,0,12,2,14
TARATA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,22,19,0,4,0,0,41,4,45
TARIJA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,731,603,297,239,34,45,1334,536,1870
TARVITA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,47,41,4,6,1,1,88,10,98
TEOPONTE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,24,17,6,4,0,0,41,10,51
TIAHUANACU,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,10,14,10,13,0,0,24,23,47
TINGUIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,19,31,0,0,2,1,50,0,50
TIPUANI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,21,25,5,9,0,0,46,14,60
TIQUIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,217,230,18,22,0,0,447,40,487
TIRAQUE (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,34,29,21,34,1,2,63,55,118
TITO YUPANQUI (PARQUIPUJIO),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,1,0,0,0,0,0,1,0,1
TOCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,12,7,1,1,0,0,19,2,21
TOLATA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,24,17,8,6,0,0,41,14,55
TOLEDO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,2,5,0,1,0,0,7,1,8
TOMAVE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,11,13,1,0,0,0,24,1,25
TOMINA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,20,16,0,0,0,1,36,0,36
TORO TORO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,35,20,0,0,0,0,55,0,55
TOTORA(CBBA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,55,58,5,2,0,0,113,7,120
TOTORA(ORR),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,5,8,0,0,0,0,13,0,13
TRIGAL,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,1,4,1,0,0,0,5,1,6
TRINIDAD,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,220,171,30,22,40,27,391,52,443
TUPIZA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,124,95,25,11,6,8,219,36,255
TURCO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,6,2,1,0,0,0,8,1,9
UMALA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,8,11,6,3,0,0,19,9,28
UNCIA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,54,51,4,3,0,0,105,7,112
URIONDO (A. CONCEPCION),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,41,63,5,12,16,19,104,17,121
URUBICHA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,9,23,1,0,0,0,32,1,33
UYUNI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,55,60,9,6,0,1,115,15,130
VACAS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,15,12,3,0,0,0,27,3,30
VALLEGRANDE,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,24,23,35,26,3,1,47,61,108
VIACHA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,168,179,71,83,6,5,347,154,501
VILA VILA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,9,3,0,0,0,0,12,0,12
VILLA CHARCAS,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,47,29,0,0,7,3,76,0,76
VILLA MONTES,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,102,67,22,11,3,3,169,33,202
VILLA NUEVA (LOMA ALTA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,12,6,4,1,0,1,18,5,23
VILLA RIVERO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,21,20,11,6,0,0,41,17,58
VILLA SERRANO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,15,23,11,10,0,0,38,21,59
VILLA TUNARI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,390,407,51,49,3,5,797,100,897
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,20,20,8,6,0,0,40,14,54
VILLAZON,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,67,53,7,4,12,12,120,11,131
VINTO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,203,224,45,33,0,0,427,78,505
VITICHI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,9,15,0,0,0,0,24,0,24
WALDO BALLIVIAN,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,1,0,7,5,0,0,1,12,13
WARNES,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,306,192,39,35,8,2,498,74,572
YACO,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,30,18,7,4,0,0,48,11,59
YACUIBA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,240,194,32,27,48,39,434,59,493
YAMPARAEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,21,25,1,1,0,1,46,2,48
YANACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,6,9,0,1,0,0,15,1,16
YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,118,126,37,20,2,2,244,57,301
YOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,13,7,1,0,0,0,20,1,21
YOTALA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,18,18,2,4,1,0,36,6,42
YUNCHARA,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,14,22,1,0,0,0,36,1,37
YUNGUYO DE LITORAL,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,1,0,0,0,0,0,1,0,1
ZUDAÑEZ,consulta externa,ninos de 6 meses a < 1 ano,2024-06-01,10,20,9,6,0,0,30,15,45
ACACIO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,8,5,0,0,0,0,13,0,13
ACHACACHI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,44,53,18,17,0,0,97,35,132
ACHOCALLA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,36,32,36,32,0,0,68,68,136
AIQUILE,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,37,32,63,41,12,9,69,104,173
ALALAY,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,6,2,1,3,1,1,8,4,12
ALCALA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,5,4,0,1,1,1,9,1,10
ALTO BENI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,36,41,0,0,0,0,77,0,77
ANCORAIMES,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,2,7,3,5,1,0,9,8,17
ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,3,2,1,0,0,0,5,1,6
ANTEQUERA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,3,5,1,2,0,0,8,3,11
ANZALDO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,5,18,1,4,0,0,23,5,28
APOLO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,61,49,29,33,2,2,110,62,172
ARAMPAMPA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,4,1,1,1,0,0,5,2,7
ARANI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,15,10,3,1,0,0,25,4,29
ARBIETO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,86,63,6,7,0,0,149,13,162
ARQUE,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,22,31,0,0,0,0,53,0,53
ASCENCION DE GUARAYOS,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,29,28,4,4,48,42,57,8,65
ATOCHA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,41,42,8,6,1,1,83,14,97
AUCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,25,19,0,1,1,3,44,1,45
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,22,11,0,0,0,0,33,0,33
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,22,13,1,5,0,0,35,6,41
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,64,57,8,11,2,4,121,19,140
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,27,27,5,4,0,0,54,9,63
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,13,7,10,9,0,0,20,19,39
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,8,8,0,0,0,0,16,0,16
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,1,1,0,0,0,0,2,0,2
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,3,1,0,0,2,0,4,0,4
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,14,11,6,5,0,0,25,11,36
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,166,153,23,20,2,1,319,43,362
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,53,44,8,2,0,0,97,10,107
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,7,13,2,10,0,0,20,12,32
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,5,3,1,0,0,0,8,1,9
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,7,6,1,0,0,0,13,1,14
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,16,29,2,0,0,0,45,2,47
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,73,66,10,1,0,0,139,11,150
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,33,20,1,1,0,0,53,2,55
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,28,21,1,1,0,0,49,2,51
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,33,30,4,2,3,4,63,6,69
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,7,3,0,0,0,0,10,0,10
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,24,12,2,1,0,0,36,3,39
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,32,29,3,6,0,0,61,9,70
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,4,8,1,0,0,0,12,1,13
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,54,39,3,2,0,1,93,5,98
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,68,91,9,14,0,0,159,23,182
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,24,19,2,1,0,0,43,3,46
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,42,62,2,1,6,5,104,3,107
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,153,114,27,21,4,1,267,48,315
CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,1,0,0,0,0,0,1,0,1
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,49,39,4,13,1,6,88,17,105
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,10,10,0,0,0,0,20,0,20
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,3,7,0,1,0,1,10,1,11
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,10,2,2,1,0,0,12,3,15
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,6,1,0,0,0,0,7,0,7
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,31,40,8,6,6,13,71,14,85
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,12,7,0,0,0,0,19,0,19
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,89,80,28,19,0,0,169,47,216
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,4,5,0,3,0,0,9,3,12
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,20,26,5,7,2,6,46,12,58
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,106,90,12,16,0,0,196,28,224
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,10,3,0,0,0,0,13,0,13
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,3,0,0,0,0,0,3,0,3
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,3,4,10,10,0,0,7,20,27
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,22,29,4,4,8,5,51,8,59
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,10,17,0,2,1,2,27,2,29
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,15,8,0,0,0,0,23,0,23
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2024-07-01,17,17,0,0,1,1,34,0,34
