municipality,group,variable,month,12.2 Nacidos vivos atendidos por personal de salud,TOTAL
UMALA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,7,7
UNCIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,7,7
UYUNI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,6,6
VACAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,10,10
VIACHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,4,4
VILA VILA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,4,4
VILLA CHARCAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,11,11
VILLA MONTES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,2,2
VILLA RIVERO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,3,3
VILLA SERRANO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,3,3
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,2,2
VILLAZON,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,1,1
VINTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,5,5
VITICHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,8,8
WALDO BALLIVIAN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,2,2
WARNES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,2,2
YACO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,2,2
YACUIBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,1,1
YAMPARAEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,1,1
YANACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,2,2
YAPACANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,1,1
YOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,3,3
YOTALA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,1,1
YUNCHARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,1,1
ZUDAÑEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-06-01,4,4
ACACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
ACHACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,17,17
ACHOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
AIQUILE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
ALALAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
ANCORAIMES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,17,17
ANDAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
ANZALDO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
APOLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
ARAMPAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
ARANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
ARBIETO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
ARQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,12,12
ASCENCION DE GUARAYOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
ATOCHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
AUCAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
AYATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,11,11
AYO AYO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,14,14
AZURDUY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,13,13
BATALLAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
BELEN DE ANDAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
BELEN DE URMIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
BELLA FLOR,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
BETANZOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,12,12
BOLIVAR,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
BUENA VISTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CABEZAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CAIROMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
"CAIZA ""D""",atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
CAJUATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CALACOTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,6,6
CALAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
CAMARGO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
CAPINOTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CAQUIAVIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
CARACOLLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
CARANAVI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
CARIPUYO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,12,12
CATACORA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CHACARILLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CHALLAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,13,13
CHAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
CHARAGUA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
CHARAÑA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CHAYANTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,12,12
CHIMORE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
CHIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
CHUA COCANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CHUMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
CKOCHAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,19,19
COCAPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,11,11
COCHABAMBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
"COLCHA ""K""",atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,14,14
COLLANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
COLOMI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
COLQUECHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,34,34
COLQUENCHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
COLQUIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
COMANCHE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
COMBAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
CONCEPCION,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,6,6
COPACABANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
CORIPATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
CORO CORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
CORQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
COTAGAITA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
COTOCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
CULPINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
CURVA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
DESAGUADERO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
EL ALTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
EL CHORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
EL PUENTE(STC),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
EL PUENTE(TJA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
EL VILLAR,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
ENTRE RIOS TRJ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,6,6
ENTRE RIOS CBBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
ESMERALDA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
EUCALIPTUS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
EUREKA (SANTOS MERCADO),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
FILADELFIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,9,9
GUANAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
GUAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
GUAYARAMERIN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
GUTIERREZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
HUACAYA (VILLA DE HUACAYA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
HUANUNI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
HUARINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
HUAYLLAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
HUMANATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
ICHOCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
ICLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
INCAHUASI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,13,13
INGAVI (HUMAITA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
INQUISIVI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,11,11
IRUPANA (VILLA DE LANZA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
IXIAMAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
JESUS DE MACHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
LA ASUNTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,11,11
LA GUARDIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
LAJA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,6,6
LLALLAGUA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
LLICA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
LORETO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
LURIBAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
MACHARETI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
MAGDALENA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
MALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
MAPIRI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
MECAPACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,9,9
MIZQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,10,10
MOCOMOCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,17,17
MOJOCOYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
MONTEAGUDO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
MOROCHATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
OCURI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,16,16
ORURO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,12,12
PADCAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
PAILON,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
PALCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
PALOS BLANCOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
PAMPA AULLAGAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
PAPEL PAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
PASORAPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
PATACAMAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
PAZÑA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
PELECHUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
POCOATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,27,27
POCONA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
POJO (CBBA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
POOPO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
PORCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
POROMA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,12,12
PORONGO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
PORTACHUELO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
POTOSI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
PRESTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,6,6
PUCARANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,17,17
PUERTO ACOSTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,6,6
PUERTO CARABUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
PUERTO PEREZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
PUERTO QUIJARRO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
PUERTO VILLARROEL,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
PUNA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,10,10
QUILLACOLLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
QUIME,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
RAVELO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,15,15
REYES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
RIBERALTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SABAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
SACABA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,14,14
SACACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,11,11
SALINAS DE GARCI MENDOZA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
SAN AGUSTIN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
SAN ANDRES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SAN ANDRES DE MACHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
SAN ANTONIO DE ESMORUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SAN ANTONIO DE LOMERIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SAN BORJA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,12,12
SAN CARLOS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SAN IGNACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
SAN IGNACIO DE VELASCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
SAN JAVIER(STC),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SAN LORENZO(TJA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SAN LUCAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,15,15
SAN MIGUEL DE VELASCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SAN PABLO DE LIPEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
SAN PEDRO DE BUENA VISTA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,23,23
SAN PEDRO DE CURAHUARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SAN PEDRO DE QUEMES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SAN PEDRO DE TIQUINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SAN RAFAEL,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SANTA ANA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SANTA CRUZ DE LA SIERRA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SANTA ROSA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
SANTIAGO DE CALLAPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SANTIAGO DE HUARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
SANTIAGO DE HUATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
SANTIAGO DE MACHACA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
SANTUARIO DE QUILLACAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
SAPAHAQUI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
SENA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SICA SICA (VILLA AROMA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
SICAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SIPE SIPE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SOPACHUY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
SORACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
SORATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,9,9
SUCRE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
TACOBAMBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,13,13
TACOPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
TAPACARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,34,34
TARABUCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
TARACO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
TARATA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
TARIJA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
TARVITA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
TEOPONTE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
TIAWANACU,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
TINGUIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,13,13
TIQUIPAYA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
TIRAQUE (CBBA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
TOLEDO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
TOMAVE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,6,6
TOMINA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
TORO TORO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,13,13
TOTORA(CBBA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
TOTORA(ORR),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
TRINIDAD,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
TUPIZA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,17,17
TURCO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
UMALA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
UNCIA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
UYUNI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
VACAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
VIACHA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,5,5
VILA VILA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
VILLA CHARCAS,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,9,9
VILLA MONTES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
VILLA NUEVA (LOMA ALTA),atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
VILLA SERRANO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
VILLA TUNARI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,12,12
VINTO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,8,8
VITICHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
WALDO BALLIVIAN,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,3,3
YACO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,4,4
YACUIBA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
YAMPARAEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,1,1
YAPACANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
YOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
YUNCHARA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,7,7
ZUDAÑEZ,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-07-01,2,2
ACACIO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,4,4
ACHACACHI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,10,10
ACHOCALLA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,8,8
ALALAY,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,1,1
ALTO BENI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,2,2
ANCORAIMES,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,16,16
ANDAMARCA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,2,2
ANZALDO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,2,2
APOLO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,5,5
ARAMPAMPA,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,2,2
ARANI,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,1,1
ARBIETO,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,4,4
ARQUE,atencion de partos en domicilio,      nacidos vivos atendidos por personal de salud,2014-08-01,7,7
