,group,variable,month,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS NUEVO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTAL 1.5 PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
YACUIBA,consulta externa, personas de 60 anos y mas,2014-07-01,1180,1548,307,414,1487,1962,3449
YAMPARAEZ,consulta externa, personas de 60 anos y mas,2014-07-01,120,198,16,11,136,209,345
YANACACHI,consulta externa, personas de 60 anos y mas,2014-07-01,87,52,26,12,113,64,177
YAPACANI,consulta externa, personas de 60 anos y mas,2014-07-01,504,446,88,93,592,539,1131
YOCALLA,consulta externa, personas de 60 anos y mas,2014-07-01,111,119,0,1,111,120,231
YOTALA,consulta externa, personas de 60 anos y mas,2014-07-01,120,218,28,80,148,298,446
YUNCHARA,consulta externa, personas de 60 anos y mas,2014-07-01,111,171,1,6,112,177,289
YUNGUYO DE LITORAL,consulta externa, personas de 60 anos y mas,2014-07-01,5,9,0,0,5,9,14
ZUDAÑEZ,consulta externa, personas de 60 anos y mas,2014-07-01,108,115,14,8,122,123,245
ACACIO,consulta externa, personas de 60 anos y mas,2014-08-01,41,85,0,1,41,86,127
ACHACACHI,consulta externa, personas de 60 anos y mas,2014-08-01,508,590,125,269,633,859,1492
ACHOCALLA,consulta externa, personas de 60 anos y mas,2014-08-01,78,62,9,13,87,75,162
AIQUILE,consulta externa, personas de 60 anos y mas,2014-08-01,216,257,65,72,281,329,610
ALALAY,consulta externa, personas de 60 anos y mas,2014-08-01,7,13,0,0,7,13,20
ALCALA,consulta externa, personas de 60 anos y mas,2014-08-01,56,79,1,4,57,83,140
ALTO BENI,consulta externa, personas de 60 anos y mas,2014-08-01,214,138,8,7,222,145,367
ANCORAIMES,consulta externa, personas de 60 anos y mas,2014-08-01,110,145,24,47,134,192,326
ANDAMARCA,consulta externa, personas de 60 anos y mas,2014-08-01,49,59,8,5,57,64,121
ANTEQUERA,consulta externa, personas de 60 anos y mas,2014-08-01,35,32,1,1,36,33,69
ANZALDO,consulta externa, personas de 60 anos y mas,2014-08-01,86,143,25,41,111,184,295
APOLO,consulta externa, personas de 60 anos y mas,2014-08-01,120,140,16,17,136,157,293
ARAMPAMPA,consulta externa, personas de 60 anos y mas,2014-08-01,36,33,0,0,36,33,69
ARANI,consulta externa, personas de 60 anos y mas,2014-08-01,57,102,2,1,59,103,162
ARBIETO,consulta externa, personas de 60 anos y mas,2014-08-01,59,90,46,50,105,140,245
ARQUE,consulta externa, personas de 60 anos y mas,2014-08-01,66,101,2,6,68,107,175
ASCENCION DE GUARAYOS,consulta externa, personas de 60 anos y mas,2014-08-01,152,117,9,6,161,123,284
ATOCHA,consulta externa, personas de 60 anos y mas,2014-08-01,123,181,16,15,139,196,335
AUCAPATA,consulta externa, personas de 60 anos y mas,2014-08-01,89,91,2,6,91,97,188
AYATA,consulta externa, personas de 60 anos y mas,2014-08-01,97,117,14,14,111,131,242
AYO AYO,consulta externa, personas de 60 anos y mas,2014-08-01,73,70,2,2,75,72,147
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, personas de 60 anos y mas,2014-08-01,205,251,10,12,215,263,478
AZURDUY,consulta externa, personas de 60 anos y mas,2014-08-01,118,148,1,4,119,152,271
BATALLAS,consulta externa, personas de 60 anos y mas,2014-08-01,223,226,22,16,245,242,487
BAURES,consulta externa, personas de 60 anos y mas,2014-08-01,49,47,4,3,53,50,103
BELEN DE ANDAMARCA,consulta externa, personas de 60 anos y mas,2014-08-01,41,73,6,3,47,76,123
BELEN DE URMIRI,consulta externa, personas de 60 anos y mas,2014-08-01,29,34,0,2,29,36,65
BELLA FLOR,consulta externa, personas de 60 anos y mas,2014-08-01,24,10,3,1,27,11,38
BERMEJO,consulta externa, personas de 60 anos y mas,2014-08-01,754,937,47,86,801,1023,1824
BETANZOS,consulta externa, personas de 60 anos y mas,2014-08-01,385,574,18,71,403,645,1048
BOLIVAR,consulta externa, personas de 60 anos y mas,2014-08-01,43,44,1,1,44,45,89
BOLPEBRA,consulta externa, personas de 60 anos y mas,2014-08-01,35,23,3,0,38,23,61
BOYUIBE,consulta externa, personas de 60 anos y mas,2014-08-01,33,66,11,35,44,101,145
BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-08-01,206,158,12,8,218,166,384
CABEZAS,consulta externa, personas de 60 anos y mas,2014-08-01,224,263,18,26,242,289,531
CAIROMA,consulta externa, personas de 60 anos y mas,2014-08-01,148,177,13,18,161,195,356
"CAIZA ""D""",consulta externa, personas de 60 anos y mas,2014-08-01,131,236,1,1,132,237,369
CAJUATA,consulta externa, personas de 60 anos y mas,2014-08-01,156,125,4,1,160,126,286
CALACOTO,consulta externa, personas de 60 anos y mas,2014-08-01,150,119,7,11,157,130,287
CALAMARCA,consulta externa, personas de 60 anos y mas,2014-08-01,224,219,29,49,253,268,521
CAMARGO,consulta externa, personas de 60 anos y mas,2014-08-01,271,415,94,159,365,574,939
CAMATAQUI (C. VILLA ABECIA),consulta externa, personas de 60 anos y mas,2014-08-01,52,82,1,0,53,82,135
CAMIRI,consulta externa, personas de 60 anos y mas,2014-08-01,631,780,133,191,764,971,1735
CAPINOTA,consulta externa, personas de 60 anos y mas,2014-08-01,141,199,102,107,243,306,549
CAQUIAVIRI,consulta externa, personas de 60 anos y mas,2014-08-01,158,158,49,40,207,198,405
CARACOLLO,consulta externa, personas de 60 anos y mas,2014-08-01,188,169,20,20,208,189,397
CARANAVI,consulta externa, personas de 60 anos y mas,2014-08-01,356,235,135,102,491,337,828
CARANGAS,consulta externa, personas de 60 anos y mas,2014-08-01,4,11,1,1,5,12,17
CARAPARI,consulta externa, personas de 60 anos y mas,2014-08-01,176,189,5,12,181,201,382
CARIPUYO,consulta externa, personas de 60 anos y mas,2014-08-01,46,71,0,0,46,71,117
CARMEN RIVERO TORREZ,consulta externa, personas de 60 anos y mas,2014-08-01,20,58,10,7,30,65,95
CATACORA,consulta externa, personas de 60 anos y mas,2014-08-01,24,29,2,7,26,36,62
CHACARILLA,consulta externa, personas de 60 anos y mas,2014-08-01,36,51,3,4,39,55,94
CHALLAPATA,consulta externa, personas de 60 anos y mas,2014-08-01,221,253,59,106,280,359,639
CHAQUI,consulta externa, personas de 60 anos y mas,2014-08-01,127,213,8,4,135,217,352
CHARAGUA,consulta externa, personas de 60 anos y mas,2014-08-01,260,344,39,57,299,401,700
CHARAÑA,consulta externa, personas de 60 anos y mas,2014-08-01,45,34,10,16,55,50,105
CHAYANTA,consulta externa, personas de 60 anos y mas,2014-08-01,112,241,10,28,122,269,391
CHIMORE,consulta externa, personas de 60 anos y mas,2014-08-01,111,123,20,15,131,138,269
CHIPAYA,consulta externa, personas de 60 anos y mas,2014-08-01,12,11,0,0,12,11,23
CHOQUE COTA,consulta externa, personas de 60 anos y mas,2014-08-01,14,9,0,2,14,11,25
CHUA COCANI,consulta externa, personas de 60 anos y mas,2014-08-01,69,56,62,29,131,85,216
CHULUMANI (V. DE LA LIBERTAD),consulta externa, personas de 60 anos y mas,2014-08-01,78,74,10,22,88,96,184
CHUMA,consulta externa, personas de 60 anos y mas,2014-08-01,247,289,31,25,278,314,592
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, personas de 60 anos y mas,2014-08-01,32,45,0,0,32,45,77
CKOCHAS,consulta externa, personas de 60 anos y mas,2014-08-01,107,144,2,6,109,150,259
CLIZA,consulta externa, personas de 60 anos y mas,2014-08-01,81,182,85,107,166,289,455
COBIJA,consulta externa, personas de 60 anos y mas,2014-08-01,22628,572,181,115,22809,687,23496
COCAPATA,consulta externa, personas de 60 anos y mas,2014-08-01,82,88,2,2,84,90,174
COCHABAMBA,consulta externa, personas de 60 anos y mas,2014-08-01,7252,8820,7644,9827,14896,18647,33543
COIPASA,consulta externa, personas de 60 anos y mas,2014-08-01,11,8,0,0,11,8,19
COLCAPIRHUA,consulta externa, personas de 60 anos y mas,2014-08-01,164,137,142,82,306,219,525
"COLCHA ""K""",consulta externa, personas de 60 anos y mas,2014-08-01,162,187,13,13,175,200,375
COLLANA,consulta externa, personas de 60 anos y mas,2014-08-01,40,43,19,30,59,73,132
COLOMI,consulta externa, personas de 60 anos y mas,2014-08-01,44,54,0,1,44,55,99
COLPA BELGICA,consulta externa, personas de 60 anos y mas,2014-08-01,140,120,14,17,154,137,291
COLQUECHACA,consulta externa, personas de 60 anos y mas,2014-08-01,295,350,10,13,305,363,668
COLQUENCHA,consulta externa, personas de 60 anos y mas,2014-08-01,97,82,26,32,123,114,237
COLQUIRI,consulta externa, personas de 60 anos y mas,2014-08-01,206,233,17,8,223,241,464
COMANCHE,consulta externa, personas de 60 anos y mas,2014-08-01,58,35,8,8,66,43,109
COMARAPA,consulta externa, personas de 60 anos y mas,2014-08-01,186,246,30,29,216,275,491
COMBAYA,consulta externa, personas de 60 anos y mas,2014-08-01,57,57,5,6,62,63,125
CONCEPCION,consulta externa, personas de 60 anos y mas,2014-08-01,184,150,30,44,214,194,408
COPACABANA,consulta externa, personas de 60 anos y mas,2014-08-01,107,93,4,4,111,97,208
CORIPATA,consulta externa, personas de 60 anos y mas,2014-08-01,76,78,29,39,105,117,222
CORO CORO,consulta externa, personas de 60 anos y mas,2014-08-01,117,148,20,17,137,165,302
COROICO,consulta externa, personas de 60 anos y mas,2014-08-01,130,130,179,144,309,274,583
CORQUE,consulta externa, personas de 60 anos y mas,2014-08-01,192,112,3,7,195,119,314
COTAGAITA,consulta externa, personas de 60 anos y mas,2014-08-01,573,884,41,49,614,933,1547
COTOCA,consulta externa, personas de 60 anos y mas,2014-08-01,292,317,26,29,318,346,664
CRUZ DE MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-08-01,7,6,0,0,7,6,13
CUATRO CAÑADAS,consulta externa, personas de 60 anos y mas,2014-08-01,84,132,14,16,98,148,246
CUCHUMUELA (V. G. VILLARROEL),consulta externa, personas de 60 anos y mas,2014-08-01,32,63,0,1,32,64,96
CUEVO,consulta externa, personas de 60 anos y mas,2014-08-01,64,86,30,27,94,113,207
CULPINA,consulta externa, personas de 60 anos y mas,2014-08-01,202,338,8,6,210,344,554
CURAHUARA DE CARANGAS,consulta externa, personas de 60 anos y mas,2014-08-01,38,39,1,0,39,39,78
CURVA,consulta externa, personas de 60 anos y mas,2014-08-01,47,80,0,5,47,85,132
DESAGUADERO,consulta externa, personas de 60 anos y mas,2014-08-01,74,55,41,43,115,98,213
EL ALTO,consulta externa, personas de 60 anos y mas,2014-08-01,3914,4566,2791,3244,6705,7810,14515
EL CHORO,consulta externa, personas de 60 anos y mas,2014-08-01,85,69,5,3,90,72,162
EL PUENTE(STC),consulta externa, personas de 60 anos y mas,2014-08-01,120,94,2,2,122,96,218
EL PUENTE(TJA),consulta externa, personas de 60 anos y mas,2014-08-01,121,240,2,19,123,259,382
EL TORNO,consulta externa, personas de 60 anos y mas,2014-08-01,904,1201,112,98,1016,1299,2315
EL VILLAR,consulta externa, personas de 60 anos y mas,2014-08-01,80,129,7,2,87,131,218
ENTRE RIOS TRJ,consulta externa, personas de 60 anos y mas,2014-08-01,293,350,12,23,305,373,678
ENTRE RIOS CBBA,consulta externa, personas de 60 anos y mas,2014-08-01,101,93,15,9,116,102,218
ESCARA,consulta externa, personas de 60 anos y mas,2014-08-01,2,14,1,5,3,19,22
ESCOMA,consulta externa, personas de 60 anos y mas,2014-08-01,200,87,8,9,208,96,304
ESMERALDA,consulta externa, personas de 60 anos y mas,2014-08-01,20,16,0,1,20,17,37
EUCALIPTUS,consulta externa, personas de 60 anos y mas,2014-08-01,108,68,7,2,115,70,185
EUREKA (SANTOS MERCADO),consulta externa, personas de 60 anos y mas,2014-08-01,3,1,1,0,4,1,5
EXALTACION,consulta externa, personas de 60 anos y mas,2014-08-01,8,6,0,1,8,7,15
FERNANDEZ ALONSO,consulta externa, personas de 60 anos y mas,2014-08-01,118,122,13,29,131,151,282
FILADELFIA,consulta externa, personas de 60 anos y mas,2014-08-01,50,34,0,0,50,34,84
GENERAL SAAVEDRA,consulta externa, personas de 60 anos y mas,2014-08-01,147,172,11,11,158,183,341
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, personas de 60 anos y mas,2014-08-01,117,110,11,5,128,115,243
GUANAY,consulta externa, personas de 60 anos y mas,2014-08-01,108,92,4,7,112,99,211
GUAQUI,consulta externa, personas de 60 anos y mas,2014-08-01,139,193,14,10,153,203,356
GUAYARAMERIN,consulta externa, personas de 60 anos y mas,2014-08-01,428,500,167,229,595,729,1324
GUTIERREZ,consulta externa, personas de 60 anos y mas,2014-08-01,132,181,7,8,139,189,328
HUACARETA,consulta externa, personas de 60 anos y mas,2014-08-01,172,221,3,13,175,234,409
HUACAYA (VILLA DE HUACAYA),consulta externa, personas de 60 anos y mas,2014-08-01,40,68,0,1,40,69,109
HUACHACALLA,consulta externa, personas de 60 anos y mas,2014-08-01,20,22,8,19,28,41,69
HUANUNI,consulta externa, personas de 60 anos y mas,2014-08-01,291,223,131,101,422,324,746
HUARACAJE,consulta externa, personas de 60 anos y mas,2014-08-01,25,35,0,0,25,35,60
HUARINA,consulta externa, personas de 60 anos y mas,2014-08-01,90,83,47,42,137,125,262
HUATAJATA,consulta externa, personas de 60 anos y mas,2014-08-01,38,29,97,159,135,188,323
HUAYLLAMARCA,consulta externa, personas de 60 anos y mas,2014-08-01,98,124,3,4,101,128,229
HUMANATA,consulta externa, personas de 60 anos y mas,2014-08-01,70,47,1,6,71,53,124
ICHOCA,consulta externa, personas de 60 anos y mas,2014-08-01,91,87,2,1,93,88,181
ICLA,consulta externa, personas de 60 anos y mas,2014-08-01,146,239,7,18,153,257,410
INCAHUASI,consulta externa, personas de 60 anos y mas,2014-08-01,109,189,7,5,116,194,310
INGAVI (HUMAITA),consulta externa, personas de 60 anos y mas,2014-08-01,6,2,0,2,6,4,10
INQUISIVI,consulta externa, personas de 60 anos y mas,2014-08-01,182,159,5,7,187,166,353
IRUPANA (VILLA DE LANZA),consulta externa, personas de 60 anos y mas,2014-08-01,198,237,52,72,250,309,559
IXIAMAS,consulta externa, personas de 60 anos y mas,2014-08-01,33,23,0,2,33,25,58
JESUS DE MACHACA,consulta externa, personas de 60 anos y mas,2014-08-01,331,397,43,60,374,457,831
LA ASUNTA,consulta externa, personas de 60 anos y mas,2014-08-01,121,70,65,46,186,116,302
LA GUARDIA,consulta externa, personas de 60 anos y mas,2014-08-01,304,378,17,32,321,410,731
LA PAZ,consulta externa, personas de 60 anos y mas,2014-08-01,9693,13497,11885,16613,21578,30110,51688
LA RIVERA,consulta externa, personas de 60 anos y mas,2014-08-01,7,16,0,2,7,18,25
LAGUNILLAS,consulta externa, personas de 60 anos y mas,2014-08-01,62,107,4,3,66,110,176
LAJA,consulta externa, personas de 60 anos y mas,2014-08-01,219,232,41,56,260,288,548
LAS CARRERAS,consulta externa, personas de 60 anos y mas,2014-08-01,58,96,2,10,60,106,166
LICOMA PAMPA,consulta externa, personas de 60 anos y mas,2014-08-01,67,55,3,0,70,55,125
LLALLAGUA,consulta externa, personas de 60 anos y mas,2014-08-01,309,410,80,105,389,515,904
LLICA,consulta externa, personas de 60 anos y mas,2014-08-01,67,62,2,8,69,70,139
LORETO,consulta externa, personas de 60 anos y mas,2014-08-01,52,32,10,2,62,34,96
LURIBAY,consulta externa, personas de 60 anos y mas,2014-08-01,193,209,9,9,202,218,420
MACHACAMARCA,consulta externa, personas de 60 anos y mas,2014-08-01,64,89,18,37,82,126,208
MACHARETI,consulta externa, personas de 60 anos y mas,2014-08-01,126,148,20,11,146,159,305
MAGDALENA,consulta externa, personas de 60 anos y mas,2014-08-01,82,87,33,47,115,134,249
MAIRANA,consulta externa, personas de 60 anos y mas,2014-08-01,68,83,21,29,89,112,201
MALLA,consulta externa, personas de 60 anos y mas,2014-08-01,38,48,0,0,38,48,86
MAPIRI,consulta externa, personas de 60 anos y mas,2014-08-01,82,83,9,9,91,92,183
MECAPACA,consulta externa, personas de 60 anos y mas,2014-08-01,182,170,10,12,192,182,374
MINEROS,consulta externa, personas de 60 anos y mas,2014-08-01,179,182,38,40,217,222,439
MIZQUE,consulta externa, personas de 60 anos y mas,2014-08-01,109,153,49,42,158,195,353
MOCOMOCO,consulta externa, personas de 60 anos y mas,2014-08-01,176,175,13,18,189,193,382
MOJINETE,consulta externa, personas de 60 anos y mas,2014-08-01,21,24,0,6,21,30,51
MOJOCOYA,consulta externa, personas de 60 anos y mas,2014-08-01,130,153,11,13,141,166,307
MONTEAGUDO,consulta externa, personas de 60 anos y mas,2014-08-01,605,850,71,103,676,953,1629
MONTERO,consulta externa, personas de 60 anos y mas,2014-08-01,1208,1444,320,371,1528,1815,3343
MORO MORO,consulta externa, personas de 60 anos y mas,2014-08-01,37,56,25,36,62,92,154
MOROCHATA,consulta externa, personas de 60 anos y mas,2014-08-01,101,179,3,6,104,185,289
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, personas de 60 anos y mas,2014-08-01,15,10,1,0,16,10,26
NAZACARA DE PACAJES,consulta externa, personas de 60 anos y mas,2014-08-01,12,11,0,0,12,11,23
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, personas de 60 anos y mas,2014-08-01,12,16,3,2,15,18,33
OCURI,consulta externa, personas de 60 anos y mas,2014-08-01,81,158,2,3,83,161,244
OKINAWA,consulta externa, personas de 60 anos y mas,2014-08-01,122,103,6,4,128,107,235
OMEREQUE,consulta externa, personas de 60 anos y mas,2014-08-01,80,91,4,5,84,96,180
ORURO,consulta externa, personas de 60 anos y mas,2014-08-01,4117,4705,2775,3161,6892,7866,14758
PADCAYA,consulta externa, personas de 60 anos y mas,2014-08-01,400,523,10,10,410,533,943
PADILLA,consulta externa, personas de 60 anos y mas,2014-08-01,320,441,0,12,320,453,773
PAILON,consulta externa, personas de 60 anos y mas,2014-08-01,64,76,3,15,67,91,158
PALCA,consulta externa, personas de 60 anos y mas,2014-08-01,158,156,12,8,170,164,334
PALOS BLANCOS,consulta externa, personas de 60 anos y mas,2014-08-01,331,222,34,17,365,239,604
PAMPA AULLAGAS,consulta externa, personas de 60 anos y mas,2014-08-01,15,20,0,2,15,22,37
PAMPA GRANDE,consulta externa, personas de 60 anos y mas,2014-08-01,51,95,2,12,53,107,160
PAPEL PAMPA,consulta externa, personas de 60 anos y mas,2014-08-01,210,234,14,14,224,248,472
PASORAPA,consulta externa, personas de 60 anos y mas,2014-08-01,63,105,3,5,66,110,176
PATACAMAYA,consulta externa, personas de 60 anos y mas,2014-08-01,74,127,36,31,110,158,268
PAZÑA,consulta externa, personas de 60 anos y mas,2014-08-01,85,91,17,13,102,104,206
PELECHUCO,consulta externa, personas de 60 anos y mas,2014-08-01,46,27,3,1,49,28,77
POCOATA,consulta externa, personas de 60 anos y mas,2014-08-01,159,235,6,4,165,239,404
POCONA,consulta externa, personas de 60 anos y mas,2014-08-01,101,211,3,3,104,214,318
POJO (CBBA),consulta externa, personas de 60 anos y mas,2014-08-01,71,82,18,14,89,96,185
POOPO,consulta externa, personas de 60 anos y mas,2014-08-01,64,68,18,16,82,84,166
PORCO,consulta externa, personas de 60 anos y mas,2014-08-01,33,39,1,3,34,42,76
POROMA,consulta externa, personas de 60 anos y mas,2014-08-01,195,221,16,25,211,246,457
PORONGO,consulta externa, personas de 60 anos y mas,2014-08-01,116,116,8,8,124,124,248
PORTACHUELO,consulta externa, personas de 60 anos y mas,2014-08-01,201,269,83,90,284,359,643
PORVENIR,consulta externa, personas de 60 anos y mas,2014-08-01,41,39,3,1,44,40,84
POSTRER VALLE,consulta externa, personas de 60 anos y mas,2014-08-01,40,52,8,21,48,73,121
POTOSI,consulta externa, personas de 60 anos y mas,2014-08-01,2558,3156,1404,2028,3962,5184,9146
PRESTO,consulta externa, personas de 60 anos y mas,2014-08-01,126,184,1,1,127,185,312
PUCARA,consulta externa, personas de 60 anos y mas,2014-08-01,29,52,27,48,56,100,156
PUCARANI,consulta externa, personas de 60 anos y mas,2014-08-01,267,231,60,53,327,284,611
PUERTO ACOSTA,consulta externa, personas de 60 anos y mas,2014-08-01,207,206,22,20,229,226,455
PUERTO CARABUCO,consulta externa, personas de 60 anos y mas,2014-08-01,160,168,31,29,191,197,388
PUERTO GONZALO MORENO,consulta externa, personas de 60 anos y mas,2014-08-01,114,60,16,4,130,64,194
PUERTO PEREZ,consulta externa, personas de 60 anos y mas,2014-08-01,91,140,20,29,111,169,280
PUERTO QUIJARRO,consulta externa, personas de 60 anos y mas,2014-08-01,147,165,12,9,159,174,333
PUERTO RICO,consulta externa, personas de 60 anos y mas,2014-08-01,110,68,4,1,114,69,183
PUERTO SILES,consulta externa, personas de 60 anos y mas,2014-08-01,12,6,0,1,12,7,19
PUERTO SUAREZ,consulta externa, personas de 60 anos y mas,2014-08-01,156,175,45,41,201,216,417
PUERTO VILLARROEL,consulta externa, personas de 60 anos y mas,2014-08-01,222,193,21,29,243,222,465
PUNA,consulta externa, personas de 60 anos y mas,2014-08-01,240,455,15,41,255,496,751
PUNATA,consulta externa, personas de 60 anos y mas,2014-08-01,248,396,188,237,436,633,1069
QUIABAYA,consulta externa, personas de 60 anos y mas,2014-08-01,78,62,6,1,84,63,147
QUILLACOLLO,consulta externa, personas de 60 anos y mas,2014-08-01,1008,1341,690,968,1698,2309,4007
QUIME,consulta externa, personas de 60 anos y mas,2014-08-01,84,71,31,17,115,88,203
QUIRUSILLAS,consulta externa, personas de 60 anos y mas,2014-08-01,27,41,0,1,27,42,69
RAVELO,consulta externa, personas de 60 anos y mas,2014-08-01,201,312,1,8,202,320,522
REYES,consulta externa, personas de 60 anos y mas,2014-08-01,160,152,55,37,215,189,404
RIBERALTA,consulta externa, personas de 60 anos y mas,2014-08-01,655,510,47,42,702,552,1254
ROBORE,consulta externa, personas de 60 anos y mas,2014-08-01,226,323,34,46,260,369,629
RURRENABAQUE,consulta externa, personas de 60 anos y mas,2014-08-01,149,138,75,58,224,196,420
SABAYA,consulta externa, personas de 60 anos y mas,2014-08-01,122,161,6,11,128,172,300
SACABA,consulta externa, personas de 60 anos y mas,2014-08-01,489,702,212,266,701,968,1669
SACABAMBA,consulta externa, personas de 60 anos y mas,2014-08-01,41,85,6,5,47,90,137
SACACA,consulta externa, personas de 60 anos y mas,2014-08-01,59,85,3,0,62,85,147
SAIPINA,consulta externa, personas de 60 anos y mas,2014-08-01,46,66,5,12,51,78,129
SALINAS DE GARCI MENDOZA,consulta externa, personas de 60 anos y mas,2014-08-01,102,120,10,9,112,129,241
SAMAIPATA,consulta externa, personas de 60 anos y mas,2014-08-01,152,135,11,28,163,163,326
SAN AGUSTIN,consulta externa, personas de 60 anos y mas,2014-08-01,37,38,18,31,55,69,124
SAN ANDRES,consulta externa, personas de 60 anos y mas,2014-08-01,83,75,27,22,110,97,207
SAN ANDRES DE MACHACA,consulta externa, personas de 60 anos y mas,2014-08-01,131,178,56,64,187,242,429
SAN ANTONIO DE ESMORUCO,consulta externa, personas de 60 anos y mas,2014-08-01,26,25,1,1,27,26,53
SAN ANTONIO DE LOMERIO,consulta externa, personas de 60 anos y mas,2014-08-01,70,85,2,2,72,87,159
SAN BENITO,consulta externa, personas de 60 anos y mas,2014-08-01,61,147,28,71,89,218,307
SAN BORJA,consulta externa, personas de 60 anos y mas,2014-08-01,267,239,89,123,356,362,718
SAN BUENA VENTURA,consulta externa, personas de 60 anos y mas,2014-08-01,98,134,11,20,109,154,263
SAN CARLOS,consulta externa, personas de 60 anos y mas,2014-08-01,357,302,59,67,416,369,785
SAN IGNACIO,consulta externa, personas de 60 anos y mas,2014-08-01,157,230,26,35,183,265,448
SAN IGNACIO DE VELASCO,consulta externa, personas de 60 anos y mas,2014-08-01,292,301,44,36,336,337,673
SAN JAVIER(BNI),consulta externa, personas de 60 anos y mas,2014-08-01,8,12,0,0,8,12,20
SAN JAVIER(STC),consulta externa, personas de 60 anos y mas,2014-08-01,52,65,1,0,53,65,118
SAN JOAQUIN,consulta externa, personas de 60 anos y mas,2014-08-01,52,53,2,2,54,55,109
SAN JOSE DE CHIQUITOS,consulta externa, personas de 60 anos y mas,2014-08-01,120,135,7,24,127,159,286
SAN JUAN DE YAPACANI,consulta externa, personas de 60 anos y mas,2014-08-01,96,122,9,15,105,137,242
SAN JULIAN,consulta externa, personas de 60 anos y mas,2014-08-01,358,292,25,19,383,311,694
SAN LORENZO(PND),consulta externa, personas de 60 anos y mas,2014-08-01,34,25,0,0,34,25,59
SAN LORENZO(TJA),consulta externa, personas de 60 anos y mas,2014-08-01,253,400,8,8,261,408,669
SAN LUCAS,consulta externa, personas de 60 anos y mas,2014-08-01,413,707,12,10,425,717,1142
SAN MATIAS,consulta externa, personas de 60 anos y mas,2014-08-01,127,154,15,20,142,174,316
SAN MIGUEL DE VELASCO,consulta externa, personas de 60 anos y mas,2014-08-01,53,68,44,49,97,117,214
SAN PABLO DE LIPEZ,consulta externa, personas de 60 anos y mas,2014-08-01,37,65,1,3,38,68,106
SAN PEDRO,consulta externa, personas de 60 anos y mas,2014-08-01,219,199,67,52,286,251,537
SAN PEDRO DE BUENA VISTA,consulta externa, personas de 60 anos y mas,2014-08-01,119,234,2,9,121,243,364
SAN PEDRO DE CURAHUARA,consulta externa, personas de 60 anos y mas,2014-08-01,205,227,19,16,224,243,467
SAN PEDRO DE QUEMES,consulta externa, personas de 60 anos y mas,2014-08-01,5,17,0,0,5,17,22
SAN PEDRO DE TIQUINA,consulta externa, personas de 60 anos y mas,2014-08-01,107,99,146,156,253,255,508
SAN PEDRO(PND),consulta externa, personas de 60 anos y mas,2014-08-01,26,18,2,0,28,18,46
SAN RAFAEL,consulta externa, personas de 60 anos y mas,2014-08-01,49,55,23,18,72,73,145
SAN RAMON BENI,consulta externa, personas de 60 anos y mas,2014-08-01,45,49,27,28,72,77,149
SAN RAMON SCZ,consulta externa, personas de 60 anos y mas,2014-08-01,52,42,7,8,59,50,109
SANTA ANA,consulta externa, personas de 60 anos y mas,2014-08-01,95,106,99,156,194,262,456
SANTA CRUZ DE LA SIERRA,consulta externa, personas de 60 anos y mas,2014-08-01,11885,16751,4709,7323,16594,24074,40668
SANTA ROSA,consulta externa, personas de 60 anos y mas,2014-08-01,147,141,4,6,151,147,298
SANTA ROSA DEL SARA,consulta externa, personas de 60 anos y mas,2014-08-01,132,144,56,33,188,177,365
SANTIAGO DE CALLAPA,consulta externa, personas de 60 anos y mas,2014-08-01,186,157,5,4,191,161,352
SANTIAGO DE HUARI,consulta externa, personas de 60 anos y mas,2014-08-01,287,274,78,24,365,298,663
SANTIAGO DE HUATA,consulta externa, personas de 60 anos y mas,2014-08-01,172,190,41,42,213,232,445
SANTIAGO DE MACHACA,consulta externa, personas de 60 anos y mas,2014-08-01,95,98,19,26,114,124,238
SANTIVAÑES,consulta externa, personas de 60 anos y mas,2014-08-01,78,100,22,14,100,114,214
SANTUARIO DE QUILLACAS,consulta externa, personas de 60 anos y mas,2014-08-01,22,35,1,4,23,39,62
SAPAHAQUI,consulta externa, personas de 60 anos y mas,2014-08-01,140,106,2,2,142,108,250
SENA,consulta externa, personas de 60 anos y mas,2014-08-01,33,9,1,0,34,9,43
SHINAOTA,consulta externa, personas de 60 anos y mas,2014-08-01,73,83,21,9,94,92,186
SICA SICA (VILLA AROMA),consulta externa, personas de 60 anos y mas,2014-08-01,313,331,26,23,339,354,693
SICAYA,consulta externa, personas de 60 anos y mas,2014-08-01,11,44,2,4,13,48,61
SIPE SIPE,consulta externa, personas de 60 anos y mas,2014-08-01,109,174,11,17,120,191,311
SOPACHUY,consulta externa, personas de 60 anos y mas,2014-08-01,148,201,11,7,159,208,367
