,group,variable,month,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS NUEVO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTAL 1.1 MENORES DE 5 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
SANTIAGO DE HUARI,consulta externa, menores de 5 anos,2014-07-01,161,161,1,4,162,165,327
SANTIAGO DE HUATA,consulta externa, menores de 5 anos,2014-07-01,59,49,6,2,65,51,116
SANTIAGO DE MACHACA,consulta externa, menores de 5 anos,2014-07-01,30,28,0,1,30,29,59
SANTIVAÑES,consulta externa, menores de 5 anos,2014-07-01,118,106,14,7,132,113,245
SANTUARIO DE QUILLACAS,consulta externa, menores de 5 anos,2014-07-01,96,76,5,7,101,83,184
SAPAHAQUI,consulta externa, menores de 5 anos,2014-07-01,166,116,4,2,170,118,288
SENA,consulta externa, menores de 5 anos,2014-07-01,169,150,3,3,172,153,325
SHINAOTA,consulta externa, menores de 5 anos,2014-07-01,532,464,49,58,581,522,1103
SICA SICA (VILLA AROMA),consulta externa, menores de 5 anos,2014-07-01,354,364,16,8,370,372,742
SICAYA,consulta externa, menores de 5 anos,2014-07-01,92,69,0,1,92,70,162
SIPE SIPE,consulta externa, menores de 5 anos,2014-07-01,904,547,231,177,1135,724,1859
SOPACHUY,consulta externa, menores de 5 anos,2014-07-01,211,179,14,18,225,197,422
SORACACHI,consulta externa, menores de 5 anos,2014-07-01,214,191,0,0,214,191,405
SORATA,consulta externa, menores de 5 anos,2014-07-01,255,212,42,43,297,255,552
SUCRE,consulta externa, menores de 5 anos,2014-07-01,9521,8685,3499,3317,13020,12002,25022
TACACHI,consulta externa, menores de 5 anos,2014-07-01,9,12,17,29,26,41,67
TACACOMA,consulta externa, menores de 5 anos,2014-07-01,91,137,2,1,93,138,231
TACOBAMBA,consulta externa, menores de 5 anos,2014-07-01,169,176,2,1,171,177,348
TACOPAYA,consulta externa, menores de 5 anos,2014-07-01,110,133,14,11,124,144,268
TAHUA,consulta externa, menores de 5 anos,2014-07-01,34,45,0,0,34,45,79
TAPACARI,consulta externa, menores de 5 anos,2014-07-01,594,511,13,11,607,522,1129
TARABUCO,consulta externa, menores de 5 anos,2014-07-01,313,299,212,219,525,518,1043
TARACO,consulta externa, menores de 5 anos,2014-07-01,48,35,19,14,67,49,116
TARATA,consulta externa, menores de 5 anos,2014-07-01,153,135,17,16,170,151,321
TARIJA,consulta externa, menores de 5 anos,2014-07-01,6266,5524,1240,1201,7506,6725,14231
TARVITA,consulta externa, menores de 5 anos,2014-07-01,592,515,10,14,602,529,1131
TEOPONTE,consulta externa, menores de 5 anos,2014-07-01,364,290,27,32,391,322,713
TIAWANACU,consulta externa, menores de 5 anos,2014-07-01,172,167,25,25,197,192,389
TINGUIPAYA,consulta externa, menores de 5 anos,2014-07-01,398,343,23,26,421,369,790
TIPUANI,consulta externa, menores de 5 anos,2014-07-01,323,298,51,44,374,342,716
TIQUIPAYA,consulta externa, menores de 5 anos,2014-07-01,1498,1287,280,267,1778,1554,3332
TIRAQUE (CBBA),consulta externa, menores de 5 anos,2014-07-01,321,319,10,11,331,330,661
TITO YUPANQUI (PARQUIPUJIO),consulta externa, menores de 5 anos,2014-07-01,13,6,7,6,20,12,32
TOCO,consulta externa, menores de 5 anos,2014-07-01,124,92,43,52,167,144,311
TODOS SANTOS,consulta externa, menores de 5 anos,2014-07-01,7,5,0,1,7,6,13
TOLATA,consulta externa, menores de 5 anos,2014-07-01,82,74,63,56,145,130,275
TOLEDO,consulta externa, menores de 5 anos,2014-07-01,64,39,11,3,75,42,117
TOMAVE,consulta externa, menores de 5 anos,2014-07-01,256,240,13,8,269,248,517
TOMINA,consulta externa, menores de 5 anos,2014-07-01,228,226,6,6,234,232,466
TORO TORO,consulta externa, menores de 5 anos,2014-07-01,317,267,4,3,321,270,591
TOTORA(CBBA),consulta externa, menores de 5 anos,2014-07-01,253,236,38,46,291,282,573
TOTORA(ORR),consulta externa, menores de 5 anos,2014-07-01,117,88,4,1,121,89,210
TRIGAL,consulta externa, menores de 5 anos,2014-07-01,34,21,4,3,38,24,62
TRINIDAD,consulta externa, menores de 5 anos,2014-07-01,2678,2441,649,509,3327,2950,6277
TUPIZA,consulta externa, menores de 5 anos,2014-07-01,1096,1157,81,73,1177,1230,2407
TURCO,consulta externa, menores de 5 anos,2014-07-01,57,59,0,3,57,62,119
UMALA,consulta externa, menores de 5 anos,2014-07-01,133,136,22,16,155,152,307
UNCIA,consulta externa, menores de 5 anos,2014-07-01,526,483,10,10,536,493,1029
URIONDO (A. CONCEPCION),consulta externa, menores de 5 anos,2014-07-01,515,567,94,71,609,638,1247
URUBICHA,consulta externa, menores de 5 anos,2014-07-01,146,127,7,8,153,135,288
UYUNI,consulta externa, menores de 5 anos,2014-07-01,473,513,32,27,505,540,1045
VACAS,consulta externa, menores de 5 anos,2014-07-01,175,120,26,16,201,136,337
VALLEGRANDE,consulta externa, menores de 5 anos,2014-07-01,242,222,25,22,267,244,511
VIACHA,consulta externa, menores de 5 anos,2014-07-01,1164,1031,378,333,1542,1364,2906
VILA VILA,consulta externa, menores de 5 anos,2014-07-01,80,86,29,29,109,115,224
VILLA CHARCAS,consulta externa, menores de 5 anos,2014-07-01,400,401,14,12,414,413,827
VILLA MONTES,consulta externa, menores de 5 anos,2014-07-01,861,867,89,71,950,938,1888
VILLA NUEVA (LOMA ALTA),consulta externa, menores de 5 anos,2014-07-01,145,114,4,2,149,116,265
VILLA RIVERO,consulta externa, menores de 5 anos,2014-07-01,204,200,12,30,216,230,446
VILLA SERRANO,consulta externa, menores de 5 anos,2014-07-01,359,367,56,57,415,424,839
VILLA TUNARI,consulta externa, menores de 5 anos,2014-07-01,2491,2263,419,360,2910,2623,5533
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa, menores de 5 anos,2014-07-01,189,166,87,94,276,260,536
VILLAZON,consulta externa, menores de 5 anos,2014-07-01,1212,1015,88,82,1300,1097,2397
VINTO,consulta externa, menores de 5 anos,2014-07-01,395,406,706,609,1101,1015,2116
VITICHI,consulta externa, menores de 5 anos,2014-07-01,196,158,9,7,205,165,370
WALDO BALLIVIAN,consulta externa, menores de 5 anos,2014-07-01,48,43,0,0,48,43,91
WARNES,consulta externa, menores de 5 anos,2014-07-01,2336,2059,108,141,2444,2200,4644
YACO,consulta externa, menores de 5 anos,2014-07-01,132,152,13,10,145,162,307
YACUIBA,consulta externa, menores de 5 anos,2014-07-01,2621,2396,236,251,2857,2647,5504
YAMPARAEZ,consulta externa, menores de 5 anos,2014-07-01,132,80,11,2,143,82,225
YANACACHI,consulta externa, menores de 5 anos,2014-07-01,204,166,19,12,223,178,401
YAPACANI,consulta externa, menores de 5 anos,2014-07-01,924,848,70,95,994,943,1937
YOCALLA,consulta externa, menores de 5 anos,2014-07-01,151,122,3,1,154,123,277
YOTALA,consulta externa, menores de 5 anos,2014-07-01,174,157,53,23,227,180,407
YUNCHARA,consulta externa, menores de 5 anos,2014-07-01,221,198,15,12,236,210,446
YUNGUYO DE LITORAL,consulta externa, menores de 5 anos,2014-07-01,3,1,0,0,3,1,4
ZUDAÑEZ,consulta externa, menores de 5 anos,2014-07-01,179,182,7,3,186,185,371
ACACIO,consulta externa, menores de 5 anos,2014-08-01,105,108,1,4,106,112,218
ACHACACHI,consulta externa, menores de 5 anos,2014-08-01,321,309,254,235,575,544,1119
ACHOCALLA,consulta externa, menores de 5 anos,2014-08-01,249,213,43,44,292,257,549
AIQUILE,consulta externa, menores de 5 anos,2014-08-01,528,500,24,27,552,527,1079
ALALAY,consulta externa, menores de 5 anos,2014-08-01,48,29,0,0,48,29,77
ALCALA,consulta externa, menores de 5 anos,2014-08-01,78,75,0,2,78,77,155
ALTO BENI,consulta externa, menores de 5 anos,2014-08-01,493,402,6,8,499,410,909
ANCORAIMES,consulta externa, menores de 5 anos,2014-08-01,135,98,4,1,139,99,238
ANDAMARCA,consulta externa, menores de 5 anos,2014-08-01,75,62,8,1,83,63,146
ANTEQUERA,consulta externa, menores de 5 anos,2014-08-01,23,24,0,0,23,24,47
ANZALDO,consulta externa, menores de 5 anos,2014-08-01,71,59,139,108,210,167,377
APOLO,consulta externa, menores de 5 anos,2014-08-01,481,439,90,108,571,547,1118
ARAMPAMPA,consulta externa, menores de 5 anos,2014-08-01,101,71,0,0,101,71,172
ARANI,consulta externa, menores de 5 anos,2014-08-01,162,117,4,2,166,119,285
ARBIETO,consulta externa, menores de 5 anos,2014-08-01,272,265,45,46,317,311,628
ARQUE,consulta externa, menores de 5 anos,2014-08-01,385,354,10,20,395,374,769
ASCENCION DE GUARAYOS,consulta externa, menores de 5 anos,2014-08-01,514,493,92,8,606,501,1107
ATOCHA,consulta externa, menores de 5 anos,2014-08-01,343,336,19,20,362,356,718
AUCAPATA,consulta externa, menores de 5 anos,2014-08-01,91,87,0,2,91,89,180
AYATA,consulta externa, menores de 5 anos,2014-08-01,169,147,12,4,181,151,332
AYO AYO,consulta externa, menores de 5 anos,2014-08-01,101,120,5,6,106,126,232
AYOPAYA (V. DE INDEPENDENCIA),consulta externa, menores de 5 anos,2014-08-01,661,541,35,28,696,569,1265
AZURDUY,consulta externa, menores de 5 anos,2014-08-01,426,409,8,6,434,415,849
BATALLAS,consulta externa, menores de 5 anos,2014-08-01,167,124,6,4,173,128,301
BAURES,consulta externa, menores de 5 anos,2014-08-01,141,157,2,1,143,158,301
BELEN DE ANDAMARCA,consulta externa, menores de 5 anos,2014-08-01,28,28,1,1,29,29,58
BELEN DE URMIRI,consulta externa, menores de 5 anos,2014-08-01,34,28,1,3,35,31,66
BELLA FLOR,consulta externa, menores de 5 anos,2014-08-01,122,109,1,4,123,113,236
BERMEJO,consulta externa, menores de 5 anos,2014-08-01,1881,1657,274,180,2155,1837,3992
BETANZOS,consulta externa, menores de 5 anos,2014-08-01,469,512,10,7,479,519,998
BOLIVAR,consulta externa, menores de 5 anos,2014-08-01,113,104,4,1,117,105,222
BOLPEBRA,consulta externa, menores de 5 anos,2014-08-01,97,84,2,1,99,85,184
BOYUIBE,consulta externa, menores de 5 anos,2014-08-01,100,120,22,25,122,145,267
BUENA VISTA,consulta externa, menores de 5 anos,2014-08-01,332,355,3,1,335,356,691
CABEZAS,consulta externa, menores de 5 anos,2014-08-01,811,636,35,26,846,662,1508
CAIROMA,consulta externa, menores de 5 anos,2014-08-01,213,181,9,3,222,184,406
"CAIZA ""D""",consulta externa, menores de 5 anos,2014-08-01,215,143,2,4,217,147,364
CAJUATA,consulta externa, menores de 5 anos,2014-08-01,307,304,6,8,313,312,625
CALACOTO,consulta externa, menores de 5 anos,2014-08-01,56,75,0,0,56,75,131
CALAMARCA,consulta externa, menores de 5 anos,2014-08-01,276,221,27,13,303,234,537
CAMARGO,consulta externa, menores de 5 anos,2014-08-01,328,300,10,11,338,311,649
CAMATAQUI (C. VILLA ABECIA),consulta externa, menores de 5 anos,2014-08-01,46,34,1,1,47,35,82
CAMIRI,consulta externa, menores de 5 anos,2014-08-01,736,689,128,134,864,823,1687
CAPINOTA,consulta externa, menores de 5 anos,2014-08-01,393,364,44,42,437,406,843
CAQUIAVIRI,consulta externa, menores de 5 anos,2014-08-01,105,85,1,1,106,86,192
CARACOLLO,consulta externa, menores de 5 anos,2014-08-01,268,242,8,11,276,253,529
CARANAVI,consulta externa, menores de 5 anos,2014-08-01,828,809,258,202,1086,1011,2097
CARANGAS,consulta externa, menores de 5 anos,2014-08-01,4,6,0,0,4,6,10
CARAPARI,consulta externa, menores de 5 anos,2014-08-01,332,251,19,7,351,258,609
CARIPUYO,consulta externa, menores de 5 anos,2014-08-01,136,129,1,0,137,129,266
CARMEN RIVERO TORREZ,consulta externa, menores de 5 anos,2014-08-01,92,91,17,25,109,116,225
CATACORA,consulta externa, menores de 5 anos,2014-08-01,17,16,4,3,21,19,40
CHACARILLA,consulta externa, menores de 5 anos,2014-08-01,30,27,0,0,30,27,57
CHALLAPATA,consulta externa, menores de 5 anos,2014-08-01,511,420,202,253,713,673,1386
CHAQUI,consulta externa, menores de 5 anos,2014-08-01,179,114,3,3,182,117,299
CHARAGUA,consulta externa, menores de 5 anos,2014-08-01,824,830,43,28,867,858,1725
CHARAÑA,consulta externa, menores de 5 anos,2014-08-01,28,14,2,2,30,16,46
CHAYANTA,consulta externa, menores de 5 anos,2014-08-01,260,241,10,10,270,251,521
CHIMORE,consulta externa, menores de 5 anos,2014-08-01,650,575,24,25,674,600,1274
CHIPAYA,consulta externa, menores de 5 anos,2014-08-01,34,11,1,0,35,11,46
CHOQUE COTA,consulta externa, menores de 5 anos,2014-08-01,11,15,0,2,11,17,28
CHUA COCANI,consulta externa, menores de 5 anos,2014-08-01,2,3,34,38,36,41,77
CHULUMANI (V. DE LA LIBERTAD),consulta externa, menores de 5 anos,2014-08-01,269,248,35,40,304,288,592
CHUMA,consulta externa, menores de 5 anos,2014-08-01,158,166,1,2,159,168,327
CHUQUIHUTA AYLLU JUCUMANI,consulta externa, menores de 5 anos,2014-08-01,156,120,0,0,156,120,276
CKOCHAS,consulta externa, menores de 5 anos,2014-08-01,538,334,6,8,544,342,886
CLIZA,consulta externa, menores de 5 anos,2014-08-01,339,307,45,49,384,356,740
COBIJA,consulta externa, menores de 5 anos,2014-08-01,1594,1367,97,85,1691,1452,3143
COCAPATA,consulta externa, menores de 5 anos,2014-08-01,418,424,3,5,421,429,850
COCHABAMBA,consulta externa, menores de 5 anos,2014-08-01,10563,9600,5780,6439,16343,16039,32382
COIPASA,consulta externa, menores de 5 anos,2014-08-01,32,34,0,0,32,34,66
COLCAPIRHUA,consulta externa, menores de 5 anos,2014-08-01,387,390,663,609,1050,999,2049
"COLCHA ""K""",consulta externa, menores de 5 anos,2014-08-01,321,278,54,44,375,322,697
COLLANA,consulta externa, menores de 5 anos,2014-08-01,40,24,6,6,46,30,76
COLOMI,consulta externa, menores de 5 anos,2014-08-01,278,256,4,5,282,261,543
COLPA BELGICA,consulta externa, menores de 5 anos,2014-08-01,226,206,36,32,262,238,500
COLQUECHACA,consulta externa, menores de 5 anos,2014-08-01,747,682,16,13,763,695,1458
COLQUENCHA,consulta externa, menores de 5 anos,2014-08-01,103,78,9,12,112,90,202
COLQUIRI,consulta externa, menores de 5 anos,2014-08-01,219,256,9,10,228,266,494
COMANCHE,consulta externa, menores de 5 anos,2014-08-01,27,28,0,0,27,28,55
COMARAPA,consulta externa, menores de 5 anos,2014-08-01,321,253,65,42,386,295,681
COMBAYA,consulta externa, menores de 5 anos,2014-08-01,35,39,0,0,35,39,74
CONCEPCION,consulta externa, menores de 5 anos,2014-08-01,347,332,250,230,597,562,1159
COPACABANA,consulta externa, menores de 5 anos,2014-08-01,119,94,1,0,120,94,214
CORIPATA,consulta externa, menores de 5 anos,2014-08-01,343,296,35,41,378,337,715
CORO CORO,consulta externa, menores de 5 anos,2014-08-01,142,166,7,8,149,174,323
COROICO,consulta externa, menores de 5 anos,2014-08-01,230,187,171,132,401,319,720
CORQUE,consulta externa, menores de 5 anos,2014-08-01,122,126,2,3,124,129,253
COTAGAITA,consulta externa, menores de 5 anos,2014-08-01,703,613,37,32,740,645,1385
COTOCA,consulta externa, menores de 5 anos,2014-08-01,1467,1271,126,119,1593,1390,2983
CRUZ DE MACHACAMARCA,consulta externa, menores de 5 anos,2014-08-01,3,7,0,0,3,7,10
CUATRO CAÑADAS,consulta externa, menores de 5 anos,2014-08-01,552,547,48,45,600,592,1192
CUCHUMUELA (V. G. VILLARROEL),consulta externa, menores de 5 anos,2014-08-01,10,11,3,1,13,12,25
CUEVO,consulta externa, menores de 5 anos,2014-08-01,118,134,13,10,131,144,275
CULPINA,consulta externa, menores de 5 anos,2014-08-01,455,414,80,90,535,504,1039
CURAHUARA DE CARANGAS,consulta externa, menores de 5 anos,2014-08-01,83,74,2,2,85,76,161
CURVA,consulta externa, menores de 5 anos,2014-08-01,98,69,7,9,105,78,183
DESAGUADERO,consulta externa, menores de 5 anos,2014-08-01,46,41,1,5,47,46,93
EL ALTO,consulta externa, menores de 5 anos,2014-08-01,14937,13796,3690,3504,18627,17300,35927
EL CHORO,consulta externa, menores de 5 anos,2014-08-01,89,68,2,0,91,68,159
EL PUENTE(STC),consulta externa, menores de 5 anos,2014-08-01,507,370,1,5,508,375,883
EL PUENTE(TJA),consulta externa, menores de 5 anos,2014-08-01,212,178,14,24,226,202,428
EL TORNO,consulta externa, menores de 5 anos,2014-08-01,1049,979,80,92,1129,1071,2200
EL VILLAR,consulta externa, menores de 5 anos,2014-08-01,108,88,7,4,115,92,207
ENTRE RIOS TRJ,consulta externa, menores de 5 anos,2014-08-01,471,483,7,8,478,491,969
ENTRE RIOS CBBA,consulta externa, menores de 5 anos,2014-08-01,671,582,35,44,706,626,1332
ESCARA,consulta externa, menores de 5 anos,2014-08-01,4,2,0,0,4,2,6
ESCOMA,consulta externa, menores de 5 anos,2014-08-01,37,35,27,38,64,73,137
ESMERALDA,consulta externa, menores de 5 anos,2014-08-01,4,4,0,1,4,5,9
EUCALIPTUS,consulta externa, menores de 5 anos,2014-08-01,104,68,8,4,112,72,184
EUREKA (SANTOS MERCADO),consulta externa, menores de 5 anos,2014-08-01,63,55,12,5,75,60,135
EXALTACION,consulta externa, menores de 5 anos,2014-08-01,38,51,3,5,41,56,97
FERNANDEZ ALONSO,consulta externa, menores de 5 anos,2014-08-01,507,430,73,51,580,481,1061
FILADELFIA,consulta externa, menores de 5 anos,2014-08-01,204,202,1,4,205,206,411
GENERAL SAAVEDRA,consulta externa, menores de 5 anos,2014-08-01,547,482,159,96,706,578,1284
GRAL. J.J. PEREZ (CHARAZANI),consulta externa, menores de 5 anos,2014-08-01,190,136,8,4,198,140,338
GUANAY,consulta externa, menores de 5 anos,2014-08-01,305,320,0,0,305,320,625
GUAQUI,consulta externa, menores de 5 anos,2014-08-01,53,57,7,2,60,59,119
GUAYARAMERIN,consulta externa, menores de 5 anos,2014-08-01,1072,1009,205,168,1277,1177,2454
GUTIERREZ,consulta externa, menores de 5 anos,2014-08-01,472,491,104,96,576,587,1163
HUACARETA,consulta externa, menores de 5 anos,2014-08-01,251,234,32,33,283,267,550
HUACAYA (VILLA DE HUACAYA),consulta externa, menores de 5 anos,2014-08-01,115,81,24,22,139,103,242
HUACHACALLA,consulta externa, menores de 5 anos,2014-08-01,7,15,0,0,7,15,22
HUANUNI,consulta externa, menores de 5 anos,2014-08-01,446,454,24,47,470,501,971
HUARACAJE,consulta externa, menores de 5 anos,2014-08-01,104,104,0,0,104,104,208
HUARINA,consulta externa, menores de 5 anos,2014-08-01,42,39,6,5,48,44,92
HUATAJATA,consulta externa, menores de 5 anos,2014-08-01,44,42,23,27,67,69,136
HUAYLLAMARCA,consulta externa, menores de 5 anos,2014-08-01,68,60,3,4,71,64,135
HUMANATA,consulta externa, menores de 5 anos,2014-08-01,24,29,2,0,26,29,55
ICHOCA,consulta externa, menores de 5 anos,2014-08-01,45,25,3,1,48,26,74
ICLA,consulta externa, menores de 5 anos,2014-08-01,313,325,11,3,324,328,652
INCAHUASI,consulta externa, menores de 5 anos,2014-08-01,467,424,3,3,470,427,897
INGAVI (HUMAITA),consulta externa, menores de 5 anos,2014-08-01,54,55,4,8,58,63,121
INQUISIVI,consulta externa, menores de 5 anos,2014-08-01,227,219,1,0,228,219,447
IRUPANA (VILLA DE LANZA),consulta externa, menores de 5 anos,2014-08-01,390,378,17,15,407,393,800
IXIAMAS,consulta externa, menores de 5 anos,2014-08-01,378,299,8,8,386,307,693
JESUS DE MACHACA,consulta externa, menores de 5 anos,2014-08-01,232,253,48,53,280,306,586
LA ASUNTA,consulta externa, menores de 5 anos,2014-08-01,904,821,244,232,1148,1053,2201
LA GUARDIA,consulta externa, menores de 5 anos,2014-08-01,1778,1530,93,90,1871,1620,3491
LA PAZ,consulta externa, menores de 5 anos,2014-08-01,14940,14323,3437,3434,18377,17757,36134
LA RIVERA,consulta externa, menores de 5 anos,2014-08-01,4,3,0,0,4,3,7
LAGUNILLAS,consulta externa, menores de 5 anos,2014-08-01,221,204,4,9,225,213,438
LAJA,consulta externa, menores de 5 anos,2014-08-01,201,179,13,6,214,185,399
LAS CARRERAS,consulta externa, menores de 5 anos,2014-08-01,87,93,5,5,92,98,190
LICOMA PAMPA,consulta externa, menores de 5 anos,2014-08-01,49,41,0,0,49,41,90
LLALLAGUA,consulta externa, menores de 5 anos,2014-08-01,949,924,18,21,967,945,1912
LLICA,consulta externa, menores de 5 anos,2014-08-01,90,82,4,5,94,87,181
LORETO,consulta externa, menores de 5 anos,2014-08-01,83,80,40,34,123,114,237
LURIBAY,consulta externa, menores de 5 anos,2014-08-01,152,153,2,4,154,157,311
MACHACAMARCA,consulta externa, menores de 5 anos,2014-08-01,53,57,4,7,57,64,121
MACHARETI,consulta externa, menores de 5 anos,2014-08-01,273,240,5,2,278,242,520
MAGDALENA,consulta externa, menores de 5 anos,2014-08-01,266,255,11,14,277,269,546
MAIRANA,consulta externa, menores de 5 anos,2014-08-01,170,165,17,23,187,188,375
MALLA,consulta externa, menores de 5 anos,2014-08-01,52,42,1,9,53,51,104
MAPIRI,consulta externa, menores de 5 anos,2014-08-01,302,269,7,4,309,273,582
MECAPACA,consulta externa, menores de 5 anos,2014-08-01,154,97,7,4,161,101,262
MINEROS,consulta externa, menores de 5 anos,2014-08-01,491,389,2,1,493,390,883
MIZQUE,consulta externa, menores de 5 anos,2014-08-01,622,545,40,40,662,585,1247
MOCOMOCO,consulta externa, menores de 5 anos,2014-08-01,98,92,2,1,100,93,193
MOJINETE,consulta externa, menores de 5 anos,2014-08-01,22,20,1,0,23,20,43
MOJOCOYA,consulta externa, menores de 5 anos,2014-08-01,169,152,58,66,227,218,445
MONTEAGUDO,consulta externa, menores de 5 anos,2014-08-01,765,630,79,51,844,681,1525
MONTERO,consulta externa, menores de 5 anos,2014-08-01,2770,2700,861,567,3631,3267,6898
MORO MORO,consulta externa, menores de 5 anos,2014-08-01,46,48,9,3,55,51,106
MOROCHATA,consulta externa, menores de 5 anos,2014-08-01,226,186,21,54,247,240,487
NACEBE (SANTA ROSA DEL ABUNA),consulta externa, menores de 5 anos,2014-08-01,147,97,1,2,148,99,247
NAZACARA DE PACAJES,consulta externa, menores de 5 anos,2014-08-01,10,4,0,0,10,4,14
NUEVO MANOA (NUEVA ESPERANZA),consulta externa, menores de 5 anos,2014-08-01,110,77,7,10,117,87,204
OCURI,consulta externa, menores de 5 anos,2014-08-01,341,314,4,0,345,314,659
OKINAWA,consulta externa, menores de 5 anos,2014-08-01,460,357,17,9,477,366,843
OMEREQUE,consulta externa, menores de 5 anos,2014-08-01,215,178,27,38,242,216,458
ORURO,consulta externa, menores de 5 anos,2014-08-01,5553,5448,706,706,6259,6154,12413
PADCAYA,consulta externa, menores de 5 anos,2014-08-01,519,440,23,15,542,455,997
PADILLA,consulta externa, menores de 5 anos,2014-08-01,328,363,3,7,331,370,701
PAILON,consulta externa, menores de 5 anos,2014-08-01,565,446,50,45,615,491,1106
PALCA,consulta externa, menores de 5 anos,2014-08-01,388,316,22,9,410,325,735
PALOS BLANCOS,consulta externa, menores de 5 anos,2014-08-01,942,883,84,86,1026,969,1995
PAMPA AULLAGAS,consulta externa, menores de 5 anos,2014-08-01,43,34,1,0,44,34,78
PAMPA GRANDE,consulta externa, menores de 5 anos,2014-08-01,153,129,6,4,159,133,292
PAPEL PAMPA,consulta externa, menores de 5 anos,2014-08-01,183,128,25,8,208,136,344
PASORAPA,consulta externa, menores de 5 anos,2014-08-01,87,65,0,1,87,66,153
PATACAMAYA,consulta externa, menores de 5 anos,2014-08-01,199,223,7,7,206,230,436
PAZÑA,consulta externa, menores de 5 anos,2014-08-01,93,95,2,4,95,99,194
PELECHUCO,consulta externa, menores de 5 anos,2014-08-01,177,146,1,1,178,147,325
POCOATA,consulta externa, menores de 5 anos,2014-08-01,354,360,10,4,364,364,728
POCONA,consulta externa, menores de 5 anos,2014-08-01,243,201,10,16,253,217,470
POJO (CBBA),consulta externa, menores de 5 anos,2014-08-01,334,303,9,21,343,324,667
POOPO,consulta externa, menores de 5 anos,2014-08-01,64,85,2,0,66,85,151
PORCO,consulta externa, menores de 5 anos,2014-08-01,195,153,19,13,214,166,380
POROMA,consulta externa, menores de 5 anos,2014-08-01,574,523,15,12,589,535,1124
PORONGO,consulta externa, menores de 5 anos,2014-08-01,253,256,15,2,268,258,526
PORTACHUELO,consulta externa, menores de 5 anos,2014-08-01,385,403,331,383,716,786,1502
PORVENIR,consulta externa, menores de 5 anos,2014-08-01,136,146,14,10,150,156,306
POSTRER VALLE,consulta externa, menores de 5 anos,2014-08-01,24,38,1,2,25,40,65
POTOSI,consulta externa, menores de 5 anos,2014-08-01,4021,3610,603,336,4624,3946,8570
PRESTO,consulta externa, menores de 5 anos,2014-08-01,190,189,5,2,195,191,386
PUCARA,consulta externa, menores de 5 anos,2014-08-01,49,39,0,7,49,46,95
PUCARANI,consulta externa, menores de 5 anos,2014-08-01,248,214,3,7,251,221,472
PUERTO ACOSTA,consulta externa, menores de 5 anos,2014-08-01,112,116,0,2,112,118,230
PUERTO CARABUCO,consulta externa, menores de 5 anos,2014-08-01,131,122,6,7,137,129,266
PUERTO GONZALO MORENO,consulta externa, menores de 5 anos,2014-08-01,276,214,11,5,287,219,506
PUERTO PEREZ,consulta externa, menores de 5 anos,2014-08-01,66,46,0,1,66,47,113
PUERTO QUIJARRO,consulta externa, menores de 5 anos,2014-08-01,366,273,16,8,382,281,663
PUERTO RICO,consulta externa, menores de 5 anos,2014-08-01,407,481,9,5,416,486,902
PUERTO SILES,consulta externa, menores de 5 anos,2014-08-01,44,39,4,3,48,42,90
PUERTO SUAREZ,consulta externa, menores de 5 anos,2014-08-01,336,336,26,26,362,362,724
PUERTO VILLARROEL,consulta externa, menores de 5 anos,2014-08-01,2079,1850,87,88,2166,1938,4104
PUNA,consulta externa, menores de 5 anos,2014-08-01,438,347,10,19,448,366,814
PUNATA,consulta externa, menores de 5 anos,2014-08-01,426,375,146,135,572,510,1082
QUIABAYA,consulta externa, menores de 5 anos,2014-08-01,49,58,2,1,51,59,110
QUILLACOLLO,consulta externa, menores de 5 anos,2014-08-01,1761,1620,3043,2876,4804,4496,9300
QUIME,consulta externa, menores de 5 anos,2014-08-01,149,133,12,5,161,138,299
QUIRUSILLAS,consulta externa, menores de 5 anos,2014-08-01,26,25,1,0,27,25,52
RAVELO,consulta externa, menores de 5 anos,2014-08-01,344,365,6,5,350,370,720
REYES,consulta externa, menores de 5 anos,2014-08-01,384,345,3,5,387,350,737
RIBERALTA,consulta externa, menores de 5 anos,2014-08-01,3124,3199,211,230,3335,3429,6764
ROBORE,consulta externa, menores de 5 anos,2014-08-01,347,338,39,64,386,402,788
RURRENABAQUE,consulta externa, menores de 5 anos,2014-08-01,379,372,82,63,461,435,896
SABAYA,consulta externa, menores de 5 anos,2014-08-01,52,56,0,3,52,59,111
SACABA,consulta externa, menores de 5 anos,2014-08-01,2440,2139,175,167,2615,2306,4921
SACABAMBA,consulta externa, menores de 5 anos,2014-08-01,46,50,25,23,71,73,144
SACACA,consulta externa, menores de 5 anos,2014-08-01,459,380,8,9,467,389,856
SAIPINA,consulta externa, menores de 5 anos,2014-08-01,122,102,15,8,137,110,247
SALINAS DE GARCI MENDOZA,consulta externa, menores de 5 anos,2014-08-01,219,204,15,5,234,209,443
SAMAIPATA,consulta externa, menores de 5 anos,2014-08-01,212,176,6,10,218,186,404
SAN AGUSTIN,consulta externa, menores de 5 anos,2014-08-01,36,51,2,2,38,53,91
SAN ANDRES,consulta externa, menores de 5 anos,2014-08-01,357,342,57,51,414,393,807
