,group,variable,month,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS DENTRO,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTAL PENTAVALENTE 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,2,0,0,1,2,1,3
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,0,0,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,5,0,0,1,5,6
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,1,1,1,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,11,2,0,0,11,2,13
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-06-01,1,0,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,0,1,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,2,0,0,2,2,4
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,4,0,0,2,4,6
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,1,0,1,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,1,0,0,2,1,3
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,0,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,1,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,17,26,0,1,17,27,44
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,2,0,0,1,2,3
COLLANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,2,0,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,0,0,0,2,0,2
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,1,0,0,2,1,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
CULPINA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,7,3,9,5,16,8,24
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
HUACARETA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,2,0,0,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,10,9,0,1,10,10,20
LAJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,0,1,0,1,0,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,1,1,2,2,3,5
LORETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,2,0,0,1,2,3
MALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,0,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,4,2,1,1,5,3,8
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,10,8,3,4,13,12,25
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,7,3,0,0,7,3,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,4,0,0,1,4,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,1,2,1,3,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,1,0,0,1,1,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,1,1,0,3,1,4
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,1,1,0,3,1,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,1,0,2,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,2,1,3,1,4
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,52,44,2,1,54,45,99
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,3,0,4,0,4
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,3,0,0,0,3,3
SENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,1,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,0,0,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,2,0,0,1,2,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,1,0,0,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,2,2,0,3,2,5
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,0,3,0,3,0,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,7,2,1,1,8,3,11
UMALA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,2,0,0,2,2,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,1,0,1,2,2,4
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,2,1,0,0,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,0,0,0,1,0,1,1
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-07-01,1,0,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,1,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,3,0,0,0,3,0,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,3,2,4,3,7,10
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,3,1,1,0,4,1,5
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,2,3,3,3,6
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,19,14,0,1,19,15,34
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,1,0,0,0,1,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,5,10,7,6,12,16,28
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,1,2,1,2,2,4
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,2,0,0,0,2,0,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,1,0,2,0,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,1,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,11,13,0,0,11,13,24
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,3,4,0,0,3,4,7
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,3,6,5,1,8,7,15
POOPO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,3,8,0,0,3,8,11
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,3,3,1,0,4,3,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,2,0,0,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,3,1,0,1,3,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,1,0,0,1,1,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,6,1,6,1,7
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,1,1,1,1,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,27,24,22,0,49,24,73
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,1,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,3,2,0,0,3,2,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,2,1,0,2,2,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,2,0,0,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,3,1,2,0,5,1,6
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,1,1,1,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,0,0,1,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,1,0,0,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-08-01,0,1,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,0,1,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,3,0,3,1,4
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,41,48,0,0,41,48,89
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,1,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,8,4,6,10,14,14,28
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,0,1,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,1,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,2,0,2,0,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,1,0,0,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,1,1,0,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,9,10,0,0,9,10,19
LAJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,6,5,4,6,10,16
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,12,16,9,7,21,23,44
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,2,2,0,0,2,2,4
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,4,1,0,1,4,2,6
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,3,4,0,0,3,4,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,2,0,0,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,11,12,3,3,14,15,29
ROBORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,0,1,0,1,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,1,1,0,2,1,3
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,3,0,0,1,3,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,0,1,0,1,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,2,0,0,1,2,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,21,22,0,1,21,23,44
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,1,0,1,0,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,3,0,0,0,3,0,3
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,4,1,5,1,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,1,0,0,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,0,1,0,1,1
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,1,0,2,0,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,3,3,0,0,3,3,6
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,0,2,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,1,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,2,0,0,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,0,0,1,0,1,0,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-09-01,1,1,0,0,1,1,2
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,2,1,0,0,2,1,3
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,0,1,0,0,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,0,0,1,1,1,1,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,0,0,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,0,0,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,0,0,0,1,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 1ra dosis,2015-10-01,0,0,0,4,0,4,4
