,group,variable,month,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA DENTRO,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTAL ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
LLICA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,2,1,2,3,4,7
LORETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,3,15,7,17,10,27
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,5,1,6,12,11,13,24
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,0,3,2,5,2,7
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,3,6,3,9,6,15
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,5,5,13,9,18,14,32
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,6,15,0,0,6,15,21
MALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,0,3,4,4,4,8
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,7,7,0,0,7,7,14
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,7,4,7,4,14,8,22
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,1,0,0,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,12,10,16,9,28,19,47
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,1,5,1,9,2,11
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,4,3,2,7,6,13
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,16,17,3,2,19,19,38
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,143,157,7,7,150,164,314
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,0,6,3,9,3,12
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,1,5,0,8,1,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,5,2,0,0,5,2,7
OCURI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,6,4,10,6,16,10,26
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,12,9,3,0,15,9,24
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,2,2,2,3,5
ORURO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,212,229,27,28,239,257,496
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,8,7,3,0,11,7,18
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,2,0,2,2,4,6
PAILON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,18,15,40,34,58,49,107
PALCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,20,18,16,11,36,29,65
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,26,30,16,11,42,41,83
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,1,4,6,6,7,13
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,6,10,1,0,7,10,17
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,1,4,1,6,2,8
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,0,0,0,1,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,11,19,1,1,12,20,32
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,2,4,6,6,8,14
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,2,2,1,5,3,8
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,2,22,35,25,37,62
POCONA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,1,3,9,4,10,14
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,9,12,2,3,11,15,26
POOPO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,6,5,7,0,13,5,18
PORCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,0,3,4,5,4,9
POROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,4,4,1,8,5,13
PORONGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,10,9,10,9,19
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,13,21,0,0,13,21,34
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,4,3,2,6,6,12
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,32,30,2,3,34,33,67
PRESTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,5,1,5,1,6
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,14,12,3,8,17,20,37
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,1,8,8,9,9,18
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,8,0,5,7,13,7,20
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,11,9,11,10,21
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,7,3,6,5,13,8,21
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,6,18,10,21,16,37
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,5,5,5,6,11
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,18,11,2,2,20,13,33
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,40,61,3,4,43,65,108
PUNA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,8,5,5,2,13,7,20
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,15,16,0,0,15,16,31
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,76,67,85,78,161,145,306
QUIME,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,7,2,4,2,11,4,15
RAVELO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,3,7,2,8,5,13
REYES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,11,5,2,1,13,6,19
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,93,89,63,63,156,152,308
ROBORE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,11,10,15,7,26,17,43
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,17,14,2,3,19,17,36
SABAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,0,5,3,7,3,10
SACABA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,116,112,8,14,124,126,250
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,3,6,4,6,7,13
SACACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,6,10,7,6,13,16,29
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,2,4,5,4,7,11
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,2,5,2,9,4,13
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,5,3,8,4,13,7,20
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,0,4,0,5,5
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,5,6,14,8,19,27
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,0,1,0,2,2
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,0,2,0,2,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,1,4,2,7,3,10
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,24,33,35,40,59,73,132
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,5,4,3,8,8,16
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,20,23,5,4,25,27,52
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,8,13,4,5,12,18,30
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,37,43,7,16,44,59,103
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,7,6,7,7,14
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,16,12,0,0,16,12,28
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,1,4,4,6,5,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,17,15,6,9,23,24,47
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,1,3,5,5,6,11
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,32,28,13,16,45,44,89
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,0,5,10,9,10,19
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,18,13,1,3,19,16,35
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,4,19,20,22,24,46
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,9,7,0,5,9,12,21
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,9,15,4,5,13,20,33
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,2,0,0,3,2,5
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,12,7,9,10,21,31
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,10,15,10,8,20,23,43
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,3,2,3,2,5
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,0,2,1,3,1,4
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,1,1,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,2,4,1,5,3,8
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,5,4,5,5,10
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,4,1,0,3,4,7
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,13,7,1,4,14,11,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1583,1515,46,46,1629,1561,3190
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,5,4,19,6,24,10,34
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,7,1,2,5,9,14
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,5,2,3,3,8,11
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,2,5,2,5,7
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,3,6,4,9,7,16
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,2,4,2,5,7
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,0,5,1,9,1,10
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,2,5,3,8,5,13
SENA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,7,7,1,4,8,11,19
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,26,26,1,0,27,26,53
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,19,12,6,4,25,16,41
SICAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,10,5,10,5,15
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,79,64,1,0,80,64,144
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,7,1,2,4,9,13
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,7,6,4,4,11,10,21
SORATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,10,5,15,12,25,17,42
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,248,237,6,10,254,247,501
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,8,5,5,3,13,8,21
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,2,2,3,2,5,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,12,7,6,3,18,10,28
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,4,10,8,14,12,26
TARACO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,0,0,0,2,0,2
TARATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,8,6,4,6,12,12,24
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,188,156,2,7,190,163,353
TARVITA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,5,1,12,7,17,8,25
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,10,9,7,5,17,14,31
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,9,0,0,4,9,13
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,14,6,11,12,25,18,43
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,2,4,2,4,6
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,54,46,34,38,88,84,172
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,5,5,5,6,10,16
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,3,0,3,0,3
TOCO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,2,2,7,6,9,15
TOLATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,2,1,2,3,4,7
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,3,1,4,4,7,11
TOMINA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,1,1,4,3,5,8
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,5,4,7,5,12,17
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,10,9,11,10,21,19,40
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,2,0,0,1,2,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,103,102,6,3,109,105,214
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,28,32,9,13,37,45,82
UMALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,1,3,4,3,5,8
UNCIA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,8,13,12,8,20,21,41
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,7,2,3,4,10,14
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,10,11,3,1,13,12,25
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,29,27,0,2,29,29,58
VACAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,6,2,6,2,8
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,19,14,0,0,19,14,33
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,61,51,14,12,75,63,138
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,2,4,11,8,13,21
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,7,13,9,14,16,30
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,22,34,16,18,38,52,90
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,2,4,4,7,6,13
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,4,2,1,0,5,2,7
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,0,7,3,10,3,13
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,47,59,21,26,68,85,153
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,0,1,3,3,3,6
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,34,23,3,3,37,26,63
VINTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,39,35,7,8,46,43,89
VITICHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,4,2,1,3,5,8
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,3,0,0,1,3,4
WARNES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,134,110,8,6,142,116,258
YACO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,3,4,2,7,5,12
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,66,80,32,23,98,103,201
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,2,2,1,4,3,7
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,2,3,0,0,2,3,5
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,42,21,27,29,69,50,119
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,2,2,2,5,4,9
YOTALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,3,0,4,3,7,3,10
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,1,1,7,4,8,5,13
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-07-01,0,0,5,3,5,3,8
ACACIO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,1,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,27,20,4,5,31,25,56
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,6,8,5,10,11,18,29
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,11,14,6,8,17,22,39
ALCALA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,2,0,0,1,2,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,8,12,1,0,9,12,21
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,6,2,0,0,6,2,8
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,1,4,4,4,5,9
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,2,1,1,2,3,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,4,0,0,3,4,7
APOLO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,18,9,6,9,24,18,42
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,2,4,3,4,5,9
ARANI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,5,2,0,7,5,12
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,8,6,9,8,17,14,31
ARQUE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,3,2,2,4,5,9
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,37,29,4,6,41,35,76
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,4,2,4,2,6
AYATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,2,6,8,9,10,19
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,5,1,0,5,5,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,6,3,8,2,14,5,19
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,4,7,2,12,6,18
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,9,6,5,7,14,13,27
BAURES,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,4,0,0,3,4,7
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,3,2,4,2,6
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,1,0,5,1,6,1,7
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,4,1,4,1,5
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,15,19,15,9,30,28,58
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,8,10,8,7,16,17,33
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,1,4,1,4,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,4,2,5,5,9,7,16
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,5,4,4,6,9,15
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,13,14,17,13,30,27,57
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,3,5,3,4,6,9,15
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,1,8,10,10,11,21
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,3,6,6,8,9,17
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,0,0,2,1,2,1,3
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,5,4,2,1,7,5,12
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,12,9,1,0,13,9,22
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,2,0,1,1,3,1,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antiamarilica dosis unica,2015-08-01,33,33,5,0,38,33,71
