,group,variable,month,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTAL INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
PUNATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,44,28,50,40,94,68,162
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,3,0,0,4,3,7
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,75,66,108,93,183,159,342
QUIME,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,2,15,16,22,18,40
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,0,0,0,2,0,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,7,23,27,31,34,65
REYES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,0,0,0,4,0,4
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,76,67,11,3,87,70,157
ROBORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,16,6,1,17,17,34
SACABA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,172,202,44,49,216,251,467
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,12,4,4,7,16,23
SACACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,4,4,6,6,10,16
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,3,6,6,10,9,19
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,15,5,10,16,25,41
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,15,27,3,4,18,31,49
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,2,0,0,2,2,4
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,13,7,5,14,18,32
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,3,0,3,3,6,9
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,1,8,6,8,7,15
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,23,22,20,15,43,37,80
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,67,62,50,53,117,115,232
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,24,21,16,6,40,27,67
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,43,45,9,4,52,49,101
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,46,27,2,1,48,28,76
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,80,83,6,11,86,94,180
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,2,1,2,1,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,27,22,0,0,27,22,49
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,4,6,2,12,6,18
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,21,21,6,11,27,32,59
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,12,16,1,3,13,19,32
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,50,49,7,17,57,66,123
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,4,5,1,10,5,15
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,19,28,12,13,31,41,72
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,10,11,4,4,14,15,29
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,2,3,4,9,6,15
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,18,15,1,2,19,17,36
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,1,0,1,1,2,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,15,15,3,10,18,25,43
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,29,38,30,24,59,62,121
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,0,1,2,2,2,4
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,2,0,0,0,2,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,2,2,2,5,4,9
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,1,3,1,3,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,10,4,2,15,12,27
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,9,6,1,10,10,20
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,25,15,0,0,25,15,40
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1734,1688,41,43,1775,1731,3506
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,30,31,44,30,74,61,135
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,24,32,8,10,32,42,74
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,3,8,13,12,16,28
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,5,12,14,20,19,39
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,4,3,1,9,5,14
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,5,0,1,0,6,6
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,0,0,0,3,0,3
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,7,3,3,4,10,14
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,9,7,10,15,19,34
SENA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,10,1,4,8,14,22
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,16,11,10,6,26,17,43
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,16,33,19,15,35,48,83
SICAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,2,4,0,5,2,7
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,14,9,15,15,29,24,53
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,1,1,1,1,2
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,10,10,12,14,22,24,46
SORATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,8,20,19,31,27,58
SUCRE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,381,346,71,75,452,421,873
TACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,1,0,1,0,1
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,12,3,10,9,22,12,34
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,2,3,4,3,6,9
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,3,5,6,7,9,16
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,14,14,16,12,30,26,56
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,13,9,18,17,31,26,57
TARACO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,3,1,3,2,6,8
TARATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,18,9,8,9,26,18,44
TARIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,224,262,68,68,292,330,622
TARVITA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,3,9,5,12,8,20
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,8,7,2,18,10,28
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,10,3,0,0,10,3,13
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,4,7,2,9,6,15
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,7,9,4,10,11,19,30
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,16,20,59,69,75,89,164
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,13,31,25,39,38,77
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,0,3,1,5,1,6
TOCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,3,6,9,11,12,23
TOLATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,6,8,3,13,9,22
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,2,4,0,9,2,11
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,16,7,6,18,22,40
TOMINA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,7,1,1,2,8,10
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,8,8,14,21,22,29,51
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,12,23,2,3,14,26,40
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,1,0,0,4,1,5
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,2,0,1,3,3,3,6
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,121,93,83,98,204,191,395
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,36,36,21,30,57,66,123
TURCO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,3,0,0,1,3,4
UMALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,7,14,12,19,19,38
UNCIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,24,14,20,8,44,22,66
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,17,17,10,7,27,24,51
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,29,27,18,24,47,51,98
UYUNI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,44,52,0,1,44,53,97
VACAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,9,7,3,5,12,12,24
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,6,5,6,16,12,28
VIACHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,87,76,13,14,100,90,190
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,6,9,9,15,15,30
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,15,7,7,18,22,40
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,38,51,26,38,64,89,153
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,1,3,5,6,6,12
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,6,12,3,16,9,25
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,2,1,1,5,3,8
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,68,68,53,55,121,123,244
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,3,1,0,2,3,3,6
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,44,38,7,9,51,47,98
VINTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,76,87,6,3,82,90,172
VITICHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,11,5,2,1,13,6,19
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,0,0,6,5,6,5,11
WARNES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,215,165,7,7,222,172,394
YACO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,5,11,2,2,7,13,20
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,88,86,96,86,184,172,356
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,2,2,0,6,2,8
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,4,4,2,2,6,6,12
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,31,37,24,19,55,56,111
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,0,1,0,2,0,2
YOTALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,14,18,20,20,34,38,72
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,1,2,12,5,13,7,20
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-07-01,6,5,9,6,15,11,26
ACACIO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,5,3,0,7,5,12
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,16,17,13,22,29,39,68
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,18,22,28,22,46,44,90
ALCALA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,0,0,2,1,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,15,16,11,8,26,24,50
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,0,0,1,0,1
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,3,6,9,8,12,20
APOLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,21,16,14,15,35,31,66
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,2,3,2,3,5
ARANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,8,5,16,17,24,22,46
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,5,1,6,4,11,15
ARQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,1,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,42,33,3,5,45,38,83
AYATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,0,2,1,7,1,8
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,12,13,12,13,25
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,0,4,3,7,3,10
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,10,3,11,11,21,14,35
BAURES,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,10,5,0,0,10,5,15
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,4,1,5,1,6
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,5,1,7,2,9
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,18,15,19,19,37,34,71
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,1,0,3,1,4
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,0,1,1,1,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,21,24,23,24,44,48,92
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,10,13,19,13,29,26,55
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,2,3,2,3,5
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,3,1,3,1,4
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,7,4,4,8,11,19
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,1,2,1,3,4
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,5,5,9,8,14,13,27
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,15,16,7,3,22,19,41
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,16,24,2,4,18,28,46
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,6,5,3,9,9,18
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,14,17,12,9,26,26,52
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,32,22,185,189,217,211,428
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,2,2,1,5,3,8
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,0,0,1,1
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,28,19,11,9,39,28,67
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,7,3,0,0,7,3,10
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,21,13,23,15,38
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,18,21,10,7,28,28,56
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,4,2,4,2,6
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,10,12,11,12,23
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,23,17,23,25,46,42,88
CHUMA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,5,0,0,2,5,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,25,20,25,20,45
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,10,8,13,9,23,17,40
CLIZA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,9,7,26,22,35,29,64
COBIJA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,64,52,20,15,84,67,151
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,1,1,5,2,6,8
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,515,534,119,93,634,627,1261
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,59,71,22,28,81,99,180
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,24,17,0,1,24,18,42
COLOMI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,17,13,17,25,34,38,72
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,2,0,1,2,3,5
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,12,9,9,7,21,16,37
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,8,16,23,27,31,43,74
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,4,3,2,5,6,11
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,5,6,5,6,11
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,12,5,2,1,14,6,20
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,10,11,8,7,18,18,36
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,5,9,2,12,7,19
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,19,8,9,10,28,18,46
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,4,5,7,4,11,9,20
COROICO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,11,10,13,12,24,22,46
CORQUE,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,3,3,5,4,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,2,0,0,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,127,115,10,14,137,129,266
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,6,3,2,5,8,13
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,1,1,1,1,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,0,0,0,2,0,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,3,0,0,2,3,5
CURVA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,1,1,1,1,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,762,856,173,196,935,1052,1987
EL CHORO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,0,11,12,11,12,23
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,13,16,10,6,23,22,45
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,3,3,1,2,4,5,9
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,21,29,2,4,23,33,56
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,6,12,1,8,7,20,27
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,24,13,10,7,34,20,54
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,0,1,0,0,0,1,1
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,0,0,2,1,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,2,1,6,5,8,6,14
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,0,5,6,6,6,12
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,15,10,0,0,15,10,25
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,1,2,0,5,1,7,8
GUANAY,vacunaciones en ninos de 12 a 23 meses,total influenza estacional dosis unica,2015-08-01,6,2,29,27,35,29,64
