,group,variable,month,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS DENTRO,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTAL PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
PUNATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,0,1,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,1,1,2,1,3,4
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,2,0,0,0,2,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,2,0,0,0,2,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,0,0,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,4,0,1,0,5,0,5
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,1,1,1,1,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,0,4,4,5,4,9
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,3,1,0,0,3,1,4
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,1,0,0,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,6,3,6,3,9
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,2,2,2,2,4
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,18,19,1,1,19,20,39
SENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,1,0,1,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,4,0,0,0,4,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,1,1,0,1,1,2
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,0,1,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,1,0,0,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1,0,1
UNCIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,0,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,0,0,0,1,0,1
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,1,1,0,0,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,5,6,0,0,5,6,11
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-08-01,0,1,0,0,0,1,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,1,0,0,1,1,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,1,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,2,1,0,0,2,1,3
CLIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,7,8,1,0,8,8,16
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,0,1,0,1,1
CORO CORO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,3,1,0,0,3,1,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,6,7,3,9,9,16,25
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,3,0,3,0,3
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,2,0,0,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,3,0,0,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,5,6,0,2,5,8,13
LAJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,2,1,0,0,2,1,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,1,1,1,2,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,3,2,0,1,3,3,6
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,7,1,1,3,8,4,12
PAILON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,1,1,1,2,3
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,0,1,0,1,1
POROMA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,2,1,0,2,2,3,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,3,0,0,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,1,1,0,2,1,3
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,2,0,0,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,1,0,1,1,2,3
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,2,1,3,2,5,3,8
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,1,0,0,1,1,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,2,2,0,0,2,2,4
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,33,15,2,0,35,15,50
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,1,0,0,1,1,2
SENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,1,0,0,1,1,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,1,1,1,2
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,2,2,0,0,2,2,4
VIACHA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,0,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,0,2,0,2,2
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,1,0,1,0,2,2
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,1,0,1,1,2,3
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,1,0,0,1,1,2
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,1,0,0,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-09-01,0,0,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
ARANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,2,0,0,0,2,0,2
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,3,0,3,1,4
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,1,1,1,2
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,3,7,2,1,5,8,13
COLOMI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,1,2,1,3,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,11,13,7,6,18,19,37
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,1,1,0,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,2,1,1,0,3,1,4
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,4,0,0,0,4,0,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,5,0,0,1,5,6
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,5,5,1,0,6,5,11
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,1,1,2,1,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,1,1,1,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,1,0,0,1,1,2
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,4,2,2,3,6,5,11
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,3,2,1,3,4,7
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,1,3,1,4,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,3,3,3,3,6
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,2,0,2,1,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,1,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,5,3,5,4,9
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,4,9,5,9,14
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,3,0,0,0,3,0,3
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,0,1,0,1,1
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,1,5,2,5,7
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,4,1,2,1,6,2,8
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,26,26,3,2,29,28,57
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,2,0,0,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,3,0,1,0,4,0,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,5,2,1,0,6,2,8
UNCIA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,1,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,2,1,0,2,2,3,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,0,0,5,0,5,5
WARNES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,2,3,0,0,2,3,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,1,0,0,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-10-01,0,1,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1,0,1
ARANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,2,1,3,1,5,6
BAURES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,0,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,3,1,3,1,4
CHIMORE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,2,2,0,3,2,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,0,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,1,1,1,2,2,4
COCAPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,9,5,1,0,10,5,15
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,0,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,3,3,0,4,3,7
CURVA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,10,9,10,16,20,25,45
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,0,1,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,4,0,0,0,4,0,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,1,1,1,2,2,4
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,12,6,4,3,16,9,25
LORETO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,5,3,5,3,8
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,0,2,0,2,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,2,0,1,0,3,3
ORURO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,3,0,1,4,4,4,8
PALCA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,7,0,0,0,7,0,7
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,2,1,1,2,3,5
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,3,1,1,1,4,2,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,1,0,2,2
RAVELO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,0,0,1,1
REYES,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,0,0,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,2,3,0,1,2,4,6
SACABA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,1,2,1,3,4
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,0,1,0,2,0,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,2,0,2,1,4,5
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,1,1,1,1,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,0,0,1,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,3,2,3,2,5
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,0,1,0,1,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,0,0,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total pentavalente 2da dosis,2015-11-01,1,2,3,2,4,4,8
