,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTAL ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES,TOTALES,TOTALES
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,7,0,0,3,7,10
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,8,1,1,10,9,19
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,1,1,1,6,2,8
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,16,17,2,4,18,21,39
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,3,3,2,4,5,9
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,2,2,0,4,2,6
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,14,13,1,3,15,16,31
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,100,89,4,2,104,91,195
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,2,1,0,1,2,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,0,8,10,11,10,21
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,0,1,0,3,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,0,0,0,2,0,2
OCURI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,1,5,7,6,8,14
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,11,14,0,1,11,15,26
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,6,1,3,5,9,6,15
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,153,138,6,11,159,149,308
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,10,0,2,7,12,19
PADILLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,6,9,4,2,10,11,21
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,6,1,6,9,12,10,22
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,0,1,0,2,0,2
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,3,0,1,5,4,9
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,10,1,0,8,10,18
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,7,5,6,12,13,25
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,3,0,0,1,3,4
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,2,1,0,1,2,3
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,2,0,1,1,3,4
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,0,1,0,1,0,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,2,1,2,2,4
POCONA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,2,6,9,9,11,20
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,3,1,2,2,5,7
POOPO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,0,0,0,5,0,5
POROMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,3,5,5,9,8,17
PORONGO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,5,0,1,2,6,8
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,0,2,0,4,0,4
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,2,2,2,9,4,13
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,38,28,6,3,44,31,75
PRESTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,4,4,5,5,9,14
PUCARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,0,0,0,1,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,13,11,2,1,15,12,27
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,0,1,3,1,3,4
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,5,2,2,6,7,13
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,2,6,4,9,6,15
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,3,0,0,4,3,7
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,1,0,0,2,1,3
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,4,1,2,5,6,11
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,0,3,2,3,2,5
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,12,8,1,0,13,8,21
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,51,41,2,1,53,42,95
PUNA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,2,4,6,11,8,19
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,15,1,1,10,16,26
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,49,52,48,46,97,98,195
QUIME,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,2,0,0,1,2,3
RAVELO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,4,14,7,17,11,28
REYES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,4,0,0,3,4,7
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,48,45,1,3,49,48,97
ROBORE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,3,1,4,10,7,17
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,11,0,0,9,11,20
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,77,94,5,7,82,101,183
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,3,0,3,1,6,7
SACACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,2,2,2,7,4,11
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,3,0,0,2,3,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,6,3,1,8,7,15
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,9,1,0,8,9,17
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,2,0,0,1,2,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,8,1,0,10,8,18
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,0,0,1,0,1,1
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,2,0,0,0,2,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,8,10,1,0,9,10,19
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,27,22,18,14,45,36,81
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,6,1,3,3,9,12
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,11,0,0,9,11,20
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,13,10,1,1,14,11,25
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,18,20,1,5,19,25,44
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,2,0,0,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,12,6,0,0,12,6,18
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,2,1,0,3,2,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,12,17,7,9,19,26,45
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,2,0,0,3,2,5
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,8,4,1,8,9,17
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,3,4,0,5,3,8
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,8,13,1,5,9,18,27
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,6,4,4,11,10,21
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,2,1,2,2,4
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,6,9,0,0,6,9,15
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,0,0,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,5,1,0,5,5,10
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,8,9,9,0,17,9,26
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,1,2,1,5,2,7
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,1,0,0,4,1,5
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,2,1,1,3,3,6
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,4,0,0,7,4,11
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,16,11,1,4,17,15,32
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,790,753,32,31,822,784,1606
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,2,5,1,10,3,13
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,9,0,1,4,10,14
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,0,0,1,0,1,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,4,4,4,5,9
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,2,3,1,5,3,8
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,0,0,0,1,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,2,0,0,5,2,7
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,0,0,0,1,1
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,3,2,1,3,4,7
SENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,5,0,0,7,5,12
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,13,5,3,2,16,7,23
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,4,4,3,9,7,16
SICAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,0,4,1,4,1,5
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,28,31,7,1,35,32,67
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,3,1,0,3,3,6
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,0,0,0,1,1
SORATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,2,6,5,10,7,17
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,105,115,10,11,115,126,241
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,0,3,1,4,1,5
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,4,1,4,2,8,10
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,1,1,0,3,1,4
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,6,3,10,5,16,8,24
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,6,4,3,2,9,6,15
TARACO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,2,1,1,1,3,4
TARATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,131,121,12,15,143,136,279
TARVITA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,4,3,4,6,8,14
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,5,0,1,9,6,15
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,6,2,1,0,7,2,9
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,6,10,2,2,8,12,20
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,3,1,1,4,4,8
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,35,32,2,8,37,40,77
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,8,3,4,12,12,24
TOCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,2,0,2,2,4,6
TOLATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,5,3,2,6,7,13
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,1,0,0,1,1,2
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,2,2,3,5,5,10
TOMINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,7,3,1,6,8,14
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,0,1,0,3,0,3
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,9,8,5,1,14,9,23
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,1,0,0,1,1,2
TRIGAL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,0,0,1,3,1,4
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,40,54,4,2,44,56,100
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,37,21,7,10,44,31,75
TURCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,1,0,0,3,1,4
UMALA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,3,0,1,0,4,4
UNCIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,3,0,0,0,3,0,3
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,5,9,1,2,6,11,17
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,0,1,0,2,0,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,11,0,0,7,11,18
VACAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,2,0,1,1,3,4
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,15,13,0,0,15,13,28
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,29,19,4,4,33,23,56
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,0,3,1,5,1,6
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,7,12,1,2,8,14,22
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,27,29,6,10,33,39,72
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,2,2,1,3,3,6
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,5,0,0,2,5,7
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,1,3,3,1,4,4,8
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,43,46,3,2,46,48,94
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,2,0,0,2,2,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,35,45,3,2,38,47,85
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,38,42,4,7,42,49,91
VITICHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,1,1,0,3,1,4
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,76,103,4,1,80,104,184
YACO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,2,1,2,2,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,47,60,20,18,67,78,145
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,2,2,2,4,4,8
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,4,0,0,2,4,6
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,14,11,5,0,19,11,30
YOTALA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,4,2,4,8,8,10,18
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,2,3,4,4,6,7,13
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-07-01,0,1,4,2,4,3,7
ACACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,5,1,5,1,10,2,12
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,19,14,5,2,24,16,40
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,1,1,4,5,5,6,11
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,11,11,9,3,20,14,34
ALALAY,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,1,2,0,2,1,3
ALCALA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 4ta. dosis (1er. refuerzo),2015-08-01,0,0,1,3,1,3,4
