,group,variable,month,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA DENTRO,TOTAL SRP DOSIS ÚNICA FUERA,TOTAL SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
LURIBAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,6,0,9,23,15,23,38
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,1,3,1,4,2,6
MACHARETI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,3,5,3,8,6,14
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,5,5,13,9,18,14,32
MAIRANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,8,14,0,0,8,14,22
MALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,0,3,4,4,4,8
MAPIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,17,12,9,4,26,16,42
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,7,5,7,4,14,9,23
MINEROS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,1,0,0,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,7,12,17,12,24,24,48
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,5,5,5,1,10,6,16
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,4,4,3,6,7,13
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,17,17,3,2,20,19,39
MONTERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,147,157,7,7,154,164,318
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,6,3,4,4,10,7,17
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,2,5,0,7,2,9
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,5,2,0,0,5,2,7
OCURI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,12,4,9,6,21,10,31
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,24,12,8,2,32,14,46
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,2,2,2,3,5
ORURO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,245,265,32,34,277,299,576
PADCAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,17,14,3,3,20,17,37
PADILLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,2,0,2,2,4,6
PAILON,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,28,17,37,32,65,49,114
PALCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,21,20,16,11,37,31,68
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,25,25,16,14,41,39,80
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,1,4,5,7,6,13
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,6,10,1,0,7,10,17
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,1,4,5,6,6,12
PASORAPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,0,0,0,1,1
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,11,19,4,3,15,22,37
PAZÑA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,1,4,1,5,6
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,2,2,1,5,3,8
POCOATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,4,16,25,20,29,49
POCONA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,2,2,8,4,10,14
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,7,11,2,6,9,17,26
POOPO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,6,6,8,1,14,7,21
PORCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,0,3,4,5,4,9
POROMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,3,7,3,10,6,16
PORONGO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,10,9,10,10,20
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,16,20,1,0,17,20,37
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,4,3,2,6,6,12
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,1,0,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,41,40,0,1,41,41,82
PRESTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,0,5,4,5,4,9
PUCARANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,17,21,5,7,22,28,50
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,2,7,8,8,10,18
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,7,0,5,9,12,9,21
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,11,9,11,10,21
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,5,3,6,7,11,10,21
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,14,9,2,6,16,15,31
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,6,18,10,21,16,37
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,5,5,5,6,11
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,23,19,0,0,23,19,42
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,41,64,4,4,45,68,113
PUNA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,8,7,7,3,15,10,25
PUNATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,16,16,0,0,16,16,32
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,4,1,1,3,5,8
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,73,58,81,75,154,133,287
QUIME,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,7,2,5,6,12,8,20
RAVELO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,4,10,8,13,12,25
REYES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,14,7,3,1,17,8,25
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,91,87,66,65,157,152,309
ROBORE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,12,10,15,7,27,17,44
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,18,12,2,3,20,15,35
SABAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,1,5,2,6,3,9
SACABA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,139,140,11,10,150,150,300
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,4,4,4,4,8,12
SACACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,6,12,10,6,16,18,34
SAIPINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,2,4,4,4,6,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,4,9,3,10,7,17
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,5,4,8,4,13,8,21
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,5,6,11,10,16,26
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,2,0,1,1,3,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,0,0,2,0,2,2
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,6,2,3,0,9,2,11
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,39,44,26,31,65,75,140
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,7,9,6,5,13,14,27
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,20,23,5,4,25,27,52
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,12,15,4,4,16,19,35
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,37,43,7,16,44,59,103
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,7,6,7,7,14
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,16,12,0,0,16,12,28
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,1,4,4,6,5,11
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,18,18,12,12,30,30,60
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,1,3,5,5,6,11
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,33,28,14,16,47,44,91
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,1,6,8,10,9,19
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,19,17,2,4,21,21,42
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,5,9,8,11,13,20,33
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,9,7,1,5,10,12,22
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,9,15,4,5,13,20,33
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,4,0,0,3,4,7
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,11,7,9,11,20,31
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,11,15,14,8,25,23,48
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,0,3,2,5,2,7
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,0,3,2,6,2,8
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,0,1,1,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,2,4,1,5,3,8
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,5,4,5,5,10
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,4,2,3,4,7,11
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,13,8,0,4,13,12,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1683,1587,60,51,1743,1638,3381
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,9,8,21,17,30,25,55
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,9,1,2,5,11,16
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,5,3,3,4,8,12
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,1,7,8,8,9,17
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,3,6,4,9,7,16
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,1,4,3,5,4,9
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,0,5,1,9,1,10
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,4,1,2,3,6,9
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,8,4,3,5,11,9,20
SENA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,7,7,1,4,8,11,19
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,28,26,1,1,29,27,56
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,22,16,20,13,42,29,71
SICAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,0,10,5,10,5,15
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,79,65,1,0,80,65,145
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,7,1,2,4,9,13
SORACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,9,4,4,3,13,7,20
SORATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,12,4,16,19,28,23,51
SUCRE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,250,237,6,11,256,248,504
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,9,13,3,2,12,15,27
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,2,1,3,3,5,8
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,2,2,3,2,5,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,15,8,5,6,20,14,34
TARABUCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,4,11,10,15,14,29
TARACO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,0,0,0,2,0,2
TARATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,9,6,4,6,13,12,25
TARIJA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,161,186,23,20,184,206,390
TARVITA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,2,12,7,15,9,24
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,10,8,6,5,16,13,29
TIAWANACU,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,5,10,0,0,5,10,15
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,17,5,8,12,25,17,42
TIPUANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,5,5,4,7,9,16
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,53,47,27,30,80,77,157
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,8,7,4,10,12,22
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,1,0,1,1,2,3
TOCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,2,2,5,5,7,12
TOLATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,2,1,2,4,4,8
TOLEDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,1,1,0,3,1,4
TOMAVE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,5,8,4,3,9,11,20
TOMINA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,2,1,4,2,6,8
TORO TORO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,5,4,7,7,12,19
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,11,9,9,9,20,18,38
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,3,0,0,3,3,6
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,103,104,6,4,109,108,217
TUPIZA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,27,30,8,9,35,39,74
TURCO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,1,3,1,3,2,5
UMALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,1,7,8,8,9,17
UNCIA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,8,13,12,8,20,21,41
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,8,8,3,5,11,13,24
URUBICHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,10,11,3,1,13,12,25
UYUNI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,30,32,3,4,33,36,69
VACAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,0,6,2,6,2,8
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,19,14,0,0,19,14,33
VIACHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,61,51,13,10,74,61,135
VILA VILA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,3,2,3,6,6,12
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,5,12,7,13,12,25
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,33,45,12,9,45,54,99
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,2,4,4,7,6,13
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,1,1,0,4,1,5
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,0,7,2,10,2,12
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,49,60,22,26,71,86,157
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,0,0,1,1,1,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,40,27,4,3,44,30,74
VINTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,39,36,7,8,46,44,90
VITICHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,7,4,1,6,8,14
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,3,0,0,1,3,4
WARNES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,148,112,7,5,155,117,272
YACO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,4,3,4,2,8,5,13
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,73,92,52,34,125,126,251
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,2,2,1,4,3,7
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,7,0,0,3,7,10
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,42,21,29,29,71,50,121
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,2,3,3,3,5,6,11
YOTALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,3,0,4,3,7,3,10
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,1,1,6,4,7,5,12
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-07-01,0,0,5,3,5,3,8
ACACIO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,1,0,0,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,26,21,7,9,33,30,63
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,6,8,5,10,11,18,29
AIQUILE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,11,14,6,8,17,22,39
ALALAY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,0,0,1,0,1,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,1,2,0,0,1,2,3
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,8,12,2,0,10,12,22
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,5,2,4,5,9,7,16
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,1,4,4,4,5,9
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,1,2,1,1,2,3,5
ANZALDO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,2,3,1,3,3,6,9
APOLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,17,9,7,11,24,20,44
ARAMPAMPA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,2,4,3,4,5,9
ARANI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,5,4,2,0,7,4,11
ARBIETO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,9,7,6,6,15,13,28
ARQUE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,4,7,4,3,8,10,18
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,44,33,3,2,47,35,82
ATOCHA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,2,8,4,8,6,16,22
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,1,0,1,0,2,0,2
AYATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,3,2,7,7,10,9,19
AYO AYO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,4,6,5,2,9,8,17
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,9,3,5,2,14,5,19
AZURDUY,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,5,3,6,1,11,4,15
BATALLAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,10,6,3,12,13,18,31
BAURES,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,3,4,0,0,3,4,7
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,1,0,0,1,1,1,2
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,2,1,2,0,4,1,5
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,1,2,4,1,5,3,8
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,23,39,5,3,28,42,70
BETANZOS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,9,12,8,7,17,19,36
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,0,2,4,2,4,6
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,4,2,5,5,9,7,16
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,3,6,4,3,7,9,16
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,15,19,18,18,33,37,70
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,3,5,4,4,7,9,16
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,5,5,2,2,7,7,14
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,4,6,3,5,7,11,18
CALACOTO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,2,1,1,3,3,4,7
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,8,5,3,2,11,7,18
CAMARGO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,13,7,0,0,13,7,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,2,0,0,1,2,1,3
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,36,37,3,3,39,40,79
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,13,27,0,2,13,29,42
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,4,7,0,3,4,10,14
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,13,15,8,1,21,16,37
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,38,25,12,18,50,43,93
CARAPARI,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,1,11,8,11,9,20
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,1,1,1,3,2,4,6
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,0,4,4,4,4,8
CATACORA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,2,0,0,0,2,2
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,0,0,2,1,2,1,3
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total srp dosis unica,2015-08-01,26,20,11,4,37,24,61
