,group,variable,month,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTAL ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,2,2,0,0,2,2,4
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-05-01,2,0,1,0,3,0,3
ACACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,1,1,1,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,2,0,1,1,3,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,4,4,5,4,9
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1,0,1
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,2,0,0,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,25,30,0,0,25,30,55
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,2,0,0,0,2,2
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,2,0,0,0,2,2
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,4,8,2,3,6,11,17
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,3,0,0,0,3,3
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,2,0,0,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,1,0,0,1,1,2
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,2,1,0,0,2,1,3
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,4,2,0,0,4,2,6
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,2,6,1,0,3,6,9
LORETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,1,1,1,2
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,2,1,0,0,2,1,3
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,5,7,0,1,5,8,13
MORO MORO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,1,0,1,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,1,1,1,2
OCURI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,2,1,2,1,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,2,3,1,4,3,7,10
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,4,5,0,0,4,5,9
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,2,0,0,1,2,3
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,3,2,0,0,3,2,5
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,1,1,1,2
QUIME,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,2,0,0,0,2,2
REYES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,1,0,0,1,1,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,1,0,2,0,2
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,1,0,1,1,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,7,7,0,1,7,8,15
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,2,0,2,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,1,1,1,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,4,2,4,2,6
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,3,2,1,3,4,5,9
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,26,32,4,2,30,34,64
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,2,4,0,0,2,4,6
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,2,2,0,1,2,3,5
UYUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,2,0,1,1,3,4
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,0,0,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,3,5,0,0,3,5,8
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,11,2,0,0,11,2,13
YOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-06-01,1,0,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,2,0,0,2,2,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,4,0,0,0,4,4
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,1,0,0,2,1,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,1,0,0,2,1,3
CHUMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,1,1,1,2
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,0,2,0,2,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,1,0,2,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,11,21,0,1,11,22,33
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,2,0,0,1,2,3
COLLANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,2,0,2,1,3
COLOMI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,0,0,0,2,0,2
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,0,1,0,1
COMANCHE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,1,0,0,2,1,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
CULPINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,7,3,9,5,16,8,24
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,2,0,0,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,1,0,0,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,2,1,0,2,2,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,0,1,1,2
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,10,8,0,1,10,9,19
LAJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,0,1,0,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,2,1,2,3
LORETO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,2,0,3,0,3
MALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,2,0,0,1,2,3
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,4,2,1,1,5,3,8
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,10,8,3,4,13,12,25
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,7,3,0,0,7,3,10
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,4,0,0,1,4,5
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,2,0,0,0,2,2
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,1,2,1,3,4
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,2,1,0,3,2,5
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,1,1,0,3,1,4
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,1,0,2,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,2,1,3,1,4
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,2,0,0,1,2,3
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,2,0,0,2,2,4
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,34,26,0,3,34,29,63
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,3,0,0,0,3,3
SENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,1,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,0,0,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,1,2,1,2,3
TACACOMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,0,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,2,1,0,2,2,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,3,0,3,0,3
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,7,1,1,0,8,1,9
UMALA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,1,0,0,1,1,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,2,0,0,2,2,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,1,1,1,2
VINTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,2,1,0,0,2,1,3
WARNES,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,0,0,0,1,0,1,1
YANACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-07-01,1,0,0,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,1,0,2,0,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,3,0,0,0,3,0,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,3,1,1,0,4,1,5
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,2,3,3,3,6
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
CHAQUI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,25,20,0,1,25,21,46
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,0,1,1
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,0,1,1
CORQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,5,10,7,6,12,16,28
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,1,1,2,1,3,4
EL TORNO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,1,2,1,2,2,4
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,2,0,0,0,2,0,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,5,7,0,0,5,7,12
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,1,0,2,0,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,1,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,5,8,0,0,5,8,13
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,1,0,0,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,4,0,0,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,3,4,0,0,3,4,7
PAILON,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,3,6,5,1,8,7,15
PALCA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,0,1,1
POOPO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,3,8,0,0,3,8,11
PORVENIR,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,3,3,1,0,4,3,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,2,0,0,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,0,1,1
QUIME,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,1,0,0,0,1,0,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,0,0,1,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,total antipoliomielitica 1ra dosis,2015-08-01,0,3,1,0,1,3,4
