municipality,group,variable,month,Total 7.3 Curaciones y/o suturas,TOTAL
TARIJA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,13058,13058
TARVITA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,59,59
TEOPONTE,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,26,26
TIAWANACU,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,71,71
TINGUIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,30,30
TIPUANI,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,63,63
TIQUIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,336,336
TIRAQUE (CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,135,135
TITO YUPANQUI (PARQUIPUJIO),otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,2,2
TOCO,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,63,63
TODOS SANTOS,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,2,2
TOLATA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,32,32
TOLEDO,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,53,53
TOMAVE,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,61,61
TOMINA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,44,44
TORO TORO,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,47,47
TOTORA(CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,85,85
TOTORA(ORR),otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,30,30
TRIGAL,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,78,78
TRINIDAD,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,13282,13282
TUPIZA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,857,857
TURCO,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,22,22
UMALA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,9,9
UNCIA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,211,211
URIONDO (A. CONCEPCION),otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,154,154
URUBICHA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,61,61
UYUNI,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,1656,1656
VACAS,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,87,87
VALLEGRANDE,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,338,338
VIACHA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,525,525
VILA VILA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,21,21
VILLA CHARCAS,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,51,51
VILLA MONTES,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,1137,1137
VILLA NUEVA (LOMA ALTA),otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,7,7
VILLA RIVERO,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,83,83
VILLA SERRANO,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,99,99
VILLA TUNARI,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,614,614
VILLA VACA GUZMAN (MUYUPAMPA),otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,23,23
VILLAZON,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,732,732
VINTO,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,400,400
VITICHI,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,40,40
WALDO BALLIVIAN,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,23,23
WARNES,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,501,501
YACO,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,13,13
YACUIBA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,13155,13155
YAMPARAEZ,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,26,26
YANACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,72,72
YAPACANI,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,715,715
YOCALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,38,38
YOTALA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,60,60
YUNCHARA,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,26,26
YUNGUYO DE LITORAL,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,7,7
ZUDAÑEZ,otras actividades de enfermeria, curaciones y/o suturas,2014-07-01,195,195
ACACIO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,35,35
ACHACACHI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,325,325
ACHOCALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,92,92
AIQUILE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,208,208
ALALAY,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,2,2
ALCALA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,54,54
ALTO BENI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,50,50
ANCORAIMES,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,66,66
ANDAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,42,42
ANTEQUERA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,33,33
ANZALDO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,97,97
APOLO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,48,48
ARAMPAMPA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,25,25
ARANI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,163,163
ARBIETO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,55,55
ARQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,41,41
ASCENCION DE GUARAYOS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,528,528
ATOCHA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,751,751
AUCAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,13,13
AYATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,61,61
AYO AYO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,39,39
AYOPAYA (V. DE INDEPENDENCIA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,217,217
AZURDUY,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,60,60
BATALLAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,52,52
BAURES,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,203,203
BELEN DE ANDAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,17,17
BELEN DE URMIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,12,12
BELLA FLOR,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,39,39
BERMEJO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1981,1981
BETANZOS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,163,163
BOLIVAR,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,18,18
BOLPEBRA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,32,32
BOYUIBE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,46,46
BUENA VISTA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,161,161
CABEZAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,142,142
CAIROMA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,36,36
"CAIZA ""D""",otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,62,62
CAJUATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,38,38
CALACOTO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,31,31
CALAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,66,66
CAMARGO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,71,71
CAMATAQUI (C. VILLA ABECIA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,10,10
CAMIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,999,999
CAPINOTA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,217,217
CAQUIAVIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,48,48
CARACOLLO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,169,169
CARANAVI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,475,475
CARANGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,2,2
CARAPARI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,228,228
CARIPUYO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,13,13
CARMEN RIVERO TORREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,72,72
CATACORA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,7,7
CHACARILLA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,11,11
CHALLAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,297,297
CHAQUI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,50,50
CHARAGUA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,188,188
CHARAÑA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,18,18
CHAYANTA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,90,90
CHIMORE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,300,300
CHIPAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,4,4
CHOQUE COTA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,11,11
CHUA COCANI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,63,63
CHULUMANI (V. DE LA LIBERTAD),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,78,78
CHUMA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,53,53
CHUQUIHUTA AYLLU JUCUMANI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,20,20
CKOCHAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,21,21
CLIZA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,283,283
COBIJA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1638,1638
COCAPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,38,38
COCHABAMBA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,12860,12860
COIPASA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,7,7
COLCAPIRHUA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,373,373
"COLCHA ""K""",otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,53,53
COLLANA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,20,20
COLOMI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,162,162
COLPA BELGICA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,240,240
COLQUECHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,96,96
COLQUENCHA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,58,58
COLQUIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,36,36
COMANCHE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,16,16
COMARAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,169,169
COMBAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,9,9
CONCEPCION,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,166,166
COPACABANA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,88,88
CORIPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,77,77
CORO CORO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,41,41
COROICO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,273,273
CORQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,34,34
COTAGAITA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,672,672
COTOCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,734,734
CRUZ DE MACHACAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1,1
CUATRO CAÑADAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,378,378
CUCHUMUELA (V. G. VILLARROEL),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,5,5
CUEVO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,30,30
CULPINA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,96,96
CURAHUARA DE CARANGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,36,36
CURVA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,13,13
DESAGUADERO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,37,37
EL ALTO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,11412,11412
EL CHORO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,38,38
EL PUENTE(STC),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,139,139
EL PUENTE(TJA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,101,101
EL TORNO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,3377,3377
EL VILLAR,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,49,49
ENTRE RIOS TRJ,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,341,341
ENTRE RIOS CBBA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,202,202
ESCARA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1,1
ESCOMA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,151,151
ESMERALDA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,2,2
EUCALIPTUS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,58,58
EUREKA (SANTOS MERCADO),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,4,4
EXALTACION,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,8,8
FERNANDEZ ALONSO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,148,148
FILADELFIA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,30,30
GENERAL SAAVEDRA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,121,121
GRAL. J.J. PEREZ (CHARAZANI),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,38,38
GUANAY,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,165,165
GUAQUI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,39,39
GUAYARAMERIN,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1968,1968
GUTIERREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,64,64
HUACARETA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,748,748
HUACAYA (VILLA DE HUACAYA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,11,11
HUACHACALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,19,19
HUANUNI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,819,819
HUARACAJE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,73,73
HUARINA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,57,57
HUATAJATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,731,731
HUAYLLAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,31,31
HUMANATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,11,11
ICHOCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,10,10
ICLA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,51,51
INCAHUASI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,51,51
INGAVI (HUMAITA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,13,13
INQUISIVI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,36,36
IRUPANA (VILLA DE LANZA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,177,177
IXIAMAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,47,47
JESUS DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,107,107
LA ASUNTA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,218,218
LA GUARDIA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1177,1177
LA PAZ,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,28037,28037
LA RIVERA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,2,2
LAGUNILLAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,56,56
LAJA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,70,70
LAS CARRERAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,4,4
LICOMA PAMPA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,2,2
LLALLAGUA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,691,691
LLICA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,8,8
LORETO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,41,41
LURIBAY,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,38,38
MACHACAMARCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,28,28
MACHARETI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,181,181
MAGDALENA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,376,376
MAIRANA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,272,272
MALLA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,14,14
MAPIRI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,56,56
MECAPACA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,71,71
MINEROS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,153,153
MIZQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,192,192
MOCOMOCO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,57,57
MOJINETE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,3,3
MOJOCOYA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,26,26
MONTEAGUDO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,408,408
MONTERO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,3136,3136
MORO MORO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,37,37
MOROCHATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,46,46
NACEBE (SANTA ROSA DEL ABUNA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,47,47
NAZACARA DE PACAJES,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,12,12
OCURI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,36,36
OKINAWA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,164,164
OMEREQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,112,112
ORURO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,7803,7803
PADCAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,279,279
PADILLA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,78,78
PAILON,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,492,492
PALCA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,85,85
PALOS BLANCOS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,162,162
PAMPA AULLAGAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,17,17
PAMPA GRANDE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,78,78
PAPEL PAMPA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,54,54
PASORAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,49,49
PATACAMAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,100,100
PAZÑA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,73,73
PELECHUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,31,31
POCOATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,63,63
POCONA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,64,64
POJO (CBBA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,65,65
POOPO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,93,93
PORCO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,54,54
POROMA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,102,102
PORONGO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,73,73
PORTACHUELO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,2133,2133
PORVENIR,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,133,133
POSTRER VALLE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,11,11
POTOSI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,4831,4831
PRESTO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,23,23
PUCARA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1,1
PUCARANI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,92,92
PUERTO ACOSTA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,26,26
PUERTO CARABUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,68,68
PUERTO GONZALO MORENO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,80,80
PUERTO PEREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,49,49
PUERTO QUIJARRO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,394,394
PUERTO RICO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,74,74
PUERTO SILES,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,21,21
PUERTO SUAREZ,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,424,424
PUERTO VILLARROEL,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1038,1038
PUNA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,108,108
PUNATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,730,730
QUIABAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,21,21
QUILLACOLLO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,2244,2244
QUIME,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,90,90
QUIRUSILLAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,96,96
RAVELO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,27,27
REYES,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,228,228
RIBERALTA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,2336,2336
ROBORE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,467,467
RURRENABAQUE,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,344,344
SABAYA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,29,29
SACABA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1961,1961
SACABAMBA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,25,25
SACACA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,58,58
SAIPINA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,38,38
SALINAS DE GARCI MENDOZA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,71,71
SAMAIPATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,138,138
SAN AGUSTIN,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,14,14
SAN ANDRES,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,64,64
SAN ANDRES DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,21,21
SAN ANTONIO DE ESMORUCO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,25,25
SAN ANTONIO DE LOMERIO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,38,38
SAN BENITO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,58,58
SAN BORJA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,864,864
SAN BUENA VENTURA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,80,80
SAN CARLOS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,175,175
SAN IGNACIO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,473,473
SAN IGNACIO DE VELASCO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,1402,1402
SAN JAVIER(BNI),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,20,20
SAN JAVIER(STC),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,106,106
SAN JOAQUIN,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,76,76
SAN JOSE DE CHIQUITOS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,435,435
SAN JUAN DE YAPACANI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,163,163
SAN JULIAN,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,672,672
SAN LORENZO(PND),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,12,12
SAN LORENZO(TJA),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,206,206
SAN LUCAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,120,120
SAN MATIAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,244,244
SAN MIGUEL DE VELASCO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,168,168
SAN PABLO DE LIPEZ,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,6,6
SAN PEDRO,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,193,193
SAN PEDRO DE BUENA VISTA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,79,79
SAN PEDRO DE CURAHUARA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,32,32
SAN PEDRO DE QUEMES,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,7,7
SAN PEDRO DE TIQUINA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,87,87
SAN PEDRO(PND),otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,9,9
SAN RAFAEL,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,107,107
SAN RAMON BENI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,171,171
SAN RAMON SCZ,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,218,218
SANTA ANA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,548,548
SANTA CRUZ DE LA SIERRA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,31457,31457
SANTA ROSA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,161,161
SANTA ROSA DEL SARA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,184,184
SANTIAGO DE CALLAPA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,13,13
SANTIAGO DE HUARI,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,90,90
SANTIAGO DE HUATA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,47,47
SANTIAGO DE MACHACA,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,27,27
SANTIVAÑES,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,94,94
SANTUARIO DE QUILLACAS,otras actividades de enfermeria, curaciones y/o suturas,2014-08-01,25,25
