,group,variable,month,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,EPILEPSIA / CONVULSIONES / ATAQUES CANTIDAD,TOTALES
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,9,11
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,3,0,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,92,123,215
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,9,2,11
COMARAPA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,4,0,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,52,42,94
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,2,4
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,6,7,13
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,4,1,5
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,3,2,5
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,73,82,155
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,1,3
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,3,6,9
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,1,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,14,12,26
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,11,6,17
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,9,3,12
PORONGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,2,3
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,4,5,9
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,3,3,6
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,1,3
REYES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,1,2
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,2,4
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,5,5,10
SAN JUAN DE YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,2,2
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,3,3,6
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,4,5
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
SAN PEDRO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,1,2
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,55,73,128
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,60,90,150
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,3,0,3
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,58,103,161
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,2,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
TRIGAL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,10,11
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,3,1,4
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,5,10,15
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,1,2
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,7,11,18
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,2,0,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,33,14,47
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,1,0,1
ZUDAÑEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-06-01,0,1,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,0,2
ALCALA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,3,4
ARANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,3,1,4
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,2,4
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,3,5
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,2,4
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,7,15,22
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,8,6,14
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
CHAQUI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,5,5
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,2,4
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,3,4,7
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,112,143,255
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,4,3,7
COLPA BELGICA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,3,4
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,50,64,114
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,2,2
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,7,4,11
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,3,8,11
GUTIERREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,5,4,9
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,80,115,195
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,1,2
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,7,10,17
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,2,3
MOJOCOYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,2,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,11,18,29
NACEBE (SANTA ROSA DEL ABUNA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,10,6,16
PADCAYA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,9,1,10
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,18,11,29
PRESTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,0,2
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,2,3
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,1,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,6,3,9
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,1,2
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,1,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,1,2
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
SAN LORENZO(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,5,1,6
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
SAN MATIAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
SAN PABLO DE LIPEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
SAN PEDRO DE BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,4,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,179,149,328
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
SOPACHUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,1,3
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,118,115,233
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,2,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,11,12,23
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
TOTORA(CBBA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,7,4,11
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,5,9,14
UYUNI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,1,3
VALLEGRANDE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,3,0,3
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,1,2
VILLA CHARCAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,9,6,15
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,0,2,2
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,1,2
WALDO BALLIVIAN,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,2,0,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,14,3,17
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,2,3
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-07-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,3,0,3
ARBIETO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,7,4,11
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,4,6,10
BETANZOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,1,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
BUENA VISTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,3,4
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
"CAIZA ""D""","enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,2,1,3
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,8,11,19
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,5,4,9
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
CHARAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,2,0,2
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
CHUMA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,8,4,12
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,56,92,148
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,2,0,2
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
COROICO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,2,0,2
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,8,1,9
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,47,39,86
EL PUENTE(TJA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
EL VILLAR,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,1,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,6,4,10
GENERAL SAAVEDRA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
INQUISIVI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,6,7,13
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,51,58,109
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
LAS CARRERAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,5,18,23
MAPIRI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,2,2
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,2,0,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,7,11,18
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,3,2,5
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,7,1,8
PALOS BLANCOS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
PAMPA AULLAGAS,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,17,11,28
PUCARA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
PUERTO SUAREZ,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,3,4
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",epilepsia / convulsiones / ataques,2013-08-01,3,1,4
