,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
ANDAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,2,2
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,2,0,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,2,7,9
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,3,1,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,37,38,75
COLLANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,3,3
CONCEPCION,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,2,1,3
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,3,0,3
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,77,45,122
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,2,0,2
HUACHACALLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,3,2,5
LAJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,4,0,4
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,69,5,74
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,4,2,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,7,15,22
PALCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,3,2,5
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
PUERTO CARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,3,5,8
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
SAIPINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,6,6
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,3,1,4
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,5,0,5
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,2,2
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,3,0,3
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,18,11,29
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,2,4,6
SANTA ROSA DEL SARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,44,45,89
TARATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,1,2
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,102,82,184
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,1,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,20,13,33
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,2,1,3
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,1,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-10-01,1,0,1
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
BATALLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,1,2
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,1,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,4,5,9
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,3,1,4
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
CHALLAPATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,3,3,6
CHIMORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,22,44,66
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
COLOMI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,3,1,4
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,4,6,10
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,89,43,132
FERNANDEZ ALONSO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,1,2
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,2,2
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,2,1,3
HUANUNI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,2,0,2
LA GUARDIA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,2,3
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,4,3,7
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,3,2,5
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,2,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,57,28,85
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,3,10,13
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
POROMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,2,3,5
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,2,2
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,2,0,2
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,2,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,2,2,4
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,1,2
SALINAS DE GARCI MENDOZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,3,5,8
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,2,3
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,3,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,18,13,31
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,3,7,10
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,53,38,91
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,98,97,195
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,2,0,2
TOMINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,2,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
URIONDO (A. CONCEPCION),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,1,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,3,2,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,2,0,2
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,2,2,4
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,4,2,6
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,0,1,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-11-01,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,1,2
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,7,0,7
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,3,1,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,21,34,55
COTAGAITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
CULPINA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,5,6,11
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,2,1,3
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,2,1,3
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,4,1,5
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,1,2
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
MECAPACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,6,0,6
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,43,31,74
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,3,4,7
PAILON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,3,4
PAZÑA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,3,1,4
POJO (CBBA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,0,1,1
PORVENIR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,0,1,1
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,0,2,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,0,1,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,0,3,3
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,0,2,2
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,2,0,2
SAN MIGUEL DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
SAN RAMON SCZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,14,6,20
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,6,6,12
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,44,53,97
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,73,69,142
TORO TORO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,2,2,4
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
WARNES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
YUNCHARA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2013-12-01,1,0,1
