,group,variable,month,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,NÚMERO DE CIRUGIAS MENORES REALIZADAS CANTIDAD,TOTALES,TOTALES,TOTALES
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,1,1,1,2
UNCIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,1,1,1,1,2
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,8,11,8,11,19
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,3,7,3,10
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,8,7,8,15
VILLA CHARCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,21,33,21,33,54
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,2,0,2,0,2
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,15,10,15,10,25
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,1,0,1,1
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,0,2,0,2,2
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,3,29,3,29,32
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-08-01,7,2,7,2,9
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,19,1,19,20
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,0,1,0,1
ANZALDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,0,1,0,1
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,10,0,10,10
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,5,2,5,2,7
CAMATAQUI (C. VILLA ABECIA),cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,1,0,1,1
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,4,1,4,5
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,11,0,11,11
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,21,4,21,4,25
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,3,1,3,1,4
CHAYANTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,3,0,3,3
CHIMORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,3,0,3,3
CLIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,2,5,2,5,7
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,22,25,22,25,47
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,346,542,346,542,888
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,28,0,28,28
COMARAPA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,2,1,2,3
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,21,7,21,7,28
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,3,3,3,3,6
CORQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,0,1,0,1
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,7,1,7,1,8
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,9,9,9,9,18
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,0,1,0,1
CULPINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,2,0,2,2
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,221,219,221,219,440
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,0,1,0,1
ENTRE RIOS TRJ,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,2,0,2,2
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,5,1,5,6
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,5,1,5,1,6
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,4,0,4,0,4
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,13,5,13,5,18
ICLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,0,1,0,1
INCAHUASI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,1,1,1,2
INQUISIVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,5,5,5,5,10
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,20,35,20,35,55
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,320,498,320,498,818
LAGUNILLAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,1,1,1,2
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,15,34,15,34,49
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,13,1,13,1,14
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,9,0,9,9
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,8,1,8,1,9
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,6,8,6,8,14
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,96,169,96,169,265
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,10,1,10,11
PAILON,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,2,14,2,14,16
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,9,1,9,10
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,102,171,102,171,273
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,8,25,8,25,33
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,21,0,21,21
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,11,41,11,41,52
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,7,7,7,7,14
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,4,5,4,5,9
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,4,6,4,6,10
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,12,82,12,82,94
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,6,7,6,7,13
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,8,1,8,9
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,76,49,76,49,125
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,2,1,2,1,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,1,1,1,2
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,40,34,40,34,74
SAN LORENZO(PND),cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,2,4,2,4,6
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,14,10,14,10,24
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,2,8,2,8,10
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,398,493,398,493,891
SANTIAGO DE MACHACA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,0,1,0,1
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,7,2,7,2,9
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,176,278,176,278,454
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,62,73,62,73,135
TARVITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,1,0,1,1
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,0,26,0,26,26
TOMINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,3,0,3,0,3
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,35,25,35,25,60
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,6,1,6,7
UNCIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,3,3,3,3,6
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,4,11,4,11,15
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,3,8,3,8,11
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,6,10,6,10,16
VILLA CHARCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,30,31,30,31,61
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,22,25,22,25,47
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,6,10,6,10,16
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,3,5,3,5,8
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,3,1,3,4
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,5,21,5,21,26
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,10,8,10,8,18
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,9,2,9,2,11
ZUDAÑEZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-09-01,1,0,1,0,1
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,15,1,15,16
AIQUILE,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,1,1,1,2
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,8,0,8,8
ATOCHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,1,0,1,1
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,4,2,4,2,6
CAMATAQUI (C. VILLA ABECIA),cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,0,1,0,1
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,2,0,2,2
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,6,0,6,6
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,23,10,23,10,33
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,4,1,4,1,5
CHAYANTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,10,0,10,10
CHIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,4,0,4,4
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,5,5,5,5,10
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,29,26,29,26,55
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,414,608,414,608,1022
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,19,0,19,19
COMARAPA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,3,1,3,1,4
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,13,24,13,24,37
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,1,1,1,2
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,3,5,3,5,8
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,10,8,10,8,18
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,1,0,1,1
CULPINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,3,1,3,1,4
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,305,293,305,293,598
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,2,1,2,3
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,2,1,2,1,3
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,1,0,1,1
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,3,2,3,2,5
HUACARETA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,2,1,2,3
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,17,6,17,6,23
ICLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,1,1,1,2
INCAHUASI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,0,1,0,1
INQUISIVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,4,6,4,6,10
JESUS DE MACHACA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,0,1,0,1
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,20,35,20,35,55
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,402,641,402,641,1043
LAGUNILLAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,2,0,2,2
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,12,35,12,35,47
MACHACAMARCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,0,1,0,1
MACHARETI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,2,1,2,3
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,6,11,6,11,17
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,9,1,9,10
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,5,5,5,5,10
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,9,9,9,9,18
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,118,196,118,196,314
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,2,17,2,17,19
PAILON,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,20,0,20,20
PATACAMAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,1,1,1,2
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,5,10,5,10,15
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,97,127,97,127,224
PUCARANI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,1,1,1,2
PUERTO RICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,6,7,6,7,13
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,6,2,6,2,8
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,32,0,32,32
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,55,162,55,162,217
REYES,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,1,1,1,2
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,10,3,10,3,13
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,8,7,8,7,15
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,2,8,2,8,10
SABAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,1,0,1,1
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,5,34,5,34,39
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,21,19,21,19,40
SAN BUENA VENTURA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,1,0,1,1
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,3,4,3,4,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,65,33,65,33,98
SAN JAVIER(STC),cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,2,1,2,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,5,11,5,11,16
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,11,6,11,6,17
SAN LORENZO(PND),cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,0,18,0,18,18
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,23,22,23,22,45
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,4,10,4,10,14
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,394,501,394,501,895
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,9,8,9,8,17
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,207,327,207,327,534
TARABUCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,5,1,5,1,6
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,30,70,30,70,100
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,3,14,3,14,17
TOMINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,3,0,3,0,3
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,21,12,21,12,33
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,2,7,2,7,9
UNCIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,4,2,4,2,6
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,6,10,6,10,16
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,5,12,5,12,17
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,14,13,14,13,27
VILLA CHARCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,15,30,15,30,45
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,4,8,4,8,12
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,5,2,5,2,7
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,2,1,2,1,3
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,6,20,6,20,26
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,99,87,99,87,186
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,6,3,6,3,9
ZUDAÑEZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-10-01,1,1,1,1,2
ACHACACHI,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,18,1,18,19
ANZALDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,3,0,3,3
ASCENCION DE GUARAYOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,10,0,10,10
BAURES,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,1,0,1,1
CAMARGO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,3,2,3,5
CAMIRI,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,1,0,1,1
CARACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,9,1,9,10
CARANAVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,11,5,11,5,16
CHALLAPATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,1,2,1,3
CHAYANTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,13,1,13,14
CHIMORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,0,1,0,1
CHIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,1,0,1,1
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,3,3,3,3,6
CLIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,12,0,12,12
COBIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,17,31,17,31,48
COCHABAMBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,389,653,389,653,1042
COIPASA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,2,0,2,2
COLCAPIRHUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,14,0,14,14
COMARAPA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,2,2,2,4
CONCEPCION,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,11,13,11,13,24
COROICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,4,2,4,6
COTAGAITA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,3,5,3,5,8
COTOCA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,6,2,6,2,8
CUATRO CAÑADAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,1,0,1,1
CULPINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,4,2,4,2,6
EL ALTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,207,200,207,200,407
EL TORNO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,1,0,1,1
ENTRE RIOS TRJ,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,1,0,1,1
ESCOMA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,3,2,3,2,5
GUAYARAMERIN,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,4,2,4,2,6
HUACARAJE,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,4,0,4,0,4
HUACARETA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,1,1,1,2
HUANUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,17,11,17,11,28
ICLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,0,1,0,1
INGAVI (HUMAITA),cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,4,1,4,5
INQUISIVI,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,7,17,7,17,24
JESUS DE MACHACA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,1,0,1,1
LA GUARDIA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,18,36,18,36,54
LA PAZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,298,534,298,534,832
LLALLAGUA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,7,35,7,35,42
MAGDALENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,4,1,4,1,5
MAIRANA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,5,1,5,6
MONTEAGUDO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,4,3,4,3,7
MONTERO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,13,22,13,22,35
NACEBE (SANTA ROSA DEL ABUNA),cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,7,6,7,6,13
ORURO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,127,202,127,202,329
PADILLA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,9,2,9,11
PAILON,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,14,2,14,16
PATACAMAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,1,0,1,1
PORTACHUELO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,14,2,14,16
POTOSI,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,86,121,86,121,207
PUERTO RICO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,12,10,12,10,22
PUERTO VILLARROEL,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,11,2,11,13
PUNATA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,21,1,21,22
QUILLACOLLO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,58,164,58,164,222
RIBERALTA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,32,37,32,37,69
ROBORE,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,4,1,4,5
RURRENABAQUE,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,4,3,4,3,7
SABAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,0,5,0,5,5
SACABA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,11,4,11,4,15
SAIPINA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,3,2,3,5
SAN BORJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,10,27,10,27,37
SAN IGNACIO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,32,46,32,46,78
SAN JOSE DE CHIQUITOS,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,6,4,6,4,10
SAN JULIAN,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,20,8,20,8,28
SAN LORENZO(PND),cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,3,16,3,16,19
SAN LUCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,39,41,39,41,80
SAN MATIAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,7,2,7,9
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,390,508,390,508,898
SANTA ROSA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,2,1,2,3
SENA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,5,3,5,3,8
SOPACHUY,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,6,1,6,1,7
SUCRE,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,166,304,166,304,470
TARABUCO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,1,1,1,2
TARIJA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,45,96,45,96,141
TIQUIPAYA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,3,23,3,23,26
TRINIDAD,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,18,34,18,34,52
TUPIZA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,4,5,4,5,9
UYUNI,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,5,19,5,19,24
VALLEGRANDE,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,10,7,10,7,17
VIACHA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,9,8,9,8,17
VILLA CHARCAS,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,15,5,15,5,20
VILLA MONTES,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,3,3,3,3,6
VILLA TUNARI,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,5,3,5,3,8
VILLAZON,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,2,5,2,5,7
VINTO,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,1,9,1,9,10
WARNES,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,9,44,9,44,53
YACUIBA,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,3,6,3,6,9
ZUDAÑEZ,cirugias y anestesias,numero de cirugias menores realizadas,2024-11-01,22,6,22,6,28
