,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,1,35,1,35,36
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,10,83,10,83,93
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,4,10,4,10,14
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,5,41,5,41,46
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,3,10,3,10,13
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,3,10,3,10,13
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,11,0,11,11
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,1,12,1,12,13
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,9,33,9,33,42
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,15,366,15,366,381
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,9,0,9,9
SANTIAGO DE HUATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,2,0,2,2
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,3,18,3,18,21
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,9,2,9,11
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,84,0,84,84
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,14,90,14,90,104
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,4,7,4,7,11
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,3,13,3,13,16
TARATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,2,1,2,1,3
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,303,67,303,67,370
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,1,15,1,15,16
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,3,9,3,9,12
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,11,0,11,11
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,30,77,30,77,107
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,9,0,9,9
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,25,0,25,0,25
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,7,0,7,7
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,23,0,23,23
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,61,0,61,61
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,16,0,16,16
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,6,0,6,6
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,5,6,5,6,11
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,3,0,3,3
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,16,0,16,16
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,21,108,21,108,129
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,0,11,0,11,11
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-06-01,8,13,8,13,21
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,2,0,2,2
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,1,0,1,1
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,26,1,26,27
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,31,0,31,31
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,1,0,1,1
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,10,0,10,10
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,6,0,6,6
BOLIVAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,0,1,0,1
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,5,15,5,15,20
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,66,0,66,66
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,2,0,2,2
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,5,1,5,6
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,30,0,30,30
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,7,12,7,12,19
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,23,0,23,23
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,48,1,48,49
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,19,131,19,131,150
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,25,222,25,222,247
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,8,21,8,21,29
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,14,0,14,14
COPACABANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,5,0,5,5
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,41,1,41,42
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,7,102,7,102,109
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,3,45,3,45,48
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,199,1385,199,1385,1584
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,5,1,5,6
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,9,124,9,124,133
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,14,1,14,15
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,9,0,9,9
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,5,33,5,33,38
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,8,204,8,204,212
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,103,91,103,91,194
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,1,0,1,1
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,2,0,2,2
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,2,10,2,10,12
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,6,56,6,56,62
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,287,618,287,618,905
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,3,4,3,4,7
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,13,1,13,14
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,7,0,7,7
MECAPACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,1,0,1,1
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,2,0,2,2
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,42,1,42,43
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,1,0,1,1
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,2,14,2,14,16
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,8,154,8,154,162
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,18,9,18,9,27
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,2,0,2,2
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,99,469,99,469,568
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,14,0,14,14
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,7,29,7,29,36
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,5,57,5,57,62
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,2,0,2,2
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,4,22,4,22,26
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,27,1,27,28
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,4,18,4,18,22
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,33,1,33,34
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,3,0,3,3
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,51,25,51,25,76
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,18,1,18,19
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,6,1,6,1,7
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,4,74,4,74,78
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,7,137,7,137,144
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,5,0,5,5
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,25,0,25,25
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,45,1,45,46
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,1,1,1,2
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,5,1,5,1,6
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,5,28,5,28,33
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,17,62,17,62,79
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,5,1,5,6
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,16,0,16,16
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,10,67,10,67,77
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,4,0,4,4
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,16,0,16,16
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,27,1,27,28
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,35,1,35,36
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,40,402,40,402,442
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,2,22,2,22,24
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,15,0,15,15
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,75,1,75,76
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,44,115,44,115,159
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,168,198,168,198,366
TOMAVE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,2,0,2,0,2
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,7,0,7,7
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,79,126,79,126,205
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,16,0,16,16
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,5,15,5,15,20
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,2,2,2,2,4
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,8,0,8,8
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,32,0,32,32
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,2,78,2,78,80
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,4,0,4,4
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,6,0,6,6
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,1,5,1,5,6
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,16,0,16,16
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,145,0,145,145
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,16,122,16,122,138
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,0,17,0,17,17
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-07-01,10,17,10,17,27
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,1,0,1,1
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,27,0,27,27
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,38,1,38,39
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,84,37,84,37,121
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,165,1,165,166
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,1,1,1,2
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,3,0,3,3
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,8,0,8,8
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,1,0,1,1
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,49,0,49,49
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,2,67,2,67,69
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,9,18,9,18,27
CARANAVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,4,0,4,4
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,79,1,79,80
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,11,0,11,11
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,25,143,25,143,168
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,63,445,63,445,508
COLCAPIRHUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,11,35,11,35,46
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,23,19,23,19,42
COLQUIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,13,37,13,37,50
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,31,0,31,31
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,97,0,97,97
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,67,0,67,67
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,511,1016,511,1016,1527
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,5,25,5,25,30
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,9,5,9,5,14
ENTRE RIOS CBBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,5,1,5,6
EUCALIPTUS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,25,0,25,25
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,4,0,4,4
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,9,0,9,9
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,16,0,16,16
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,375,66,375,66,441
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,2,28,2,28,30
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,78,77,78,77,155
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,8,1,8,9
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,10,1,10,11
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,6,54,6,54,60
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,208,603,208,603,811
LICOMA PAMPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,3,1,3,4
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,5,27,5,27,32
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,13,0,13,13
MECAPACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,0,1,0,1
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,2,0,2,2
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,44,0,44,44
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,6,102,6,102,108
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,74,0,74,74
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,3,9,3,9,12
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,3,0,3,3
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,28,306,28,306,334
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,20,0,20,20
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,26,0,26,26
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,6,55,6,55,61
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,5,49,5,49,54
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,8,0,8,8
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,10,1,10,11
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,0,1,0,1
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,3,20,3,20,23
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,36,0,36,36
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,3,1,3,4
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,51,34,51,34,85
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,3,10,3,10,13
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,10,31,10,31,41
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,13,124,13,124,137
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,15,0,15,15
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,5,38,5,38,43
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,6,73,6,73,79
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,2,79,2,79,81
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,19,0,19,19
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,4,34,4,34,38
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,18,103,18,103,121
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,15,32,15,32,47
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,4,0,4,4
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,10,0,10,10
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,19,0,19,19
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,21,0,21,21
SAN PEDRO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,11,6,11,6,17
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,23,53,23,53,76
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,39,636,39,636,675
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,9,1,9,10
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,2,12,2,12,14
SORATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,6,157,6,157,163
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,7,189,7,189,196
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,3,0,3,3
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,22,228,22,228,250
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,5,0,5,5
TOMINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,2,12,2,12,14
TOTORA(CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,2,1,2,3
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,24,254,24,254,278
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,11,0,11,11
TURCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,13,2,13,2,15
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,5,0,5,5
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,30,0,30,30
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,3,88,3,88,91
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,2,0,2,2
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,2,0,2,2
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,0,1,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,0,19,0,19,19
VITICHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,1,0,1,0,1
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,4,216,4,216,220
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,29,69,29,69,98
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,2,34,2,34,36
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,29,47,29,47,76
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-08-01,3,3,3,3,6
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,3,51,3,51,54
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,5,0,5,5
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,7,0,7,7
BATALLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,22,0,22,22
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2010-09-01,0,58,0,58,58
