,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES,TOTALES,TOTALES
CHALLAPATA,vih,n de personas con prueba rapida,2010-09-01,5,12,5,12,17
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-09-01,6,2,6,2,8
COBIJA,vih,n de personas con prueba rapida,2010-09-01,31,344,31,344,375
COCHABAMBA,vih,n de personas con prueba rapida,2010-09-01,57,248,57,248,305
COLOMI,vih,n de personas con prueba rapida,2010-09-01,1,0,1,0,1
COLQUIRI,vih,n de personas con prueba rapida,2010-09-01,5,9,5,9,14
COTAGAITA,vih,n de personas con prueba rapida,2010-09-01,0,4,0,4,4
COTOCA,vih,n de personas con prueba rapida,2010-09-01,2,0,2,0,2
EL ALTO,vih,n de personas con prueba rapida,2010-09-01,232,957,232,957,1189
EL TORNO,vih,n de personas con prueba rapida,2010-09-01,10,93,10,93,103
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-09-01,0,26,0,26,26
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2010-09-01,3,17,3,17,20
EUCALIPTUS,vih,n de personas con prueba rapida,2010-09-01,5,19,5,19,24
FILADELFIA,vih,n de personas con prueba rapida,2010-09-01,0,2,0,2,2
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-09-01,73,296,73,296,369
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2010-09-01,0,5,0,5,5
HUANUNI,vih,n de personas con prueba rapida,2010-09-01,4,66,4,66,70
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2010-09-01,0,3,0,3,3
INQUISIVI,vih,n de personas con prueba rapida,2010-09-01,15,15,15,15,30
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2010-09-01,0,3,0,3,3
LA ASUNTA,vih,n de personas con prueba rapida,2010-09-01,3,0,3,0,3
LA GUARDIA,vih,n de personas con prueba rapida,2010-09-01,5,26,5,26,31
LA PAZ,vih,n de personas con prueba rapida,2010-09-01,34,189,34,189,223
LICOMA PAMPA,vih,n de personas con prueba rapida,2010-09-01,1,0,1,0,1
LLALLAGUA,vih,n de personas con prueba rapida,2010-09-01,1,0,1,0,1
MACHACAMARCA,vih,n de personas con prueba rapida,2010-09-01,2,3,2,3,5
MACHARETI,vih,n de personas con prueba rapida,2010-09-01,2,3,2,3,5
MINEROS,vih,n de personas con prueba rapida,2010-09-01,3,41,3,41,44
MIZQUE,vih,n de personas con prueba rapida,2010-09-01,0,2,0,2,2
MONTEAGUDO,vih,n de personas con prueba rapida,2010-09-01,10,76,10,76,86
MONTERO,vih,n de personas con prueba rapida,2010-09-01,22,54,22,54,76
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2010-09-01,2,4,2,4,6
ORURO,vih,n de personas con prueba rapida,2010-09-01,75,413,75,413,488
PADCAYA,vih,n de personas con prueba rapida,2010-09-01,0,14,0,14,14
PORONGO,vih,n de personas con prueba rapida,2010-09-01,3,0,3,0,3
PORTACHUELO,vih,n de personas con prueba rapida,2010-09-01,2,2,2,2,4
POTOSI,vih,n de personas con prueba rapida,2010-09-01,2,50,2,50,52
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-09-01,46,33,46,33,79
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-09-01,8,7,8,7,15
PUERTO RICO,vih,n de personas con prueba rapida,2010-09-01,1,11,1,11,12
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-09-01,3,4,3,4,7
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-09-01,3,25,3,25,28
PUNATA,vih,n de personas con prueba rapida,2010-09-01,4,6,4,6,10
QUIME,vih,n de personas con prueba rapida,2010-09-01,1,0,1,0,1
RIBERALTA,vih,n de personas con prueba rapida,2010-09-01,0,12,0,12,12
ROBORE,vih,n de personas con prueba rapida,2010-09-01,6,0,6,0,6
RURRENABAQUE,vih,n de personas con prueba rapida,2010-09-01,2,15,2,15,17
SACABA,vih,n de personas con prueba rapida,2010-09-01,3,116,3,116,119
SAN CARLOS,vih,n de personas con prueba rapida,2010-09-01,3,0,3,0,3
SAN IGNACIO,vih,n de personas con prueba rapida,2010-09-01,5,0,5,0,5
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-09-01,18,108,18,108,126
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2010-09-01,18,82,18,82,100
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-09-01,1,20,1,20,21
SAN JULIAN,vih,n de personas con prueba rapida,2010-09-01,6,3,6,3,9
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-09-01,27,25,27,25,52
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2010-09-01,0,1,0,1,1
SAN LUCAS,vih,n de personas con prueba rapida,2010-09-01,0,3,0,3,3
SAN PEDRO,vih,n de personas con prueba rapida,2010-09-01,1,1,1,1,2
SANTA ANA,vih,n de personas con prueba rapida,2010-09-01,3,0,3,0,3
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-09-01,65,1225,65,1225,1290
SENA,vih,n de personas con prueba rapida,2010-09-01,3,7,3,7,10
SHINAOTA,vih,n de personas con prueba rapida,2010-09-01,1,3,1,3,4
SIPE SIPE,vih,n de personas con prueba rapida,2010-09-01,0,7,0,7,7
SUCRE,vih,n de personas con prueba rapida,2010-09-01,55,105,55,105,160
TARABUCO,vih,n de personas con prueba rapida,2010-09-01,21,83,21,83,104
TARIJA,vih,n de personas con prueba rapida,2010-09-01,91,298,91,298,389
TOLATA,vih,n de personas con prueba rapida,2010-09-01,4,4,4,4,8
TOLEDO,vih,n de personas con prueba rapida,2010-09-01,16,18,16,18,34
TOMINA,vih,n de personas con prueba rapida,2010-09-01,2,13,2,13,15
TRINIDAD,vih,n de personas con prueba rapida,2010-09-01,109,279,109,279,388
TURCO,vih,n de personas con prueba rapida,2010-09-01,20,1,20,1,21
URUBICHA,vih,n de personas con prueba rapida,2010-09-01,1,0,1,0,1
VIACHA,vih,n de personas con prueba rapida,2010-09-01,0,72,0,72,72
VILLA MONTES,vih,n de personas con prueba rapida,2010-09-01,16,10,16,10,26
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-09-01,0,2,0,2,2
VILLA SERRANO,vih,n de personas con prueba rapida,2010-09-01,1,1,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2010-09-01,3,1,3,1,4
WARNES,vih,n de personas con prueba rapida,2010-09-01,11,78,11,78,89
YACUIBA,vih,n de personas con prueba rapida,2010-09-01,20,60,20,60,80
YAPACANI,vih,n de personas con prueba rapida,2010-09-01,5,26,5,26,31
YUNCHARA,vih,n de personas con prueba rapida,2010-09-01,2,1,2,1,3
ACHACACHI,vih,n de personas con prueba rapida,2010-10-01,1,41,1,41,42
APOLO,vih,n de personas con prueba rapida,2010-10-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-10-01,3,0,3,0,3
BERMEJO,vih,n de personas con prueba rapida,2010-10-01,10,13,10,13,23
BOLPEBRA,vih,n de personas con prueba rapida,2010-10-01,25,11,25,11,36
CAMIRI,vih,n de personas con prueba rapida,2010-10-01,31,79,31,79,110
CARACOLLO,vih,n de personas con prueba rapida,2010-10-01,6,41,6,41,47
CARANAVI,vih,n de personas con prueba rapida,2010-10-01,17,7,17,7,24
CARAPARI,vih,n de personas con prueba rapida,2010-10-01,6,1,6,1,7
CHALLAPATA,vih,n de personas con prueba rapida,2010-10-01,3,53,3,53,56
COBIJA,vih,n de personas con prueba rapida,2010-10-01,21,265,21,265,286
COCHABAMBA,vih,n de personas con prueba rapida,2010-10-01,76,163,76,163,239
COIPASA,vih,n de personas con prueba rapida,2010-10-01,1,0,1,0,1
COLCAPIRHUA,vih,n de personas con prueba rapida,2010-10-01,1,0,1,0,1
COLOMI,vih,n de personas con prueba rapida,2010-10-01,1,0,1,0,1
COMARAPA,vih,n de personas con prueba rapida,2010-10-01,2,14,2,14,16
CORQUE,vih,n de personas con prueba rapida,2010-10-01,2,4,2,4,6
COTOCA,vih,n de personas con prueba rapida,2010-10-01,0,78,0,78,78
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2010-10-01,0,10,0,10,10
EL ALTO,vih,n de personas con prueba rapida,2010-10-01,228,634,228,634,862
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-10-01,1,0,1,0,1
EL TORNO,vih,n de personas con prueba rapida,2010-10-01,13,4,13,4,17
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-10-01,1,26,1,26,27
EUCALIPTUS,vih,n de personas con prueba rapida,2010-10-01,1,2,1,2,3
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-10-01,4,2,4,2,6
FILADELFIA,vih,n de personas con prueba rapida,2010-10-01,0,1,0,1,1
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-10-01,210,15,210,15,225
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2010-10-01,1,1,1,1,2
LA ASUNTA,vih,n de personas con prueba rapida,2010-10-01,8,56,8,56,64
LA GUARDIA,vih,n de personas con prueba rapida,2010-10-01,1,41,1,41,42
LA PAZ,vih,n de personas con prueba rapida,2010-10-01,99,194,99,194,293
MACHACAMARCA,vih,n de personas con prueba rapida,2010-10-01,0,1,0,1,1
MACHARETI,vih,n de personas con prueba rapida,2010-10-01,6,5,6,5,11
MINEROS,vih,n de personas con prueba rapida,2010-10-01,0,35,0,35,35
MONTEAGUDO,vih,n de personas con prueba rapida,2010-10-01,8,30,8,30,38
MONTERO,vih,n de personas con prueba rapida,2010-10-01,12,45,12,45,57
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2010-10-01,7,2,7,2,9
ORURO,vih,n de personas con prueba rapida,2010-10-01,54,341,54,341,395
PADCAYA,vih,n de personas con prueba rapida,2010-10-01,0,21,0,21,21
PATACAMAYA,vih,n de personas con prueba rapida,2010-10-01,7,20,7,20,27
PORTACHUELO,vih,n de personas con prueba rapida,2010-10-01,3,0,3,0,3
PORVENIR,vih,n de personas con prueba rapida,2010-10-01,9,0,9,0,9
POTOSI,vih,n de personas con prueba rapida,2010-10-01,0,3,0,3,3
PRESTO,vih,n de personas con prueba rapida,2010-10-01,0,4,0,4,4
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-10-01,3,22,3,22,25
PUERTO RICO,vih,n de personas con prueba rapida,2010-10-01,3,16,3,16,19
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-10-01,5,4,5,4,9
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-10-01,2,65,2,65,67
PUNATA,vih,n de personas con prueba rapida,2010-10-01,4,5,4,5,9
RIBERALTA,vih,n de personas con prueba rapida,2010-10-01,0,16,0,16,16
ROBORE,vih,n de personas con prueba rapida,2010-10-01,4,34,4,34,38
RURRENABAQUE,vih,n de personas con prueba rapida,2010-10-01,4,38,4,38,42
SACABA,vih,n de personas con prueba rapida,2010-10-01,7,6,7,6,13
SAN ANDRES,vih,n de personas con prueba rapida,2010-10-01,3,0,3,0,3
SAN CARLOS,vih,n de personas con prueba rapida,2010-10-01,1,4,1,4,5
SAN IGNACIO,vih,n de personas con prueba rapida,2010-10-01,4,30,4,30,34
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-10-01,12,63,12,63,75
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2010-10-01,6,74,6,74,80
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-10-01,3,0,3,0,3
SAN JULIAN,vih,n de personas con prueba rapida,2010-10-01,1,5,1,5,6
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-10-01,26,49,26,49,75
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2010-10-01,1,1,1,1,2
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2010-10-01,1,0,1,0,1
SAN PEDRO,vih,n de personas con prueba rapida,2010-10-01,1,3,1,3,4
SANTA ANA,vih,n de personas con prueba rapida,2010-10-01,1,4,1,4,5
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-10-01,124,529,124,529,653
SENA,vih,n de personas con prueba rapida,2010-10-01,36,23,36,23,59
SHINAOTA,vih,n de personas con prueba rapida,2010-10-01,0,4,0,4,4
SIPE SIPE,vih,n de personas con prueba rapida,2010-10-01,1,8,1,8,9
SUCRE,vih,n de personas con prueba rapida,2010-10-01,19,35,19,35,54
TARABUCO,vih,n de personas con prueba rapida,2010-10-01,3,8,3,8,11
TARIJA,vih,n de personas con prueba rapida,2010-10-01,95,98,95,98,193
TARVITA,vih,n de personas con prueba rapida,2010-10-01,0,5,0,5,5
TOLATA,vih,n de personas con prueba rapida,2010-10-01,1,1,1,1,2
TOLEDO,vih,n de personas con prueba rapida,2010-10-01,2,10,2,10,12
TOMINA,vih,n de personas con prueba rapida,2010-10-01,1,11,1,11,12
TRINIDAD,vih,n de personas con prueba rapida,2010-10-01,29,131,29,131,160
TURCO,vih,n de personas con prueba rapida,2010-10-01,9,5,9,5,14
UNCIA,vih,n de personas con prueba rapida,2010-10-01,0,1,0,1,1
URIONDO (A. CONCEPCION),vih,n de personas con prueba rapida,2010-10-01,0,1,0,1,1
VIACHA,vih,n de personas con prueba rapida,2010-10-01,3,75,3,75,78
VILLA MONTES,vih,n de personas con prueba rapida,2010-10-01,4,6,4,6,10
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-10-01,0,5,0,5,5
VILLA SERRANO,vih,n de personas con prueba rapida,2010-10-01,0,14,0,14,14
WARNES,vih,n de personas con prueba rapida,2010-10-01,5,2,5,2,7
YACUIBA,vih,n de personas con prueba rapida,2010-10-01,19,73,19,73,92
YAPACANI,vih,n de personas con prueba rapida,2010-10-01,2,30,2,30,32
YOTALA,vih,n de personas con prueba rapida,2010-10-01,2,1,2,1,3
YUNCHARA,vih,n de personas con prueba rapida,2010-10-01,0,2,0,2,2
ACHACACHI,vih,n de personas con prueba rapida,2010-11-01,1,33,1,33,34
ALCALA,vih,n de personas con prueba rapida,2010-11-01,0,3,0,3,3
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-11-01,4,2,4,2,6
AYATA,vih,n de personas con prueba rapida,2010-11-01,0,2,0,2,2
BATALLAS,vih,n de personas con prueba rapida,2010-11-01,12,21,12,21,33
BERMEJO,vih,n de personas con prueba rapida,2010-11-01,3,7,3,7,10
BOLPEBRA,vih,n de personas con prueba rapida,2010-11-01,3,7,3,7,10
CABEZAS,vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
CAMIRI,vih,n de personas con prueba rapida,2010-11-01,7,12,7,12,19
CARACOLLO,vih,n de personas con prueba rapida,2010-11-01,3,18,3,18,21
CARANAVI,vih,n de personas con prueba rapida,2010-11-01,20,20,20,20,40
CHALLAPATA,vih,n de personas con prueba rapida,2010-11-01,8,3,8,3,11
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-11-01,3,0,3,0,3
COBIJA,vih,n de personas con prueba rapida,2010-11-01,1,185,1,185,186
COCHABAMBA,vih,n de personas con prueba rapida,2010-11-01,25,139,25,139,164
COLCAPIRHUA,vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
COLOMI,vih,n de personas con prueba rapida,2010-11-01,1,2,1,2,3
COMARAPA,vih,n de personas con prueba rapida,2010-11-01,1,52,1,52,53
EL ALTO,vih,n de personas con prueba rapida,2010-11-01,170,287,170,287,457
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-11-01,6,8,6,8,14
EL TORNO,vih,n de personas con prueba rapida,2010-11-01,2,3,2,3,5
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-11-01,1,24,1,24,25
EUCALIPTUS,vih,n de personas con prueba rapida,2010-11-01,1,4,1,4,5
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-11-01,0,4,0,4,4
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-11-01,67,247,67,247,314
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2010-11-01,0,2,0,2,2
HUANUNI,vih,n de personas con prueba rapida,2010-11-01,0,48,0,48,48
INQUISIVI,vih,n de personas con prueba rapida,2010-11-01,1,1,1,1,2
LA ASUNTA,vih,n de personas con prueba rapida,2010-11-01,2,39,2,39,41
LA GUARDIA,vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
LA PAZ,vih,n de personas con prueba rapida,2010-11-01,46,195,46,195,241
MACHACAMARCA,vih,n de personas con prueba rapida,2010-11-01,1,0,1,0,1
MACHARETI,vih,n de personas con prueba rapida,2010-11-01,2,1,2,1,3
MAIRANA,vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
MINEROS,vih,n de personas con prueba rapida,2010-11-01,1,37,1,37,38
MIZQUE,vih,n de personas con prueba rapida,2010-11-01,3,1,3,1,4
MOJOCOYA,vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
MONTEAGUDO,vih,n de personas con prueba rapida,2010-11-01,3,63,3,63,66
MONTERO,vih,n de personas con prueba rapida,2010-11-01,26,79,26,79,105
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
ORURO,vih,n de personas con prueba rapida,2010-11-01,47,107,47,107,154
PADCAYA,vih,n de personas con prueba rapida,2010-11-01,0,22,0,22,22
PAILON,vih,n de personas con prueba rapida,2010-11-01,0,4,0,4,4
PATACAMAYA,vih,n de personas con prueba rapida,2010-11-01,38,36,38,36,74
PORONGO,vih,n de personas con prueba rapida,2010-11-01,2,0,2,0,2
PORVENIR,vih,n de personas con prueba rapida,2010-11-01,4,0,4,0,4
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-11-01,8,21,8,21,29
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-11-01,11,10,11,10,21
PUERTO RICO,vih,n de personas con prueba rapida,2010-11-01,18,23,18,23,41
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-11-01,7,19,7,19,26
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2010-11-01,1,1,1,1,2
PUNATA,vih,n de personas con prueba rapida,2010-11-01,3,2,3,2,5
QUIME,vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
ROBORE,vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
RURRENABAQUE,vih,n de personas con prueba rapida,2010-11-01,8,38,8,38,46
SACABA,vih,n de personas con prueba rapida,2010-11-01,2,3,2,3,5
SAN BORJA,vih,n de personas con prueba rapida,2010-11-01,0,5,0,5,5
SAN IGNACIO,vih,n de personas con prueba rapida,2010-11-01,16,50,16,50,66
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-11-01,18,60,18,60,78
SAN JAVIER(STC),vih,n de personas con prueba rapida,2010-11-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2010-11-01,7,57,7,57,64
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-11-01,3,1,3,1,4
SAN JULIAN,vih,n de personas con prueba rapida,2010-11-01,4,2,4,2,6
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-11-01,7,43,7,43,50
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2010-11-01,0,2,0,2,2
SAN PEDRO,vih,n de personas con prueba rapida,2010-11-01,4,8,4,8,12
SANTA ANA,vih,n de personas con prueba rapida,2010-11-01,6,5,6,5,11
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-11-01,21,175,21,175,196
SENA,vih,n de personas con prueba rapida,2010-11-01,8,35,8,35,43
SUCRE,vih,n de personas con prueba rapida,2010-11-01,18,35,18,35,53
TAPACARI,vih,n de personas con prueba rapida,2010-11-01,40,106,40,106,146
TARIJA,vih,n de personas con prueba rapida,2010-11-01,0,25,0,25,25
TOLATA,vih,n de personas con prueba rapida,2010-11-01,0,2,0,2,2
TOLEDO,vih,n de personas con prueba rapida,2010-11-01,5,12,5,12,17
TOMINA,vih,n de personas con prueba rapida,2010-11-01,0,9,0,9,9
TRINIDAD,vih,n de personas con prueba rapida,2010-11-01,3,73,3,73,76
TURCO,vih,n de personas con prueba rapida,2010-11-01,10,5,10,5,15
UNCIA,vih,n de personas con prueba rapida,2010-11-01,0,6,0,6,6
VIACHA,vih,n de personas con prueba rapida,2010-11-01,0,60,0,60,60
VILLA MONTES,vih,n de personas con prueba rapida,2010-11-01,4,5,4,5,9
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-11-01,0,2,0,2,2
VILLA SERRANO,vih,n de personas con prueba rapida,2010-11-01,0,1,0,1,1
WARNES,vih,n de personas con prueba rapida,2010-11-01,5,2,5,2,7
YACUIBA,vih,n de personas con prueba rapida,2010-11-01,9,51,9,51,60
YAPACANI,vih,n de personas con prueba rapida,2010-11-01,2,20,2,20,22
APOLO,vih,n de personas con prueba rapida,2010-12-01,5,5,5,5,10
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2010-12-01,47,53,47,53,100
AZURDUY,vih,n de personas con prueba rapida,2010-12-01,0,2,0,2,2
BERMEJO,vih,n de personas con prueba rapida,2010-12-01,4,1,4,1,5
BETANZOS,vih,n de personas con prueba rapida,2010-12-01,0,1,0,1,1
BOLPEBRA,vih,n de personas con prueba rapida,2010-12-01,0,3,0,3,3
CAMIRI,vih,n de personas con prueba rapida,2010-12-01,0,18,0,18,18
CARACOLLO,vih,n de personas con prueba rapida,2010-12-01,0,18,0,18,18
CARANAVI,vih,n de personas con prueba rapida,2010-12-01,13,57,13,57,70
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2010-12-01,20,40,20,40,60
CHUMA,vih,n de personas con prueba rapida,2010-12-01,3,2,3,2,5
COBIJA,vih,n de personas con prueba rapida,2010-12-01,0,86,0,86,86
COCHABAMBA,vih,n de personas con prueba rapida,2010-12-01,23,265,23,265,288
COLOMI,vih,n de personas con prueba rapida,2010-12-01,2,2,2,2,4
EL ALTO,vih,n de personas con prueba rapida,2010-12-01,268,660,268,660,928
EL PUENTE(TJA),vih,n de personas con prueba rapida,2010-12-01,2,3,2,3,5
EL TORNO,vih,n de personas con prueba rapida,2010-12-01,2,6,2,6,8
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2010-12-01,1,14,1,14,15
EUCALIPTUS,vih,n de personas con prueba rapida,2010-12-01,5,9,5,9,14
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2010-12-01,0,4,0,4,4
FILADELFIA,vih,n de personas con prueba rapida,2010-12-01,0,1,0,1,1
GUAYARAMERIN,vih,n de personas con prueba rapida,2010-12-01,151,265,151,265,416
GUTIERREZ,vih,n de personas con prueba rapida,2010-12-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2010-12-01,1,0,1,0,1
HUANUNI,vih,n de personas con prueba rapida,2010-12-01,6,39,6,39,45
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2010-12-01,0,5,0,5,5
INQUISIVI,vih,n de personas con prueba rapida,2010-12-01,0,2,0,2,2
LA ASUNTA,vih,n de personas con prueba rapida,2010-12-01,5,17,5,17,22
LA PAZ,vih,n de personas con prueba rapida,2010-12-01,170,273,170,273,443
LICOMA PAMPA,vih,n de personas con prueba rapida,2010-12-01,1,2,1,2,3
LLALLAGUA,vih,n de personas con prueba rapida,2010-12-01,3,5,3,5,8
MAIRANA,vih,n de personas con prueba rapida,2010-12-01,0,5,0,5,5
MINEROS,vih,n de personas con prueba rapida,2010-12-01,0,1,0,1,1
MIZQUE,vih,n de personas con prueba rapida,2010-12-01,0,11,0,11,11
MONTEAGUDO,vih,n de personas con prueba rapida,2010-12-01,20,43,20,43,63
MONTERO,vih,n de personas con prueba rapida,2010-12-01,13,163,13,163,176
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2010-12-01,1,5,1,5,6
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2010-12-01,1,2,1,2,3
ORURO,vih,n de personas con prueba rapida,2010-12-01,6,26,6,26,32
PADCAYA,vih,n de personas con prueba rapida,2010-12-01,0,19,0,19,19
PAILON,vih,n de personas con prueba rapida,2010-12-01,1,0,1,0,1
PORONGO,vih,n de personas con prueba rapida,2010-12-01,1,0,1,0,1
PORTACHUELO,vih,n de personas con prueba rapida,2010-12-01,2,1,2,1,3
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2010-12-01,1,3,1,3,4
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2010-12-01,75,11,75,11,86
PUERTO RICO,vih,n de personas con prueba rapida,2010-12-01,3,19,3,19,22
PUERTO SUAREZ,vih,n de personas con prueba rapida,2010-12-01,6,48,6,48,54
PUNATA,vih,n de personas con prueba rapida,2010-12-01,4,0,4,0,4
QUIME,vih,n de personas con prueba rapida,2010-12-01,0,4,0,4,4
RIBERALTA,vih,n de personas con prueba rapida,2010-12-01,0,3,0,3,3
RURRENABAQUE,vih,n de personas con prueba rapida,2010-12-01,4,28,4,28,32
SACABA,vih,n de personas con prueba rapida,2010-12-01,11,4,11,4,15
SAN BORJA,vih,n de personas con prueba rapida,2010-12-01,0,9,0,9,9
SAN CARLOS,vih,n de personas con prueba rapida,2010-12-01,2,2,2,2,4
SAN IGNACIO,vih,n de personas con prueba rapida,2010-12-01,6,23,6,23,29
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2010-12-01,9,89,9,89,98
SAN JAVIER(STC),vih,n de personas con prueba rapida,2010-12-01,0,1,0,1,1
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2010-12-01,3,1,3,1,4
SAN JULIAN,vih,n de personas con prueba rapida,2010-12-01,4,22,4,22,26
SAN LORENZO(PND),vih,n de personas con prueba rapida,2010-12-01,0,6,0,6,6
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2010-12-01,0,3,0,3,3
SAN PEDRO,vih,n de personas con prueba rapida,2010-12-01,0,7,0,7,7
SANTA ANA,vih,n de personas con prueba rapida,2010-12-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2010-12-01,53,162,53,162,215
SENA,vih,n de personas con prueba rapida,2010-12-01,24,18,24,18,42
SUCRE,vih,n de personas con prueba rapida,2010-12-01,42,100,42,100,142
TARIJA,vih,n de personas con prueba rapida,2010-12-01,2,16,2,16,18
TARVITA,vih,n de personas con prueba rapida,2010-12-01,0,3,0,3,3
TIQUIPAYA,vih,n de personas con prueba rapida,2010-12-01,0,5,0,5,5
TOLEDO,vih,n de personas con prueba rapida,2010-12-01,2,3,2,3,5
TOMINA,vih,n de personas con prueba rapida,2010-12-01,0,9,0,9,9
TRINIDAD,vih,n de personas con prueba rapida,2010-12-01,5,19,5,19,24
TURCO,vih,n de personas con prueba rapida,2010-12-01,7,11,7,11,18
VIACHA,vih,n de personas con prueba rapida,2010-12-01,0,1,0,1,1
VILLA MONTES,vih,n de personas con prueba rapida,2010-12-01,11,5,11,5,16
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2010-12-01,0,1,0,1,1
VILLA SERRANO,vih,n de personas con prueba rapida,2010-12-01,0,9,0,9,9
WARNES,vih,n de personas con prueba rapida,2010-12-01,3,4,3,4,7
YACUIBA,vih,n de personas con prueba rapida,2010-12-01,7,7,7,7,14
YAMPARAEZ,vih,n de personas con prueba rapida,2010-12-01,0,2,0,2,2
