municipality,group,variable,month,2.3 Pacientes retornados al establecimiento de origen,TOTAL
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SIPE SIPE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SORACACHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,9,9
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,490,490
TACACHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
TACACOMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,8,8
TAPACARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
TARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,2,2
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,72,72
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,7,7
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,5,5
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,57,57
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,75,75
VIACHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
VILLA SERRANO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
VILLA TUNARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,29,29
VITICHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,12,12
WARNES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,17,17
YOCALLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,1,1
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-06-01,3,3
ACACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
ANCORAIMES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
ANZALDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
ARBIETO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
ASCENCION DE GUARAYOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
AZURDUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,10,10
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
BOLPEBRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
BOYUIBE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
CAMARGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,8,8
CAMIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
CAQUIAVIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
CARANAVI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
CARAPARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
CARIPUYO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
CARMEN RIVERO TORREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
CHUA COCANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
CKOCHAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,213,213
COCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,11,11
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,10,10
COLQUIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,8,8
CONCEPCION,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,13,13
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,5,5
CULPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
DESAGUADERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,37,37
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
ENTRE RIOS TRJ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,8,8
GENERAL SAAVEDRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,5,5
GUAYARAMERIN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
GUTIERREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,12,12
IRUPANA (VILLA DE LANZA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
LA ASUNTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,428,428
LAGUNILLAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
LAJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
LLALLAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
LORETO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
LURIBAY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,7,7
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,5,5
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
MINEROS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,15,15
MOJINETE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,7,7
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,187,187
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,200,200
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,33,33
PAILON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,14,14
POCONA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
POROMA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
PORVENIR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
PRESTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
PUERTO GONZALO MORENO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
PUERTO RICO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
PUERTO SUAREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,12,12
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,6,6
PUNA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,11,11
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,5,5
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,19,19
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,26,26
SACABA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,9,9
SACABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
SAMAIPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
SAN ANDRES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
SAN BENITO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
SAN BUENA VENTURA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,5,5
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,18,18
SAN JUAN DE YAPACANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,9,9
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,10,10
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,527,527
SANTA ROSA DEL SARA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
SANTIAGO DE HUARI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
SANTIVAÑES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
SICA SICA (VILLA AROMA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
SIPE SIPE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,6,6
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,5,5
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,379,379
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,45,45
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,6,6
TEOPONTE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
TIAWANACU,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,6,6
TOLATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
TOLEDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,4,4
TOTORA(CBBA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,72,72
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,28,28
VALLEGRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,3,3
VILLA SERRANO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,50,50
VINTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,2,2
VITICHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
WARNES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,15,15
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,7,7
YOCALLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-07-01,1,1
ACHACACHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
ANDAMARCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
ANTEQUERA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
APOLO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
ARBIETO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
ATOCHA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,6,6
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
AZURDUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,13,13
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
BUENA VISTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,5,5
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
"CAIZA ""D""",referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,5,5
CAMARGO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,5,5
CAMIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,5,5
CAPINOTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
CAQUIAVIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,6,6
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
CHUA COCANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
CKOCHAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,213,213
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,6,6
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,8,8
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,6,6
CONCEPCION,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
COPACABANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
CORIPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,20,20
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
CRUZ DE MACHACAMARCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,8,8
CULPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
DESAGUADERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,41,41
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
GENERAL SAAVEDRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,5,5
GUAYARAMERIN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
GUTIERREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,6,6
HUANUNI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
INQUISIVI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
IXIAMAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,532,532
LAGUNILLAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
LAJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
MACHARETI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
MAIRANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
MOJINETE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
MONTEAGUDO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,5,5
MONTERO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,479,479
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
OKINAWA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
ORURO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,201,201
PADCAYA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
PADILLA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,24,24
PAMPA GRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
POCONA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
PORCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
PORTACHUELO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
POTOSI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,26,26
PUERTO CARABUCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
PUERTO VILLARROEL,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,7,7
PUNATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,13,13
QUILLACOLLO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
RIBERALTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,11,11
ROBORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,10,10
RURRENABAQUE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,15,15
SACABA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
SAIPINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
SAN ANDRES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
SAN BORJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
SAN BUENA VENTURA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
SAN CARLOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,21,21
SAN IGNACIO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
SAN IGNACIO DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,32,32
SAN JAVIER(BNI),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
SAN JUAN DE YAPACANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
SAN JULIAN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
SAN LUCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,6,6
SAN MATIAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
SAN MIGUEL DE VELASCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
SAN PABLO DE LIPEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
SAN PEDRO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
SANTA ANA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
SANTA CRUZ DE LA SIERRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,231,231
SOPACHUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
SORATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,5,5
SUCRE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,274,274
TARACO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
TARIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,99,99
TARVITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,8,8
TIRAQUE (CBBA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
TOCO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
TOMINA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
TRINIDAD,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,38,38
TUPIZA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,86,86
VALLEGRANDE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
VILLA CHARCAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,2,2
VILLA MONTES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
VILLA SERRANO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
VILLAZON,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,28,28
VINTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,4,4
VITICHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
WARNES,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
YACUIBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,17,17
YAMPARAEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
YANACACHI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,3,3
ZUDAÑEZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-08-01,1,1
ANTEQUERA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
ARBIETO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
AUCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
AYATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
AZURDUY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
BERMEJO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,17,17
BETANZOS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
BOYUIBE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
BUENA VISTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
CABEZAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
"CAIZA ""D""",referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
CAMIRI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,4,4
CAPINOTA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
CHARAGUA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,4,4
CHIMORE,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
CHUA COCANI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
CKOCHAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
COBIJA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,205,205
COCAPATA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
COCHABAMBA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,5,5
COLPA BELGICA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,6,6
COMARAPA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,12,12
CONCEPCION,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,6,6
COTAGAITA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,7,7
COTOCA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
CUATRO CAÑADAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,5,5
EL ALTO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,66,66
EL CHORO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,3,3
EL PUENTE(STC),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
EL TORNO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,5,5
EL VILLAR,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
ENTRE RIOS TRJ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
EUCALIPTUS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
FERNANDEZ ALONSO,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
GENERAL SAAVEDRA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
GUAYARAMERIN,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
GUTIERREZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,4,4
HUACARETA,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,4,4
HUACAYA (VILLA DE HUACAYA),referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
HUANUNI,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,2,2
IXIAMAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
LA PAZ,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,816,816
LAGUNILLAS,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
LURIBAY,referencias y retornos,       pacientes retornados al establecimiento de origen,2014-09-01,1,1
