municipality,group,variable,month,Total 2.1 Pacientes referidos a otros establecimientos,TOTAL
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
GUANAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,10,10
GUAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
GUAYARAMERIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,122,122
GUTIERREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,14,14
HUACARETA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,17,17
HUACAYA (VILLA DE HUACAYA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,11,11
HUACHACALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
HUANUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,31,31
HUARACAJE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
HUARINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
HUATAJATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,4,4
HUAYLLAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
HUMANATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
ICHOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
ICLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,15,15
INCAHUASI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,10,10
INQUISIVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
IRUPANA (VILLA DE LANZA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,16,16
IXIAMAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
JESUS DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,11,11
LA ASUNTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,7,7
LA GUARDIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,194,194
LA PAZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,7371,7371
LAGUNILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,45,45
LAJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,32,32
LAS CARRERAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
LLALLAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,31,31
LORETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
LURIBAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
MACHARETI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,15,15
MAGDALENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
MAIRANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,41,41
MALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
MAPIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,18,18
MECAPACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,29,29
MINEROS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,25,25
MIZQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,9,9
MOCOMOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
MOJINETE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,6,6
MOJOCOYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,6,6
MONTEAGUDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,53,53
MONTERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1844,1844
MORO MORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,12,12
MOROCHATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,7,7
NACEBE (SANTA ROSA DEL ABUNA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
NAZACARA DE PACAJES,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
OCURI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,9,9
OKINAWA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,30,30
OMEREQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,7,7
ORURO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,567,567
PADCAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,46,46
PADILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,12,12
PAILON,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,49,49
PALCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,11,11
PALOS BLANCOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
PAMPA GRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
PAPEL PAMPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
PATACAMAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,53,53
PAZÑA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,8,8
PELECHUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,9,9
POCOATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
POCONA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
POJO (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
POOPO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,12,12
PORCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,11,11
POROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
PORONGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,10,10
PORTACHUELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,48,48
PORVENIR,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,19,19
POSTRER VALLE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,6,6
POTOSI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,253,253
PRESTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,15,15
PUCARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
PUCARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,26,26
PUERTO CARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,6,6
PUERTO GONZALO MORENO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,9,9
PUERTO QUIJARRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,30,30
PUERTO RICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,9,9
PUERTO SUAREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,14,14
PUERTO VILLARROEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,43,43
PUNA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,19,19
PUNATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,31,31
QUIABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
QUILLACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,102,102
QUIME,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,19,19
QUIRUSILLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,6,6
RAVELO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,14,14
RIBERALTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,199,199
ROBORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,48,48
RURRENABAQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,19,19
SABAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
SACABA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,85,85
SACABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
SACACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,15,15
SAIPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,13,13
SALINAS DE GARCI MENDOZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,6,6
SAMAIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,17,17
SAN ANDRES,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,15,15
SAN ANDRES DE MACHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,10,10
SAN ANTONIO DE ESMORUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
SAN ANTONIO DE LOMERIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
SAN BENITO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,12,12
SAN BORJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,14,14
SAN BUENA VENTURA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
SAN CARLOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,61,61
SAN IGNACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,14,14
SAN IGNACIO DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,38,38
SAN JAVIER(BNI),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,4,4
SAN JAVIER(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
SAN JOAQUIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,4,4
SAN JOSE DE CHIQUITOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,23,23
SAN JUAN DE YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,50,50
SAN JULIAN,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,59,59
SAN LORENZO(PND),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,7,7
SAN LORENZO(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,93,93
SAN LUCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,73,73
SAN MATIAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,39,39
SAN MIGUEL DE VELASCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,36,36
SAN PABLO DE LIPEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,4,4
SAN PEDRO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,25,25
SAN PEDRO DE BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,14,14
SAN PEDRO DE CURAHUARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
SAN PEDRO DE QUEMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
SAN PEDRO DE TIQUINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,13,13
SAN PEDRO(PND),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
SAN RAFAEL,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,9,9
SAN RAMON BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
SAN RAMON SCZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,4,4
SANTA ANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
SANTA CRUZ DE LA SIERRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5866,5866
SANTA ROSA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
SANTA ROSA DEL SARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,64,64
SANTIAGO DE HUARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
SANTIAGO DE HUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,7,7
SANTIVAÑES,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
SANTUARIO DE QUILLACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,4,4
SAPAHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
SENA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,4,4
SHINAOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,17,17
SICA SICA (VILLA AROMA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,14,14
SICAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,6,6
SIPE SIPE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,28,28
SOPACHUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,16,16
SORACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
SORATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,20,20
SUCRE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2408,2408
TACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
TACACOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,10,10
TACOBAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,3,3
TACOPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
TAPACARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,10,10
TARABUCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,25,25
TARACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,18,18
TARIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,625,625
TARVITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,17,17
TEOPONTE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,2,2
TIAWANACU,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,6,6
TINGUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,12,12
TIPUANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,27,27
TIQUIPAYA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,46,46
TIRAQUE (CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,24,24
TITO YUPANQUI (PARQUIPUJIO),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
TOCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
TOLATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,14,14
TOLEDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,12,12
TOMAVE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,9,9
TOMINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,7,7
TOTORA(CBBA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,4,4
TOTORA(ORR),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,9,9
TRIGAL,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,8,8
TRINIDAD,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,421,421
TUPIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,270,270
TURCO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,7,7
UNCIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,36,36
URIONDO (A. CONCEPCION),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,47,47
URUBICHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,20,20
UYUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,31,31
VACAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,19,19
VALLEGRANDE,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,44,44
VIACHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,198,198
VILLA CHARCAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,8,8
VILLA MONTES,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,42,42
VILLA NUEVA (LOMA ALTA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,5,5
VILLA RIVERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,16,16
VILLA SERRANO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,11,11
VILLA TUNARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,73,73
VILLA VACA GUZMAN (MUYUPAMPA),referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,20,20
VILLAZON,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,233,233
VINTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,40,40
VITICHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,18,18
WARNES,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,165,165
YACO,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,1,1
YACUIBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,196,196
YAMPARAEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,8,8
YANACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,16,16
YAPACANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,97,97
YOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,13,13
YOTALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,11,11
YUNCHARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,11,11
ZUDAÑEZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-06-01,8,8
ACACIO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,9,9
ACHACACHI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,27,27
ACHOCALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,16,16
AIQUILE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
ALALAY,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
ALCALA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
ALTO BENI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
ANCORAIMES,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
ANZALDO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
APOLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
ARANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
ARBIETO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,32,32
ARQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
ASCENCION DE GUARAYOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,36,36
ATOCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,111,111
AUCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
AYATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
AYO AYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
AZURDUY,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
BATALLAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,22,22
BAURES,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
BELEN DE ANDAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
BELLA FLOR,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
BERMEJO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,73,73
BETANZOS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,40,40
BOLIVAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
BOLPEBRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
BOYUIBE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
BUENA VISTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,61,61
CABEZAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,33,33
CAIROMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
"CAIZA ""D""",referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,17,17
CAJUATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
CALAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,29,29
CAMARGO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,69,69
CAMATAQUI (C. VILLA ABECIA),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,13,13
CAMIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,113,113
CAPINOTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,25,25
CAQUIAVIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
CARACOLLO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,18,18
CARANAVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,46,46
CARAPARI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,47,47
CARIPUYO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,6,6
CARMEN RIVERO TORREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,9,9
CATACORA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
CHACARILLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
CHALLAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,68,68
CHAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
CHARAGUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,31,31
CHAYANTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
CHIMORE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,40,40
CHOQUE COTA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,5,5
CHUA COCANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
CHULUMANI (V. DE LA LIBERTAD),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,26,26
CHUMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,9,9
CKOCHAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,11,11
CLIZA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,67,67
COBIJA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,304,304
COCAPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,11,11
COCHABAMBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,412,412
COLCAPIRHUA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,18,18
"COLCHA ""K""",referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
COLOMI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,28,28
COLPA BELGICA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,49,49
COLQUECHACA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,16,16
COLQUENCHA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
COLQUIRI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
COMARAPA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,66,66
CONCEPCION,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,23,23
COPACABANA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,14,14
CORIPATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,22,22
CORO CORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
COROICO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,28,28
CORQUE,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
COTAGAITA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,87,87
COTOCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,88,88
CUATRO CAÑADAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,38,38
CUCHUMUELA (V. G. VILLARROEL),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
CUEVO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,14,14
CULPINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,15,15
CURAHUARA DE CARANGAS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
DESAGUADERO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
EL ALTO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4113,4113
EL CHORO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,6,6
EL PUENTE(STC),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,44,44
EL PUENTE(TJA),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,17,17
EL TORNO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,122,122
EL VILLAR,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,9,9
ENTRE RIOS TRJ,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,26,26
ENTRE RIOS CBBA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,80,80
ESCARA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
ESCOMA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
EUCALIPTUS,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
FERNANDEZ ALONSO,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,19,19
FILADELFIA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
GENERAL SAAVEDRA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,35,35
GRAL. J.J. PEREZ (CHARAZANI),referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
GUAQUI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,12,12
GUAYARAMERIN,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,118,118
GUTIERREZ,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,25,25
HUACARETA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,14,14
HUACHACALLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
HUANUNI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,109,109
HUARINA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
HUATAJATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,4,4
HUAYLLAMARCA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,1,1
HUMANATA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,2,2
ICLA,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,10,10
INCAHUASI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,7,7
INQUISIVI,referencias y retornos, pacientes referidos a otros establecimientos,2014-07-01,3,3
