,group,variable,month,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,ANTIPOLIOMIELÍTICA 4TA. DOSIS (1ER. REFUERZO) FUERA,TOTALES
VIACHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,6,7,1,0,14
VILA VILA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,0,0,2,0,2
VILLA CHARCAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,1,0,0,0,1
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,4,3,5,2,14
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,0,0,5,1,6
VILLA RIVERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,2,1,0,1,4
VILLA SERRANO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,0,0,4,6,10
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,21,11,1,2,35
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,1,1,0,0,2
VILLAZON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,5,2,0,1,8
VINTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,4,7,7,1,19
VITICHI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,1,0,0,0,1
WARNES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,31,26,4,7,68
YACUIBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,10,8,14,2,34
YANACACHI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,3,0,0,0,3
YAPACANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,7,4,16,6,33
YOTALA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,0,0,0,1,1
ZUDAÑEZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-06-01,1,0,2,0,3
ACACIO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,2,8,6,19
ACHACACHI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,3,3,0,9
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,2,0,0,6
AIQUILE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,0,2
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
ANCORAIMES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,2,0,0,4
ANDAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,0,1
APOLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,1,2
ARAMPAMPA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,4,1,7
ARBIETO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
ARQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,2,0,1,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,6,0,1,9
ATOCHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,5,0,0,0,5
AUCAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,5,2,8
AZURDUY,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,1,0,3
BAURES,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,0,5,5
BELEN DE URMIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,2,3,5
BERMEJO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,1,2,0,5
BETANZOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,5,1,7,2,15
BOLIVAR,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,3,1,4
BOYUIBE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,4,5
BUENA VISTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,1,2,4
CABEZAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,6,4,10,6,26
CAIROMA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,1,3,5
"CAIZA ""D""",vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,2,2,0,5
CAJUATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,3,3,0,8
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,1,2
CAMARGO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,0,1,1
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,3,0,1,5
CAMIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,2,1,0,6
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,2,0,3
CAQUIAVIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,5,6,5,19
CARANAVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,2,6,8,18
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,2,0,4
CHACARILLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,2,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,2,6,3,13
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,2,7,6,16
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,1,1,1,5
CHIMORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,5,3,8,7,23
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,6,0,0,7
CHUMA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,1,2
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,1,6,8
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,5,15,5,4,29
CLIZA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,3,3,7
COBIJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,10,4,4,20
COCAPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,2,4
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,117,116,42,33,308
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,6,7,7,24
"COLCHA ""K""",vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,3,0,5,11
COLLANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,2,2,2,10
COLPA BELGICA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,0,0,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,1,2,4,9
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,2,5,11,20
COMANCHE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,3,3,7
COMARAPA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,11,18,0,1,30
COMBAYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,3,0,3
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,3,5,6,18
COPACABANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,2,0,4
CORIPATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,4,0,0,8
CORO CORO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,1,3
COROICO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,2,2,3,10
COTAGAITA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,2,1,5,11
COTOCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,22,21,5,3,51
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,6,2,0,11
CULPINA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,3,8,4,19
CURAHUARA DE CARANGAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,0,1,1
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,1,3
EL ALTO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,118,97,57,66,338
EL PUENTE(STC),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,2,0,0,5
EL PUENTE(TJA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,0,1
EL TORNO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,3,7,11,25
ENTRE RIOS TRJ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,1,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,2,3,0,8
ESCOMA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,2,3
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,1,2
EXALTACION,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,1,2
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,1,0,0,5
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,3,0,0,5
GUANAY,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,2,1,0,5
GUAQUI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,1,2,2,7
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,6,12,25,13,56
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,1,1,4
HUACARETA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,1,2
HUACHACALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,1,0,3
HUANUNI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,4,4,0,10
HUARACAJE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
HUARINA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
HUATAJATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
HUMANATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,1,2,6,12
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,4,2,6
INGAVI (HUMAITA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,0,0,2
INQUISIVI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,1,0,3
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,0,0,0,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,2,0,2,7
JESUS DE MACHACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,5,6,3,5,19
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,17,20,9,6,52
LA PAZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,120,95,16,20,251
LAGUNILLAS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
LAJA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,2,0,0,3
LICOMA PAMPA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,10,7,15,18,50
LURIBAY,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
MACHACAMARCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
MAGDALENA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,4,1,7
MAIRANA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,0,0,0,2
MALLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,0,1,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,3,1,1,7
MECAPACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,1,2,0,6
MINEROS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,7,1,2,2,12
MIZQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,2,5,9
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,2,3,5
MOJINETE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,3,5
MOJOCOYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,0,2
MONTEAGUDO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,21,17,10,16,64
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,3,2,2,8
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,0,2
OCURI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,3,4,9
OKINAWA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,3,4,3,13
OMEREQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,0,0,0,2
ORURO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,36,37,6,11,90
PADCAYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,1,0,2
PADILLA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,3,0,0,3
PAILON,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,1,1,1,5
PALCA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,5,8,9,6,28
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,3,6,7,18
PAMPA GRANDE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
PAPEL PAMPA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
PAZÑA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,0,0,1
PELECHUCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,2,4,3,11
POCOATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,6,9,15
POCONA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,1,0,1,4
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,1,2,5
POOPO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,0,5,1,8
PORCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,5,2,1,0,8
POROMA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,0,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,3,1,1,8
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,7,9,0,13,29
PORVENIR,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,4,2,6
POTOSI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,41,26,30,35,132
PUCARANI,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,3,2,3,8
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,1,1,0,4
PUERTO GONZALO MORENO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,3,0,3
PUERTO PEREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,0,1,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,2,0,4
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,5,0,1,9
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,11,3,6,2,22
PUNA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,13,18,24,21,76
PUNATA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,1,2,2,9
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,12,12,21,26,71
QUIME,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,0,0,2
RAVELO,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,1,2,3,6
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,15,17,28,19,79
ROBORE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,4,1,4,1,10
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,3,14,8,26
SABAYA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,1,1,0,0,2
SACABA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,11,16,19,15,61
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,0,1,0,1
SACACA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,2,3,4,6,15
SAIPINA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,3,1,1,0,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 2 a 3 anos,antipoliomielitica 4ta. dosis (1er. refuerzo),2017-07-01,0,2,1,1,4
