,group,variable,month,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL < DE 1 AÑO,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 1 A MENOR DE 2 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,L TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SANTIAGO DE MACHACA,estado nutricional,l talla normal,2012-06-01,23,19,26,13,17,16,66,48,114
SANTIVAÑES,estado nutricional,l talla normal,2012-06-01,37,43,41,42,38,49,116,134,250
SANTUARIO DE QUILLACAS,estado nutricional,l talla normal,2012-06-01,33,40,31,33,29,28,93,101,194
SAPAHAQUI,estado nutricional,l talla normal,2012-06-01,72,49,56,39,47,55,175,143,318
SENA,estado nutricional,l talla normal,2012-06-01,56,40,37,34,48,32,141,106,247
SHINAOTA,estado nutricional,l talla normal,2012-06-01,409,284,264,207,228,245,901,736,1637
SICA SICA (VILLA AROMA),estado nutricional,l talla normal,2012-06-01,166,155,154,138,120,126,440,419,859
SICAYA,estado nutricional,l talla normal,2012-06-01,37,48,44,19,28,13,109,80,189
SIPE SIPE,estado nutricional,l talla normal,2012-06-01,415,374,227,222,209,187,851,783,1634
SOPACHUY,estado nutricional,l talla normal,2012-06-01,66,57,33,51,67,76,166,184,350
SORACACHI,estado nutricional,l talla normal,2012-06-01,94,90,70,76,95,127,259,293,552
SORATA,estado nutricional,l talla normal,2012-06-01,114,91,72,66,86,71,272,228,500
SUCRE,estado nutricional,l talla normal,2012-06-01,2876,2695,2380,2267,2218,2187,7474,7149,14623
TACACHI,estado nutricional,l talla normal,2012-06-01,6,7,7,7,10,10,23,24,47
TACACOMA,estado nutricional,l talla normal,2012-06-01,47,55,41,43,40,26,128,124,252
TACOBAMBA,estado nutricional,l talla normal,2012-06-01,49,73,55,44,45,41,149,158,307
TACOPAYA,estado nutricional,l talla normal,2012-06-01,58,68,66,69,103,113,227,250,477
TAHUA,estado nutricional,l talla normal,2012-06-01,8,2,6,8,10,1,24,11,35
TAPACARI,estado nutricional,l talla normal,2012-06-01,136,163,122,130,125,161,383,454,837
TARABUCO,estado nutricional,l talla normal,2012-06-01,130,103,95,109,134,144,359,356,715
TARACO,estado nutricional,l talla normal,2012-06-01,31,22,24,11,17,13,72,46,118
TARATA,estado nutricional,l talla normal,2012-06-01,92,96,64,95,44,69,200,260,460
TARIJA,estado nutricional,l talla normal,2012-06-01,1508,1432,1098,961,1057,946,3663,3339,7002
TARVITA,estado nutricional,l talla normal,2012-06-01,129,137,91,91,169,165,389,393,782
TEOPONTE,estado nutricional,l talla normal,2012-06-01,152,118,104,77,120,137,376,332,708
TIAWANACU,estado nutricional,l talla normal,2012-06-01,85,58,67,47,53,55,205,160,365
TINGUIPAYA,estado nutricional,l talla normal,2012-06-01,149,112,110,96,56,51,315,259,574
TIPUANI,estado nutricional,l talla normal,2012-06-01,125,97,83,67,123,98,331,262,593
TIQUIPAYA,estado nutricional,l talla normal,2012-06-01,575,547,437,342,456,461,1468,1350,2818
TIRAQUE (CBBA),estado nutricional,l talla normal,2012-06-01,176,149,127,127,77,100,380,376,756
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla normal,2012-06-01,5,8,5,3,4,1,14,12,26
TOCO,estado nutricional,l talla normal,2012-06-01,50,51,47,43,45,39,142,133,275
TODOS SANTOS,estado nutricional,l talla normal,2012-06-01,2,1,3,2,3,0,8,3,11
TOLATA,estado nutricional,l talla normal,2012-06-01,65,60,59,45,55,60,179,165,344
TOLEDO,estado nutricional,l talla normal,2012-06-01,41,39,44,46,38,38,123,123,246
TOMAVE,estado nutricional,l talla normal,2012-06-01,99,84,81,76,72,71,252,231,483
TOMINA,estado nutricional,l talla normal,2012-06-01,91,73,60,58,123,143,274,274,548
TORO TORO,estado nutricional,l talla normal,2012-06-01,83,73,63,55,67,80,213,208,421
TOTORA(CBBA),estado nutricional,l talla normal,2012-06-01,139,108,120,105,52,67,311,280,591
TOTORA(ORR),estado nutricional,l talla normal,2012-06-01,58,42,28,32,36,51,122,125,247
TRIGAL,estado nutricional,l talla normal,2012-06-01,6,8,16,11,17,23,39,42,81
TRINIDAD,estado nutricional,l talla normal,2012-06-01,894,734,482,451,314,366,1690,1551,3241
TUPIZA,estado nutricional,l talla normal,2012-06-01,272,275,211,176,239,259,722,710,1432
TURCO,estado nutricional,l talla normal,2012-06-01,39,40,37,19,29,53,105,112,217
UMALA,estado nutricional,l talla normal,2012-06-01,53,50,33,44,71,48,157,142,299
UNCIA,estado nutricional,l talla normal,2012-06-01,139,138,99,95,72,45,310,278,588
URIONDO (A. CONCEPCION),estado nutricional,l talla normal,2012-06-01,98,111,108,103,119,141,325,355,680
URUBICHA,estado nutricional,l talla normal,2012-06-01,84,83,77,65,141,148,302,296,598
UYUNI,estado nutricional,l talla normal,2012-06-01,250,217,130,135,69,69,449,421,870
VACAS,estado nutricional,l talla normal,2012-06-01,85,86,68,63,44,48,197,197,394
VALLEGRANDE,estado nutricional,l talla normal,2012-06-01,139,95,105,95,79,79,323,269,592
VIACHA,estado nutricional,l talla normal,2012-06-01,351,354,261,230,218,242,830,826,1656
VILA VILA,estado nutricional,l talla normal,2012-06-01,31,47,28,29,57,63,116,139,255
VILLA CHARCAS,estado nutricional,l talla normal,2012-06-01,142,132,96,99,106,116,344,347,691
VILLA MONTES,estado nutricional,l talla normal,2012-06-01,323,314,248,282,205,279,776,875,1651
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla normal,2012-06-01,38,26,21,34,52,34,111,94,205
VILLA RIVERO,estado nutricional,l talla normal,2012-06-01,117,75,74,92,88,58,279,225,504
VILLA SERRANO,estado nutricional,l talla normal,2012-06-01,85,77,86,103,151,112,322,292,614
VILLA TUNARI,estado nutricional,l talla normal,2012-06-01,960,773,815,696,770,721,2545,2190,4735
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla normal,2012-06-01,83,92,69,68,132,105,284,265,549
VILLAZON,estado nutricional,l talla normal,2012-06-01,295,302,247,233,194,221,736,756,1492
VINTO,estado nutricional,l talla normal,2012-06-01,438,345,290,197,149,169,877,711,1588
VITICHI,estado nutricional,l talla normal,2012-06-01,66,74,67,69,45,58,178,201,379
WALDO BALLIVIAN,estado nutricional,l talla normal,2012-06-01,11,13,14,12,4,2,29,27,56
WARNES,estado nutricional,l talla normal,2012-06-01,438,370,268,259,256,243,962,872,1834
YACO,estado nutricional,l talla normal,2012-06-01,72,63,53,69,60,52,185,184,369
YACUIBA,estado nutricional,l talla normal,2012-06-01,624,511,452,432,459,427,1535,1370,2905
YAMPARAEZ,estado nutricional,l talla normal,2012-06-01,49,59,46,44,88,101,183,204,387
YANACACHI,estado nutricional,l talla normal,2012-06-01,66,56,60,48,51,57,177,161,338
YAPACANI,estado nutricional,l talla normal,2012-06-01,443,444,305,321,226,230,974,995,1969
YOCALLA,estado nutricional,l talla normal,2012-06-01,78,61,55,69,39,52,172,182,354
YOTALA,estado nutricional,l talla normal,2012-06-01,60,55,58,44,113,116,231,215,446
YUNCHARA,estado nutricional,l talla normal,2012-06-01,38,49,33,37,89,65,160,151,311
YUNGUYO DE LITORAL,estado nutricional,l talla normal,2012-06-01,2,1,0,0,0,0,2,1,3
ZUDAÑEZ,estado nutricional,l talla normal,2012-06-01,52,43,33,45,85,94,170,182,352
ACACIO,estado nutricional,l talla normal,2012-07-01,45,45,41,42,38,38,124,125,249
ACHACACHI,estado nutricional,l talla normal,2012-07-01,221,241,228,254,162,171,611,666,1277
ACHOCALLA,estado nutricional,l talla normal,2012-07-01,60,68,107,40,40,45,207,153,360
AIQUILE,estado nutricional,l talla normal,2012-07-01,257,249,183,197,185,218,625,664,1289
ALALAY,estado nutricional,l talla normal,2012-07-01,20,27,32,15,8,13,60,55,115
ALCALA,estado nutricional,l talla normal,2012-07-01,26,20,16,30,49,41,91,91,182
ALTO BENI,estado nutricional,l talla normal,2012-07-01,101,80,63,64,64,63,228,207,435
ANCORAIMES,estado nutricional,l talla normal,2012-07-01,62,56,57,67,35,41,154,164,318
ANDAMARCA,estado nutricional,l talla normal,2012-07-01,27,22,11,18,30,42,68,82,150
ANTEQUERA,estado nutricional,l talla normal,2012-07-01,25,24,26,23,15,18,66,65,131
ANZALDO,estado nutricional,l talla normal,2012-07-01,63,71,67,62,59,47,189,180,369
APOLO,estado nutricional,l talla normal,2012-07-01,193,183,136,137,164,160,493,480,973
ARAMPAMPA,estado nutricional,l talla normal,2012-07-01,38,30,33,33,29,33,100,96,196
ARANI,estado nutricional,l talla normal,2012-07-01,118,103,94,74,69,71,281,248,529
ARBIETO,estado nutricional,l talla normal,2012-07-01,127,132,110,116,109,124,346,372,718
ARQUE,estado nutricional,l talla normal,2012-07-01,119,105,101,108,79,58,299,271,570
ASCENCION DE GUARAYOS,estado nutricional,l talla normal,2012-07-01,196,181,108,111,71,72,375,364,739
ATOCHA,estado nutricional,l talla normal,2012-07-01,100,91,59,50,74,62,233,203,436
AUCAPATA,estado nutricional,l talla normal,2012-07-01,37,43,22,37,35,23,94,103,197
AYATA,estado nutricional,l talla normal,2012-07-01,70,66,70,60,34,28,174,154,328
AYO AYO,estado nutricional,l talla normal,2012-07-01,53,70,37,44,28,18,118,132,250
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla normal,2012-07-01,255,248,182,139,187,160,624,547,1171
AZURDUY,estado nutricional,l talla normal,2012-07-01,78,95,76,74,110,87,264,256,520
BATALLAS,estado nutricional,l talla normal,2012-07-01,152,127,84,84,69,59,305,270,575
BAURES,estado nutricional,l talla normal,2012-07-01,39,49,31,30,42,41,112,120,232
BELEN DE ANDAMARCA,estado nutricional,l talla normal,2012-07-01,20,11,7,11,13,8,40,30,70
BELEN DE URMIRI,estado nutricional,l talla normal,2012-07-01,13,13,5,9,7,10,25,32,57
BELLA FLOR,estado nutricional,l talla normal,2012-07-01,14,13,16,12,21,22,51,47,98
BERMEJO,estado nutricional,l talla normal,2012-07-01,281,290,241,250,165,213,687,753,1440
BETANZOS,estado nutricional,l talla normal,2012-07-01,263,277,189,245,338,320,790,842,1632
BOLIVAR,estado nutricional,l talla normal,2012-07-01,71,65,28,40,70,55,169,160,329
BOLPEBRA,estado nutricional,l talla normal,2012-07-01,18,15,7,17,16,20,41,52,93
BOYUIBE,estado nutricional,l talla normal,2012-07-01,27,21,27,28,38,43,92,92,184
BUENA VISTA,estado nutricional,l talla normal,2012-07-01,120,95,112,102,98,105,330,302,632
CABEZAS,estado nutricional,l talla normal,2012-07-01,130,120,117,100,84,81,331,301,632
CAIROMA,estado nutricional,l talla normal,2012-07-01,81,76,66,61,50,69,197,206,403
"CAIZA ""D""",estado nutricional,l talla normal,2012-07-01,74,63,62,63,49,57,185,183,368
CAJUATA,estado nutricional,l talla normal,2012-07-01,88,71,74,56,61,52,223,179,402
CALACOTO,estado nutricional,l talla normal,2012-07-01,27,35,32,23,16,24,75,82,157
CALAMARCA,estado nutricional,l talla normal,2012-07-01,68,88,75,77,52,57,195,222,417
CAMARGO,estado nutricional,l talla normal,2012-07-01,127,117,75,91,105,128,307,336,643
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l talla normal,2012-07-01,30,31,19,14,36,38,85,83,168
CAMIRI,estado nutricional,l talla normal,2012-07-01,287,307,209,202,195,193,691,702,1393
CAPINOTA,estado nutricional,l talla normal,2012-07-01,94,58,50,45,61,45,205,148,353
CAQUIAVIRI,estado nutricional,l talla normal,2012-07-01,56,52,34,48,46,34,136,134,270
CARACOLLO,estado nutricional,l talla normal,2012-07-01,174,163,135,119,128,125,437,407,844
CARANAVI,estado nutricional,l talla normal,2012-07-01,365,400,312,262,183,208,860,870,1730
CARANGAS,estado nutricional,l talla normal,2012-07-01,3,1,0,0,2,0,5,1,6
CARAPARI,estado nutricional,l talla normal,2012-07-01,126,146,127,100,114,116,367,362,729
CARIPUYO,estado nutricional,l talla normal,2012-07-01,60,72,31,50,56,50,147,172,319
CARMEN RIVERO TORREZ,estado nutricional,l talla normal,2012-07-01,36,32,20,21,33,25,89,78,167
CATACORA,estado nutricional,l talla normal,2012-07-01,4,5,4,3,5,9,13,17,30
CHACARILLA,estado nutricional,l talla normal,2012-07-01,3,2,5,3,2,6,10,11,21
CHALLAPATA,estado nutricional,l talla normal,2012-07-01,315,288,173,178,133,147,621,613,1234
CHAQUI,estado nutricional,l talla normal,2012-07-01,59,41,46,42,47,60,152,143,295
CHARAGUA,estado nutricional,l talla normal,2012-07-01,192,196,140,119,175,208,507,523,1030
CHARAÑA,estado nutricional,l talla normal,2012-07-01,22,11,12,13,13,16,47,40,87
CHAYANTA,estado nutricional,l talla normal,2012-07-01,125,104,77,92,95,107,297,303,600
CHIMORE,estado nutricional,l talla normal,2012-07-01,92,85,69,63,67,75,228,223,451
CHIPAYA,estado nutricional,l talla normal,2012-07-01,23,22,11,20,18,9,52,51,103
CHOQUE COTA,estado nutricional,l talla normal,2012-07-01,10,9,8,4,17,13,35,26,61
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l talla normal,2012-07-01,87,98,72,67,63,53,222,218,440
CHUMA,estado nutricional,l talla normal,2012-07-01,78,56,59,78,28,36,165,170,335
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l talla normal,2012-07-01,76,47,47,36,29,42,152,125,277
CKOCHAS,estado nutricional,l talla normal,2012-07-01,129,115,81,95,87,106,297,316,613
CLIZA,estado nutricional,l talla normal,2012-07-01,199,148,143,104,112,99,454,351,805
COBIJA,estado nutricional,l talla normal,2012-07-01,505,509,311,272,265,228,1081,1009,2090
COCAPATA,estado nutricional,l talla normal,2012-07-01,193,157,127,132,147,129,467,418,885
COCHABAMBA,estado nutricional,l talla normal,2012-07-01,3327,2995,2035,1843,1415,1314,6777,6152,12929
COIPASA,estado nutricional,l talla normal,2012-07-01,6,4,5,8,9,7,20,19,39
COLCAPIRHUA,estado nutricional,l talla normal,2012-07-01,451,374,337,287,269,224,1057,885,1942
"COLCHA ""K""",estado nutricional,l talla normal,2012-07-01,123,144,92,98,70,67,285,309,594
COLLANA,estado nutricional,l talla normal,2012-07-01,17,17,21,20,25,26,63,63,126
COLOMI,estado nutricional,l talla normal,2012-07-01,182,177,125,81,89,87,396,345,741
COLPA BELGICA,estado nutricional,l talla normal,2012-07-01,5,6,1,1,1,0,7,7,14
COLQUECHACA,estado nutricional,l talla normal,2012-07-01,248,272,201,230,98,88,547,590,1137
COLQUENCHA,estado nutricional,l talla normal,2012-07-01,55,64,50,78,47,39,152,181,333
COLQUIRI,estado nutricional,l talla normal,2012-07-01,146,161,113,109,90,90,349,360,709
COMANCHE,estado nutricional,l talla normal,2012-07-01,18,19,22,19,15,10,55,48,103
COMARAPA,estado nutricional,l talla normal,2012-07-01,147,130,113,137,57,60,317,327,644
COMBAYA,estado nutricional,l talla normal,2012-07-01,25,20,15,12,20,21,60,53,113
CONCEPCION,estado nutricional,l talla normal,2012-07-01,122,133,91,90,86,75,299,298,597
COPACABANA,estado nutricional,l talla normal,2012-07-01,91,77,47,46,48,51,186,174,360
CORIPATA,estado nutricional,l talla normal,2012-07-01,139,105,104,100,95,101,338,306,644
CORO CORO,estado nutricional,l talla normal,2012-07-01,52,60,51,47,37,44,140,151,291
COROICO,estado nutricional,l talla normal,2012-07-01,159,124,93,81,99,95,351,300,651
CORQUE,estado nutricional,l talla normal,2012-07-01,58,50,48,32,31,40,137,122,259
COTAGAITA,estado nutricional,l talla normal,2012-07-01,163,158,101,115,155,170,419,443,862
COTOCA,estado nutricional,l talla normal,2012-07-01,313,292,174,180,142,145,629,617,1246
CRUZ DE MACHACAMARCA,estado nutricional,l talla normal,2012-07-01,5,0,2,1,2,2,9,3,12
CUATRO CAÑADAS,estado nutricional,l talla normal,2012-07-01,132,125,117,110,126,156,375,391,766
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l talla normal,2012-07-01,5,12,11,3,8,5,24,20,44
CUEVO,estado nutricional,l talla normal,2012-07-01,26,47,37,26,62,47,125,120,245
CULPINA,estado nutricional,l talla normal,2012-07-01,153,159,137,146,189,194,479,499,978
CURAHUARA DE CARANGAS,estado nutricional,l talla normal,2012-07-01,41,38,22,36,36,19,99,93,192
CURVA,estado nutricional,l talla normal,2012-07-01,17,17,12,29,16,8,45,54,99
DESAGUADERO,estado nutricional,l talla normal,2012-07-01,35,33,27,24,20,24,82,81,163
EL ALTO,estado nutricional,l talla normal,2012-07-01,5293,5025,3739,3753,2535,2419,11567,11197,22764
EL CHORO,estado nutricional,l talla normal,2012-07-01,56,61,35,48,44,55,135,164,299
EL PUENTE(STC),estado nutricional,l talla normal,2012-07-01,90,106,113,91,80,61,283,258,541
EL PUENTE(TJA),estado nutricional,l talla normal,2012-07-01,64,64,45,56,72,68,181,188,369
EL TORNO,estado nutricional,l talla normal,2012-07-01,394,354,256,242,213,202,863,798,1661
EL VILLAR,estado nutricional,l talla normal,2012-07-01,30,25,22,26,65,59,117,110,227
ENTRE RIOS TRJ,estado nutricional,l talla normal,2012-07-01,201,189,147,161,169,149,517,499,1016
ENTRE RIOS CBBA,estado nutricional,l talla normal,2012-07-01,350,326,262,233,190,195,802,754,1556
ESCARA,estado nutricional,l talla normal,2012-07-01,0,0,1,0,1,3,2,3,5
ESCOMA,estado nutricional,l talla normal,2012-07-01,37,23,31,31,23,28,91,82,173
ESMERALDA,estado nutricional,l talla normal,2012-07-01,3,3,3,0,0,3,6,6,12
EUCALIPTUS,estado nutricional,l talla normal,2012-07-01,55,60,40,39,40,41,135,140,275
EUREKA (SANTOS MERCADO),estado nutricional,l talla normal,2012-07-01,20,12,6,8,14,6,40,26,66
EXALTACION,estado nutricional,l talla normal,2012-07-01,22,30,20,15,27,32,69,77,146
FERNANDEZ ALONSO,estado nutricional,l talla normal,2012-07-01,120,120,119,73,107,87,346,280,626
FILADELFIA,estado nutricional,l talla normal,2012-07-01,56,41,46,32,31,33,133,106,239
GENERAL SAAVEDRA,estado nutricional,l talla normal,2012-07-01,134,129,153,131,164,124,451,384,835
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla normal,2012-07-01,81,69,54,45,43,53,178,167,345
GUANAY,estado nutricional,l talla normal,2012-07-01,132,140,98,111,92,83,322,334,656
GUAQUI,estado nutricional,l talla normal,2012-07-01,37,39,29,34,19,27,85,100,185
GUAYARAMERIN,estado nutricional,l talla normal,2012-07-01,473,472,305,290,274,233,1052,995,2047
GUTIERREZ,estado nutricional,l talla normal,2012-07-01,160,144,120,133,186,202,466,479,945
HUACARETA,estado nutricional,l talla normal,2012-07-01,84,72,77,87,104,96,265,255,520
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla normal,2012-07-01,22,21,19,12,38,37,79,70,149
HUACHACALLA,estado nutricional,l talla normal,2012-07-01,1,7,7,4,4,10,12,21,33
HUANUNI,estado nutricional,l talla normal,2012-07-01,223,228,113,118,92,102,428,448,876
HUARACAJE,estado nutricional,l talla normal,2012-07-01,45,41,21,20,13,26,79,87,166
HUARINA,estado nutricional,l talla normal,2012-07-01,30,37,33,32,25,38,88,107,195
HUAYLLAMARCA,estado nutricional,l talla normal,2012-07-01,21,19,26,27,33,25,80,71,151
HUMANATA,estado nutricional,l talla normal,2012-07-01,19,23,18,23,16,12,53,58,111
ICHOCA,estado nutricional,l talla normal,2012-07-01,29,14,18,12,24,15,71,41,112
ICLA,estado nutricional,l talla normal,2012-07-01,62,58,34,52,116,123,212,233,445
INCAHUASI,estado nutricional,l talla normal,2012-07-01,97,92,68,67,100,126,265,285,550
INGAVI (HUMAITA),estado nutricional,l talla normal,2012-07-01,25,10,13,16,12,13,50,39,89
INQUISIVI,estado nutricional,l talla normal,2012-07-01,62,48,49,70,67,54,178,172,350
IRUPANA (VILLA DE LANZA),estado nutricional,l talla normal,2012-07-01,59,97,76,64,101,99,236,260,496
IXIAMAS,estado nutricional,l talla normal,2012-07-01,62,69,65,47,41,58,168,174,342
JESUS DE MACHACA,estado nutricional,l talla normal,2012-07-01,85,104,75,76,70,73,230,253,483
LA ASUNTA,estado nutricional,l talla normal,2012-07-01,388,323,313,309,245,200,946,832,1778
LA GUARDIA,estado nutricional,l talla normal,2012-07-01,615,664,255,228,261,317,1131,1209,2340
LA PAZ,estado nutricional,l talla normal,2012-07-01,4476,4158,3089,3054,2759,2648,10324,9860,20184
LA RIVERA,estado nutricional,l talla normal,2012-07-01,6,0,0,1,1,2,7,3,10
LAGUNILLAS,estado nutricional,l talla normal,2012-07-01,70,64,63,45,108,79,241,188,429
LAJA,estado nutricional,l talla normal,2012-07-01,97,104,83,93,72,65,252,262,514
LAS CARRERAS,estado nutricional,l talla normal,2012-07-01,21,31,27,27,39,33,87,91,178
LICOMA PAMPA,estado nutricional,l talla normal,2012-07-01,25,23,13,8,21,20,59,51,110
LLALLAGUA,estado nutricional,l talla normal,2012-07-01,359,324,242,241,190,193,791,758,1549
LLICA,estado nutricional,l talla normal,2012-07-01,28,23,17,16,6,14,51,53,104
LORETO,estado nutricional,l talla normal,2012-07-01,21,21,11,18,39,35,71,74,145
LURIBAY,estado nutricional,l talla normal,2012-07-01,56,57,54,49,59,41,169,147,316
MACHACAMARCA,estado nutricional,l talla normal,2012-07-01,50,49,39,50,37,50,126,149,275
MACHARETI,estado nutricional,l talla normal,2012-07-01,69,71,75,57,163,124,307,252,559
MAGDALENA,estado nutricional,l talla normal,2012-07-01,90,99,51,43,52,62,193,204,397
MAIRANA,estado nutricional,l talla normal,2012-07-01,92,85,77,71,22,29,191,185,376
MALLA,estado nutricional,l talla normal,2012-07-01,9,10,15,9,11,20,35,39,74
MAPIRI,estado nutricional,l talla normal,2012-07-01,145,137,83,91,84,81,312,309,621
MECAPACA,estado nutricional,l talla normal,2012-07-01,113,83,91,91,67,63,271,237,508
MINEROS,estado nutricional,l talla normal,2012-07-01,196,172,148,132,115,87,459,391,850
MIZQUE,estado nutricional,l talla normal,2012-07-01,324,285,210,187,133,131,667,603,1270
MOCOMOCO,estado nutricional,l talla normal,2012-07-01,72,50,68,65,39,53,179,168,347
MOJINETE,estado nutricional,l talla normal,2012-07-01,2,7,1,3,1,4,4,14,18
MOJOCOYA,estado nutricional,l talla normal,2012-07-01,50,47,46,61,73,80,169,188,357
MONTEAGUDO,estado nutricional,l talla normal,2012-07-01,256,207,207,197,232,265,695,669,1364
MONTERO,estado nutricional,l talla normal,2012-07-01,1180,1163,776,824,765,750,2721,2737,5458
MORO MORO,estado nutricional,l talla normal,2012-07-01,22,21,24,16,11,11,57,48,105
MOROCHATA,estado nutricional,l talla normal,2012-07-01,122,120,72,74,57,77,251,271,522
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla normal,2012-07-01,36,26,20,16,15,12,71,54,125
NAZACARA DE PACAJES,estado nutricional,l talla normal,2012-07-01,9,2,5,3,5,4,19,9,28
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla normal,2012-07-01,14,25,33,12,66,43,113,80,193
OCURI,estado nutricional,l talla normal,2012-07-01,103,85,70,64,74,62,247,211,458
OKINAWA,estado nutricional,l talla normal,2012-07-01,164,154,109,117,153,133,426,404,830
OMEREQUE,estado nutricional,l talla normal,2012-07-01,52,22,25,24,39,33,116,79,195
ORURO,estado nutricional,l talla normal,2012-07-01,1796,1835,1297,1317,866,834,3959,3986,7945
PADCAYA,estado nutricional,l talla normal,2012-07-01,130,131,116,123,130,101,376,355,731
PADILLA,estado nutricional,l talla normal,2012-07-01,75,98,68,78,163,175,306,351,657
PAILON,estado nutricional,l talla normal,2012-07-01,245,202,168,131,172,158,585,491,1076
PALCA,estado nutricional,l talla normal,2012-07-01,141,108,90,95,130,123,361,326,687
PALOS BLANCOS,estado nutricional,l talla normal,2012-07-01,241,270,203,197,197,181,641,648,1289
PAMPA AULLAGAS,estado nutricional,l talla normal,2012-07-01,23,23,10,17,13,12,46,52,98
PAMPA GRANDE,estado nutricional,l talla normal,2012-07-01,54,71,63,68,43,26,160,165,325
PAPEL PAMPA,estado nutricional,l talla normal,2012-07-01,41,43,58,32,73,58,172,133,305
PASORAPA,estado nutricional,l talla normal,2012-07-01,35,14,32,35,41,27,108,76,184
PATACAMAYA,estado nutricional,l talla normal,2012-07-01,163,186,133,114,64,57,360,357,717
PAZÑA,estado nutricional,l talla normal,2012-07-01,70,57,50,43,86,83,206,183,389
PELECHUCO,estado nutricional,l talla normal,2012-07-01,55,46,29,35,29,37,113,118,231
POCOATA,estado nutricional,l talla normal,2012-07-01,160,174,145,127,99,105,404,406,810
POCONA,estado nutricional,l talla normal,2012-07-01,125,100,110,83,98,91,333,274,607
POJO (CBBA),estado nutricional,l talla normal,2012-07-01,157,152,123,92,105,107,385,351,736
POOPO,estado nutricional,l talla normal,2012-07-01,51,53,25,38,34,33,110,124,234
PORCO,estado nutricional,l talla normal,2012-07-01,106,111,64,60,35,44,205,215,420
POROMA,estado nutricional,l talla normal,2012-07-01,113,138,108,117,153,148,374,403,777
PORONGO,estado nutricional,l talla normal,2012-07-01,70,66,60,54,61,53,191,173,364
PORTACHUELO,estado nutricional,l talla normal,2012-07-01,102,126,58,73,65,62,225,261,486
PORVENIR,estado nutricional,l talla normal,2012-07-01,63,69,62,51,58,53,183,173,356
POSTRER VALLE,estado nutricional,l talla normal,2012-07-01,7,11,14,7,4,5,25,23,48
POTOSI,estado nutricional,l talla normal,2012-07-01,1436,1425,716,728,593,510,2745,2663,5408
PRESTO,estado nutricional,l talla normal,2012-07-01,59,58,37,48,65,65,161,171,332
PUCARA,estado nutricional,l talla normal,2012-07-01,15,9,11,24,5,14,31,47,78
PUCARANI,estado nutricional,l talla normal,2012-07-01,211,237,198,185,159,158,568,580,1148
PUERTO ACOSTA,estado nutricional,l talla normal,2012-07-01,61,68,49,56,44,59,154,183,337
PUERTO CARABUCO,estado nutricional,l talla normal,2012-07-01,84,73,48,62,85,65,217,200,417
PUERTO GONZALO MORENO,estado nutricional,l talla normal,2012-07-01,117,85,75,77,83,91,275,253,528
PUERTO PEREZ,estado nutricional,l talla normal,2012-07-01,39,36,40,38,23,39,102,113,215
PUERTO QUIJARRO,estado nutricional,l talla normal,2012-07-01,125,129,124,122,54,61,303,312,615
PUERTO RICO,estado nutricional,l talla normal,2012-07-01,72,69,49,46,42,62,163,177,340
PUERTO SILES,estado nutricional,l talla normal,2012-07-01,10,22,10,7,17,14,37,43,80
PUERTO SUAREZ,estado nutricional,l talla normal,2012-07-01,90,113,60,45,33,38,183,196,379
PUERTO VILLARROEL,estado nutricional,l talla normal,2012-07-01,584,480,397,318,288,273,1269,1071,2340
PUNA,estado nutricional,l talla normal,2012-07-01,156,165,122,131,113,128,391,424,815
PUNATA,estado nutricional,l talla normal,2012-07-01,220,195,176,168,129,127,525,490,1015
QUIABAYA,estado nutricional,l talla normal,2012-07-01,12,6,16,12,15,6,43,24,67
QUILLACOLLO,estado nutricional,l talla normal,2012-07-01,949,742,657,559,556,481,2162,1782,3944
QUIME,estado nutricional,l talla normal,2012-07-01,71,67,58,63,58,41,187,171,358
QUIRUSILLAS,estado nutricional,l talla normal,2012-07-01,7,15,12,8,8,12,27,35,62
RAVELO,estado nutricional,l talla normal,2012-07-01,101,100,67,87,102,120,270,307,577
REYES,estado nutricional,l talla normal,2012-07-01,94,109,84,83,84,73,262,265,527
RIBERALTA,estado nutricional,l talla normal,2012-07-01,1178,1195,931,793,494,454,2603,2442,5045
ROBORE,estado nutricional,l talla normal,2012-07-01,140,123,101,113,82,84,323,320,643
RURRENABAQUE,estado nutricional,l talla normal,2012-07-01,119,119,75,83,51,41,245,243,488
SABAYA,estado nutricional,l talla normal,2012-07-01,32,23,10,30,31,25,73,78,151
