,group,variable,month,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA < DE 1 AÑO,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 1 A MENOR DE 2 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,L TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
COLCAPIRHUA,estado nutricional,l talla baja,2012-06-01,9,9,20,20,16,10,45,39,84
"COLCHA ""K""",estado nutricional,l talla baja,2012-06-01,7,4,15,11,12,13,34,28,62
COLLANA,estado nutricional,l talla baja,2012-06-01,9,1,1,3,3,3,13,7,20
COLOMI,estado nutricional,l talla baja,2012-06-01,10,3,24,16,21,21,55,40,95
COLQUECHACA,estado nutricional,l talla baja,2012-06-01,74,73,174,145,103,78,351,296,647
COLQUENCHA,estado nutricional,l talla baja,2012-06-01,18,6,19,16,9,6,46,28,74
COLQUIRI,estado nutricional,l talla baja,2012-06-01,17,7,27,26,39,35,83,68,151
COMANCHE,estado nutricional,l talla baja,2012-06-01,8,4,14,10,3,1,25,15,40
COMARAPA,estado nutricional,l talla baja,2012-06-01,7,1,15,7,8,6,30,14,44
COMBAYA,estado nutricional,l talla baja,2012-06-01,0,1,5,2,8,11,13,14,27
CONCEPCION,estado nutricional,l talla baja,2012-06-01,5,7,4,6,4,4,13,17,30
COPACABANA,estado nutricional,l talla baja,2012-06-01,3,0,4,0,4,6,11,6,17
CORIPATA,estado nutricional,l talla baja,2012-06-01,1,3,4,4,12,7,17,14,31
CORO CORO,estado nutricional,l talla baja,2012-06-01,8,6,17,18,12,10,37,34,71
COROICO,estado nutricional,l talla baja,2012-06-01,1,3,8,8,12,19,21,30,51
CORQUE,estado nutricional,l talla baja,2012-06-01,8,4,27,12,5,13,40,29,69
COTAGAITA,estado nutricional,l talla baja,2012-06-01,29,6,41,33,90,88,160,127,287
COTOCA,estado nutricional,l talla baja,2012-06-01,7,4,6,7,2,3,15,14,29
CUATRO CAÑADAS,estado nutricional,l talla baja,2012-06-01,3,3,6,4,10,3,19,10,29
CUEVO,estado nutricional,l talla baja,2012-06-01,3,2,7,5,9,8,19,15,34
CULPINA,estado nutricional,l talla baja,2012-06-01,16,20,43,33,58,46,117,99,216
CURAHUARA DE CARANGAS,estado nutricional,l talla baja,2012-06-01,9,4,5,11,16,15,30,30,60
CURVA,estado nutricional,l talla baja,2012-06-01,7,3,6,1,5,3,18,7,25
DESAGUADERO,estado nutricional,l talla baja,2012-06-01,5,3,5,1,1,3,11,7,18
EL ALTO,estado nutricional,l talla baja,2012-06-01,478,255,687,406,393,308,1558,969,2527
EL CHORO,estado nutricional,l talla baja,2012-06-01,5,4,9,5,7,11,21,20,41
EL PUENTE(STC),estado nutricional,l talla baja,2012-06-01,1,4,5,6,6,2,12,12,24
EL PUENTE(TJA),estado nutricional,l talla baja,2012-06-01,3,2,19,11,25,14,47,27,74
EL TORNO,estado nutricional,l talla baja,2012-06-01,8,4,6,7,3,9,17,20,37
EL VILLAR,estado nutricional,l talla baja,2012-06-01,1,1,5,6,16,12,22,19,41
ENTRE RIOS TRJ,estado nutricional,l talla baja,2012-06-01,7,7,10,7,27,17,44,31,75
ENTRE RIOS CBBA,estado nutricional,l talla baja,2012-06-01,2,5,13,10,19,14,34,29,63
ESCOMA,estado nutricional,l talla baja,2012-06-01,0,1,5,1,3,3,8,5,13
ESMERALDA,estado nutricional,l talla baja,2012-06-01,0,0,0,0,1,0,1,0,1
EUCALIPTUS,estado nutricional,l talla baja,2012-06-01,2,5,8,3,9,15,19,23,42
EUREKA (SANTOS MERCADO),estado nutricional,l talla baja,2012-06-01,3,0,3,2,1,0,7,2,9
EXALTACION,estado nutricional,l talla baja,2012-06-01,1,0,0,0,0,0,1,0,1
FERNANDEZ ALONSO,estado nutricional,l talla baja,2012-06-01,1,0,7,6,2,6,10,12,22
FILADELFIA,estado nutricional,l talla baja,2012-06-01,0,0,2,1,4,0,6,1,7
GENERAL SAAVEDRA,estado nutricional,l talla baja,2012-06-01,3,2,5,1,8,10,16,13,29
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l talla baja,2012-06-01,7,4,24,11,21,26,52,41,93
GUANAY,estado nutricional,l talla baja,2012-06-01,5,2,3,5,13,7,21,14,35
GUAQUI,estado nutricional,l talla baja,2012-06-01,4,2,9,5,6,3,19,10,29
GUAYARAMERIN,estado nutricional,l talla baja,2012-06-01,35,19,30,18,23,18,88,55,143
GUTIERREZ,estado nutricional,l talla baja,2012-06-01,9,6,29,19,36,22,74,47,121
HUACARETA,estado nutricional,l talla baja,2012-06-01,0,1,10,3,15,7,25,11,36
HUACAYA (VILLA DE HUACAYA),estado nutricional,l talla baja,2012-06-01,1,0,4,1,7,5,12,6,18
HUACHACALLA,estado nutricional,l talla baja,2012-06-01,1,0,2,2,3,0,6,2,8
HUANUNI,estado nutricional,l talla baja,2012-06-01,39,18,48,26,23,17,110,61,171
HUARACAJE,estado nutricional,l talla baja,2012-06-01,0,0,2,0,2,0,4,0,4
HUARINA,estado nutricional,l talla baja,2012-06-01,3,2,1,2,3,1,7,5,12
HUAYLLAMARCA,estado nutricional,l talla baja,2012-06-01,1,0,10,2,5,9,16,11,27
HUMANATA,estado nutricional,l talla baja,2012-06-01,4,3,13,4,12,7,29,14,43
ICHOCA,estado nutricional,l talla baja,2012-06-01,4,4,13,8,6,7,23,19,42
ICLA,estado nutricional,l talla baja,2012-06-01,5,8,28,21,99,93,132,122,254
INCAHUASI,estado nutricional,l talla baja,2012-06-01,25,10,47,38,58,52,130,100,230
INQUISIVI,estado nutricional,l talla baja,2012-06-01,5,3,6,10,17,17,28,30,58
IRUPANA (VILLA DE LANZA),estado nutricional,l talla baja,2012-06-01,1,1,1,5,4,4,6,10,16
IXIAMAS,estado nutricional,l talla baja,2012-06-01,1,2,4,3,4,1,9,6,15
JESUS DE MACHACA,estado nutricional,l talla baja,2012-06-01,7,11,11,9,23,21,41,41,82
LA ASUNTA,estado nutricional,l talla baja,2012-06-01,10,10,22,29,30,38,62,77,139
LA GUARDIA,estado nutricional,l talla baja,2012-06-01,9,10,3,5,6,2,18,17,35
LA PAZ,estado nutricional,l talla baja,2012-06-01,371,276,468,301,411,363,1250,940,2190
LAGUNILLAS,estado nutricional,l talla baja,2012-06-01,2,3,3,4,6,13,11,20,31
LAJA,estado nutricional,l talla baja,2012-06-01,10,2,20,8,5,8,35,18,53
LAS CARRERAS,estado nutricional,l talla baja,2012-06-01,1,0,3,2,11,5,15,7,22
LICOMA PAMPA,estado nutricional,l talla baja,2012-06-01,0,0,4,1,1,0,5,1,6
LLALLAGUA,estado nutricional,l talla baja,2012-06-01,34,24,78,64,65,62,177,150,327
LLICA,estado nutricional,l talla baja,2012-06-01,5,0,2,6,2,2,9,8,17
LORETO,estado nutricional,l talla baja,2012-06-01,1,1,1,1,2,0,4,2,6
LURIBAY,estado nutricional,l talla baja,2012-06-01,9,3,10,7,17,11,36,21,57
MACHACAMARCA,estado nutricional,l talla baja,2012-06-01,5,1,9,3,3,1,17,5,22
MACHARETI,estado nutricional,l talla baja,2012-06-01,2,0,9,1,10,7,21,8,29
MAGDALENA,estado nutricional,l talla baja,2012-06-01,6,2,3,1,0,0,9,3,12
MAIRANA,estado nutricional,l talla baja,2012-06-01,4,4,7,9,6,7,17,20,37
MALLA,estado nutricional,l talla baja,2012-06-01,4,1,14,12,11,8,29,21,50
MAPIRI,estado nutricional,l talla baja,2012-06-01,9,3,10,5,7,9,26,17,43
MECAPACA,estado nutricional,l talla baja,2012-06-01,9,4,16,9,9,16,34,29,63
MINEROS,estado nutricional,l talla baja,2012-06-01,6,1,10,4,11,11,27,16,43
MIZQUE,estado nutricional,l talla baja,2012-06-01,13,5,27,27,33,37,73,69,142
MOCOMOCO,estado nutricional,l talla baja,2012-06-01,6,6,12,8,7,8,25,22,47
MOJINETE,estado nutricional,l talla baja,2012-06-01,1,1,0,0,1,1,2,2,4
MOJOCOYA,estado nutricional,l talla baja,2012-06-01,0,1,12,7,29,24,41,32,73
MONTEAGUDO,estado nutricional,l talla baja,2012-06-01,4,6,19,13,21,24,44,43,87
MONTERO,estado nutricional,l talla baja,2012-06-01,20,15,21,8,13,16,54,39,93
MORO MORO,estado nutricional,l talla baja,2012-06-01,0,2,3,3,1,1,4,6,10
MOROCHATA,estado nutricional,l talla baja,2012-06-01,26,25,66,44,76,63,168,132,300
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l talla baja,2012-06-01,1,0,2,1,1,1,4,2,6
NAZACARA DE PACAJES,estado nutricional,l talla baja,2012-06-01,1,0,3,1,2,2,6,3,9
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l talla baja,2012-06-01,0,0,5,0,6,9,11,9,20
OCURI,estado nutricional,l talla baja,2012-06-01,35,23,95,74,85,72,215,169,384
OKINAWA,estado nutricional,l talla baja,2012-06-01,0,1,2,2,3,3,5,6,11
OMEREQUE,estado nutricional,l talla baja,2012-06-01,4,0,3,1,7,2,14,3,17
ORURO,estado nutricional,l talla baja,2012-06-01,243,160,376,238,211,203,830,601,1431
PADCAYA,estado nutricional,l talla baja,2012-06-01,4,3,13,5,7,6,24,14,38
PADILLA,estado nutricional,l talla baja,2012-06-01,4,3,28,14,30,30,62,47,109
PAILON,estado nutricional,l talla baja,2012-06-01,4,4,5,4,3,6,12,14,26
PALCA,estado nutricional,l talla baja,2012-06-01,9,8,18,12,13,13,40,33,73
PALOS BLANCOS,estado nutricional,l talla baja,2012-06-01,13,3,22,13,24,18,59,34,93
PAMPA AULLAGAS,estado nutricional,l talla baja,2012-06-01,4,1,6,9,10,5,20,15,35
PAMPA GRANDE,estado nutricional,l talla baja,2012-06-01,2,0,4,1,4,3,10,4,14
PAPEL PAMPA,estado nutricional,l talla baja,2012-06-01,1,1,3,2,11,7,15,10,25
PASORAPA,estado nutricional,l talla baja,2012-06-01,1,0,1,0,2,1,4,1,5
PATACAMAYA,estado nutricional,l talla baja,2012-06-01,14,11,32,11,18,11,64,33,97
PAZÑA,estado nutricional,l talla baja,2012-06-01,7,6,13,8,12,18,32,32,64
PELECHUCO,estado nutricional,l talla baja,2012-06-01,4,2,13,6,8,8,25,16,41
POCOATA,estado nutricional,l talla baja,2012-06-01,31,29,83,65,91,95,205,189,394
POCONA,estado nutricional,l talla baja,2012-06-01,11,6,20,15,23,15,54,36,90
POJO (CBBA),estado nutricional,l talla baja,2012-06-01,7,7,20,14,13,13,40,34,74
POOPO,estado nutricional,l talla baja,2012-06-01,6,3,10,7,2,10,18,20,38
PORCO,estado nutricional,l talla baja,2012-06-01,16,16,26,16,18,17,60,49,109
POROMA,estado nutricional,l talla baja,2012-06-01,17,8,56,36,71,82,144,126,270
PORONGO,estado nutricional,l talla baja,2012-06-01,1,2,1,0,2,4,4,6,10
PORTACHUELO,estado nutricional,l talla baja,2012-06-01,1,17,4,11,1,6,6,34,40
PORVENIR,estado nutricional,l talla baja,2012-06-01,5,1,0,1,2,2,7,4,11
POSTRER VALLE,estado nutricional,l talla baja,2012-06-01,1,0,7,2,4,2,12,4,16
POTOSI,estado nutricional,l talla baja,2012-06-01,168,108,228,146,172,134,568,388,956
PRESTO,estado nutricional,l talla baja,2012-06-01,10,9,36,19,53,51,99,79,178
PUCARA,estado nutricional,l talla baja,2012-06-01,1,0,1,0,3,3,5,3,8
PUCARANI,estado nutricional,l talla baja,2012-06-01,24,10,26,18,21,17,71,45,116
PUERTO ACOSTA,estado nutricional,l talla baja,2012-06-01,3,5,12,5,4,3,19,13,32
PUERTO CARABUCO,estado nutricional,l talla baja,2012-06-01,1,5,10,3,23,14,34,22,56
PUERTO GONZALO MORENO,estado nutricional,l talla baja,2012-06-01,10,6,31,16,43,28,84,50,134
PUERTO PEREZ,estado nutricional,l talla baja,2012-06-01,5,0,4,5,1,2,10,7,17
PUERTO RICO,estado nutricional,l talla baja,2012-06-01,1,3,4,6,9,8,14,17,31
PUERTO SILES,estado nutricional,l talla baja,2012-06-01,1,0,0,1,1,1,2,2,4
PUERTO SUAREZ,estado nutricional,l talla baja,2012-06-01,3,6,4,0,4,0,11,6,17
PUERTO VILLARROEL,estado nutricional,l talla baja,2012-06-01,8,14,27,13,23,26,58,53,111
PUNA,estado nutricional,l talla baja,2012-06-01,19,12,48,37,42,60,109,109,218
PUNATA,estado nutricional,l talla baja,2012-06-01,5,14,17,27,16,25,38,66,104
QUIABAYA,estado nutricional,l talla baja,2012-06-01,0,1,4,2,1,0,5,3,8
QUILLACOLLO,estado nutricional,l talla baja,2012-06-01,28,11,56,42,25,35,109,88,197
QUIME,estado nutricional,l talla baja,2012-06-01,4,3,16,3,16,8,36,14,50
QUIRUSILLAS,estado nutricional,l talla baja,2012-06-01,0,0,3,0,1,0,4,0,4
RAVELO,estado nutricional,l talla baja,2012-06-01,47,34,90,85,129,174,266,293,559
REYES,estado nutricional,l talla baja,2012-06-01,4,3,9,3,9,4,22,10,32
RIBERALTA,estado nutricional,l talla baja,2012-06-01,63,36,108,92,61,51,232,179,411
ROBORE,estado nutricional,l talla baja,2012-06-01,1,0,2,1,1,3,4,4,8
RURRENABAQUE,estado nutricional,l talla baja,2012-06-01,4,6,12,13,13,5,29,24,53
SABAYA,estado nutricional,l talla baja,2012-06-01,0,0,0,1,2,4,2,5,7
SACABA,estado nutricional,l talla baja,2012-06-01,32,30,122,86,94,94,248,210,458
SACABAMBA,estado nutricional,l talla baja,2012-06-01,5,2,11,7,8,12,24,21,45
SACACA,estado nutricional,l talla baja,2012-06-01,51,45,110,75,139,150,300,270,570
SAIPINA,estado nutricional,l talla baja,2012-06-01,0,0,0,3,2,2,2,5,7
SALINAS DE GARCI MENDOZA,estado nutricional,l talla baja,2012-06-01,7,3,26,6,24,18,57,27,84
SAMAIPATA,estado nutricional,l talla baja,2012-06-01,4,0,0,1,3,4,7,5,12
SAN AGUSTIN,estado nutricional,l talla baja,2012-06-01,1,0,1,0,1,3,3,3,6
SAN ANDRES,estado nutricional,l talla baja,2012-06-01,2,2,2,4,5,6,9,12,21
SAN ANDRES DE MACHACA,estado nutricional,l talla baja,2012-06-01,0,1,3,2,2,2,5,5,10
SAN ANTONIO DE ESMORUCO,estado nutricional,l talla baja,2012-06-01,4,0,10,12,9,5,23,17,40
SAN ANTONIO DE LOMERIO,estado nutricional,l talla baja,2012-06-01,2,5,7,8,3,12,12,25,37
SAN BENITO,estado nutricional,l talla baja,2012-06-01,6,10,25,5,9,10,40,25,65
SAN BORJA,estado nutricional,l talla baja,2012-06-01,19,14,68,35,58,40,145,89,234
SAN BUENA VENTURA,estado nutricional,l talla baja,2012-06-01,2,0,4,4,6,5,12,9,21
SAN CARLOS,estado nutricional,l talla baja,2012-06-01,8,4,5,4,9,2,22,10,32
SAN IGNACIO,estado nutricional,l talla baja,2012-06-01,22,11,32,21,31,24,85,56,141
SAN IGNACIO DE VELASCO,estado nutricional,l talla baja,2012-06-01,22,20,41,21,43,25,106,66,172
SAN JAVIER(BNI),estado nutricional,l talla baja,2012-06-01,0,1,0,0,1,0,1,1,2
SAN JAVIER(STC),estado nutricional,l talla baja,2012-06-01,0,1,1,3,1,1,2,5,7
SAN JOAQUIN,estado nutricional,l talla baja,2012-06-01,4,0,3,0,0,3,7,3,10
SAN JOSE DE CHIQUITOS,estado nutricional,l talla baja,2012-06-01,12,3,3,6,8,3,23,12,35
SAN JUAN DE YAPACANI,estado nutricional,l talla baja,2012-06-01,1,0,1,1,3,0,5,1,6
SAN JULIAN,estado nutricional,l talla baja,2012-06-01,2,6,15,14,9,13,26,33,59
SAN LORENZO(PND),estado nutricional,l talla baja,2012-06-01,4,4,7,5,14,7,25,16,41
SAN LORENZO(TJA),estado nutricional,l talla baja,2012-06-01,7,6,24,7,23,18,54,31,85
SAN LUCAS,estado nutricional,l talla baja,2012-06-01,23,29,73,67,128,130,224,226,450
SAN MATIAS,estado nutricional,l talla baja,2012-06-01,4,5,5,2,2,1,11,8,19
SAN MIGUEL DE VELASCO,estado nutricional,l talla baja,2012-06-01,6,7,26,9,13,18,45,34,79
SAN PABLO DE LIPEZ,estado nutricional,l talla baja,2012-06-01,3,0,5,1,2,7,10,8,18
SAN PEDRO,estado nutricional,l talla baja,2012-06-01,3,1,4,2,1,2,8,5,13
SAN PEDRO DE BUENA VISTA,estado nutricional,l talla baja,2012-06-01,49,37,106,66,120,104,275,207,482
SAN PEDRO DE CURAHUARA,estado nutricional,l talla baja,2012-06-01,0,1,2,3,5,6,7,10,17
SAN PEDRO DE QUEMES,estado nutricional,l talla baja,2012-06-01,2,0,0,1,1,0,3,1,4
SAN PEDRO DE TIQUINA,estado nutricional,l talla baja,2012-06-01,1,0,0,2,2,1,3,3,6
SAN PEDRO(PND),estado nutricional,l talla baja,2012-06-01,0,0,5,2,7,5,12,7,19
SAN RAFAEL,estado nutricional,l talla baja,2012-06-01,5,1,4,1,3,1,12,3,15
SAN RAMON BENI,estado nutricional,l talla baja,2012-06-01,2,1,1,2,4,1,7,4,11
SAN RAMON SCZ,estado nutricional,l talla baja,2012-06-01,1,4,5,2,3,2,9,8,17
SANTA ANA,estado nutricional,l talla baja,2012-06-01,6,2,9,4,0,0,15,6,21
SANTA CRUZ DE LA SIERRA,estado nutricional,l talla baja,2012-06-01,108,78,70,59,82,62,260,199,459
SANTA ROSA,estado nutricional,l talla baja,2012-06-01,2,0,3,1,1,3,6,4,10
SANTA ROSA DEL SARA,estado nutricional,l talla baja,2012-06-01,0,1,0,1,1,1,1,3,4
SANTIAGO DE CALLAPA,estado nutricional,l talla baja,2012-06-01,1,2,1,4,3,2,5,8,13
SANTIAGO DE HUARI,estado nutricional,l talla baja,2012-06-01,12,6,22,6,26,24,60,36,96
SANTIAGO DE HUATA,estado nutricional,l talla baja,2012-06-01,1,1,1,2,1,0,3,3,6
SANTIAGO DE MACHACA,estado nutricional,l talla baja,2012-06-01,2,3,9,5,9,5,20,13,33
SANTIVAÑES,estado nutricional,l talla baja,2012-06-01,1,0,4,4,9,6,14,10,24
SANTUARIO DE QUILLACAS,estado nutricional,l talla baja,2012-06-01,6,1,18,7,13,8,37,16,53
SAPAHAQUI,estado nutricional,l talla baja,2012-06-01,7,4,9,9,12,7,28,20,48
SENA,estado nutricional,l talla baja,2012-06-01,0,0,6,4,5,6,11,10,21
SHINAOTA,estado nutricional,l talla baja,2012-06-01,2,6,8,23,7,8,17,37,54
SICA SICA (VILLA AROMA),estado nutricional,l talla baja,2012-06-01,16,4,33,18,27,22,76,44,120
SICAYA,estado nutricional,l talla baja,2012-06-01,4,9,23,11,19,14,46,34,80
SIPE SIPE,estado nutricional,l talla baja,2012-06-01,14,21,64,36,42,31,120,88,208
SOPACHUY,estado nutricional,l talla baja,2012-06-01,9,5,18,16,34,45,61,66,127
SORACACHI,estado nutricional,l talla baja,2012-06-01,12,4,22,7,32,16,66,27,93
SORATA,estado nutricional,l talla baja,2012-06-01,7,2,17,6,18,10,42,18,60
SUCRE,estado nutricional,l talla baja,2012-06-01,109,53,207,141,169,196,485,390,875
TACACHI,estado nutricional,l talla baja,2012-06-01,0,0,0,0,0,1,0,1,1
TACACOMA,estado nutricional,l talla baja,2012-06-01,8,4,8,8,19,12,35,24,59
TACOBAMBA,estado nutricional,l talla baja,2012-06-01,8,3,19,5,10,11,37,19,56
TACOPAYA,estado nutricional,l talla baja,2012-06-01,14,4,39,30,51,55,104,89,193
TAHUA,estado nutricional,l talla baja,2012-06-01,0,0,2,3,0,0,2,3,5
TAPACARI,estado nutricional,l talla baja,2012-06-01,36,17,43,31,68,59,147,107,254
TARABUCO,estado nutricional,l talla baja,2012-06-01,36,17,67,40,138,157,241,214,455
TARACO,estado nutricional,l talla baja,2012-06-01,1,1,2,0,1,1,4,2,6
TARATA,estado nutricional,l talla baja,2012-06-01,1,3,6,11,4,6,11,20,31
TARIJA,estado nutricional,l talla baja,2012-06-01,29,111,50,36,42,40,121,187,308
TARVITA,estado nutricional,l talla baja,2012-06-01,16,4,58,40,120,143,194,187,381
TEOPONTE,estado nutricional,l talla baja,2012-06-01,0,9,6,1,7,5,13,15,28
TIAWANACU,estado nutricional,l talla baja,2012-06-01,3,4,10,7,8,7,21,18,39
TINGUIPAYA,estado nutricional,l talla baja,2012-06-01,34,28,49,63,48,40,131,131,262
TIPUANI,estado nutricional,l talla baja,2012-06-01,1,2,13,5,6,7,20,14,34
TIQUIPAYA,estado nutricional,l talla baja,2012-06-01,11,19,34,43,39,45,84,107,191
TIRAQUE (CBBA),estado nutricional,l talla baja,2012-06-01,12,16,30,36,15,19,57,71,128
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l talla baja,2012-06-01,0,0,2,2,1,0,3,2,5
TOCO,estado nutricional,l talla baja,2012-06-01,5,3,9,1,5,0,19,4,23
TODOS SANTOS,estado nutricional,l talla baja,2012-06-01,0,0,0,0,1,0,1,0,1
TOLATA,estado nutricional,l talla baja,2012-06-01,2,2,5,5,4,0,11,7,18
TOLEDO,estado nutricional,l talla baja,2012-06-01,1,1,3,5,6,3,10,9,19
TOMAVE,estado nutricional,l talla baja,2012-06-01,19,11,36,23,35,27,90,61,151
TOMINA,estado nutricional,l talla baja,2012-06-01,11,7,17,23,73,64,101,94,195
TORO TORO,estado nutricional,l talla baja,2012-06-01,10,9,26,14,52,54,88,77,165
TOTORA(CBBA),estado nutricional,l talla baja,2012-06-01,9,3,14,10,6,2,29,15,44
TOTORA(ORR),estado nutricional,l talla baja,2012-06-01,3,2,6,2,13,7,22,11,33
TRIGAL,estado nutricional,l talla baja,2012-06-01,0,0,0,0,0,1,0,1,1
TRINIDAD,estado nutricional,l talla baja,2012-06-01,22,14,26,17,15,28,63,59,122
TUPIZA,estado nutricional,l talla baja,2012-06-01,25,13,22,21,43,36,90,70,160
TURCO,estado nutricional,l talla baja,2012-06-01,1,2,2,3,7,4,10,9,19
UMALA,estado nutricional,l talla baja,2012-06-01,2,2,8,7,3,6,13,15,28
UNCIA,estado nutricional,l talla baja,2012-06-01,22,17,69,35,41,40,132,92,224
URIONDO (A. CONCEPCION),estado nutricional,l talla baja,2012-06-01,1,7,4,1,2,5,7,13,20
URUBICHA,estado nutricional,l talla baja,2012-06-01,5,4,12,4,6,12,23,20,43
UYUNI,estado nutricional,l talla baja,2012-06-01,22,18,30,19,25,24,77,61,138
VACAS,estado nutricional,l talla baja,2012-06-01,18,5,23,25,10,12,51,42,93
VALLEGRANDE,estado nutricional,l talla baja,2012-06-01,1,2,4,5,2,2,7,9,16
VIACHA,estado nutricional,l talla baja,2012-06-01,27,11,47,33,25,17,99,61,160
VILA VILA,estado nutricional,l talla baja,2012-06-01,4,2,16,6,18,35,38,43,81
VILLA CHARCAS,estado nutricional,l talla baja,2012-06-01,16,20,44,43,97,82,157,145,302
VILLA MONTES,estado nutricional,l talla baja,2012-06-01,5,11,14,9,14,13,33,33,66
VILLA NUEVA (LOMA ALTA),estado nutricional,l talla baja,2012-06-01,0,0,5,0,3,8,8,8,16
VILLA RIVERO,estado nutricional,l talla baja,2012-06-01,4,0,11,15,10,15,25,30,55
VILLA SERRANO,estado nutricional,l talla baja,2012-06-01,16,3,23,15,48,50,87,68,155
VILLA TUNARI,estado nutricional,l talla baja,2012-06-01,25,24,103,73,68,65,196,162,358
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l talla baja,2012-06-01,2,0,5,4,3,9,10,13,23
VILLAZON,estado nutricional,l talla baja,2012-06-01,33,14,62,35,37,23,132,72,204
VINTO,estado nutricional,l talla baja,2012-06-01,7,3,23,24,9,9,39,36,75
VITICHI,estado nutricional,l talla baja,2012-06-01,7,7,20,19,21,15,48,41,89
WALDO BALLIVIAN,estado nutricional,l talla baja,2012-06-01,1,1,4,0,0,1,5,2,7
WARNES,estado nutricional,l talla baja,2012-06-01,3,4,4,4,6,3,13,11,24
YACO,estado nutricional,l talla baja,2012-06-01,10,6,13,13,11,11,34,30,64
YACUIBA,estado nutricional,l talla baja,2012-06-01,7,5,6,7,16,11,29,23,52
YAMPARAEZ,estado nutricional,l talla baja,2012-06-01,6,2,19,16,67,77,92,95,187
YANACACHI,estado nutricional,l talla baja,2012-06-01,0,0,7,1,4,2,11,3,14
YAPACANI,estado nutricional,l talla baja,2012-06-01,6,9,15,14,8,3,29,26,55
YOCALLA,estado nutricional,l talla baja,2012-06-01,8,3,16,3,16,4,40,10,50
YOTALA,estado nutricional,l talla baja,2012-06-01,4,3,8,7,26,17,38,27,65
YUNCHARA,estado nutricional,l talla baja,2012-06-01,9,2,13,7,53,43,75,52,127
ZUDAÑEZ,estado nutricional,l talla baja,2012-06-01,4,7,14,11,64,49,82,67,149
ACACIO,estado nutricional,l talla baja,2012-07-01,8,13,16,24,31,33,55,70,125
ACHACACHI,estado nutricional,l talla baja,2012-07-01,24,9,32,29,13,17,69,55,124
ACHOCALLA,estado nutricional,l talla baja,2012-07-01,8,7,10,11,7,8,25,26,51
AIQUILE,estado nutricional,l talla baja,2012-07-01,12,15,36,34,37,32,85,81,166
ALALAY,estado nutricional,l talla baja,2012-07-01,2,1,14,8,10,7,26,16,42
ALCALA,estado nutricional,l talla baja,2012-07-01,0,0,7,3,16,7,23,10,33
ALTO BENI,estado nutricional,l talla baja,2012-07-01,2,0,3,2,7,15,12,17,29
ANCORAIMES,estado nutricional,l talla baja,2012-07-01,12,9,18,19,10,3,40,31,71
ANDAMARCA,estado nutricional,l talla baja,2012-07-01,3,2,7,1,21,17,31,20,51
ANTEQUERA,estado nutricional,l talla baja,2012-07-01,11,9,6,6,1,2,18,17,35
ANZALDO,estado nutricional,l talla baja,2012-07-01,3,4,13,15,11,15,27,34,61
APOLO,estado nutricional,l talla baja,2012-07-01,13,5,34,16,34,31,81,52,133
ARAMPAMPA,estado nutricional,l talla baja,2012-07-01,7,4,13,9,19,22,39,35,74
ARANI,estado nutricional,l talla baja,2012-07-01,9,2,20,15,16,9,45,26,71
ARBIETO,estado nutricional,l talla baja,2012-07-01,1,1,0,12,10,9,11,22,33
ARQUE,estado nutricional,l talla baja,2012-07-01,21,23,70,50,51,57,142,130,272
ASCENCION DE GUARAYOS,estado nutricional,l talla baja,2012-07-01,1,2,8,9,9,5,18,16,34
ATOCHA,estado nutricional,l talla baja,2012-07-01,6,7,4,9,7,9,17,25,42
AUCAPATA,estado nutricional,l talla baja,2012-07-01,1,2,11,7,6,11,18,20,38
AYATA,estado nutricional,l talla baja,2012-07-01,19,2,21,16,21,15,61,33,94
AYO AYO,estado nutricional,l talla baja,2012-07-01,12,6,34,9,11,7,57,22,79
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l talla baja,2012-07-01,22,18,55,43,56,41,133,102,235
AZURDUY,estado nutricional,l talla baja,2012-07-01,13,6,35,30,65,69,113,105,218
BATALLAS,estado nutricional,l talla baja,2012-07-01,11,11,20,13,9,4,40,28,68
BAURES,estado nutricional,l talla baja,2012-07-01,0,1,2,2,1,3,3,6,9
BELEN DE ANDAMARCA,estado nutricional,l talla baja,2012-07-01,2,1,6,1,0,8,8,10,18
BELEN DE URMIRI,estado nutricional,l talla baja,2012-07-01,1,4,5,4,5,8,11,16,27
BELLA FLOR,estado nutricional,l talla baja,2012-07-01,1,0,0,3,1,0,2,3,5
BERMEJO,estado nutricional,l talla baja,2012-07-01,7,1,14,10,16,5,37,16,53
BETANZOS,estado nutricional,l talla baja,2012-07-01,34,28,99,61,161,156,294,245,539
BOLIVAR,estado nutricional,l talla baja,2012-07-01,41,24,46,36,83,85,170,145,315
BOLPEBRA,estado nutricional,l talla baja,2012-07-01,1,2,3,2,4,5,8,9,17
BOYUIBE,estado nutricional,l talla baja,2012-07-01,0,1,0,0,4,2,4,3,7
