,group,variable,month,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL < DE 1 AÑO,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1 TALLA NORMAL 1 A MENOR DE 2 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,L 9.1TALLA NORMAL 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
SORACACHI,estado nutricional,l 9.1 talla normal,2011-06-01,117,102,100,98,90,113,307,313,620
SORATA,estado nutricional,l 9.1 talla normal,2011-06-01,180,152,72,93,109,108,361,353,714
SUCRE,estado nutricional,l 9.1 talla normal,2011-06-01,2784,2699,1943,1938,1824,1940,6551,6577,13128
TACACHI,estado nutricional,l 9.1 talla normal,2011-06-01,1,11,5,8,10,11,16,30,46
TACACOMA,estado nutricional,l 9.1 talla normal,2011-06-01,34,47,38,21,42,41,114,109,223
TACOBAMBA,estado nutricional,l 9.1 talla normal,2011-06-01,69,54,57,56,47,42,173,152,325
TACOPAYA,estado nutricional,l 9.1 talla normal,2011-06-01,86,93,74,52,111,131,271,276,547
TAHUA,estado nutricional,l 9.1 talla normal,2011-06-01,6,5,4,2,2,0,12,7,19
TAPACARI,estado nutricional,l 9.1 talla normal,2011-06-01,199,197,151,139,166,150,516,486,1002
TARABUCO,estado nutricional,l 9.1 talla normal,2011-06-01,123,145,83,104,143,145,349,394,743
TARACO,estado nutricional,l 9.1 talla normal,2011-06-01,32,23,30,31,20,20,82,74,156
TARATA,estado nutricional,l 9.1 talla normal,2011-06-01,96,100,73,55,34,39,203,194,397
TARIJA,estado nutricional,l 9.1 talla normal,2011-06-01,1178,1087,929,787,568,491,2675,2365,5040
TARVITA,estado nutricional,l 9.1 talla normal,2011-06-01,117,122,67,87,133,157,317,366,683
TEOPONTE,estado nutricional,l 9.1 talla normal,2011-06-01,76,45,55,42,72,62,203,149,352
TIAWANACU,estado nutricional,l 9.1 talla normal,2011-06-01,106,100,79,73,81,89,266,262,528
TINGUIPAYA,estado nutricional,l 9.1 talla normal,2011-06-01,142,120,73,79,98,84,313,283,596
TIPUANI,estado nutricional,l 9.1 talla normal,2011-06-01,100,56,71,40,63,63,234,159,393
TIQUIPAYA,estado nutricional,l 9.1 talla normal,2011-06-01,615,471,349,355,426,500,1390,1326,2716
TIRAQUE (CBBA),estado nutricional,l 9.1 talla normal,2011-06-01,189,183,111,112,80,86,380,381,761
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.1 talla normal,2011-06-01,2,5,4,8,10,8,16,21,37
TOCO,estado nutricional,l 9.1 talla normal,2011-06-01,51,43,41,54,38,43,130,140,270
TODOS SANTOS,estado nutricional,l 9.1 talla normal,2011-06-01,0,11,3,0,2,2,5,13,18
TOLATA,estado nutricional,l 9.1 talla normal,2011-06-01,83,80,64,56,72,56,219,192,411
TOLEDO,estado nutricional,l 9.1 talla normal,2011-06-01,44,25,43,33,16,30,103,88,191
TOMAVE,estado nutricional,l 9.1 talla normal,2011-06-01,95,82,60,66,51,66,206,214,420
TOMINA,estado nutricional,l 9.1 talla normal,2011-06-01,69,76,46,48,123,152,238,276,514
TORO TORO,estado nutricional,l 9.1 talla normal,2011-06-01,75,69,38,58,66,79,179,206,385
TOTORA(CBBA),estado nutricional,l 9.1 talla normal,2011-06-01,141,119,73,110,36,52,250,281,531
TOTORA(ORR),estado nutricional,l 9.1 talla normal,2011-06-01,28,36,30,32,32,48,90,116,206
TRIGAL,estado nutricional,l 9.1 talla normal,2011-06-01,19,21,8,9,6,14,33,44,77
TRINIDAD,estado nutricional,l 9.1 talla normal,2011-06-01,804,730,402,406,397,426,1603,1562,3165
TUPIZA,estado nutricional,l 9.1 talla normal,2011-06-01,284,273,207,203,291,234,782,710,1492
TURCO,estado nutricional,l 9.1 talla normal,2011-06-01,38,33,32,39,60,47,130,119,249
UMALA,estado nutricional,l 9.1 talla normal,2011-06-01,50,65,43,43,83,62,176,170,346
UNCIA,estado nutricional,l 9.1 talla normal,2011-06-01,147,134,104,91,82,74,333,299,632
URIONDO (A. CONCEPCION),estado nutricional,l 9.1 talla normal,2011-06-01,147,105,138,117,159,145,444,367,811
URUBICHA,estado nutricional,l 9.1 talla normal,2011-06-01,105,69,50,64,151,182,306,315,621
UYUNI,estado nutricional,l 9.1 talla normal,2011-06-01,215,228,145,173,102,108,462,509,971
VACAS,estado nutricional,l 9.1 talla normal,2011-06-01,93,85,75,63,63,59,231,207,438
VALLEGRANDE,estado nutricional,l 9.1 talla normal,2011-06-01,121,118,83,72,58,40,262,230,492
VIACHA,estado nutricional,l 9.1 talla normal,2011-06-01,424,449,287,271,230,220,941,940,1881
VILA VILA,estado nutricional,l 9.1 talla normal,2011-06-01,31,36,18,26,55,55,104,117,221
VILLA CHARCAS,estado nutricional,l 9.1 talla normal,2011-06-01,117,155,95,96,125,141,337,392,729
VILLA MONTES,estado nutricional,l 9.1 talla normal,2011-06-01,276,324,217,187,178,172,671,683,1354
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.1 talla normal,2011-06-01,46,50,24,50,45,61,115,161,276
VILLA RIVERO,estado nutricional,l 9.1 talla normal,2011-06-01,74,94,45,45,57,42,176,181,357
VILLA SERRANO,estado nutricional,l 9.1 talla normal,2011-06-01,98,116,85,74,122,136,305,326,631
VILLA TUNARI,estado nutricional,l 9.1 talla normal,2011-06-01,847,739,556,492,614,520,2017,1751,3768
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.1 talla normal,2011-06-01,68,65,72,54,102,82,242,201,443
VILLAZON,estado nutricional,l 9.1 talla normal,2011-06-01,322,302,258,281,199,209,779,792,1571
VINTO,estado nutricional,l 9.1 talla normal,2011-06-01,319,255,184,184,116,115,619,554,1173
VITICHI,estado nutricional,l 9.1 talla normal,2011-06-01,86,74,57,64,74,62,217,200,417
WALDO BALLIVIAN,estado nutricional,l 9.1 talla normal,2011-06-01,15,13,10,16,8,12,33,41,74
WARNES,estado nutricional,l 9.1 talla normal,2011-06-01,461,368,183,168,223,204,867,740,1607
YACO,estado nutricional,l 9.1 talla normal,2011-06-01,51,75,37,39,45,54,133,168,301
YACUIBA,estado nutricional,l 9.1 talla normal,2011-06-01,694,587,408,356,392,348,1494,1291,2785
YAMPARAEZ,estado nutricional,l 9.1 talla normal,2011-06-01,61,45,36,42,82,94,179,181,360
YANACACHI,estado nutricional,l 9.1 talla normal,2011-06-01,51,52,34,27,26,49,111,128,239
YAPACANI,estado nutricional,l 9.1 talla normal,2011-06-01,456,473,332,332,198,206,986,1011,1997
YOCALLA,estado nutricional,l 9.1 talla normal,2011-06-01,74,65,60,59,33,45,167,169,336
YOTALA,estado nutricional,l 9.1 talla normal,2011-06-01,56,49,72,49,90,107,218,205,423
YUNCHARA,estado nutricional,l 9.1 talla normal,2011-06-01,39,38,44,33,75,64,158,135,293
YUNGUYO DE LITORAL,estado nutricional,l 9.1 talla normal,2011-06-01,1,2,0,0,0,2,1,4,5
ZUDAÑEZ,estado nutricional,l 9.1 talla normal,2011-06-01,50,55,29,37,85,106,164,198,362
ACACIO,estado nutricional,l 9.1 talla normal,2011-07-01,48,57,18,36,39,39,105,132,237
ACHACACHI,estado nutricional,l 9.1 talla normal,2011-07-01,254,270,169,155,155,154,578,579,1157
ACHOCALLA,estado nutricional,l 9.1 talla normal,2011-07-01,102,78,56,48,49,35,207,161,368
AIQUILE,estado nutricional,l 9.1 talla normal,2011-07-01,256,253,209,157,156,162,621,572,1193
ALALAY,estado nutricional,l 9.1 talla normal,2011-07-01,34,27,23,24,28,22,85,73,158
ALCALA,estado nutricional,l 9.1 talla normal,2011-07-01,27,30,17,14,46,46,90,90,180
ALTO BENI,estado nutricional,l 9.1 talla normal,2011-07-01,83,81,54,65,50,55,187,201,388
ANCORAIMES,estado nutricional,l 9.1 talla normal,2011-07-01,57,63,39,52,39,51,135,166,301
ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-07-01,22,28,8,28,52,39,82,95,177
ANTEQUERA,estado nutricional,l 9.1 talla normal,2011-07-01,29,31,15,20,23,21,67,72,139
ANZALDO,estado nutricional,l 9.1 talla normal,2011-07-01,53,44,36,32,39,49,128,125,253
APOLO,estado nutricional,l 9.1 talla normal,2011-07-01,179,160,117,127,143,149,439,436,875
ARAMPAMPA,estado nutricional,l 9.1 talla normal,2011-07-01,29,29,13,14,30,36,72,79,151
ARANI,estado nutricional,l 9.1 talla normal,2011-07-01,104,94,64,70,55,58,223,222,445
ARBIETO,estado nutricional,l 9.1 talla normal,2011-07-01,121,119,84,75,129,128,334,322,656
ARQUE,estado nutricional,l 9.1 talla normal,2011-07-01,191,151,87,87,107,93,385,331,716
ASCENCION DE GUARAYOS,estado nutricional,l 9.1 talla normal,2011-07-01,255,268,88,82,44,72,387,422,809
ATOCHA,estado nutricional,l 9.1 talla normal,2011-07-01,75,72,40,42,64,49,179,163,342
AUCAPATA,estado nutricional,l 9.1 talla normal,2011-07-01,20,28,27,15,20,13,67,56,123
AYATA,estado nutricional,l 9.1 talla normal,2011-07-01,83,86,52,84,60,50,195,220,415
AYO AYO,estado nutricional,l 9.1 talla normal,2011-07-01,49,38,41,37,29,23,119,98,217
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.1 talla normal,2011-07-01,228,189,153,156,155,163,536,508,1044
AZURDUY,estado nutricional,l 9.1 talla normal,2011-07-01,110,106,73,80,118,121,301,307,608
BATALLAS,estado nutricional,l 9.1 talla normal,2011-07-01,117,141,65,120,76,69,258,330,588
BAURES,estado nutricional,l 9.1 talla normal,2011-07-01,34,30,24,15,24,26,82,71,153
BELEN DE ANDAMARCA,estado nutricional,l 9.1 talla normal,2011-07-01,5,12,6,7,8,9,19,28,47
BELEN DE URMIRI,estado nutricional,l 9.1 talla normal,2011-07-01,12,15,9,8,8,11,29,34,63
BELLA FLOR,estado nutricional,l 9.1 talla normal,2011-07-01,14,19,14,12,16,19,44,50,94
BERMEJO,estado nutricional,l 9.1 talla normal,2011-07-01,295,313,218,197,183,188,696,698,1394
BETANZOS,estado nutricional,l 9.1 talla normal,2011-07-01,246,264,191,227,232,194,669,685,1354
BOLIVAR,estado nutricional,l 9.1 talla normal,2011-07-01,76,51,41,60,87,55,204,166,370
BOLPEBRA,estado nutricional,l 9.1 talla normal,2011-07-01,10,22,11,18,21,17,42,57,99
BOYUIBE,estado nutricional,l 9.1 talla normal,2011-07-01,27,25,30,20,37,44,94,89,183
BUENA VISTA,estado nutricional,l 9.1 talla normal,2011-07-01,112,96,73,62,81,100,266,258,524
CABEZAS,estado nutricional,l 9.1 talla normal,2011-07-01,153,144,114,93,82,88,349,325,674
CAIROMA,estado nutricional,l 9.1 talla normal,2011-07-01,79,73,47,38,65,53,191,164,355
"CAIZA ""D""",estado nutricional,l 9.1 talla normal,2011-07-01,82,82,69,47,54,57,205,186,391
CAJUATA,estado nutricional,l 9.1 talla normal,2011-07-01,69,83,57,35,74,61,200,179,379
CALACOTO,estado nutricional,l 9.1 talla normal,2011-07-01,32,35,29,27,27,23,88,85,173
CALAMARCA,estado nutricional,l 9.1 talla normal,2011-07-01,77,87,55,63,44,60,176,210,386
CAMARGO,estado nutricional,l 9.1 talla normal,2011-07-01,118,132,111,86,118,142,347,360,707
CAMATAQUI (C. VILLA ABECIA),estado nutricional,l 9.1 talla normal,2011-07-01,22,26,33,19,55,40,110,85,195
CAMIRI,estado nutricional,l 9.1 talla normal,2011-07-01,310,302,195,194,230,244,735,740,1475
CAPINOTA,estado nutricional,l 9.1 talla normal,2011-07-01,93,103,54,76,48,25,195,204,399
CAQUIAVIRI,estado nutricional,l 9.1 talla normal,2011-07-01,70,74,60,45,36,31,166,150,316
CARACOLLO,estado nutricional,l 9.1 talla normal,2011-07-01,177,156,103,118,123,106,403,380,783
CARANAVI,estado nutricional,l 9.1 talla normal,2011-07-01,506,479,345,336,228,198,1079,1013,2092
CARANGAS,estado nutricional,l 9.1 talla normal,2011-07-01,0,1,0,1,2,0,2,2,4
CARAPARI,estado nutricional,l 9.1 talla normal,2011-07-01,134,122,102,104,89,93,325,319,644
CARIPUYO,estado nutricional,l 9.1 talla normal,2011-07-01,58,69,45,38,64,58,167,165,332
CARMEN RIVERO TORREZ,estado nutricional,l 9.1 talla normal,2011-07-01,31,26,24,20,24,29,79,75,154
CATACORA,estado nutricional,l 9.1 talla normal,2011-07-01,11,2,2,2,3,1,16,5,21
CHACARILLA,estado nutricional,l 9.1 talla normal,2011-07-01,10,3,2,6,1,3,13,12,25
CHALLAPATA,estado nutricional,l 9.1 talla normal,2011-07-01,319,296,162,188,162,136,643,620,1263
CHAQUI,estado nutricional,l 9.1 talla normal,2011-07-01,60,54,33,50,23,33,116,137,253
CHARAGUA,estado nutricional,l 9.1 talla normal,2011-07-01,227,195,137,120,218,221,582,536,1118
CHARAÑA,estado nutricional,l 9.1 talla normal,2011-07-01,25,14,16,14,14,20,55,48,103
CHAYANTA,estado nutricional,l 9.1 talla normal,2011-07-01,109,97,42,66,42,50,193,213,406
CHIMORE,estado nutricional,l 9.1 talla normal,2011-07-01,48,43,25,20,21,12,94,75,169
CHIPAYA,estado nutricional,l 9.1 talla normal,2011-07-01,17,19,10,12,6,9,33,40,73
CHOQUE COTA,estado nutricional,l 9.1 talla normal,2011-07-01,1,5,7,5,0,3,8,13,21
CHULUMANI (V. DE LA LIBERTAD),estado nutricional,l 9.1 talla normal,2011-07-01,134,104,67,75,39,44,240,223,463
CHUMA,estado nutricional,l 9.1 talla normal,2011-07-01,68,64,39,38,25,33,132,135,267
CHUQUIHUTA AYLLU JUCUMANI,estado nutricional,l 9.1 talla normal,2011-07-01,45,43,27,38,21,29,93,110,203
CKOCHAS,estado nutricional,l 9.1 talla normal,2011-07-01,70,61,60,57,50,38,180,156,336
CLIZA,estado nutricional,l 9.1 talla normal,2011-07-01,239,161,93,92,107,69,439,322,761
COBIJA,estado nutricional,l 9.1 talla normal,2011-07-01,538,537,296,281,236,206,1070,1024,2094
COCAPATA,estado nutricional,l 9.1 talla normal,2011-07-01,174,130,125,118,94,95,393,343,736
COCHABAMBA,estado nutricional,l 9.1 talla normal,2011-07-01,3049,2883,1847,1576,1213,1269,6109,5728,11837
COIPASA,estado nutricional,l 9.1 talla normal,2011-07-01,4,6,1,5,2,6,7,17,24
COLCAPIRHUA,estado nutricional,l 9.1 talla normal,2011-07-01,371,337,206,177,147,146,724,660,1384
"COLCHA ""K""",estado nutricional,l 9.1 talla normal,2011-07-01,66,76,38,41,45,60,149,177,326
COLLANA,estado nutricional,l 9.1 talla normal,2011-07-01,18,25,24,11,6,12,48,48,96
COLOMI,estado nutricional,l 9.1 talla normal,2011-07-01,186,149,93,96,61,71,340,316,656
COLPA BELGICA,estado nutricional,l 9.1 talla normal,2011-07-01,5,5,0,0,2,0,7,5,12
COLQUECHACA,estado nutricional,l 9.1 talla normal,2011-07-01,271,268,176,224,130,118,577,610,1187
COLQUENCHA,estado nutricional,l 9.1 talla normal,2011-07-01,73,77,43,43,35,32,151,152,303
COLQUIRI,estado nutricional,l 9.1 talla normal,2011-07-01,141,157,78,75,86,97,305,329,634
COMANCHE,estado nutricional,l 9.1 talla normal,2011-07-01,27,31,12,18,8,14,47,63,110
COMARAPA,estado nutricional,l 9.1 talla normal,2011-07-01,221,258,91,91,74,102,386,451,837
COMBAYA,estado nutricional,l 9.1 talla normal,2011-07-01,16,13,17,10,25,30,58,53,111
CONCEPCION,estado nutricional,l 9.1 talla normal,2011-07-01,184,193,75,81,69,78,328,352,680
COPACABANA,estado nutricional,l 9.1 talla normal,2011-07-01,61,62,47,52,59,55,167,169,336
CORIPATA,estado nutricional,l 9.1 talla normal,2011-07-01,142,132,101,102,95,115,338,349,687
CORO CORO,estado nutricional,l 9.1 talla normal,2011-07-01,89,78,40,55,36,44,165,177,342
COROICO,estado nutricional,l 9.1 talla normal,2011-07-01,121,118,83,90,69,67,273,275,548
CORQUE,estado nutricional,l 9.1 talla normal,2011-07-01,70,55,30,39,22,19,122,113,235
COTAGAITA,estado nutricional,l 9.1 talla normal,2011-07-01,124,145,105,111,113,131,342,387,729
COTOCA,estado nutricional,l 9.1 talla normal,2011-07-01,414,330,202,182,198,180,814,692,1506
CUATRO CAÑADAS,estado nutricional,l 9.1 talla normal,2011-07-01,99,103,71,67,111,97,281,267,548
CUCHUMUELA (V. G. VILLARROEL),estado nutricional,l 9.1 talla normal,2011-07-01,16,8,11,7,12,6,39,21,60
CUEVO,estado nutricional,l 9.1 talla normal,2011-07-01,42,32,33,25,69,53,144,110,254
CULPINA,estado nutricional,l 9.1 talla normal,2011-07-01,141,175,96,119,148,150,385,444,829
CURAHUARA DE CARANGAS,estado nutricional,l 9.1 talla normal,2011-07-01,45,56,35,30,34,26,114,112,226
CURVA,estado nutricional,l 9.1 talla normal,2011-07-01,11,22,19,11,22,13,52,46,98
DESAGUADERO,estado nutricional,l 9.1 talla normal,2011-07-01,42,24,32,20,20,16,94,60,154
EL ALTO,estado nutricional,l 9.1 talla normal,2011-07-01,5196,4871,3173,3950,2309,2286,10678,11107,21785
EL CHORO,estado nutricional,l 9.1 talla normal,2011-07-01,32,57,30,44,46,61,108,162,270
EL PUENTE(STC),estado nutricional,l 9.1 talla normal,2011-07-01,121,115,77,70,70,48,268,233,501
EL PUENTE(TJA),estado nutricional,l 9.1 talla normal,2011-07-01,62,70,61,50,73,77,196,197,393
EL TORNO,estado nutricional,l 9.1 talla normal,2011-07-01,398,375,204,197,186,162,788,734,1522
EL VILLAR,estado nutricional,l 9.1 talla normal,2011-07-01,24,25,28,31,54,52,106,108,214
ENTRE RIOS TRJ,estado nutricional,l 9.1 talla normal,2011-07-01,181,176,139,126,131,159,451,461,912
ENTRE RIOS CBBA,estado nutricional,l 9.1 talla normal,2011-07-01,304,277,196,190,144,148,644,615,1259
ESCARA,estado nutricional,l 9.1 talla normal,2011-07-01,0,1,0,1,0,1,0,3,3
ESCOMA,estado nutricional,l 9.1 talla normal,2011-07-01,29,29,13,21,19,21,61,71,132
EUCALIPTUS,estado nutricional,l 9.1 talla normal,2011-07-01,43,41,36,40,37,34,116,115,231
EUREKA (SANTOS MERCADO),estado nutricional,l 9.1 talla normal,2011-07-01,16,17,21,18,21,13,58,48,106
EXALTACION,estado nutricional,l 9.1 talla normal,2011-07-01,11,19,11,29,19,19,41,67,108
FERNANDEZ ALONSO,estado nutricional,l 9.1 talla normal,2011-07-01,172,114,101,75,95,76,368,265,633
FILADELFIA,estado nutricional,l 9.1 talla normal,2011-07-01,58,48,26,26,38,27,122,101,223
GENERAL SAAVEDRA,estado nutricional,l 9.1 talla normal,2011-07-01,180,119,89,104,158,108,427,331,758
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.1 talla normal,2011-07-01,70,69,50,72,39,41,159,182,341
GUANAY,estado nutricional,l 9.1 talla normal,2011-07-01,122,126,84,81,103,123,309,330,639
GUAQUI,estado nutricional,l 9.1 talla normal,2011-07-01,38,40,25,38,35,40,98,118,216
GUAYARAMERIN,estado nutricional,l 9.1 talla normal,2011-07-01,454,435,184,196,230,180,868,811,1679
GUTIERREZ,estado nutricional,l 9.1 talla normal,2011-07-01,144,155,88,123,176,214,408,492,900
HUACARETA,estado nutricional,l 9.1 talla normal,2011-07-01,57,76,56,39,83,103,196,218,414
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.1 talla normal,2011-07-01,21,17,20,15,39,46,80,78,158
HUACHACALLA,estado nutricional,l 9.1 talla normal,2011-07-01,4,1,8,4,6,8,18,13,31
HUANUNI,estado nutricional,l 9.1 talla normal,2011-07-01,138,132,67,80,72,65,277,277,554
HUARACAJE,estado nutricional,l 9.1 talla normal,2011-07-01,33,27,13,14,16,28,62,69,131
HUARINA,estado nutricional,l 9.1 talla normal,2011-07-01,34,25,19,15,18,16,71,56,127
HUAYLLAMARCA,estado nutricional,l 9.1 talla normal,2011-07-01,31,25,30,32,21,27,82,84,166
HUMANATA,estado nutricional,l 9.1 talla normal,2011-07-01,22,29,22,21,15,9,59,59,118
ICHOCA,estado nutricional,l 9.1 talla normal,2011-07-01,35,23,31,28,38,19,104,70,174
ICLA,estado nutricional,l 9.1 talla normal,2011-07-01,58,65,42,54,118,138,218,257,475
INCAHUASI,estado nutricional,l 9.1 talla normal,2011-07-01,104,102,66,48,96,110,266,260,526
INGAVI (HUMAITA),estado nutricional,l 9.1 talla normal,2011-07-01,22,16,15,16,16,13,53,45,98
INQUISIVI,estado nutricional,l 9.1 talla normal,2011-07-01,62,63,46,37,59,53,167,153,320
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.1 talla normal,2011-07-01,69,73,67,57,79,75,215,205,420
IXIAMAS,estado nutricional,l 9.1 talla normal,2011-07-01,93,94,40,47,39,40,172,181,353
JESUS DE MACHACA,estado nutricional,l 9.1 talla normal,2011-07-01,117,92,71,66,79,85,267,243,510
LA ASUNTA,estado nutricional,l 9.1 talla normal,2011-07-01,333,315,205,196,176,127,714,638,1352
LA GUARDIA,estado nutricional,l 9.1 talla normal,2011-07-01,583,532,246,282,320,364,1149,1178,2327
LA PAZ,estado nutricional,l 9.1 talla normal,2011-07-01,4152,3885,2644,2486,2274,2209,9070,8580,17650
LA RIVERA,estado nutricional,l 9.1 talla normal,2011-07-01,0,3,0,1,2,2,2,6,8
LAGUNILLAS,estado nutricional,l 9.1 talla normal,2011-07-01,58,60,41,40,104,89,203,189,392
LAJA,estado nutricional,l 9.1 talla normal,2011-07-01,83,96,59,50,32,36,174,182,356
LAS CARRERAS,estado nutricional,l 9.1 talla normal,2011-07-01,42,27,34,24,53,58,129,109,238
LICOMA PAMPA,estado nutricional,l 9.1 talla normal,2011-07-01,25,15,21,13,22,18,68,46,114
LLALLAGUA,estado nutricional,l 9.1 talla normal,2011-07-01,370,308,215,207,162,152,747,667,1414
LLICA,estado nutricional,l 9.1 talla normal,2011-07-01,30,24,18,35,16,15,64,74,138
LORETO,estado nutricional,l 9.1 talla normal,2011-07-01,27,35,32,25,38,50,97,110,207
LURIBAY,estado nutricional,l 9.1 talla normal,2011-07-01,88,65,50,43,63,56,201,164,365
MACHACAMARCA,estado nutricional,l 9.1 talla normal,2011-07-01,42,32,28,20,22,24,92,76,168
MACHARETI,estado nutricional,l 9.1 talla normal,2011-07-01,79,59,55,60,143,140,277,259,536
MAGDALENA,estado nutricional,l 9.1 talla normal,2011-07-01,78,93,32,45,56,60,166,198,364
MAIRANA,estado nutricional,l 9.1 talla normal,2011-07-01,119,125,52,64,38,41,209,230,439
MALLA,estado nutricional,l 9.1 talla normal,2011-07-01,27,12,11,7,12,15,50,34,84
MAPIRI,estado nutricional,l 9.1 talla normal,2011-07-01,99,74,47,34,46,43,192,151,343
MECAPACA,estado nutricional,l 9.1 talla normal,2011-07-01,88,86,50,45,44,52,182,183,365
MINEROS,estado nutricional,l 9.1 talla normal,2011-07-01,191,152,128,130,140,120,459,402,861
MIZQUE,estado nutricional,l 9.1 talla normal,2011-07-01,290,279,208,206,214,211,712,696,1408
MOCOMOCO,estado nutricional,l 9.1 talla normal,2011-07-01,93,91,80,70,56,51,229,212,441
MOJINETE,estado nutricional,l 9.1 talla normal,2011-07-01,2,4,1,2,1,2,4,8,12
MOJOCOYA,estado nutricional,l 9.1 talla normal,2011-07-01,51,64,47,43,58,70,156,177,333
MONTEAGUDO,estado nutricional,l 9.1 talla normal,2011-07-01,233,227,202,205,239,248,674,680,1354
MONTERO,estado nutricional,l 9.1 talla normal,2011-07-01,1031,1075,624,639,561,680,2216,2394,4610
MORO MORO,estado nutricional,l 9.1 talla normal,2011-07-01,26,20,15,15,9,12,50,47,97
MOROCHATA,estado nutricional,l 9.1 talla normal,2011-07-01,132,116,91,83,94,117,317,316,633
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.1 talla normal,2011-07-01,25,13,15,7,9,6,49,26,75
NAZACARA DE PACAJES,estado nutricional,l 9.1 talla normal,2011-07-01,5,7,1,1,1,2,7,10,17
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.1 talla normal,2011-07-01,37,17,24,16,38,47,99,80,179
OCURI,estado nutricional,l 9.1 talla normal,2011-07-01,132,99,112,88,88,81,332,268,600
OKINAWA,estado nutricional,l 9.1 talla normal,2011-07-01,106,123,83,84,105,98,294,305,599
OMEREQUE,estado nutricional,l 9.1 talla normal,2011-07-01,63,56,38,27,38,47,139,130,269
ORURO,estado nutricional,l 9.1 talla normal,2011-07-01,1803,1831,1193,1366,894,888,3890,4085,7975
PADCAYA,estado nutricional,l 9.1 talla normal,2011-07-01,144,137,150,103,168,147,462,387,849
PADILLA,estado nutricional,l 9.1 talla normal,2011-07-01,85,85,51,73,141,142,277,300,577
PAILON,estado nutricional,l 9.1 talla normal,2011-07-01,180,185,137,90,157,131,474,406,880
PALCA,estado nutricional,l 9.1 talla normal,2011-07-01,117,79,56,59,52,42,225,180,405
PALOS BLANCOS,estado nutricional,l 9.1 talla normal,2011-07-01,262,261,170,143,174,178,606,582,1188
PAMPA AULLAGAS,estado nutricional,l 9.1 talla normal,2011-07-01,16,23,10,14,4,12,30,49,79
PAMPA GRANDE,estado nutricional,l 9.1 talla normal,2011-07-01,81,72,48,37,20,33,149,142,291
PAPEL PAMPA,estado nutricional,l 9.1 talla normal,2011-07-01,35,24,27,24,30,23,92,71,163
PASORAPA,estado nutricional,l 9.1 talla normal,2011-07-01,38,42,33,13,49,33,120,88,208
PATACAMAYA,estado nutricional,l 9.1 talla normal,2011-07-01,175,138,108,98,46,31,329,267,596
PAZÑA,estado nutricional,l 9.1 talla normal,2011-07-01,75,54,41,44,66,84,182,182,364
PELECHUCO,estado nutricional,l 9.1 talla normal,2011-07-01,44,36,23,19,44,26,111,81,192
POCOATA,estado nutricional,l 9.1 talla normal,2011-07-01,207,175,143,157,93,103,443,435,878
POCONA,estado nutricional,l 9.1 talla normal,2011-07-01,107,94,88,80,69,71,264,245,509
POJO (CBBA),estado nutricional,l 9.1 talla normal,2011-07-01,136,118,82,93,66,60,284,271,555
POOPO,estado nutricional,l 9.1 talla normal,2011-07-01,39,57,38,32,28,34,105,123,228
PORCO,estado nutricional,l 9.1 talla normal,2011-07-01,125,101,44,53,44,40,213,194,407
POROMA,estado nutricional,l 9.1 talla normal,2011-07-01,140,122,112,107,141,130,393,359,752
PORONGO,estado nutricional,l 9.1 talla normal,2011-07-01,64,67,42,53,42,50,148,170,318
PORTACHUELO,estado nutricional,l 9.1 talla normal,2011-07-01,157,157,84,69,92,100,333,326,659
PORVENIR,estado nutricional,l 9.1 talla normal,2011-07-01,67,66,52,62,67,49,186,177,363
POSTRER VALLE,estado nutricional,l 9.1 talla normal,2011-07-01,17,20,11,10,8,11,36,41,77
POTOSI,estado nutricional,l 9.1 talla normal,2011-07-01,1043,1031,473,539,399,432,1915,2002,3917
PRESTO,estado nutricional,l 9.1 talla normal,2011-07-01,64,58,41,46,63,57,168,161,329
PUCARA,estado nutricional,l 9.1 talla normal,2011-07-01,11,25,10,13,9,11,30,49,79
PUCARANI,estado nutricional,l 9.1 talla normal,2011-07-01,264,228,187,180,78,99,529,507,1036
PUERTO ACOSTA,estado nutricional,l 9.1 talla normal,2011-07-01,47,52,43,52,10,17,100,121,221
PUERTO CARABUCO,estado nutricional,l 9.1 talla normal,2011-07-01,79,83,81,56,69,61,229,200,429
PUERTO GONZALO MORENO,estado nutricional,l 9.1 talla normal,2011-07-01,90,64,66,64,76,99,232,227,459
PUERTO PEREZ,estado nutricional,l 9.1 talla normal,2011-07-01,39,37,33,36,49,43,121,116,237
PUERTO QUIJARRO,estado nutricional,l 9.1 talla normal,2011-07-01,156,131,66,81,50,55,272,267,539
