,group,variable,month,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA < DE 1 AÑO,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 1 A MENOR DE 2 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,L 9.2 TALLA BAJA 2 A MENOR DE 5 AÑOS,TOTALES,TOTALES,TOTALES
EL PUENTE(STC),estado nutricional,l 9.2 talla baja,2011-06-01,9,4,16,4,4,0,29,8,37
EL PUENTE(TJA),estado nutricional,l 9.2 talla baja,2011-06-01,3,8,12,12,12,6,27,26,53
EL TORNO,estado nutricional,l 9.2 talla baja,2011-06-01,2,8,8,6,8,7,18,21,39
EL VILLAR,estado nutricional,l 9.2 talla baja,2011-06-01,1,2,6,3,11,13,18,18,36
ENTRE RIOS TRJ,estado nutricional,l 9.2 talla baja,2011-06-01,9,6,22,14,20,21,51,41,92
ENTRE RIOS CBBA,estado nutricional,l 9.2 talla baja,2011-06-01,8,7,9,17,21,33,38,57,95
ESCARA,estado nutricional,l 9.2 talla baja,2011-06-01,0,1,1,0,0,0,1,1,2
ESCOMA,estado nutricional,l 9.2 talla baja,2011-06-01,0,3,1,2,10,10,11,15,26
EUCALIPTUS,estado nutricional,l 9.2 talla baja,2011-06-01,5,3,9,11,13,12,27,26,53
EUREKA (SANTOS MERCADO),estado nutricional,l 9.2 talla baja,2011-06-01,2,1,2,3,1,2,5,6,11
EXALTACION,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,1,2,4,0,6,2,8
FERNANDEZ ALONSO,estado nutricional,l 9.2 talla baja,2011-06-01,2,5,12,6,10,4,24,15,39
FILADELFIA,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,0,0,2,1,3,1,4
GENERAL SAAVEDRA,estado nutricional,l 9.2 talla baja,2011-06-01,1,2,4,3,4,3,9,8,17
GRAL. J.J. PEREZ (CHARAZANI),estado nutricional,l 9.2 talla baja,2011-06-01,5,8,18,12,19,19,42,39,81
GUANAY,estado nutricional,l 9.2 talla baja,2011-06-01,10,4,7,5,10,12,27,21,48
GUAQUI,estado nutricional,l 9.2 talla baja,2011-06-01,5,4,7,7,5,3,17,14,31
GUAYARAMERIN,estado nutricional,l 9.2 talla baja,2011-06-01,32,16,28,17,16,15,76,48,124
GUTIERREZ,estado nutricional,l 9.2 talla baja,2011-06-01,6,14,24,12,25,32,55,58,113
HUACARETA,estado nutricional,l 9.2 talla baja,2011-06-01,2,2,2,1,4,7,8,10,18
HUACAYA (VILLA DE HUACAYA),estado nutricional,l 9.2 talla baja,2011-06-01,2,0,6,4,6,11,14,15,29
HUACHACALLA,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,1,3,4,1,5,4,9
HUANUNI,estado nutricional,l 9.2 talla baja,2011-06-01,44,25,44,32,36,30,124,87,211
HUARACAJE,estado nutricional,l 9.2 talla baja,2011-06-01,1,1,2,2,5,0,8,3,11
HUARINA,estado nutricional,l 9.2 talla baja,2011-06-01,3,3,2,2,5,4,10,9,19
HUAYLLAMARCA,estado nutricional,l 9.2 talla baja,2011-06-01,2,2,5,1,8,8,15,11,26
HUMANATA,estado nutricional,l 9.2 talla baja,2011-06-01,6,4,21,15,10,4,37,23,60
ICHOCA,estado nutricional,l 9.2 talla baja,2011-06-01,1,1,6,6,17,8,24,15,39
ICLA,estado nutricional,l 9.2 talla baja,2011-06-01,8,5,26,14,125,110,159,129,288
INCAHUASI,estado nutricional,l 9.2 talla baja,2011-06-01,19,20,45,25,55,48,119,93,212
INQUISIVI,estado nutricional,l 9.2 talla baja,2011-06-01,6,7,16,7,24,16,46,30,76
IRUPANA (VILLA DE LANZA),estado nutricional,l 9.2 talla baja,2011-06-01,1,0,5,4,6,4,12,8,20
IXIAMAS,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,4,6,10,8,14,14,28
JESUS DE MACHACA,estado nutricional,l 9.2 talla baja,2011-06-01,7,2,6,11,11,7,24,20,44
LA ASUNTA,estado nutricional,l 9.2 talla baja,2011-06-01,13,13,22,34,15,25,50,72,122
LA GUARDIA,estado nutricional,l 9.2 talla baja,2011-06-01,16,18,13,8,8,6,37,32,69
LA PAZ,estado nutricional,l 9.2 talla baja,2011-06-01,383,274,437,271,365,279,1185,824,2009
LAGUNILLAS,estado nutricional,l 9.2 talla baja,2011-06-01,0,2,4,3,14,15,18,20,38
LAJA,estado nutricional,l 9.2 talla baja,2011-06-01,10,6,14,9,5,12,29,27,56
LAS CARRERAS,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,1,2,7,2,8,4,12
LICOMA PAMPA,estado nutricional,l 9.2 talla baja,2011-06-01,2,1,2,4,2,4,6,9,15
LLALLAGUA,estado nutricional,l 9.2 talla baja,2011-06-01,37,31,75,55,83,87,195,173,368
LLICA,estado nutricional,l 9.2 talla baja,2011-06-01,3,1,8,4,5,5,16,10,26
LORETO,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,3,0,3,3,7,3,10
LURIBAY,estado nutricional,l 9.2 talla baja,2011-06-01,12,6,12,8,9,10,33,24,57
MACHACAMARCA,estado nutricional,l 9.2 talla baja,2011-06-01,3,1,5,5,3,3,11,9,20
MACHARETI,estado nutricional,l 9.2 talla baja,2011-06-01,6,1,8,7,14,12,28,20,48
MAGDALENA,estado nutricional,l 9.2 talla baja,2011-06-01,1,2,4,4,1,3,6,9,15
MAIRANA,estado nutricional,l 9.2 talla baja,2011-06-01,8,1,17,5,5,6,30,12,42
MALLA,estado nutricional,l 9.2 talla baja,2011-06-01,4,4,11,4,9,10,24,18,42
MAPIRI,estado nutricional,l 9.2 talla baja,2011-06-01,6,11,6,11,17,8,29,30,59
MECAPACA,estado nutricional,l 9.2 talla baja,2011-06-01,6,4,8,9,17,9,31,22,53
MINEROS,estado nutricional,l 9.2 talla baja,2011-06-01,118,104,13,5,10,11,141,120,261
MIZQUE,estado nutricional,l 9.2 talla baja,2011-06-01,33,25,45,41,42,62,120,128,248
MOCOMOCO,estado nutricional,l 9.2 talla baja,2011-06-01,7,3,16,10,5,9,28,22,50
MOJINETE,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,0,0,0,3,0,3,3
MOJOCOYA,estado nutricional,l 9.2 talla baja,2011-06-01,2,3,17,9,14,13,33,25,58
MONTEAGUDO,estado nutricional,l 9.2 talla baja,2011-06-01,11,3,13,18,28,25,52,46,98
MONTERO,estado nutricional,l 9.2 talla baja,2011-06-01,11,11,25,11,15,17,51,39,90
MORO MORO,estado nutricional,l 9.2 talla baja,2011-06-01,3,1,2,0,4,0,9,1,10
MOROCHATA,estado nutricional,l 9.2 talla baja,2011-06-01,19,13,39,32,40,50,98,95,193
NACEBE (SANTA ROSA DEL ABUNA),estado nutricional,l 9.2 talla baja,2011-06-01,2,0,3,5,2,1,7,6,13
NAZACARA DE PACAJES,estado nutricional,l 9.2 talla baja,2011-06-01,4,1,2,1,0,1,6,3,9
NUEVO MANOA (NUEVA ESPERANZA),estado nutricional,l 9.2 talla baja,2011-06-01,0,1,0,2,0,4,0,7,7
OCURI,estado nutricional,l 9.2 talla baja,2011-06-01,29,31,64,53,109,92,202,176,378
OKINAWA,estado nutricional,l 9.2 talla baja,2011-06-01,3,1,0,4,1,1,4,6,10
OMEREQUE,estado nutricional,l 9.2 talla baja,2011-06-01,4,3,5,5,6,13,15,21,36
ORURO,estado nutricional,l 9.2 talla baja,2011-06-01,215,192,326,277,197,180,738,649,1387
PADCAYA,estado nutricional,l 9.2 talla baja,2011-06-01,6,3,13,12,8,8,27,23,50
PADILLA,estado nutricional,l 9.2 talla baja,2011-06-01,12,5,19,11,51,48,82,64,146
PAILON,estado nutricional,l 9.2 talla baja,2011-06-01,1,1,4,2,4,3,9,6,15
PALCA,estado nutricional,l 9.2 talla baja,2011-06-01,6,3,5,7,15,12,26,22,48
PALOS BLANCOS,estado nutricional,l 9.2 talla baja,2011-06-01,5,8,8,5,9,8,22,21,43
PAMPA AULLAGAS,estado nutricional,l 9.2 talla baja,2011-06-01,2,6,9,5,14,7,25,18,43
PAMPA GRANDE,estado nutricional,l 9.2 talla baja,2011-06-01,2,1,7,1,5,7,14,9,23
PAPEL PAMPA,estado nutricional,l 9.2 talla baja,2011-06-01,5,0,7,4,10,6,22,10,32
PASORAPA,estado nutricional,l 9.2 talla baja,2011-06-01,2,0,3,1,0,3,5,4,9
PATACAMAYA,estado nutricional,l 9.2 talla baja,2011-06-01,26,12,19,18,10,7,55,37,92
PAZÑA,estado nutricional,l 9.2 talla baja,2011-06-01,4,2,16,10,19,8,39,20,59
PELECHUCO,estado nutricional,l 9.2 talla baja,2011-06-01,10,5,13,5,11,8,34,18,52
POCOATA,estado nutricional,l 9.2 talla baja,2011-06-01,43,29,65,45,77,84,185,158,343
POCONA,estado nutricional,l 9.2 talla baja,2011-06-01,11,16,25,18,21,28,57,62,119
POJO (CBBA),estado nutricional,l 9.2 talla baja,2011-06-01,4,4,18,6,8,9,30,19,49
POOPO,estado nutricional,l 9.2 talla baja,2011-06-01,5,3,4,8,11,8,20,19,39
PORCO,estado nutricional,l 9.2 talla baja,2011-06-01,23,12,29,23,14,20,66,55,121
POROMA,estado nutricional,l 9.2 talla baja,2011-06-01,25,17,53,31,64,79,142,127,269
PORONGO,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,0,0,1,1,1,1,2
PORTACHUELO,estado nutricional,l 9.2 talla baja,2011-06-01,3,3,0,0,3,1,6,4,10
PORVENIR,estado nutricional,l 9.2 talla baja,2011-06-01,2,1,1,4,2,4,5,9,14
POSTRER VALLE,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,0,0,3,5,3,5,8
POTOSI,estado nutricional,l 9.2 talla baja,2011-06-01,170,118,211,165,195,159,576,442,1018
PRESTO,estado nutricional,l 9.2 talla baja,2011-06-01,12,6,41,21,57,52,110,79,189
PUCARA,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,2,4,0,2,3,6,9
PUCARANI,estado nutricional,l 9.2 talla baja,2011-06-01,29,16,40,23,28,12,97,51,148
PUERTO ACOSTA,estado nutricional,l 9.2 talla baja,2011-06-01,4,7,5,3,6,2,15,12,27
PUERTO CARABUCO,estado nutricional,l 9.2 talla baja,2011-06-01,6,1,20,11,14,17,40,29,69
PUERTO GONZALO MORENO,estado nutricional,l 9.2 talla baja,2011-06-01,14,11,31,12,33,15,78,38,116
PUERTO PEREZ,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,1,0,3,3,4,3,7
PUERTO QUIJARRO,estado nutricional,l 9.2 talla baja,2011-06-01,0,1,1,0,0,0,1,1,2
PUERTO RICO,estado nutricional,l 9.2 talla baja,2011-06-01,5,3,7,6,13,2,25,11,36
PUERTO SILES,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,0,0,2,3,3,3,6
PUERTO SUAREZ,estado nutricional,l 9.2 talla baja,2011-06-01,6,2,2,1,2,0,10,3,13
PUERTO VILLARROEL,estado nutricional,l 9.2 talla baja,2011-06-01,7,12,29,33,26,30,62,75,137
PUNA,estado nutricional,l 9.2 talla baja,2011-06-01,20,20,44,39,62,58,126,117,243
PUNATA,estado nutricional,l 9.2 talla baja,2011-06-01,13,7,8,11,10,9,31,27,58
QUIABAYA,estado nutricional,l 9.2 talla baja,2011-06-01,3,0,2,3,8,5,13,8,21
QUILLACOLLO,estado nutricional,l 9.2 talla baja,2011-06-01,13,10,36,26,14,28,63,64,127
QUIME,estado nutricional,l 9.2 talla baja,2011-06-01,8,2,5,8,15,9,28,19,47
QUIRUSILLAS,estado nutricional,l 9.2 talla baja,2011-06-01,0,1,1,0,0,0,1,1,2
RAVELO,estado nutricional,l 9.2 talla baja,2011-06-01,47,29,89,71,148,182,284,282,566
REYES,estado nutricional,l 9.2 talla baja,2011-06-01,5,3,10,5,8,3,23,11,34
RIBERALTA,estado nutricional,l 9.2 talla baja,2011-06-01,24,11,55,36,47,49,126,96,222
ROBORE,estado nutricional,l 9.2 talla baja,2011-06-01,2,2,0,1,1,0,3,3,6
RURRENABAQUE,estado nutricional,l 9.2 talla baja,2011-06-01,2,8,13,7,8,13,23,28,51
SABAYA,estado nutricional,l 9.2 talla baja,2011-06-01,0,1,2,3,7,4,9,8,17
SACABA,estado nutricional,l 9.2 talla baja,2011-06-01,32,18,73,42,45,41,150,101,251
SACABAMBA,estado nutricional,l 9.2 talla baja,2011-06-01,8,5,5,7,11,21,24,33,57
SACACA,estado nutricional,l 9.2 talla baja,2011-06-01,60,35,91,85,93,118,244,238,482
SAIPINA,estado nutricional,l 9.2 talla baja,2011-06-01,0,2,0,1,3,6,3,9,12
SALINAS DE GARCI MENDOZA,estado nutricional,l 9.2 talla baja,2011-06-01,11,7,20,9,35,21,66,37,103
SAMAIPATA,estado nutricional,l 9.2 talla baja,2011-06-01,2,1,2,2,2,3,6,6,12
SAN AGUSTIN,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,1,0,2,1,4,1,5
SAN ANDRES,estado nutricional,l 9.2 talla baja,2011-06-01,3,3,5,2,4,5,12,10,22
SAN ANDRES DE MACHACA,estado nutricional,l 9.2 talla baja,2011-06-01,2,2,0,3,1,2,3,7,10
SAN ANTONIO DE ESMORUCO,estado nutricional,l 9.2 talla baja,2011-06-01,3,2,4,2,3,2,10,6,16
SAN ANTONIO DE LOMERIO,estado nutricional,l 9.2 talla baja,2011-06-01,3,2,6,6,8,11,17,19,36
SAN BENITO,estado nutricional,l 9.2 talla baja,2011-06-01,5,6,14,11,8,5,27,22,49
SAN BORJA,estado nutricional,l 9.2 talla baja,2011-06-01,30,5,49,18,35,54,114,77,191
SAN BUENA VENTURA,estado nutricional,l 9.2 talla baja,2011-06-01,3,3,2,3,3,8,8,14,22
SAN CARLOS,estado nutricional,l 9.2 talla baja,2011-06-01,7,8,5,8,8,6,20,22,42
SAN IGNACIO,estado nutricional,l 9.2 talla baja,2011-06-01,12,6,32,14,29,20,73,40,113
SAN IGNACIO DE VELASCO,estado nutricional,l 9.2 talla baja,2011-06-01,46,19,29,21,39,44,114,84,198
SAN JAVIER(BNI),estado nutricional,l 9.2 talla baja,2011-06-01,0,0,0,1,0,1,0,2,2
SAN JAVIER(STC),estado nutricional,l 9.2 talla baja,2011-06-01,0,3,5,2,5,1,10,6,16
SAN JOAQUIN,estado nutricional,l 9.2 talla baja,2011-06-01,3,1,1,2,2,1,6,4,10
SAN JOSE DE CHIQUITOS,estado nutricional,l 9.2 talla baja,2011-06-01,5,2,9,1,7,5,21,8,29
SAN JUAN DE YAPACANI,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,0,0,4,0,4,0,4
SAN JULIAN,estado nutricional,l 9.2 talla baja,2011-06-01,5,5,13,7,7,6,25,18,43
SAN LORENZO(PND),estado nutricional,l 9.2 talla baja,2011-06-01,6,4,11,4,7,14,24,22,46
SAN LORENZO(TJA),estado nutricional,l 9.2 talla baja,2011-06-01,6,6,11,9,14,10,31,25,56
SAN LUCAS,estado nutricional,l 9.2 talla baja,2011-06-01,36,23,49,41,79,77,164,141,305
SAN MATIAS,estado nutricional,l 9.2 talla baja,2011-06-01,1,1,6,4,1,0,8,5,13
SAN MIGUEL DE VELASCO,estado nutricional,l 9.2 talla baja,2011-06-01,10,6,21,7,17,11,48,24,72
SAN PABLO DE LIPEZ,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,5,3,2,2,8,5,13
SAN PEDRO,estado nutricional,l 9.2 talla baja,2011-06-01,2,0,3,1,10,2,15,3,18
SAN PEDRO DE BUENA VISTA,estado nutricional,l 9.2 talla baja,2011-06-01,41,37,83,76,83,108,207,221,428
SAN PEDRO DE CURAHUARA,estado nutricional,l 9.2 talla baja,2011-06-01,1,1,4,4,9,6,14,11,25
SAN PEDRO DE QUEMES,estado nutricional,l 9.2 talla baja,2011-06-01,0,1,0,0,1,2,1,3,4
SAN PEDRO DE TIQUINA,estado nutricional,l 9.2 talla baja,2011-06-01,1,1,5,4,7,4,13,9,22
SAN PEDRO(PND),estado nutricional,l 9.2 talla baja,2011-06-01,0,0,0,0,1,0,1,0,1
SAN RAFAEL,estado nutricional,l 9.2 talla baja,2011-06-01,4,4,4,2,4,4,12,10,22
SAN RAMON BENI,estado nutricional,l 9.2 talla baja,2011-06-01,1,1,1,0,4,5,6,6,12
SAN RAMON SCZ,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,0,2,1,0,1,2,3
SANTA ANA,estado nutricional,l 9.2 talla baja,2011-06-01,0,2,9,3,4,2,13,7,20
SANTA CRUZ DE LA SIERRA,estado nutricional,l 9.2 talla baja,2011-06-01,135,126,93,107,134,74,362,307,669
SANTA ROSA,estado nutricional,l 9.2 talla baja,2011-06-01,2,0,0,2,3,1,5,3,8
SANTA ROSA DEL SARA,estado nutricional,l 9.2 talla baja,2011-06-01,1,1,1,0,2,0,4,1,5
SANTIAGO DE CALLAPA,estado nutricional,l 9.2 talla baja,2011-06-01,3,0,2,3,0,3,5,6,11
SANTIAGO DE HUARI,estado nutricional,l 9.2 talla baja,2011-06-01,11,6,29,8,18,24,58,38,96
SANTIAGO DE HUATA,estado nutricional,l 9.2 talla baja,2011-06-01,0,1,3,1,2,0,5,2,7
SANTIAGO DE MACHACA,estado nutricional,l 9.2 talla baja,2011-06-01,5,3,10,4,13,8,28,15,43
SANTIVAÑES,estado nutricional,l 9.2 talla baja,2011-06-01,2,0,4,2,12,14,18,16,34
SANTUARIO DE QUILLACAS,estado nutricional,l 9.2 talla baja,2011-06-01,2,3,8,4,7,3,17,10,27
SAPAHAQUI,estado nutricional,l 9.2 talla baja,2011-06-01,15,4,17,16,18,23,50,43,93
SENA,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,3,3,2,3,5,6,11
SHINAOTA,estado nutricional,l 9.2 talla baja,2011-06-01,1,6,8,16,5,15,14,37,51
SICA SICA (VILLA AROMA),estado nutricional,l 9.2 talla baja,2011-06-01,15,7,29,16,24,28,68,51,119
SICAYA,estado nutricional,l 9.2 talla baja,2011-06-01,3,3,9,7,10,10,22,20,42
SIPE SIPE,estado nutricional,l 9.2 talla baja,2011-06-01,24,18,38,46,37,34,99,98,197
SOPACHUY,estado nutricional,l 9.2 talla baja,2011-06-01,9,3,12,10,47,68,68,81,149
SORACACHI,estado nutricional,l 9.2 talla baja,2011-06-01,8,5,23,13,16,26,47,44,91
SORATA,estado nutricional,l 9.2 talla baja,2011-06-01,9,6,18,17,13,21,40,44,84
SUCRE,estado nutricional,l 9.2 talla baja,2011-06-01,123,69,251,170,216,176,590,415,1005
TACACHI,estado nutricional,l 9.2 talla baja,2011-06-01,2,0,0,0,0,1,2,1,3
TACACOMA,estado nutricional,l 9.2 talla baja,2011-06-01,10,2,7,8,10,10,27,20,47
TACOBAMBA,estado nutricional,l 9.2 talla baja,2011-06-01,13,11,35,18,20,22,68,51,119
TACOPAYA,estado nutricional,l 9.2 talla baja,2011-06-01,18,10,34,31,75,57,127,98,225
TAHUA,estado nutricional,l 9.2 talla baja,2011-06-01,0,3,3,0,1,0,4,3,7
TAPACARI,estado nutricional,l 9.2 talla baja,2011-06-01,43,46,83,70,100,87,226,203,429
TARABUCO,estado nutricional,l 9.2 talla baja,2011-06-01,42,24,83,59,189,177,314,260,574
TARACO,estado nutricional,l 9.2 talla baja,2011-06-01,2,2,4,1,2,2,8,5,13
TARATA,estado nutricional,l 9.2 talla baja,2011-06-01,3,3,6,1,2,1,11,5,16
TARIJA,estado nutricional,l 9.2 talla baja,2011-06-01,22,11,26,23,26,24,74,58,132
TARVITA,estado nutricional,l 9.2 talla baja,2011-06-01,21,20,60,45,165,142,246,207,453
TEOPONTE,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,6,7,14,5,21,12,33
TIAWANACU,estado nutricional,l 9.2 talla baja,2011-06-01,6,4,19,7,3,11,28,22,50
TINGUIPAYA,estado nutricional,l 9.2 talla baja,2011-06-01,59,49,77,64,60,47,196,160,356
TIPUANI,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,1,1,8,6,10,7,17
TIQUIPAYA,estado nutricional,l 9.2 talla baja,2011-06-01,18,23,48,60,68,56,134,139,273
TIRAQUE (CBBA),estado nutricional,l 9.2 talla baja,2011-06-01,6,11,36,43,28,20,70,74,144
TITO YUPANQUI (PARQUIPUJIO),estado nutricional,l 9.2 talla baja,2011-06-01,2,1,3,1,2,0,7,2,9
TOCO,estado nutricional,l 9.2 talla baja,2011-06-01,6,5,10,7,2,5,18,17,35
TODOS SANTOS,estado nutricional,l 9.2 talla baja,2011-06-01,0,0,1,0,1,0,2,0,2
TOLATA,estado nutricional,l 9.2 talla baja,2011-06-01,1,0,3,1,3,4,7,5,12
TOLEDO,estado nutricional,l 9.2 talla baja,2011-06-01,2,4,8,4,3,9,13,17,30
TOMAVE,estado nutricional,l 9.2 talla baja,2011-06-01,16,10,17,13,24,26,57,49,106
TOMINA,estado nutricional,l 9.2 talla baja,2011-06-01,4,12,35,18,79,89,118,119,237
TORO TORO,estado nutricional,l 9.2 talla baja,2011-06-01,22,14,31,33,58,64,111,111,222
TOTORA(CBBA),estado nutricional,l 9.2 talla baja,2011-06-01,11,5,22,17,17,9,50,31,81
TOTORA(ORR),estado nutricional,l 9.2 talla baja,2011-06-01,4,2,13,9,10,9,27,20,47
TRINIDAD,estado nutricional,l 9.2 talla baja,2011-06-01,28,27,20,22,37,28,85,77,162
TUPIZA,estado nutricional,l 9.2 talla baja,2011-06-01,32,22,34,30,51,29,117,81,198
TURCO,estado nutricional,l 9.2 talla baja,2011-06-01,2,0,8,6,7,5,17,11,28
UMALA,estado nutricional,l 9.2 talla baja,2011-06-01,4,2,3,6,3,0,10,8,18
UNCIA,estado nutricional,l 9.2 talla baja,2011-06-01,23,15,56,30,50,43,129,88,217
URIONDO (A. CONCEPCION),estado nutricional,l 9.2 talla baja,2011-06-01,1,1,6,2,6,1,13,4,17
URUBICHA,estado nutricional,l 9.2 talla baja,2011-06-01,3,6,13,8,23,27,39,41,80
UYUNI,estado nutricional,l 9.2 talla baja,2011-06-01,33,6,38,24,39,27,110,57,167
VACAS,estado nutricional,l 9.2 talla baja,2011-06-01,1,9,30,13,12,9,43,31,74
VALLEGRANDE,estado nutricional,l 9.2 talla baja,2011-06-01,5,2,3,3,3,3,11,8,19
VIACHA,estado nutricional,l 9.2 talla baja,2011-06-01,29,11,34,17,18,18,81,46,127
VILA VILA,estado nutricional,l 9.2 talla baja,2011-06-01,9,6,16,16,48,43,73,65,138
VILLA CHARCAS,estado nutricional,l 9.2 talla baja,2011-06-01,20,20,64,35,91,88,175,143,318
VILLA MONTES,estado nutricional,l 9.2 talla baja,2011-06-01,4,4,4,9,6,2,14,15,29
VILLA NUEVA (LOMA ALTA),estado nutricional,l 9.2 talla baja,2011-06-01,2,0,13,13,10,17,25,30,55
VILLA RIVERO,estado nutricional,l 9.2 talla baja,2011-06-01,2,6,6,6,4,9,12,21,33
VILLA SERRANO,estado nutricional,l 9.2 talla baja,2011-06-01,10,8,20,18,53,36,83,62,145
VILLA TUNARI,estado nutricional,l 9.2 talla baja,2011-06-01,39,33,68,70,72,97,179,200,379
VILLA VACA GUZMAN (MUYUPAMPA),estado nutricional,l 9.2 talla baja,2011-06-01,4,8,9,8,6,11,19,27,46
VILLAZON,estado nutricional,l 9.2 talla baja,2011-06-01,34,19,62,33,44,55,140,107,247
VINTO,estado nutricional,l 9.2 talla baja,2011-06-01,12,10,21,27,11,19,44,56,100
VITICHI,estado nutricional,l 9.2 talla baja,2011-06-01,8,5,24,19,37,47,69,71,140
WALDO BALLIVIAN,estado nutricional,l 9.2 talla baja,2011-06-01,5,2,2,2,5,6,12,10,22
WARNES,estado nutricional,l 9.2 talla baja,2011-06-01,3,5,9,4,6,8,18,17,35
YACO,estado nutricional,l 9.2 talla baja,2011-06-01,12,12,21,19,37,30,70,61,131
YACUIBA,estado nutricional,l 9.2 talla baja,2011-06-01,16,20,15,22,11,18,42,60,102
YAMPARAEZ,estado nutricional,l 9.2 talla baja,2011-06-01,7,3,22,13,68,66,97,82,179
YANACACHI,estado nutricional,l 9.2 talla baja,2011-06-01,0,2,1,3,4,7,5,12,17
YAPACANI,estado nutricional,l 9.2 talla baja,2011-06-01,7,3,19,15,15,12,41,30,71
YOCALLA,estado nutricional,l 9.2 talla baja,2011-06-01,2,9,4,7,5,6,11,22,33
YOTALA,estado nutricional,l 9.2 talla baja,2011-06-01,3,3,9,5,29,13,41,21,62
YUNCHARA,estado nutricional,l 9.2 talla baja,2011-06-01,5,1,13,9,38,18,56,28,84
ZUDAÑEZ,estado nutricional,l 9.2 talla baja,2011-06-01,4,4,21,12,83,78,108,94,202
ACACIO,estado nutricional,l 9.2 talla baja,2011-07-01,7,9,28,13,24,52,59,74,133
ACHACACHI,estado nutricional,l 9.2 talla baja,2011-07-01,35,29,31,35,33,25,99,89,188
ACHOCALLA,estado nutricional,l 9.2 talla baja,2011-07-01,7,4,9,7,8,2,24,13,37
AIQUILE,estado nutricional,l 9.2 talla baja,2011-07-01,122,28,50,54,37,34,209,116,325
ALALAY,estado nutricional,l 9.2 talla baja,2011-07-01,10,7,15,12,22,11,47,30,77
ALCALA,estado nutricional,l 9.2 talla baja,2011-07-01,3,1,7,2,19,24,29,27,56
ALTO BENI,estado nutricional,l 9.2 talla baja,2011-07-01,0,1,10,6,6,7,16,14,30
ANCORAIMES,estado nutricional,l 9.2 talla baja,2011-07-01,15,15,24,8,16,15,55,38,93
ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-07-01,6,0,8,5,19,32,33,37,70
ANTEQUERA,estado nutricional,l 9.2 talla baja,2011-07-01,5,3,5,6,5,3,15,12,27
ANZALDO,estado nutricional,l 9.2 talla baja,2011-07-01,6,7,17,15,14,9,37,31,68
APOLO,estado nutricional,l 9.2 talla baja,2011-07-01,8,4,20,15,18,20,46,39,85
ARAMPAMPA,estado nutricional,l 9.2 talla baja,2011-07-01,6,6,20,9,29,28,55,43,98
ARANI,estado nutricional,l 9.2 talla baja,2011-07-01,6,7,15,12,19,13,40,32,72
ARBIETO,estado nutricional,l 9.2 talla baja,2011-07-01,0,5,5,3,21,15,26,23,49
ARQUE,estado nutricional,l 9.2 talla baja,2011-07-01,30,25,58,48,56,43,144,116,260
ASCENCION DE GUARAYOS,estado nutricional,l 9.2 talla baja,2011-07-01,7,121,7,3,3,2,17,126,143
ATOCHA,estado nutricional,l 9.2 talla baja,2011-07-01,6,2,6,5,11,7,23,14,37
AUCAPATA,estado nutricional,l 9.2 talla baja,2011-07-01,3,3,5,8,6,8,14,19,33
AYATA,estado nutricional,l 9.2 talla baja,2011-07-01,7,4,38,21,23,22,68,47,115
AYO AYO,estado nutricional,l 9.2 talla baja,2011-07-01,14,11,26,16,13,5,53,32,85
AYOPAYA (V. DE INDEPENDENCIA),estado nutricional,l 9.2 talla baja,2011-07-01,23,31,63,43,50,40,136,114,250
AZURDUY,estado nutricional,l 9.2 talla baja,2011-07-01,9,12,30,28,93,97,132,137,269
BATALLAS,estado nutricional,l 9.2 talla baja,2011-07-01,13,9,26,14,13,13,52,36,88
BAURES,estado nutricional,l 9.2 talla baja,2011-07-01,2,1,4,1,2,1,8,3,11
BELEN DE ANDAMARCA,estado nutricional,l 9.2 talla baja,2011-07-01,4,0,3,2,0,1,7,3,10
BELEN DE URMIRI,estado nutricional,l 9.2 talla baja,2011-07-01,0,3,2,3,5,3,7,9,16
BELLA FLOR,estado nutricional,l 9.2 talla baja,2011-07-01,0,0,0,0,1,2,1,2,3
BERMEJO,estado nutricional,l 9.2 talla baja,2011-07-01,12,1,6,13,26,30,44,44,88
BETANZOS,estado nutricional,l 9.2 talla baja,2011-07-01,53,41,106,86,143,97,302,224,526
