,group,variable,month,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTALES
SAN BENITO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,8,8,4,10,30
SAN BORJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,56,44,28,21,149
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,6,1,0,11
SAN CARLOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,17,22,3,2,44
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,22,22,1,0,45
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,45,34,10,5,94
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,2,1,3
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,27,27,0,0,54
SAN JOAQUIN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,7,2,0,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,13,13,7,8,41
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,10,1,0,17
SAN JULIAN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,30,33,6,2,71
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,3,3,3,15
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,15,13,4,3,35
SAN LUCAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,11,6,5,24
SAN MATIAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,6,2,0,14
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,8,11,0,0,19
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,1,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,8,2,1,17
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,12,5,17,12,46
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,2,3,0,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,7,0,3,15
SAN RAMON BENI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,1,2,0,4
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,12,15,0,0,27
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1177,1019,6,6,2208
SANTA ROSA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,14,9,4,5,32
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,32,16,2,1,51
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,1,0,0,4
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,4,3,4,14
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,6,0,3,11
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,1,0,0,5
SANTIVAÑES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,2,0,0,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,3,1,2,8
SAPAHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,9,0,1,13
SENA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,22,9,3,2,36
SHINAOTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,6,1,1,12
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,10,7,6,5,28
SICAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,2,3,2,8
SOPACHUY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,1,0,1
SORACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,2,1,8,14
SORATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,5,10,18,36
SUCRE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,211,229,21,18,479
TACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
TACACOMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,10,2,2,18
TACOBAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,3,2,6
TACOPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,5,1,3,11
TAPACARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,19,17,11,20,67
TARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,10,8,15,40
TARACO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,0,0,1
TARATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,9,6,2,2,19
TARIJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,139,135,14,13,301
TARVITA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,8,5,1,16
TEOPONTE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,10,0,2,18
TIAWANACU,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,0,1,0,1
TINGUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,1,1,0,6
TIPUANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,9,0,1,13
TIQUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,15,21,12,20,68
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,10,11,16,13,50
TOCO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,4,1,1,7
TOLATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,2,1,3,9
TOLEDO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,2,0,3,7
TOMAVE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,10,6,4,27
TOMINA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,2,2,1,8
TORO TORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,2,18,14,36
TOTORA(CBBA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,9,1,2,19
TOTORA(ORR),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,2,0,0,4
TRINIDAD,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,80,82,8,1,171
TUPIZA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,27,22,2,6,57
UMALA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,1,9,6,20
UNCIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,9,5,4,5,23
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,8,9,4,5,26
URUBICHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,3,9,9,26
UYUNI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,41,36,1,1,79
VACAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,3,9,5,21
VALLEGRANDE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,12,2,0,21
VIACHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,60,53,11,10,134
VILA VILA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,3,7,3,4,17
VILLA CHARCAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,8,2,2,19
VILLA MONTES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,38,46,9,12,105
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,0,7,1,9
VILLA RIVERO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,4,1,2,2,9
VILLA SERRANO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,6,1,1,2,10
VILLA TUNARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,80,55,23,13,171
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,2,0,1,4
VILLAZON,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,31,26,6,2,65
VINTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,35,22,2,0,59
VITICHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,7,4,0,0,11
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,1,3,3,8
WARNES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,152,110,3,3,268
YACO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,5,2,1,8
YACUIBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,75,53,42,46,216
YAMPARAEZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,0,2,2,6
YANACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,4,0,0,5
YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,45,187,17,16,265
YOCALLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,2,2,1,1,6
YOTALA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,0,2,2,0,4
YUNCHARA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,1,1,5,7,14
ZUDAÑEZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-07-01,5,3,7,4,19
ACACIO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,0,1,2
ACHACACHI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,10,7,11,6,34
AIQUILE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,7,5,3,3,18
ALCALA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,1,1,1,5
ALTO BENI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,6,5,7,2,20
ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,1,0,0,2
ANTEQUERA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,3,0,0,4
ANZALDO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,2,3,6
APOLO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,8,9,7,10,34
ARAMPAMPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,1,4,3,10
ARANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,3,2,3,10
ARBIETO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,4,1,1,7
ARQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,0,6,2,10
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,29,24,1,1,55
ATOCHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,0,0,0,2
AYATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,2,1,0,4
AYO AYO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,0,7,2,9
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,5,4,1,2,12
BATALLAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,4,4,2,0,10
BAURES,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,4,2,0,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,0,0,2,2
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,0,5,1,8
BELLA FLOR,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,3,1,1,1,6
BERMEJO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,16,9,4,31
BETANZOS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,3,0,0,3
BOLPEBRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,0,1,2
BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,9,21,3,1,34
CABEZAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,9,7,5,5,26
CAIROMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,4,5,0,1,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,3,0,1,6
CAJUATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,5,10,1,1,17
CALACOTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,0,0,1,1
CALAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,2,1,3,7
CAMARGO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,8,10,4,0,22
CAMIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,11,13,0,0,24
CAPINOTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,0,1,0,3
CAQUIAVIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,0,0,1
CARACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,7,8,1,4,20
CARANAVI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,20,28,84,58,190
CARAPARI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,2,4,7,14
CARIPUYO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,0,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,20,20,4,2,46
CHARAGUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,4,1,5,0,10
CHARAÑA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,0,2,2,6
CHAYANTA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,5,6,3,16
CHIMORE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,10,12,3,4,29
CHIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,1,2,4
CHUA COCANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,0,5,6,11
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,10,10,1,0,21
CHUMA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,3,3,0,0,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,3,13,18,35
CKOCHAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,9,8,3,2,22
CLIZA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,8,7,7,3,25
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,57,48,9,6,120
COCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,2,3,5,10
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,420,443,120,58,1041
COLCAPIRHUA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,117,93,70,50,330
"COLCHA ""K""",vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,4,6,0,1,11
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,13,12,7,9,41
COLPA BELGICA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,3,0,0,4
COLQUECHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,6,8,5,3,22
COLQUENCHA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,9,6,1,0,16
COLQUIRI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,4,7,0,1,12
COMARAPA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,5,8,0,0,13
CONCEPCION,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,21,18,1,0,40
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,2,3,3,9
CORIPATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,11,3,6,3,23
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,4,3,1,10
COROICO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,8,11,8,6,33
CORQUE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,0,3,1,4
COTAGAITA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,0,0,0,2
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,53,48,5,8,114
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,3,1,1,7
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,0,0,1,2
CUEVO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,1,1,1,4
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,0,0,1
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,321,365,39,45,770
EL CHORO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,0,9,12,21
EL PUENTE(STC),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,9,8,6,2,25
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,4,2,0,0,6
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,31,28,0,0,59
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,5,13,0,1,19
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,7,8,1,1,17
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,4,0,1,6
EXALTACION,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,3,1,0,0,4
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,4,3,2,11
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,2,0,0,4
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,13,13,1,2,29
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,1,0,2,4
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,2,7,24,35
GUAYARAMERIN,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,16,13,9,20,58
GUTIERREZ,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,3,1,2,7
HUACARETA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,2,0,0,2
HUACHACALLA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,11,8,0,0,19
HUARACAJE,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,1,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,0,2,1,4
HUMANATA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,0,1,1,3
ICHOCA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,2,1,0,0,3
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,1,6,2,4,13
IXIAMAS,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,8,10,7,5,30
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (6m a 11 m) 1ra. dosis,2015-08-01,0,0,0,2,2
