,group,variable,month,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTAL INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
CLIZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,24,21,8,2,55
COBIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,57,54,0,2,113
COCAPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,9,9,36,26,80
COCHABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,245,262,24,39,570
COIPASA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,2,1,0,4
COLCAPIRHUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,40,57,29,45,171
"COLCHA ""K""",vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,26,19,3,1,49
COLOMI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,28,16,12,17,73
COLPA BELGICA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,4,0,0,6
COLQUECHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,35,34,76,68,213
COLQUENCHA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,4,3,0,15
COLQUIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,2,7,10
COMANCHE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,2,0,0,4
COMARAPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,8,0,0,19
CONCEPCION,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,24,26,2,1,53
COPACABANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,2,0,1,5
CORIPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,1,3,12,28
CORO CORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,1,4,1,6
COROICO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,1,2,1,6
CORQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,3,4,2,10
COTAGAITA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,10,19,5,2,36
COTOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,85,68,0,0,153
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,15,3,2,31
CUEVO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,6,7,5,22
CULPINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,28,20,23,17,88
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,3,2,2,14
CURVA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,1,2,3
DESAGUADERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,2,0,1,9
EL ALTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,265,305,26,30,626
EL CHORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,1,5,6,12
EL PUENTE(STC),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,6,0,0,18
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,18,14,5,2,39
EL TORNO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,33,41,2,0,76
EL VILLAR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,2,4,7,19
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,30,28,22,31,111
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,102,99,4,9,214
ESCOMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,2,0,0,5
EUCALIPTUS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,2,0,1,4
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,1,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,15,12,0,1,28
FILADELFIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,5,4,0,10
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,1,0,0,5
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,4,1,2,9
GUANAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,8,4,3,23
GUAQUI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,14,13,27
GUAYARAMERIN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,83,80,10,12,185
GUTIERREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,5,0,0,6
HUACARETA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,17,20,6,2,45
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,1,0,0,3
HUANUNI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,16,16,0,0,32
HUARACAJE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,2,0,0,3
HUARINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,2,3,2,8
HUATAJATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,2,1,3,8
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,1,0,6,10
HUMANATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,2,0,0,3
ICHOCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,1,2,4
ICLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,3,11,4,18
INCAHUASI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,7,20,14,46
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,5,5,8,29
IXIAMAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,2,0,0,4
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,2,2,0,12
LA ASUNTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,37,31,5,6,79
LA GUARDIA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,60,69,3,5,137
LA PAZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,205,226,10,10,451
LAGUNILLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,7,1,3,13
LAJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,16,12,1,41
LAS CARRERAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,7,1,3,14
LLALLAGUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,10,14,70,78,172
LLICA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,5,1,0,13
LORETO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,5,5,8,23
LURIBAY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,1,5,9,16
MACHACAMARCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,3,0,0,3
MACHARETI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,4,1,0,6
MAGDALENA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,0,0,0,3
MAIRANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,9,0,0,21
MALLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,24,12,0,5,41
MECAPACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,22,3,3,40
MINEROS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,7,0,0,9
MIZQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,18,14,4,7,43
MOCOMOCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,3,6,1,13
MOJOCOYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,1,1,4
MONTEAGUDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,17,22,3,4,46
MONTERO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,126,137,1,1,265
MORO MORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,2,1,3
MOROCHATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,4,15,10,33
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,6,4,0,12
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,3,0,0,15
OCURI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,1,23,35,61
OKINAWA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,15,12,1,0,28
OMEREQUE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,3,10,4,20
ORURO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,219,219,3,3,444
PADCAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,25,21,11,19,76
PADILLA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,13,5,2,27
PAILON,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,6,5,0,17
PALCA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,0,1,2
PALOS BLANCOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,16,12,7,11,46
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,2,0,0,4
PAPEL PAMPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,6,1,3,14
PASORAPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,2,6,8
PATACAMAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,4,2,4,12
PAZÑA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,1,2,3
PELECHUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,1,1,3,7
POCOATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,1,35,36,72
POCONA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,11,4,7,27
POJO (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,7,2,4,21
PORCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,1,24,21,47
POROMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,13,31,32,22,98
PORONGO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,10,11,1,0,22
PORTACHUELO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,34,47,0,0,81
PORVENIR,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,2,0,2
POTOSI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,66,75,4,7,152
PRESTO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,14,7,21,18,60
PUCARANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,19,19,24,21,83
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,8,1,0,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,1,3,4,9
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,6,7,15
PUERTO PEREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,4,14,6,26
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,10,3,2,21
PUERTO RICO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,8,0,0,16
PUERTO SILES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,1,2,0,3
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,18,32,0,0,50
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,76,65,22,20,183
PUNA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,5,35,36,87
PUNATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,17,11,2,2,32
QUIABAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,0,1,2
QUILLACOLLO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,67,54,22,35,178
QUIME,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,1,10,2,15
QUIRUSILLAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,1,0,0,2
RAVELO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,10,43,31,91
RIBERALTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,10,11,0,1,22
ROBORE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,13,10,2,2,27
SABAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,90,77,14,10,191
SACABAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,7,1,2,15
SACACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,12,38,27,88
SAIPINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,3,1,0,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,8,9,10,14,41
SAMAIPATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,14,0,0,26
SAN AGUSTIN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,0,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,8,6,2,27
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,3,1,0,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,1,3,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,5,1,7
SAN BENITO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,6,2,5,24
SAN BORJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,12,1,9,33
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,2,0,1,6
SAN CARLOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,26,23,1,0,50
SAN IGNACIO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,17,15,3,1,36
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,40,57,8,18,123
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,0,5,4,9
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,23,19,0,0,42
SAN JOAQUIN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,4,0,0,7
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,14,12,4,7,37
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,14,12,2,1,29
SAN JULIAN,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,24,27,6,7,64
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,13,19,10,4,46
SAN LUCAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,48,47,27,38,160
SAN MATIAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,6,1,0,12
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,26,25,0,0,51
SAN PEDRO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,6,1,0,12
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,62,66,39,41,208
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,1,0,2,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,3,0,2,6
SAN RAFAEL,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,6,6,2,18
SAN RAMON BENI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,5,0,1,10
SANTA ANA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,13,11,0,0,24
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,614,897,3,1,1515
SANTA ROSA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,0,0,0,1
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,7,2,0,20
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,3,1,1,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,3,12,13,31
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,2,1,1,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,5,2,2,9
SANTIVAÑES,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,6,1,4,5,16
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,2,0,0,5
SAPAHAQUI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,5,0,0,9
SENA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,1,0,0,4
SHINAOTA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,2,2,3,11
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,16,7,2,7,32
SICAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,4,2,8
SIPE SIPE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,142,139,69,69,419
SOPACHUY,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,4,11,11,29
SORACACHI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,7,0,3,9,19
SORATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,1,6,9,18
SUCRE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,300,309,14,21,644
TACACOMA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,1,5,1,9
TACOBAMBA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,3,4,3,13
TACOPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,5,11,17,37
TAHUA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,3,0,0,4
TAPACARI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,14,14,14,12,54
TARABUCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,10,18,21,60
TARACO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,1,4,0,0,5
TARATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,9,0,1,13
TARIJA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,225,219,18,10,472
TARVITA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,16,25,31,29,101
TEOPONTE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,10,11,5,38
TIAWANACU,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,11,15,1,1,28
TINGUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,8,5,1,19
TIPUANI,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,4,3,3,12
TIQUIPAYA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,19,15,11,13,58
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,3,6,9,16,34
TOCO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,5,2,1,3,11
TOLATA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,2,4,0,3,9
TOLEDO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,0,2,1,2,5
TOMAVE,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,12,16,27,23,78
TOMINA,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,9,10,2,8,29
TORO TORO,vacunaciones en menores de 1 ano,total influenza estacional (7m a 11 m) 2da. dosis,2015-07-01,4,5,29,33,71
