,group,variable,month,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
APOLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,6,6,1,16
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,1,2,2,5
ARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,11,6,0,2,19
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,13,11,5,3,32
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,10,2,1,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,41,40,1,0,82
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,8,9,1,2,20
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,1,1,2
AYATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,2,3,5,13
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,3,1,0,7
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,15,11,4,18,48
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,2,3,5,17
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,10,6,5,4,25
BAURES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,1,2,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,1,1,0,3
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,1,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,2,0,4,7
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,40,41,2,6,89
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,14,16,7,10,47
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,1,4,5,13
BOLPEBRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,3,0,3
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,6,2,0,11
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,11,15,5,4,35
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,26,22,14,9,71
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,6,3,2,14
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,5,2,2,13
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,5,3,1,13
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,2,1,0,4
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,8,4,3,19
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,10,8,4,6,28
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,1,1,1,3
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,43,41,0,0,84
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,17,15,1,1,34
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,2,0,0,5
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,14,21,3,2,40
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,53,42,9,6,110
CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,1,0,1
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,17,11,1,2,31
CARIPUYO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,2,2,0,10
CHACARILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,35,22,9,10,76
CHAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,8,2,5,1,16
CHARAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,23,23,11,16,73
CHARAÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,1,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,9,7,7,11,34
CHIMORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,8,15,1,1,25
CHIPAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,2,0,0,4
CHOQUE COTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,16,13,2,3,34
CHUMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,7,3,2,13
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,0,0,3,9
CKOCHAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,2,12,5,26
CLIZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,10,2,1,25
COBIJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,69,82,5,3,159
COCAPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,5,12,15,35
COCHABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,662,658,7,3,1330
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,24,36,0,1,61
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,17,15,1,0,33
COLLANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,4,0,1,8
COLOMI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,15,12,4,1,32
COLPA BELGICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,15,0,0,21
COLQUECHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,19,16,18,19,72
COLQUENCHA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,3,0,0,8
COLQUIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,15,12,21,60
COMANCHE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
COMARAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,17,12,0,0,29
COMBAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,2,0,3
CONCEPCION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,29,31,5,3,68
COPACABANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,6,3,5,17
CORIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,16,14,0,0,30
CORO CORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,2,0,2,8
COROICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,13,11,3,0,27
CORQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,1,1,2,10
COTAGAITA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,11,9,9,1,30
COTOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,80,93,3,7,183
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,20,16,6,13,55
CUEVO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,0,1,1,6
CULPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,10,10,7,3,30
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,3,1,1,6
CURVA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,1,0,0,1
DESAGUADERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,3,1,0,8
EL ALTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,606,634,127,117,1484
EL CHORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,2,0,1,7
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,7,2,0,15
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,6,3,0,14
EL TORNO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,51,61,5,3,120
EL VILLAR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,2,1,1,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,16,17,5,8,46
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,53,38,0,0,91
ESCARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,1,0,0,1
ESCOMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,4,1,0,11
ESMERALDA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,0,1,1
EUCALIPTUS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,0,0,0,2
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,0,2,2
EXALTACION,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,15,16,0,1,32
FILADELFIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,2,1,1,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,13,11,4,4,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,1,0,1,3
GUANAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,15,12,7,6,40
GUAQUI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,2,3,1,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,49,38,7,2,96
GUTIERREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,9,7,11,6,33
HUACARETA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,6,3,1,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,0,0,0,2
HUACHACALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,24,26,2,5,57
HUARACAJE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,4,0,0,6
HUARINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,3,2,0,5
HUATAJATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,2,0,0,4
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,4,1,2,7
HUMANATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,1,1,0,3
ICHOCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,0,0,0,4
ICLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,6,1,4,14
INCAHUASI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,6,6,11,24
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,2,0,0,4
INQUISIVI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,6,2,3,16
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,5,3,2,17
IXIAMAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,7,1,0,14
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,14,6,0,0,20
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,32,39,8,7,86
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,94,78,3,2,177
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,632,595,9,12,1248
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,2,0,3,7
LAJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,14,17,9,0,40
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,0,0,1,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,2,0,1,4
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,16,18,23,22,79
LLICA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,4,1,2,11
LORETO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,3,2,8,14
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,5,6,2,16
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,4,1,1,10
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,4,3,1,12
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,10,14,4,2,30
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,16,9,0,0,25
MALLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,0,2,2
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,22,17,0,0,39
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,6,1,1,11
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,5,1,0,10
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,28,14,2,4,48
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,4,7,0,14
MOJINETE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,6,3,1,13
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,22,16,3,4,45
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,185,182,1,2,370
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,3,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,3,9,5,20
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,3,1,2,8
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,4,0,0,8
OCURI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,5,6,9,22
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,22,15,1,0,38
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,1,2,5,13
ORURO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,270,295,8,9,582
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,15,2,2,26
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,5,1,0,10
PAILON,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,33,19,16,21,89
PALCA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,16,11,3,3,33
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,25,17,5,2,49
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,1,0,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,9,0,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,2,2,0,5
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,1,1,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,16,26,1,2,45
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,3,0,0,8
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,3,1,2,8
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,3,15,12,33
POCONA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,2,5,4,15
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,10,7,2,3,22
POOPO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,2,1,2,9
PORCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,2,1,1,8
POROMA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,9,9,5,28
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,4,4,1,15
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,22,17,3,1,43
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,3,2,1,10
POSTRER VALLE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,66,74,7,12,159
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,2,5,2,10
PUCARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,2,0,1,3
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,19,14,9,13,55
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,2,2,5,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,5,4,5,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,6,7,4,22
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,1,0,1,4
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,13,9,3,3,28
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,8,3,0,1,12
PUERTO SILES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,1,1,0,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,16,22,0,0,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,55,59,1,3,118
PUNA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,5,6,10,33
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,19,22,1,1,43
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,3,1,0,4
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,114,94,43,37,288
QUIME,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,5,4,1,17
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
RAVELO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,5,1,7,6,19
REYES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,7,0,2,15
RIBERALTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,131,117,15,13,276
ROBORE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,22,12,0,0,34
RURRENABAQUE,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,19,14,0,0,33
SABAYA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,3,0,4,11
SACABA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,85,98,3,4,190
SACABAMBA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,1,3,0,8
SACACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,14,7,6,34
SAIPINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,3,0,4,13
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,3,4,5,19
SAMAIPATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,10,1,0,13
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,3,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,8,7,0,3,18
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,4,1,2,8
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,1,2,1,6
SAN BENITO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,7,7,1,2,17
SAN BORJA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,56,39,26,13,134
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,10,8,0,0,18
SAN CARLOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,21,29,5,2,57
SAN IGNACIO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,21,15,0,2,38
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,57,54,8,5,124
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,3,1,0,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,18,16,0,0,34
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,9,5,1,0,15
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,21,16,5,2,44
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,9,10,1,1,21
SAN JULIAN,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,47,58,17,9,131
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,0,1,1,4
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,11,2,1,26
SAN LUCAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,14,12,14,13,53
SAN MATIAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,17,13,2,4,36
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,12,8,0,0,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,0,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,22,9,0,1,32
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,21,19,20,15,75
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,3,1,4,11
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,3,1,2,6
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,0,0,1,2,3
SAN RAFAEL,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,3,1,0,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,3,0,1,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,17,9,0,0,26
SANTA ANA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,19,18,0,1,38
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1657,1686,28,30,3401
SANTA ROSA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,11,9,5,4,29
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,14,10,2,1,27
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,3,2,3,1,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,2,2,6,2,12
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,1,0,2,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,1,3,2,1,7
SANTIVAÑES,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,4,5,0,0,9
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antineumococica 2da dosis,2015-07-01,6,1,0,0,7
