,group,variable,month,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
PALCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,20,11,4,3,38
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,23,18,4,2,47
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,1,0,0,3
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,4,0,0,11
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,2,2,0,5
PASORAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,1,1,2,5
PATACAMAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,16,25,1,2,44
PAZÑA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,2,0,0,6
PELECHUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,3,1,2,8
POCOATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,3,14,12,32
POCONA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,2,5,5,16
POJO (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,7,2,2,18
POOPO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,2,1,2,9
PORCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,2,1,1,8
POROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,5,9,9,5,28
PORONGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,6,6,5,3,20
PORTACHUELO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,23,17,4,1,45
PORVENIR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,2,1,0,5
POSTRER VALLE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,70,69,7,12,158
PRESTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,2,5,2,10
PUCARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,0,2,0,1,3
PUCARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,18,13,9,13,53
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,6,2,2,5,15
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,5,4,5,17
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,5,6,10,6,27
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,1,1,1,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,13,9,3,2,27
PUERTO RICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,6,4,0,0,10
PUERTO SILES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,0,1,0,0,1
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,15,23,0,0,38
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,41,55,1,2,99
PUNA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,14,5,6,13,38
PUNATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,20,23,1,1,45
QUIABAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,0,3,1,0,4
QUILLACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,98,85,44,38,265
QUIME,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,5,4,1,17
RAVELO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,5,1,6,6,18
REYES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,12,10,0,1,23
RIBERALTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,123,104,7,12,246
ROBORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,12,13,0,0,25
RURRENABAQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,19,14,0,0,33
SABAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,4,0,4,12
SACABA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,97,112,3,4,216
SACABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,1,3,0,8
SACACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,14,7,6,34
SAIPINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,6,3,0,5,14
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,2,3,6,18
SAMAIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,10,2,0,15
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,0,3,0,0,3
SAN ANDRES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,9,8,2,5,24
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,4,1,2,8
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,1,2,1,6
SAN BENITO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,7,1,2,17
SAN BORJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,50,36,25,10,121
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,10,8,0,0,18
SAN CARLOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,21,28,4,2,55
SAN IGNACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,18,13,0,2,33
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,57,55,8,4,124
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,2,0,2,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,17,14,0,0,31
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,9,5,0,0,14
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,24,18,5,1,48
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,9,10,1,1,21
SAN JULIAN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,47,57,16,10,130
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,0,2,3,7
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,14,12,2,1,29
SAN LUCAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,14,12,14,13,53
SAN MATIAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,19,12,2,2,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,12,8,0,0,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,0,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,25,8,0,1,34
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,21,19,20,15,75
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,4,1,4,12
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,0,1,1,2,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,0,0,1,2,3
SAN RAFAEL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,6,3,1,0,10
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,2,0,1,6
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,21,14,0,0,35
SANTA ANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,19,17,0,1,37
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1653,1591,31,24,3299
SANTA ROSA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,11,8,4,4,27
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,14,10,3,1,28
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,2,4,1,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,2,4,0,8
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,1,0,2,6
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,3,2,1,7
SANTIVAÑES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,5,0,0,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,1,0,0,5
SAPAHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,8,2,0,13
SENA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,6,0,0,10
SHINAOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,27,24,6,2,59
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,16,15,5,3,39
SICAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,1,3,1,6
SIPE SIPE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,36,50,4,2,92
SOPACHUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,5,2,2,1,10
SORACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,6,3,0,16
SORATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,8,4,10,7,29
SUCRE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,235,254,5,2,496
TACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,0,0,0,2
TACACOMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,6,2,0,0,8
TACOBAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,5,5,8,4,22
TACOPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,0,3,3,9
TAPACARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,11,13,7,13,44
TARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,1,2,7,17
TARACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,5,5,1,0,11
TARATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,0,0,0,2
TARIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,204,188,7,12,411
TARVITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,7,4,2,16
TEOPONTE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,11,3,4,25
TIAWANACU,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,10,6,1,0,17
TINGUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,9,5,6,10,30
TIPUANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,10,2,1,0,13
TIQUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,55,54,20,11,140
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,12,10,6,2,30
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,0,1,0,2
TOCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,1,0,1,3
TODOS SANTOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,1,0,0,2
TOLATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,4,1,0,7
TOLEDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,0,1,0,2
TOMAVE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,8,4,6,0,18
TOMINA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,6,1,2,1,10
TORO TORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,3,13,9,32
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,14,9,4,6,33
TOTORA(ORR),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,4,1,1,8
TRIGAL,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,132,114,4,1,251
TUPIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,37,29,6,2,74
TURCO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,4,0,0,5
UMALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,0,1,3,5
UNCIA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,17,10,6,5,38
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,13,8,3,3,27
URUBICHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,5,7,3,5,20
UYUNI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,22,36,2,1,61
VACAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,2,6,2,14
VALLEGRANDE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,12,13,1,0,26
VIACHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,49,62,3,2,116
VILA VILA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,3,2,2,1,8
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,4,3,1,15
VILLA MONTES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,57,54,5,9,125
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,0,2,4,7
VILLA RIVERO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,13,5,1,0,19
VILLA SERRANO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,7,3,2,4,16
VILLA TUNARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,67,69,5,5,146
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,11,3,8,4,26
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,37,38,5,1,81
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,29,39,4,0,72
VITICHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,5,0,0,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,0,0,0,1
WARNES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,131,125,3,1,260
YACO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,0,4,4,3,11
YACUIBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,93,104,6,13,216
YAMPARAEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,5,0,3,10
YANACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,1,10,0,0,11
YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,39,42,12,6,99
YOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,2,2,0,6
YOTALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,4,4,4,4,16
YUNCHARA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,1,4,3,10
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-07-01,2,1,6,2,11
ACACIO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,1,2,1,5
ACHACACHI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,25,22,7,10,64
ACHOCALLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,6,4,7,10,27
AIQUILE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,24,11,11,8,54
ALALAY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,2,1,0,3
ALCALA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,3,0,0,4
ALTO BENI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,5,11,2,0,18
ANCORAIMES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,3,3,2,2,10
ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,4,1,0,5
ANTEQUERA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,2,0,0,3
ANZALDO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,5,4,6,16
APOLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,14,7,3,4,28
ARAMPAMPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,1,2,5,9
ARANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,8,7,1,1,17
ARBIETO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,13,10,2,2,27
ARQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,10,6,4,8,28
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,30,40,4,5,79
ATOCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,4,16,5,1,26
AUCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,2,3,0,6
AYATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,1,2,5,9
AYO AYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,4,3,1,0,8
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,9,11,6,8,34
AZURDUY,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,6,6,3,2,17
BATALLAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,2,6,4,2,14
BAURES,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,4,2,0,0,6
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,1,1,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,0,4,3,7
BERMEJO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,36,31,5,2,74
BETANZOS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,17,16,12,5,50
BOLIVAR,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,3,2,2,2,9
BOLPEBRA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,2,0,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,6,4,0,1,11
BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,9,10,2,3,24
CABEZAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,20,21,11,12,64
CAIROMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,2,3,5,3,13
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,8,8,1,2,19
CAJUATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,5,11,1,3,20
CALACOTO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,1,4,3,8
CALAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,6,7,1,0,14
CAMARGO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,17,11,2,2,32
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,2,1,1,4
CAMIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,38,32,0,0,70
CAPINOTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,14,21,0,1,36
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,9,3,0,0,12
CARACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,9,11,3,7,30
CARANAVI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,42,54,12,11,119
CARAPARI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,10,17,4,3,34
CARIPUYO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,2,2,3,5,12
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,4,0,4,0,8
CATACORA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,1,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,2,1,1,0,4
CHALLAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,18,16,4,5,43
CHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,6,7,1,2,16
CHARAGUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,18,12,14,21,65
CHARAÑA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,1,0,2,4
CHAYANTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,13,6,2,2,23
CHIMORE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,14,12,7,5,38
CHIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,1,0,0,2
CHOQUE COTA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,18,8,2,2,30
CHUMA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,2,2,1,2,7
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,3,1,0,1,5
CKOCHAS,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,9,5,7,9,30
CLIZA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,14,10,2,1,27
COBIJA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,74,61,7,6,148
COCAPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,3,9,9,12,33
COCHABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,692,701,4,6,1403
COLCAPIRHUA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,32,40,0,0,72
"COLCHA ""K""",vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,3,15,1,1,20
COLLANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,0,4,1,1,6
COLOMI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,18,19,1,4,42
COLPA BELGICA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,5,7,0,0,12
COLQUECHACA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,12,19,15,17,63
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,5,4,0,0,9
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,7,14,5,9,35
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,1,1,0,0,2
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,17,15,1,1,34
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,2,1,3,1,7
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,30,22,5,3,60
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,6,6,5,1,18
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,13,14,0,0,27
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,5,4,0,2,11
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,16,7,3,2,28
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,2,0,1,1,4
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,14,7,2,7,30
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 2da dosis,2015-08-01,60,65,4,5,134
