,group,variable,month,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS DENTRO,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTAL ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
COLQUENCHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,5,10,0,0,15
COLQUIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,14,13,13,47
COMANCHE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,5,0,0,5
COMARAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,19,8,3,1,31
COMBAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,0,3,0,3
CONCEPCION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,22,31,8,6,67
COPACABANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,9,3,4,2,18
CORIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,16,14,0,0,30
CORO CORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,0,4,4,11
COROICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,16,11,0,1,28
CORQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,2,2,2,9
COTAGAITA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,16,14,4,3,37
COTOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,61,77,3,2,143
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,22,16,8,5,51
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,2,0,0,2
CUEVO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,5,3,3,2,13
CULPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,8,9,4,27
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,9,0,0,12
CURVA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,3,0,1,4
DESAGUADERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,3,0,0,7
EL ALTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,662,729,140,132,1663
EL CHORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,5,5,3,0,13
EL PUENTE(STC),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,5,0,2,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,9,2,1,18
EL TORNO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,53,53,4,1,111
EL VILLAR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,2,0,0,3
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,12,3,5,34
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,45,34,1,0,80
ESCARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,1,0,0,1
ESCOMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,0,1,6
EUCALIPTUS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,4,0,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,1,1,0,2
EXALTACION,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,2,0,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,19,0,1,26
FILADELFIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,0,1,1,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,21,18,4,1,44
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,0,4,0,6
GUANAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,20,11,4,4,39
GUAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,1,1,0,3
GUAYARAMERIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,56,46,0,2,104
GUTIERREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,5,15,2,7,29
HUACARETA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,12,1,4,25
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,3,1,5
HUACHACALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,1,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,15,14,1,3,33
HUARACAJE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,1,0,0,4
HUARINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,2,1,3,9
HUATAJATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,0,1,2,6
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,5,1,1,9
HUMANATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,1,1,3
ICHOCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,2,0,3,8
ICLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,2,4,6,18
INCAHUASI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,6,3,2,17
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,1,0,0,3
INQUISIVI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,4,4,2,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,10,3,5,3,21
IXIAMAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,10,8,0,2,20
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,10,9,2,0,21
LA ASUNTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,35,39,8,7,89
LA GUARDIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,85,91,4,3,183
LA PAZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,683,643,8,13,1347
LA RIVERA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,0,0,1
LAGUNILLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,4,3,2,10
LAJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,14,3,11,35
LAS CARRERAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,0,0,5
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,0,0,5
LLALLAGUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,18,31,34,97
LLICA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,4,0,2,7
LORETO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,2,3,6
LURIBAY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,4,3,5,15
MACHACAMARCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,1,0,1,4
MACHARETI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,10,3,0,0,13
MAGDALENA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,10,8,2,3,23
MAIRANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,15,15,0,0,30
MALLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,0,3,1,6
MAPIRI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,13,19,0,0,32
MECAPACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,9,10,2,2,23
MINEROS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,1,0,0,3
MIZQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,18,21,1,4,44
MOCOMOCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,4,3,2,12
MOJOCOYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,3,3,1,7
MONTEAGUDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,19,23,6,0,48
MONTERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,154,161,2,3,320
MORO MORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,0,0,0,3
MOROCHATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,1,5,4,12
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,1,1,1,5
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,0,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,1,0,0,2
OCURI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,6,6,5,24
OKINAWA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,12,10,0,1,23
OMEREQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,3,3,4,14
ORURO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,323,324,11,9,667
PADCAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,10,12,0,3,25
PADILLA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,5,6,3,2,16
PAILON,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,24,28,21,21,94
PALCA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,13,0,2,23
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,25,21,2,7,55
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,1,0,0,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,13,9,0,0,22
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,1,1,2,8
PASORAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,3,2,1,7
PATACAMAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,15,20,1,3,39
PAZÑA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,5,1,1,10
PELECHUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,6,2,3,19
POCOATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,16,11,32
POCONA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,5,5,4,16
POJO (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,10,8,5,1,24
POOPO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,4,0,1,8
PORCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,4,1,1,10
POROMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,7,2,6,23
PORONGO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,3,7,2,18
PORTACHUELO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,19,22,1,0,42
PORVENIR,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,5,0,1,8
POSTRER VALLE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,0,0,1
POTOSI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,74,91,8,6,179
PRESTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,3,3,2,9
PUCARANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,23,15,8,6,52
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,3,3,3,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,2,7,8,21
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,4,5,10,23
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,7,1,13
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,19,12,2,2,35
PUERTO RICO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,16,6,0,0,22
PUERTO SILES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,1,1,2,5
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,27,12,0,0,39
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,70,67,4,5,146
PUNA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,10,10,11,45
PUNATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,27,39,1,1,68
QUIABAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,1,0,0,2
QUILLACOLLO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,96,106,27,18,247
QUIME,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,8,1,1,14
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,0,0,1
RAVELO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,4,13,12,36
REYES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,9,1,2,19
RIBERALTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,111,122,6,3,242
ROBORE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,18,24,1,1,44
RURRENABAQUE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,19,18,1,0,38
SABAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,1,0,0,2
SACABA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,127,123,8,7,265
SACABAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,3,0,0,6
SACACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,11,8,4,5,28
SAIPINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,6,3,0,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,5,3,3,14
SAMAIPATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,3,1,0,7
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,10,1,0,15
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,0,4,0,4
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,5,2,2,1,10
SAN BENITO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,8,0,2,17
SAN BORJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,43,41,15,14,113
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,12,0,0,18
SAN CARLOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,23,26,1,0,50
SAN IGNACIO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,31,21,1,1,54
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,52,44,8,7,111
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,0,0,1,1
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,11,0,0,25
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,3,0,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,18,2,4,38
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,10,14,1,0,25
SAN JULIAN,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,56,45,11,9,121
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,11,3,5,7,26
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,15,13,3,3,34
SAN LUCAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,21,10,10,11,52
SAN MATIAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,11,24,0,0,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,12,7,0,0,19
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,1,0,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,11,19,1,0,31
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,21,15,18,13,67
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,9,6,1,4,20
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,2,0,0,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,0,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,3,1,0,7
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,6,0,0,13
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,10,0,0,18
SANTA ANA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,25,14,1,0,40
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1810,1721,31,20,3582
SANTA ROSA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,14,3,1,32
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,10,4,2,30
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,5,0,10
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,3,4,4,15
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,3,1,0,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,1,0,6
SANTIVAÑES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,5,2,1,10
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,4,0,1,7
SAPAHAQUI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,5,3,2,3,13
SENA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,11,7,0,0,18
SHINAOTA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,26,26,4,3,59
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,12,9,6,3,30
SICAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,0,1,0,3
SIPE SIPE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,63,45,5,5,118
SOPACHUY,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,0,0,2,6
SORACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,6,3,3,16
SORATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,6,10,7,31
SUCRE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,254,284,6,7,551
TACACHI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,0,0,1
TACACOMA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,5,4,4,4,17
TACOBAMBA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,2,3,0,8
TACOPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,1,7,4,13
TAHUA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,0,0,1
TAPACARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,12,8,6,40
TARABUCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,5,6,2,20
TARACO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,2,0,1,3
TARATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,0,0,5
TARIJA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,206,226,5,13,450
TARVITA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,4,5,5,16
TEOPONTE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,12,2,3,25
TIAWANACU,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,8,6,0,2,16
TINGUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,12,7,8,4,31
TIPUANI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,13,2,0,19
TIQUIPAYA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,65,45,14,19,143
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,11,12,14,3,40
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,0,0,0,1
TOCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,1,0,0,3
TOLATA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,3,2,1,9
TOLEDO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,0,3,2,0,5
TOMAVE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,5,6,3,21
TOMINA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,4,2,3,15
TORO TORO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,7,9,7,6,29
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,9,8,6,4,27
TOTORA(ORR),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,0,0,0,3
TRINIDAD,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,147,144,3,1,295
TUPIZA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,31,40,1,3,75
TURCO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,1,1,0,6
UMALA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,5,0,5,14
UNCIA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,22,14,4,2,42
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,14,10,1,5,30
URUBICHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,3,3,2,11
UYUNI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,31,34,0,3,68
VACAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,2,5,12
VALLEGRANDE,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,15,13,1,0,29
VIACHA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,62,61,7,3,133
VILA VILA,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,1,6,2,2,11
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,4,15,6,4,29
VILLA MONTES,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,37,51,5,2,95
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,2,3,2,2,9
VILLA RIVERO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,5,1,0,12
VILLA SERRANO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,6,4,1,2,13
VILLA TUNARI,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,81,70,9,4,164
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,3,7,3,5,18
VILLAZON,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,38,26,5,1,70
VINTO,vacunaciones en menores de 1 ano,total antirotavirica 1ra dosis,2015-07-01,44,43,4,6,97
