,group,variable,month,TOTAL BCG DENTRO,TOTAL BCG DENTRO,TOTAL BCG FUERA,TOTAL BCG FUERA,TOTALES
EL CHORO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,1,2,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,4,2,1,8
EL PUENTE(TJA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,4,4,9
EL TORNO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,49,45,0,0,94
EL VILLAR,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,3,0,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,7,6,7,27
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,12,21,0,1,34
ESCOMA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,1,2,5,12
EUCALIPTUS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,4,0,0,6
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,2,0,2
EXALTACION,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,1,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,2,0,2,5
FILADELFIA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,3,2,1,9
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,13,3,2,1,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,4,6,2,15
GUANAY,vacunaciones en menores de 1 ano,total bcg,2015-07-01,8,7,3,1,19
GUAQUI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,5,3,8
GUAYARAMERIN,vacunaciones en menores de 1 ano,total bcg,2015-07-01,55,34,0,0,89
GUTIERREZ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,6,7,7,24
HUACARETA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,9,0,1,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,2,0,2
HUACHACALLA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,1,1,3
HUANUNI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,19,15,0,0,34
HUARACAJE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,2,0,2
HUARINA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,2,1,4
HUATAJATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,0,0,1
HUAYLLAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,2,1,4
HUMANATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,2,3,6
ICHOCA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,1,2,2,7
ICLA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,6,4,1,15
INCAHUASI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,4,7,8,21
INQUISIVI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,2,5,6,14
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,8,5,2,6,21
IXIAMAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,5,0,0,12
JESUS DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,1,7,3,18
LA ASUNTA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,33,35,8,7,83
LA GUARDIA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,54,47,9,17,127
LA PAZ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,900,872,27,22,1821
LAGUNILLAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,1,0,2,4
LAJA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,16,15,0,4,35
LAS CARRERAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,0,0,1
LICOMA PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,2,0,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,15,16,38,30,99
LLICA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,2,0,3
LORETO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,1,4,4,10
LURIBAY,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,2,2,4,9
MACHACAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,0,0,1
MACHARETI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,4,2,1,7
MAGDALENA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,3,4,3,14
MAIRANA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,14,0,0,21
MALLA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,1,1,3
MAPIRI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,15,0,0,21
MECAPACA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,2,3,4,11
MINEROS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,0,0,1
MIZQUE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,14,12,7,6,39
MOCOMOCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,2,6,4,15
MOJOCOYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,3,0,0,5
MONTEAGUDO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,24,17,1,3,45
MONTERO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,165,156,0,1,322
MORO MORO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,1,0,1,4
MOROCHATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,4,4,6,14
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,3,4,2,10
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,1,0,0,4
OCURI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,6,13,8,29
OKINAWA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,10,5,0,0,15
OMEREQUE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,3,1,0,7
ORURO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,357,379,12,17,765
PADCAYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,5,4,4,17
PADILLA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,10,0,0,14
PAILON,vacunaciones en menores de 1 ano,total bcg,2015-07-01,24,22,24,22,92
PALCA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,16,16,11,7,50
PALOS BLANCOS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,12,18,1,5,36
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,2,2,2,6
PAMPA GRANDE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,7,0,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,3,1,1,5
PASORAPA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,4,0,4
PATACAMAYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,19,21,0,4,44
PAZÑA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,4,0,2,7
PELECHUCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,3,8,5,16
POCOATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,6,24,24,57
POCONA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,9,5,1,4,19
POJO (CBBA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,7,1,0,14
POOPO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,0,1,1,5
PORCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,6,0,0,10
POROMA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,9,10,5,7,31
PORONGO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,2,3,2,8
PORTACHUELO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,15,17,0,0,32
PORVENIR,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,5,0,0,8
POTOSI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,146,140,5,2,293
PRESTO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,0,1,2,7
PUCARA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,1,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,13,11,8,7,39
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,2,15,18
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,6,7,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,2,3,4,9
PUERTO PEREZ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,0,2,2
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,19,8,2,4,33
PUERTO RICO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,3,8,0,17
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,10,17,0,0,27
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total bcg,2015-07-01,74,71,3,0,148
PUNA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,3,6,7,19
PUNATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,37,37,0,0,74
QUIABAYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,0,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,123,125,13,11,272
QUIME,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,1,21,1,27
RAVELO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,4,12,5,28
REYES,vacunaciones en menores de 1 ano,total bcg,2015-07-01,8,13,3,6,30
RIBERALTA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,129,97,10,15,251
ROBORE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,15,10,2,0,27
RURRENABAQUE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,18,21,0,0,39
SABAYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,1,0,1
SACABA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,125,116,1,1,243
SACABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,6,1,1,10
SACACA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,5,4,5,8,22
SAIPINA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,0,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,3,2,2,10
SAMAIPATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,2,0,2,6
SAN AGUSTIN,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,2,1,0,6
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,0,1,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,3,0,0,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,2,1,3,6
SAN BENITO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,2,0,0,8
SAN BORJA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,39,33,27,17,116
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,10,6,2,0,18
SAN CARLOS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,17,17,2,1,37
SAN IGNACIO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,17,17,4,2,40
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,57,60,2,4,123
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total bcg,2015-07-01,20,16,0,0,36
SAN JOAQUIN,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,8,0,0,11
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,10,8,2,2,22
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,2,1,0,4
SAN JULIAN,vacunaciones en menores de 1 ano,total bcg,2015-07-01,27,31,5,9,72
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,3,5,5,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,8,7,0,1,16
SAN LUCAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,23,17,7,9,56
SAN MATIAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,14,12,0,0,26
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,2,0,0,5
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,1,1,0,5
SAN PEDRO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,6,1,0,13
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,20,23,15,8,66
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,1,0,1,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,3,2,1,8
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,1,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,3,0,0,6
SAN RAMON BENI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,3,1,5
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,4,0,0,10
SANTA ANA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,22,20,0,0,42
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1538,1433,41,41,3053
SANTA ROSA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,4,9,10,30
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,8,9,1,2,20
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,5,1,1,9
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,3,1,1,7
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,4,2,7
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,2,5,7
SANTIVAÑES,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,4,1,2,8
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,1,0,1,3
SAPAHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,4,1,5
SENA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,9,3,0,0,12
SHINAOTA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,18,20,1,2,41
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,5,6,8,10,29
SICAYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,0,4,5
SIPE SIPE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,35,34,1,4,74
SOPACHUY,vacunaciones en menores de 1 ano,total bcg,2015-07-01,10,4,1,1,16
SORACACHI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,3,1,0,8
SORATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,3,11,7,25
SUCRE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,337,305,2,2,646
TACACOMA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,4,5,10
TACOBAMBA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,0,2,2,6
TACOPAYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,2,8,6,19
TAPACARI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,10,7,8,31
TARABUCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,10,6,2,3,21
TARACO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,4,0,0,7
TARATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,5,1,1,14
TARIJA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,249,236,0,2,487
TARVITA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,5,5,4,21
TEOPONTE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,5,2,3,17
TIAWANACU,vacunaciones en menores de 1 ano,total bcg,2015-07-01,5,3,6,5,19
TINGUIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,2,20,9,34
TIPUANI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,2,1,1,10
TIQUIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,57,38,10,19,124
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,10,9,0,2,21
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,0,0,1
TOCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,3,3,1,8
TODOS SANTOS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,1,0,1
TOLATA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,4,1,0,7
TOLEDO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,1,1,0,2
TOMAVE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,9,7,5,24
TOMINA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,13,2,5,4,24
TORO TORO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,7,7,6,5,25
TOTORA(CBBA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,12,14,2,3,31
TOTORA(ORR),vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,1,1,1,5
TRIGAL,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,2,0,0,2
TRINIDAD,vacunaciones en menores de 1 ano,total bcg,2015-07-01,166,140,2,0,308
TUPIZA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,50,43,6,4,103
TURCO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,1,1,1,4
UMALA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,2,4,4,11
UNCIA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,12,15,5,3,35
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,3,1,1,9
URUBICHA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,5,1,1,0,7
UYUNI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,13,11,1,6,31
VACAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,1,0,6,4,11
VALLEGRANDE,vacunaciones en menores de 1 ano,total bcg,2015-07-01,16,12,0,0,28
VIACHA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,36,47,4,3,90
VILA VILA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,3,5,8
VILLA CHARCAS,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,1,3,8,16
VILLA MONTES,vacunaciones en menores de 1 ano,total bcg,2015-07-01,51,35,1,3,90
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,1,4,2,10
VILLA RIVERO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,1,3,4
VILLA SERRANO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,3,3,0,12
VILLA TUNARI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,63,62,6,7,138
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,2,3,5,12
VILLAZON,vacunaciones en menores de 1 ano,total bcg,2015-07-01,34,32,0,0,66
VINTO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,39,34,0,1,74
VITICHI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,5,0,2,2,9
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,0,1,0,1
WARNES,vacunaciones en menores de 1 ano,total bcg,2015-07-01,109,95,2,0,206
YACO,vacunaciones en menores de 1 ano,total bcg,2015-07-01,4,3,3,5,15
YACUIBA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,82,87,5,5,179
YAMPARAEZ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,3,2,0,1,6
YANACACHI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,1,2,0,5
YAPACANI,vacunaciones en menores de 1 ano,total bcg,2015-07-01,50,48,0,4,102
YOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,1,1,1,5
YOTALA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,6,8,2,2,18
YUNCHARA,vacunaciones en menores de 1 ano,total bcg,2015-07-01,0,2,3,2,7
ZUDAÑEZ,vacunaciones en menores de 1 ano,total bcg,2015-07-01,2,2,0,3,7
ACACIO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,0,0,1,2
ACHACACHI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,24,21,11,8,64
ACHOCALLA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,3,2,7,3,15
AIQUILE,vacunaciones en menores de 1 ano,total bcg,2015-08-01,25,21,3,3,52
ALALAY,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,0,4,2,6
ALCALA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,2,0,0,3
ALTO BENI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,7,4,1,0,12
ANCORAIMES,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,4,3,3,11
ANDAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,0,0,2,2
ANZALDO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,2,5,5,13
APOLO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,12,9,9,5,35
ARAMPAMPA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,2,1,1,2,6
ARANI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,11,5,0,1,17
ARBIETO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,13,11,5,3,32
ARQUE,vacunaciones en menores de 1 ano,total bcg,2015-08-01,3,6,6,0,15
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total bcg,2015-08-01,36,27,4,0,67
ATOCHA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,3,4,1,1,9
AUCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,0,1,3,4
AYATA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,1,4,6,12
AYO AYO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,2,2,6,3,13
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total bcg,2015-08-01,12,7,3,2,24
AZURDUY,vacunaciones en menores de 1 ano,total bcg,2015-08-01,4,5,3,4,16
BATALLAS,vacunaciones en menores de 1 ano,total bcg,2015-08-01,4,6,10,5,25
BAURES,vacunaciones en menores de 1 ano,total bcg,2015-08-01,6,1,0,0,7
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,0,3,0,3
BELLA FLOR,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,2,0,1,3
BERMEJO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,31,29,1,0,61
BETANZOS,vacunaciones en menores de 1 ano,total bcg,2015-08-01,11,13,12,13,49
BOLPEBRA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,1,1,0,2
BOYUIBE,vacunaciones en menores de 1 ano,total bcg,2015-08-01,5,3,0,2,10
BUENA VISTA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,2,5,1,5,13
CABEZAS,vacunaciones en menores de 1 ano,total bcg,2015-08-01,8,9,19,12,48
CAIROMA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,5,4,1,6,16
"CAIZA ""D""",vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,2,4,1,8
CAJUATA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,2,3,0,4,9
CALACOTO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,0,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,0,5,5,11
CAMARGO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,21,15,0,3,39
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,1,1,0,3
CAMIRI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,38,52,2,0,92
CAPINOTA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,17,14,1,1,33
CAQUIAVIRI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,3,0,6,4,13
CARACOLLO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,16,15,1,4,36
CARANAVI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,54,44,4,4,106
CARAPARI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,5,1,1,3,10
CARIPUYO,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,0,8,5,14
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,total bcg,2015-08-01,2,3,3,2,10
CATACORA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,0,0,0,1
CHACARILLA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,0,0,1,1
CHALLAPATA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,24,34,5,12,75
CHAQUI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,0,5,6,12
CHARAGUA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,3,11,30,28,72
CHAYANTA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,5,2,9,4,20
CHIMORE,vacunaciones en menores de 1 ano,total bcg,2015-08-01,12,4,7,3,26
CHIPAYA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,0,3,1,5
CHUA COCANI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,1,2,1,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,total bcg,2015-08-01,12,10,1,1,24
CHUMA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,1,5,4,11
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,total bcg,2015-08-01,1,1,3,2,7
CKOCHAS,vacunaciones en menores de 1 ano,total bcg,2015-08-01,2,1,7,6,16
CLIZA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,12,12,5,6,35
COBIJA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,86,71,1,1,159
COCAPATA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,4,2,6,7,19
COCHABAMBA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,875,772,2,0,1649
COIPASA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,0,0,2,1,3
COLCAPIRHUA,vacunaciones en menores de 1 ano,total bcg,2015-08-01,22,22,1,0,45
"COLCHA ""K""",vacunaciones en menores de 1 ano,total bcg,2015-08-01,2,5,1,5,13
