,group,variable,month,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS DENTRO,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTAL ANTINEUMOCÓCICA 3RA DOSIS FUERA,TOTALES
LA ASUNTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,38,29,8,13,88
LA GUARDIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,77,78,1,0,156
LA PAZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,575,552,4,10,1141
LAGUNILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,6,1,2,10
LAJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,2,4,1,11
LAS CARRERAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,3,2,1,8
LICOMA PAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,0,1,0,2
LLALLAGUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,29,26,35,31,121
LLICA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,2,1,1,5
LORETO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,1,0,1,3
LURIBAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,3,2,0,7
MACHACAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,2,0,0,5
MACHARETI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,3,2,1,10
MAGDALENA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,12,10,2,2,26
MAIRANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,9,16,0,1,26
MALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,0,3,1,4
MAPIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,11,11,4,1,27
MECAPACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,6,3,2,15
MINEROS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,2,1,2,8
MIZQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,29,21,6,5,61
MOCOMOCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,8,3,2,16
MOJINETE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,0,1,1,3
MOJOCOYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,4,2,2,12
MONTEAGUDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,21,13,5,0,39
MONTERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,89,98,5,5,197
MORO MORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,1,0,1,3
MOROCHATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,1,8,4,13
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,3,0,0,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,2,1,1,11
OCURI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,5,2,8,18
OKINAWA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,11,1,0,19
OMEREQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,1,4,2,8
ORURO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,267,268,9,5,549
PADCAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,15,4,1,3,23
PADILLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,6,2,1,13
PAILON,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,21,20,8,4,53
PALCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,12,20,4,4,40
PALOS BLANCOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,21,23,4,11,59
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,4,1,0,7
PAMPA GRANDE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,3,0,0,10
PAPEL PAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,7,0,0,12
PASORAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,0,1,1,2
PATACAMAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,18,12,8,8,46
PAZÑA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,2,0,0,5
PELECHUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,5,1,2,12
POCOATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,7,10,16,34
POCONA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,6,4,4,18
POJO (CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,8,10,2,1,21
POOPO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,3,0,1,6
PORCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,5,1,1,14
POROMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,7,12,6,31
PORONGO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,1,4,4,12
PORTACHUELO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,21,16,7,3,47
PORVENIR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,5,1,2,13
POSTRER VALLE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,2,0,0,3
POTOSI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,210,199,4,6,419
PRESTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,5,5,2,15
PUCARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,1,0,0,1
PUCARANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,14,16,3,7,40
PUERTO ACOSTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,0,5,5,13
PUERTO CARABUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,4,5,5,18
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,2,1,8,14
PUERTO PEREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,2,4,3,13
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,15,10,3,1,29
PUERTO RICO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,5,0,1,12
PUERTO SILES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,1,0,1,2
PUERTO SUAREZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,13,19,2,3,37
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,41,38,7,6,92
PUNA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,4,5,6,21
PUNATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,17,11,0,0,28
QUIABAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,1,0,1,4
QUILLACOLLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,94,110,50,54,308
QUIME,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,11,4,2,0,17
QUIRUSILLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,1,0,0,2
RAVELO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,5,14,13,38
REYES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,8,8,5,7,28
RIBERALTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,111,92,22,28,253
ROBORE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,12,11,1,0,24
RURRENABAQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,8,0,0,15
SABAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,3,3,1,8
SACABA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,106,94,10,7,217
SACABAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,2,1,2,5
SACACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,19,11,8,10,48
SAIPINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,5,0,1,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,6,3,6,20
SAMAIPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,11,5,0,0,16
SAN AGUSTIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,2,0,0,2
SAN ANDRES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,8,5,4,5,22
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,0,1,0,2
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,0,0,2,8
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,3,4,5,12
SAN BENITO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,3,2,2,9
SAN BORJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,58,38,4,4,104
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,8,5,1,1,15
SAN CARLOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,27,23,1,2,53
SAN IGNACIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,20,20,2,0,42
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,50,35,7,9,101
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,2,2,1,5
SAN JAVIER(STC),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,17,12,0,0,29
SAN JOAQUIN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,12,5,0,0,17
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,17,13,4,6,40
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,5,2,3,17
SAN JULIAN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,37,35,10,14,96
SAN LORENZO(PND),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,2,5,4,13
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,9,20,5,0,34
SAN LUCAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,14,20,7,11,52
SAN MATIAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,9,12,1,2,24
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,9,0,0,15
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,0,0,0,1
SAN PEDRO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,3,0,0,9
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,30,17,11,10,68
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,3,3,0,6
SAN PEDRO DE QUEMES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,1,0,0,3
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,0,0,0,3
SAN PEDRO(PND),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,0,2,0,2
SAN RAFAEL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,3,3,0,11
SAN RAMON BENI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,3,5,5,13
SAN RAMON SCZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,16,10,0,0,26
SANTA ANA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,13,18,23,25,79
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1338,1305,38,40,2721
SANTA ROSA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,2,0,0,7
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,20,4,0,2,26
SANTIAGO DE CALLAPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,0,0,0,1
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,8,3,4,17
SANTIAGO DE HUATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,2,0,0,4
SANTIAGO DE MACHACA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,1,0,0,6
SANTIVAÑES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,2,1,2,11
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,1,0,0,2
SAPAHAQUI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,4,0,3,10
SENA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,8,8,0,0,16
SHINAOTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,23,17,3,4,47
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,16,1,3,26
SICAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,2,0,1,9
SIPE SIPE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,27,22,1,0,50
SOPACHUY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,5,3,3,15
SORACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,5,2,1,9
SORATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,6,2,10,23
SUCRE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,356,321,17,23,717
TACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,1,1,0,2
TACACOMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,3,1,3,10
TACOBAMBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,5,8,3,19
TACOPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,0,1,6,9
TAHUA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,0,1,0,2
TAPACARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,17,20,6,16,59
TARABUCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,10,4,5,26
TARACO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,2,2,1,6
TARATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,14,1,1,21
TARIJA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,167,186,9,16,378
TARVITA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,8,5,5,4,22
TEOPONTE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,9,5,3,21
TIAWANACU,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,11,2,0,19
TINGUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,16,14,10,8,48
TIPUANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,11,6,1,1,19
TIQUIPAYA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,38,40,13,9,100
TIRAQUE (CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,2,8,10,27
TITO YUPANQUI (PARQUIPUJIO),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,0,1,0,2
TOCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,5,1,0,9
TOLATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,3,1,0,6
TOLEDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,4,0,1,6
TOMAVE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,4,7,1,15
TOMINA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,5,2,3,16
TORO TORO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,3,8,7,23
TOTORA(CBBA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,8,7,4,2,21
TOTORA(ORR),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,4,1,0,7
TRIGAL,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,0,1,0,3
TRINIDAD,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,121,105,1,0,227
TUPIZA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,36,37,2,9,84
TURCO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,1,0,0,1
UMALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,1,1,3,9
UNCIA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,21,14,6,10,51
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,5,4,5,17
URUBICHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,2,0,1,4
UYUNI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,17,22,4,7,50
VACAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,1,1,6,13
VALLEGRANDE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,11,14,0,1,26
VIACHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,50,60,3,2,115
VILA VILA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,3,6,3,13
VILLA CHARCAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,10,8,4,8,30
VILLA MONTES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,31,48,18,5,102
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,4,0,0,6
VILLA RIVERO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,0,4,1,0,5
VILLA SERRANO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,1,1,4,12
VILLA TUNARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,90,69,6,5,170
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,7,4,3,3,17
VILLAZON,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,41,30,3,4,78
VINTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,62,45,5,4,116
VITICHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,6,5,1,2,14
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,1,1,0,3
WARNES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,96,93,3,3,195
YACO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,4,1,3,2,10
YACUIBA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,44,32,7,10,93
YAMPARAEZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,1,4,4,1,10
YANACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,2,7,0,1,10
YAPACANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,54,53,11,5,123
YOCALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,3,10,3,2,18
YOTALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,5,2,1,13
YUNCHARA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,0,1,3,9
ZUDAÑEZ,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-06-01,5,3,3,2,13
ACACIO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,3,3,3,1,10
ACHACACHI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,25,8,8,10,51
ACHOCALLA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,14,9,7,5,35
AIQUILE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,6,12,8,10,36
ALALAY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,1,1,3,0,5
ALCALA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,5,0,0,0,5
ALTO BENI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,8,19,2,0,29
ANCORAIMES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,8,5,6,2,21
ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,0,2,3,1,6
ANTEQUERA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,3,4,1,0,8
ANZALDO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,2,2,1,1,6
APOLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,7,7,2,0,16
ARAMPAMPA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,0,1,4,0,5
ARANI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,9,8,0,1,18
ARBIETO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,16,17,9,10,52
ARQUE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,6,6,3,2,17
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,27,37,0,0,64
ATOCHA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,9,5,3,0,17
AUCAPATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,0,1,2,2,5
AYATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,6,5,2,1,14
AYO AYO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,4,6,0,0,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,10,15,6,9,40
AZURDUY,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,4,5,4,4,17
BATALLAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,3,7,4,4,18
BAURES,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,8,6,4,1,19
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,1,0,0,1,2
BELLA FLOR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,1,1,0,1,3
BERMEJO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,46,34,5,4,89
BETANZOS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,15,17,8,7,47
BOLIVAR,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,1,1,4,8,14
BOLPEBRA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,4,3,1,1,9
BUENA VISTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,7,10,2,2,21
CABEZAS,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,15,22,5,11,53
CAIROMA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,6,11,1,1,19
"CAIZA ""D""",vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,6,6,0,3,15
CAJUATA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,7,4,2,4,17
CALACOTO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,3,1,0,1,5
CALAMARCA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,6,4,2,2,14
CAMARGO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,3,12,2,3,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,2,2,1,0,5
CAMIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,41,32,1,1,75
CAPINOTA,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,10,17,1,2,30
CAQUIAVIRI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,4,5,0,0,9
CARACOLLO,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,8,6,1,4,19
CARANAVI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,43,35,5,2,85
CARAPARI,vacunaciones en menores de 1 ano,total antineumococica 3ra dosis,2015-07-01,13,13,2,8,36
