,group,variable,month,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES,TOTALES,TOTALES
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-07-01,30,45,30,45,75
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,11,46,11,46,57
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-07-01,53,54,53,54,107
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-07-01,1,3,1,3,4
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-07-01,2,25,2,25,27
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,94,53,94,53,147
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-07-01,4,26,4,26,30
YOTALA,cirugias y anestesias,anestesias generales y regionales,2010-07-01,9,7,9,7,16
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-07-01,0,1,0,1,1
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,2,1,2,1,3
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,8,0,8,8
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-08-01,24,35,24,35,59
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,5,0,5,5
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2010-08-01,2,4,2,4,6
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,2,1,2,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,25,55,25,55,80
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,22,20,22,20,42
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,15,72,15,72,87
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,2,1,2,3
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,5,22,5,22,27
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,2,1,2,3
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,14,0,14,14
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,43,67,43,67,110
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1209,2127,1209,2127,3336
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,30,52,30,52,82
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,6,33,6,33,39
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,12,1,12,13
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,7,19,7,19,26
COTAGAITA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,1,0,1,1
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,4,19,4,19,23
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,4,0,4,4
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,272,455,272,455,727
EL PUENTE(STC),cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,1,0,1,1
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,18,18,18,18,36
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,8,0,8,8
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-08-01,11,68,11,68,79
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1695,1571,1695,1571,3266
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,16,32,16,32,48
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,3,0,3,3
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,23,0,23,23
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,10,30,10,30,40
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,66,157,66,157,223
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,316,404,316,404,720
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,5,6,5,6,11
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,9,1,9,10
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,11,21,11,21,32
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,193,294,193,294,487
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-08-01,18,38,18,38,56
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-08-01,74,70,74,70,144
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,5,37,5,37,42
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,10,104,10,104,114
REYES,cirugias y anestesias,anestesias generales y regionales,2010-08-01,2,8,2,8,10
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,65,172,65,172,237
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-08-01,3,10,3,10,13
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,7,1,7,8
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,24,61,24,61,85
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,7,0,7,7
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,17,23,17,23,40
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,25,0,25,25
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,7,1,7,8
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,13,45,13,45,58
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,4,0,4,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-08-01,3,19,3,19,22
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,36,0,36,0,36
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-08-01,3,28,3,28,31
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-08-01,4,5,4,5,9
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-08-01,5,18,5,18,23
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,1,0,1,1
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,7,0,7,7
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,2,9,2,9,11
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1612,2302,1612,2302,3914
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,4,0,4,4
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,8,0,8,8
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,6,0,6,6
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-08-01,438,807,438,807,1245
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,2,5,2,5,7
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,146,235,146,235,381
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,11,0,11,11
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,3,1,3,1,4
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-08-01,94,253,94,253,347
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,29,30,29,30,59
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,7,9,7,9,16
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-08-01,8,30,8,30,38
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,10,5,10,5,15
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-08-01,31,51,31,51,82
VILLA SERRANO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,2,0,2,2
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,27,0,27,27
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-08-01,38,59,38,59,97
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-08-01,17,15,17,15,32
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-08-01,1,21,1,21,22
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,58,93,58,93,151
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-08-01,6,25,6,25,31
YOTALA,cirugias y anestesias,anestesias generales y regionales,2010-08-01,6,5,6,5,11
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-08-01,0,4,0,4,4
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,3,0,3,3
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,4,0,4,4
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,35,3,35,38
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,13,0,13,13
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,5,1,5,6
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,1,1,1,2
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,23,60,23,60,83
CABEZAS,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,3,1,3,4
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,11,36,11,36,47
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,9,40,9,40,49
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,1,0,1,1
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,17,3,17,20
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,2,10,2,10,12
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,8,0,8,8
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,33,97,33,97,130
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1170,2315,1170,2315,3485
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,30,47,30,47,77
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,18,1,18,19
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-09-01,5,12,5,12,17
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,14,18,14,18,32
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,4,14,4,14,18
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,9,0,9,9
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,249,493,249,493,742
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,18,20,18,20,38
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,9,0,9,9
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,0,1,0,1
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-09-01,33,53,33,53,86
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1193,1536,1193,1536,2729
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,12,29,12,29,41
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,2,7,2,7,9
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,12,0,12,12
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,21,41,21,41,62
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,30,119,30,119,149
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,297,485,297,485,782
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,15,3,15,18
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,18,0,18,18
PORTACHUELO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,18,31,18,31,49
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,249,456,249,456,705
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-09-01,21,55,21,55,76
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-09-01,49,73,49,73,122
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,12,52,12,52,64
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,9,43,9,43,52
REYES,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,3,1,3,4
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,57,219,57,219,276
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-09-01,2,3,2,3,5
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,7,0,7,7
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,26,149,26,149,175
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,5,0,5,5
SAN BORJA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,9,35,9,35,44
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,30,3,30,33
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,9,1,9,10
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,7,0,7,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,48,3,48,51
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,4,1,4,5
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,20,3,20,23
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-09-01,17,48,17,48,65
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,22,16,22,16,38
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-09-01,2,9,2,9,11
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-09-01,4,4,4,4,8
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,8,3,8,11
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,4,5,4,5,9
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,3,3,3,6
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,2,14,2,14,16
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1011,1554,1011,1554,2565
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,3,1,3,4
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,23,0,23,23
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,5,1,5,6
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-09-01,440,626,440,626,1066
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,2,7,2,7,9
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,267,434,267,434,701
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,3,0,3,3
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,8,0,8,8
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2010-09-01,3,4,3,4,7
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-09-01,141,255,141,255,396
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,26,32,26,32,58
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,9,14,9,14,23
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-09-01,17,41,17,41,58
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,11,13,11,13,24
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-09-01,21,63,21,63,84
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,7,26,7,26,33
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,3,0,3,3
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-09-01,30,52,30,52,82
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-09-01,28,15,28,15,43
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-09-01,1,19,1,19,20
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,43,111,43,111,154
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-09-01,5,22,5,22,27
YOTALA,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,4,0,4,4
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-09-01,0,4,0,4,4
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-10-01,4,10,4,10,14
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-10-01,15,21,15,21,36
ATOCHA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,9,9,9,9,18
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,1,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,8,1,8,9
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,15,64,15,64,79
CABEZAS,cirugias y anestesias,anestesias generales y regionales,2010-10-01,6,3,6,3,9
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,13,12,13,12,25
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-10-01,14,80,14,80,94
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,1,0,1,1
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-10-01,8,28,8,28,36
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,4,0,4,4
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,15,1,15,16
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,40,75,40,75,115
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1216,2080,1216,2080,3296
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,21,46,21,46,67
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,15,0,15,15
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-10-01,3,11,3,11,14
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,11,15,11,15,26
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,8,0,8,8
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,4,8,4,8,12
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,288,583,288,583,871
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,9,27,9,27,36
ENTRE RIOS TRJ,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,5,0,5,5
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-10-01,49,50,49,50,99
HUARACAJE,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,1,0,1,1
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1052,2094,1052,2094,3146
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,9,24,9,24,33
MAGDALENA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,8,48,8,48,56
MAIRANA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,12,0,12,12
MONTEAGUDO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,15,42,15,42,57
MONTERO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,42,161,42,161,203
ORURO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,308,455,308,455,763
PADILLA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,8,8,8,8,16
PATACAMAYA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,2,6,2,6,8
POTOSI,cirugias y anestesias,anestesias generales y regionales,2010-10-01,288,421,288,421,709
PUERTO SUAREZ,cirugias y anestesias,anestesias generales y regionales,2010-10-01,22,33,22,33,55
PUERTO VILLARROEL,cirugias y anestesias,anestesias generales y regionales,2010-10-01,27,68,27,68,95
PUNATA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,14,40,14,40,54
QUILLACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,17,60,17,60,77
REYES,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,5,1,5,6
RIBERALTA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,73,191,73,191,264
ROBORE,cirugias y anestesias,anestesias generales y regionales,2010-10-01,2,7,2,7,9
RURRENABAQUE,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,10,0,10,10
SACABA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,21,100,21,100,121
SAMAIPATA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,10,0,10,10
SAN ANDRES,cirugias y anestesias,anestesias generales y regionales,2010-10-01,3,0,3,0,3
SAN BUENA VENTURA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,3,16,3,16,19
SAN CARLOS,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,23,1,23,24
SAN IGNACIO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,18,1,18,19
SAN IGNACIO DE VELASCO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,15,56,15,56,71
SAN JAVIER(STC),cirugias y anestesias,anestesias generales y regionales,2010-10-01,3,1,3,1,4
SAN JOAQUIN,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,cirugias y anestesias,anestesias generales y regionales,2010-10-01,5,19,5,19,24
SAN JUAN DE YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-10-01,43,0,43,0,43
SAN JULIAN,cirugias y anestesias,anestesias generales y regionales,2010-10-01,3,4,3,4,7
SAN LUCAS,cirugias y anestesias,anestesias generales y regionales,2010-10-01,2,7,2,7,9
SAN MATIAS,cirugias y anestesias,anestesias generales y regionales,2010-10-01,2,1,2,1,3
SAN RAMON BENI,cirugias y anestesias,anestesias generales y regionales,2010-10-01,4,8,4,8,12
SAN RAMON SCZ,cirugias y anestesias,anestesias generales y regionales,2010-10-01,2,1,2,1,3
SANTA ANA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,13,21,13,21,34
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1272,1114,1272,1114,2386
SANTA ROSA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,18,22,18,22,40
SHINAOTA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,14,0,14,14
SOPACHUY,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,1,0,1,1
SUCRE,cirugias y anestesias,anestesias generales y regionales,2010-10-01,508,667,508,667,1175
TARABUCO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,5,1,5,6
TARIJA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,233,420,233,420,653
TARVITA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,8,1,8,9
TIQUIPAYA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,11,0,11,11
TOTORA(CBBA),cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,4,0,4,4
TRINIDAD,cirugias y anestesias,anestesias generales y regionales,2010-10-01,144,292,144,292,436
TUPIZA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,30,24,30,24,54
UYUNI,cirugias y anestesias,anestesias generales y regionales,2010-10-01,5,9,5,9,14
VALLEGRANDE,cirugias y anestesias,anestesias generales y regionales,2010-10-01,13,36,13,36,49
VIACHA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,4,23,4,23,27
VILLA MONTES,cirugias y anestesias,anestesias generales y regionales,2010-10-01,22,43,22,43,65
VILLA TUNARI,cirugias y anestesias,anestesias generales y regionales,2010-10-01,2,28,2,28,30
VILLAZON,cirugias y anestesias,anestesias generales y regionales,2010-10-01,45,65,45,65,110
VINTO,cirugias y anestesias,anestesias generales y regionales,2010-10-01,26,7,26,7,33
WARNES,cirugias y anestesias,anestesias generales y regionales,2010-10-01,1,23,1,23,24
YACUIBA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,55,93,55,93,148
YAMPARAEZ,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,2,0,2,2
YAPACANI,cirugias y anestesias,anestesias generales y regionales,2010-10-01,6,17,6,17,23
YOTALA,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,1,0,1,1
ZUDAÑEZ,cirugias y anestesias,anestesias generales y regionales,2010-10-01,0,2,0,2,2
ACHACACHI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,3,6,3,6,9
AIQUILE,cirugias y anestesias,anestesias generales y regionales,2010-11-01,2,16,2,16,18
ASCENCION DE GUARAYOS,cirugias y anestesias,anestesias generales y regionales,2010-11-01,19,36,19,36,55
AZURDUY,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,1,0,1,1
BAURES,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,3,0,3,3
BERMEJO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,7,58,7,58,65
CAMARGO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,5,6,5,6,11
CAMIRI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,11,63,11,63,74
CARACOLLO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,1,0,1,1
CARANAVI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1,26,1,26,27
CHALLAPATA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,6,0,6,6
CHARAGUA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,10,0,10,10
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,anestesias generales y regionales,2010-11-01,7,4,7,4,11
COBIJA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,41,77,41,77,118
COCHABAMBA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1252,2183,1252,2183,3435
COLCAPIRHUA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,38,75,38,75,113
COMARAPA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,22,0,22,22
CONCEPCION,cirugias y anestesias,anestesias generales y regionales,2010-11-01,6,18,6,18,24
COROICO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,5,11,5,11,16
COTOCA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,10,0,10,10
CULPINA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,3,13,3,13,16
EL ALTO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,264,520,264,520,784
EL TORNO,cirugias y anestesias,anestesias generales y regionales,2010-11-01,18,9,18,9,27
ESCOMA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,0,3,0,3,3
GUAYARAMERIN,cirugias y anestesias,anestesias generales y regionales,2010-11-01,54,112,54,112,166
INCAHUASI,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1,4,1,4,5
LA PAZ,cirugias y anestesias,anestesias generales y regionales,2010-11-01,1352,1742,1352,1742,3094
LLALLAGUA,cirugias y anestesias,anestesias generales y regionales,2010-11-01,17,26,17,26,43
