,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES,TOTALES,TOTALES
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,10,19,10,19,29
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,13,44,13,44,57
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,2,1,2,3
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,4,22,4,22,26
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,2,1,2,3
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,14,0,14,14
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,43,67,43,67,110
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1106,1893,1106,1893,2999
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,30,52,30,52,82
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,6,33,6,33,39
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,12,1,12,13
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,4,16,4,16,20
COTAGAITA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,1,0,1,1
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,4,19,4,19,23
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,4,0,4,4
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,272,455,272,455,727
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,18,18,18,18,36
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,8,0,8,8
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,11,68,11,68,79
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1585,1490,1585,1490,3075
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,16,32,16,32,48
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,3,0,3,3
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,23,0,23,23
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,9,28,9,28,37
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,66,157,66,157,223
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,316,404,316,404,720
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,5,6,5,6,11
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,9,1,9,10
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,11,21,11,21,32
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,108,157,108,157,265
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,13,1,13,14
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,22,22,22,22,44
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,5,37,5,37,42
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,10,62,10,62,72
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,2,8,2,8,10
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,65,172,65,172,237
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,3,10,3,10,13
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,7,1,7,8
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,17,47,17,47,64
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,7,0,7,7
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,17,23,17,23,40
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,14,0,14,14
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,7,1,7,8
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,13,45,13,45,58
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,4,0,4,4
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,3,12,3,12,15
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,36,0,36,0,36
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,3,28,3,28,31
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,1,0,1,1
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,5,18,5,18,23
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,1,0,1,1
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,7,0,7,7
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,2,9,2,9,11
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1189,2248,1189,2248,3437
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,4,0,4,4
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,8,0,8,8
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,6,0,6,6
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,318,558,318,558,876
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,2,5,2,5,7
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,143,229,143,229,372
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,11,0,11,11
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,3,1,3,1,4
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,94,253,94,253,347
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,29,30,29,30,59
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,7,9,7,9,16
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,8,30,8,30,38
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,10,5,10,5,15
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,31,51,31,51,82
VILLA SERRANO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,2,0,2,2
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,27,0,27,27
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,10,20,10,20,30
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,17,15,17,15,32
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,1,21,1,21,22
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,58,91,58,91,149
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,6,25,6,25,31
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,1,0,1,1
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2010-08-01,0,4,0,4,4
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,3,0,3,3
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,4,0,4,4
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,2,35,2,35,37
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,13,0,13,13
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,5,1,5,6
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,1,1,1,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,15,25,15,25,40
CABEZAS,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,1,1,1,2
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,11,36,11,36,47
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,7,28,7,28,35
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,1,0,1,1
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,3,17,3,17,20
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,2,10,2,10,12
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,8,0,8,8
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,33,97,33,97,130
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1071,1952,1071,1952,3023
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,30,47,30,47,77
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,18,1,18,19
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,5,12,5,12,17
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,6,11,6,11,17
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,4,14,4,14,18
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,9,0,9,9
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,249,493,249,493,742
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,18,20,18,20,38
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,9,0,9,9
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,0,1,0,1
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,14,49,14,49,63
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1130,1466,1130,1466,2596
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,12,29,12,29,41
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,2,7,2,7,9
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,12,0,12,12
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,16,30,16,30,46
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,30,119,30,119,149
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,297,485,297,485,782
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,3,15,3,15,18
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,18,0,18,18
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,18,31,18,31,49
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,77,149,77,149,226
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,5,19,5,19,24
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,12,38,12,38,50
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,12,52,12,52,64
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,9,43,9,43,52
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,3,1,3,4
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,57,219,57,219,276
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,2,3,2,3,5
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,7,0,7,7
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,24,73,24,73,97
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,5,0,5,5
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,9,35,9,35,44
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,3,13,3,13,16
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,9,1,9,10
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,7,0,7,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,3,48,3,48,51
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,3,1,3,4
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,3,20,3,20,23
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,15,39,15,39,54
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,22,16,22,16,38
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,2,9,2,9,11
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,2,1,2,3
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,2,8,2,8,10
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,4,0,4,4
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,3,3,3,3,6
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,2,14,2,14,16
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,955,1496,955,1496,2451
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,3,1,3,4
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,23,0,23,23
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,5,1,5,6
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,307,392,307,392,699
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,2,7,2,7,9
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,253,418,253,418,671
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,3,0,3,3
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,4,0,4,4
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2010-09-01,3,4,3,4,7
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,141,255,141,255,396
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,26,32,26,32,58
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,9,14,9,14,23
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,17,41,17,41,58
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,11,13,11,13,24
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,21,63,21,63,84
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,7,26,7,26,33
VILLA VACA GUZMAN (MUYUPAMPA),cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,3,0,3,3
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,10,19,10,19,29
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,28,15,28,15,43
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,1,19,1,19,20
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,43,110,43,110,153
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,5,22,5,22,27
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,4,0,4,4
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2010-09-01,0,4,0,4,4
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,4,10,4,10,14
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,10,15,10,15,25
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,9,9,9,9,18
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,1,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,7,1,7,8
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,9,37,9,37,46
CABEZAS,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,0,1,0,1
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,13,12,13,12,25
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,13,64,13,64,77
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,1,0,1,1
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,7,28,7,28,35
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,4,0,4,4
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,15,1,15,16
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,40,75,40,75,115
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1112,1826,1112,1826,2938
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,21,46,21,46,67
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,15,0,15,15
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,3,11,3,11,14
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,6,11,6,11,17
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,8,0,8,8
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,4,8,4,8,12
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,288,583,288,583,871
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,9,27,9,27,36
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,5,0,5,5
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,2,44,2,44,46
HUARACAJE,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,1,0,1,1
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1010,1857,1010,1857,2867
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,9,24,9,24,33
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,8,48,8,48,56
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,12,0,12,12
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,6,26,6,26,32
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,42,161,42,161,203
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,308,455,308,455,763
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,8,8,8,8,16
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,2,6,2,6,8
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,114,152,114,152,266
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,5,8,5,8,13
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,27,44,27,44,71
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,14,40,14,40,54
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,17,6,17,6,23
REYES,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,5,1,5,6
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,73,191,73,191,264
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,2,7,2,7,9
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,10,0,10,10
SACABA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,21,63,21,63,84
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,10,0,10,10
SAN ANDRES,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,3,0,3,0,3
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,3,11,3,11,14
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,23,1,23,24
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,18,1,18,19
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,15,56,15,56,71
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2010-10-01,3,1,3,1,4
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,1,1,1,2
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,4,14,4,14,18
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,43,0,43,0,43
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,3,4,3,4,7
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,3,1,3,4
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,2,1,2,1,3
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,7,0,7,7
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,2,1,2,1,3
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,13,21,13,21,34
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1149,1081,1149,1081,2230
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,18,22,18,22,40
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,14,0,14,14
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,1,0,1,1
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,421,406,421,406,827
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,5,1,5,6
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,230,409,230,409,639
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,7,0,7,7
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,11,0,11,11
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,4,0,4,4
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,144,292,144,292,436
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,30,24,30,24,54
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,5,9,5,9,14
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,13,36,13,36,49
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,4,13,4,13,17
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,22,43,22,43,65
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,2,28,2,28,30
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,5,9,5,9,14
VINTO,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,26,7,26,7,33
WARNES,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,1,23,1,23,24
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,55,91,55,91,146
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,6,17,6,17,23
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,1,0,1,1
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2010-10-01,0,2,0,2,2
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,3,6,3,6,9
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,2,16,2,16,18
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,7,26,7,26,33
AZURDUY,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,1,0,1,1
BAURES,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,2,0,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,5,31,5,31,36
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,4,4,4,4,8
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,7,40,7,40,47
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,1,0,1,1
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1,26,1,26,27
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,6,0,6,6
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,10,0,10,10
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2010-11-01,7,4,7,4,11
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,41,77,41,77,118
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1135,1986,1135,1986,3121
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,38,75,38,75,113
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,22,0,22,22
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,6,18,6,18,24
COROICO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1,7,1,7,8
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,10,0,10,10
CULPINA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,2,4,2,4,6
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,264,520,264,520,784
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,18,9,18,9,27
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,3,0,3,3
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,43,75,43,75,118
INCAHUASI,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1,4,1,4,5
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,1131,1552,1131,1552,2683
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,17,26,17,26,43
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,3,0,3,3
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,10,0,10,10
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,9,22,9,22,31
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,34,140,34,140,174
ORURO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,293,430,293,430,723
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,4,2,4,2,6
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,6,6,6,6,12
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,15,34,15,34,49
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,90,161,90,161,251
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,0,12,0,12,12
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,7,26,7,26,33
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2010-11-01,9,43,9,43,52
