,group,variable,month,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
JESUS DE MACHACA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,7,0,7,0,7
LA PAZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,3,0,3,0,3
LAGUNILLAS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,3,3,3,3,6
LLICA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,30,0,30,30
MINEROS,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,23,2,23,2,25
MIZQUE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,10,0,10,10
MOJOCOYA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,2,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,5,0,5,5
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,1,10,1,10,11
OKINAWA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,2,0,2,2
ORURO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,7,0,7,0,7
PAILON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,6,0,6,6
POJO (CBBA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,3,0,3,3
PORTACHUELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,1,1,1,1,2
PORVENIR,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,4,0,4,4
POSTRER VALLE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,1,0,1,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,3,0,3,0,3
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,47,5,47,5,52
QUILLACOLLO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,5,2,5,2,7
RAVELO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,3,0,3,3
REYES,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,4,0,4,0,4
SAN LORENZO(PND),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,7,0,7,7
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,1,1,1,1,2
SAN RAFAEL,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,6,4,6,4,10
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,97,10,97,10,107
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,1,0,1,0,1
SENA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,1,0,1,1
SORACACHI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,3,0,3,3
SUCRE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,135,7,135,7,142
TAPACARI,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,1,1,1,1,2
TARIJA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,6,0,6,0,6
TUPIZA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,2,0,2,2
VALLEGRANDE,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,2,0,2,0,2
VILLAZON,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,7,5,7,5,12
YACUIBA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,54,0,54,54
YUNCHARA,vacunacion en ninos de 4 anos,antipoliomielitica 5ta dosis,2010-12-01,0,4,0,4,4
