,group,variable,month,17. RN CON APEGO PRECOZ SERV/DOM,17. RN CON APEGO PRECOZ SERV/DOM,TOTALES,TOTALES,TOTALES
AIQUILE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,16,0,16,0,16
ALALAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
ALTO BENI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
ANCORAIMES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,3,1,3,4
ANDAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
ANZALDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,0,3,0,3
APOLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,8,6,8,6,14
ARAMPAMPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,3,0,3,3
ARANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
ARBIETO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,1,4,1,5
ARQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,8,1,8,9
ATOCHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,0,7,0,7
AUCAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,4,3,4,7
AYATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,2,4,2,6
AYO AYO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,4,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,17,13,17,13,30
AZURDUY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,2,7,2,9
BATALLAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,7,3,7,10
BAURES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
BERMEJO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,19,2,19,2,21
BETANZOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,17,2,17,2,19
BOLIVAR,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,6,0,6,6
BOYUIBE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
BUENA VISTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
CABEZAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,15,6,15,6,21
CAIROMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,1,4,1,5
"CAIZA ""D""",recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,2,5,2,7
CAJUATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,0,10,0,10
CALACOTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,2,2,2,4
CALAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,7,7,7,14
CAMARGO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,15,2,15,2,17
CAMIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,18,0,18,0,18
CAPINOTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,14,0,14,0,14
CAQUIAVIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,5,1,5,6
CARACOLLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,14,0,14,0,14
CARANAVI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,51,3,51,3,54
CARAPARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,1,10,1,11
CARIPUYO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,2,2,2,4
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
CHACARILLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,42,4,42,4,46
CHAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,2,1,2,3
CHARAGUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,21,3,21,3,24
CHAYANTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,1,10,1,11
CHIMORE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,13,2,13,2,15
CHIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,1,1,1,2
CHOQUE COTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,21,2,21,2,23
CHUMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,1,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,6,0,6,0,6
CKOCHAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,6,5,6,11
CLIZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,26,0,26,0,26
COBIJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,26,0,26,0,26
COCAPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,9,8,9,8,17
COCHABAMBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,772,1,772,1,773
COLCAPIRHUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,38,0,38,0,38
"COLCHA ""K""",recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,4,3,4,7
COLLANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
COLOMI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,19,0,19,0,19
COLPA BELGICA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
COLQUECHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,8,13,8,13,21
COLQUENCHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,2,1,2,3
COLQUIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,8,4,8,12
COMARAPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,18,0,18,0,18
CONCEPCION,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,36,0,36,0,36
COPACABANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,1,7,1,8
CORIPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,0,10,0,10
CORO CORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,4,2,4,6
COROICO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,9,5,9,5,14
CORQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,2,1,2,3
COTAGAITA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,1,10,1,11
COTOCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,64,4,64,4,68
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,16,0,16,0,16
CUEVO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
CULPINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,9,3,9,3,12
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
CURVA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,3,0,3,3
DESAGUADERO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,1,4,1,5
EL ALTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,585,15,585,15,600
EL PUENTE(STC),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
EL PUENTE(TJA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,1,3,1,4
EL TORNO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,41,0,41,0,41
EL VILLAR,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,26,0,26,0,26
ESCARA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
ESCOMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
EUCALIPTUS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
FILADELFIA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,1,10,1,11
GIA-TIM,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,8,0,8,8
GUANAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,16,0,16,0,16
GUAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,1,3,1,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,41,0,41,0,41
GUTIERREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,1,7,1,8
HUACARAJE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,2,3,2,5
HUANUNI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,12,0,12,0,12
HUARINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
HUAYLLAMARCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,0,4,0,4
HUMANATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,1,3,1,4
ICHOCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,2,0,2,2
ICLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,0,3,0,3
INCAHUASI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,11,7,11,18
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
INQUISIVI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,7,5,7,12
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,6,1,6,1,7
IXIAMAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,1,5,1,6
JESUS DE MACHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,3,4,3,7
LA ASUNTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,44,2,44,2,46
LA GUARDIA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,60,0,60,0,60
LA PAZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,753,0,753,0,753
LAGUNILLAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
LAJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,8,10,8,18
LICOMA PAMPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,53,1,53,1,54
LLICA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
LURIBAY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,0,3,0,3
MACHARETI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
MAGDALENA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,3,7,3,10
MAIRANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,13,0,13,0,13
MALLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,3,1,3,4
MAPIRI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,6,0,6,0,6
MINEROS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,17,0,17,0,17
MIZQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,12,0,12,0,12
MOCOMOCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,7,0,7,7
MOJOCOYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
MONTEAGUDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,9,1,9,1,10
MONTERO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,13,0,13,0,13
MORO MORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,1,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,8,5,8,13
OKINAWA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,0,3,0,3
OMEREQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,6,0,6,0,6
ORURO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,418,4,418,4,422
PADCAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,1,5,1,6
PADILLA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,0,3,0,3
PAILON,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,23,3,23,3,26
PALCA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,6,2,6,8
PALOS BLANCOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,12,5,12,5,17
PAMPA GRANDE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
PAPEL PAMPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
PATACAMAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,30,9,30,9,39
PAZÑA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,1,1,1,2
PELECHUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,7,1,7,8
POCOATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,8,9,8,9,17
POCONA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,1,5,1,6
POJO (CBBA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,9,0,9,0,9
POOPO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,1,1,1,2
PORCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,1,10,1,11
POROMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,4,5,4,9
PORONGO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
PORTACHUELO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,24,0,24,0,24
POTOSI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,190,1,190,1,191
PRESTO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
PUCARANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,8,21,8,21,29
PUERTO ACOSTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,8,2,8,10
PUERTO CARABUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,4,5,4,9
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,1,3,1,4
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,13,0,13,0,13
PUERTO SILES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
PUERTO SUAREZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,13,0,13,0,13
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,115,1,115,1,116
PUNA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,11,2,11,2,13
PUNATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,33,0,33,0,33
QUIABAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,1,1,1,2
QUILLACOLLO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,178,2,178,2,180
QUIME,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,1,10,1,11
RAQAYPAMPA(ETA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,4,1,4,5
RAVELO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,2,5,2,7
REYES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,11,1,11,1,12
RIBERALTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,185,1,185,1,186
ROBORE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,16,0,16,0,16
RURRENABAQUE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,18,0,18,0,18
SABAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,84,0,84,0,84
SACABAMBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
SACACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,6,10,6,10,16
SAIPINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
SAMAIPATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,1,4,1,5
SAN ANDRES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,6,0,6,0,6
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,1,3,1,4
SAN BENITO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,44,15,44,15,59
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,10,0,10,0,10
SAN CARLOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,16,0,16,0,16
SAN IGNACIO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,11,4,11,4,15
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,93,6,93,6,99
SAN JAVIER(BNI),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
SAN JAVIER(STC),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,15,1,15,1,16
SAN JOAQUIN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,6,0,6,0,6
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,18,0,18,0,18
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
SAN JULIAN,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,57,0,57,0,57
SAN LORENZO(PND),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,2,7,2,9
SAN LORENZO(TJA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
SAN LUCAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,21,12,21,12,33
SAN MATIAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,0,7,0,7
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,11,0,11,0,11
SAN PEDRO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,11,22,11,22,33
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,4,0,4,4
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,12,9,12,9,21
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,2,1,2,3
SAN RAFAEL,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
SAN RAMON SCZ,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,2,4,2,6
SANTA ANA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,34,0,34,0,34
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1078,0,1078,0,1078
SANTA ROSA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,1,4,1,5
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,0,3,0,3
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,2,0,2,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,2,2,2,4
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,2,1,2,3
SAPAHAQUI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,2,4,2,6
SENA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,6,2,6,2,8
SHINAOTA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,33,0,33,0,33
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,9,7,9,16
SICAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,25,0,25,0,25
SOPACHUY,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
SORACACHI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,2,1,2,3
SORATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,7,5,7,12
SUCRE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,378,2,378,2,380
TACACOMA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,5,1,5,6
TACOBAMBA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,2,3,2,5
TACOPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,5,2,5,7
TAHUA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,6,4,6,10
TARABUCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,5,5,5,10
TARACO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,3,2,3,5
TARATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,1,4,1,5
TARIJA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,174,0,174,0,174
TARVITA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,7,2,7,2,9
TEOPONTE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
TIAHUANACU,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,9,1,9,1,10
TINGUIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,10,2,10,12
TIPUANI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
TIQUIPAYA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,58,4,58,4,62
TIRAQUE (CBBA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,8,1,8,1,9
TOCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
TOLATA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
TOLEDO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
TOMAVE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
TOMINA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,4,0,4,0,4
TORO TORO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,3,5,3,8
TOTORA(CBBA),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,15,1,15,1,16
TOTORA(ORR),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,1,0,1,1
TRIGAL,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,131,2,131,2,133
TUPIZA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,56,5,56,5,61
TURCO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,1,1,1,2
UMALA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,0,4,0,4,4
UNCIA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,31,5,31,5,36
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,3,1,3,1,4
UYUNI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,2,1,2,3
VACAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,5,0,5,0,5
VALLEGRANDE,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,0,2,0,2
VIACHA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,46,3,46,3,49
VILA VILA,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,1,2,1,2,3
VILLA CHARCAS,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,12,8,12,8,20
VILLA MONTES,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,51,1,51,1,52
VILLA SERRANO,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,2,1,2,1,3
VILLA TUNARI,recien nacidos en servicio y domicilio,rn con apego precoz,2024-07-01,106,8,106,8,114
