,group,variable,month,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,3. NACIDOS VIVOS CON PESO MENOR A 2500G SERV/DOM,TOTALES,TOTALES,TOTALES
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,9,0,9,0,9
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,16,0,16,0,16
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,5,0,5,0,5
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,6,0,6,0,6
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,18,0,18,0,18
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,1,0,1,1
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,60,0,60,0,60
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,18,0,18,0,18
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,4,0,4,4
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,11,0,11,0,11
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,10,0,10,0,10
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,2,0,2,0,2
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,0,1,0,1,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,9,0,9,0,9
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,3,0,3,0,3
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,3,0,3,0,3
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-06-01,3,0,3,0,3
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,1,2,1,3
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,1,1,1,2
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
AYATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,3,0,3,0,3
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,12,0,12,0,12
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,82,0,82,0,82
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
COPACABANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
CUATRO CAÑADAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,3,0,3,0,3
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
CURVA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,80,0,80,0,80
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,8,0,8,0,8
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,125,1,125,1,126
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,3,1,3,1,4
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,7,0,7,0,7
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,7,0,7,0,7
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,38,0,38,0,38
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
POROMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,0,2,0,2
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,28,0,28,0,28
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,5,1,5,1,6
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,28,0,28,0,28
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,0,2,0,2
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,0,2,0,2
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,4,1,4,1,5
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,6,0,6,0,6
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,3,0,3,0,3
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,51,0,51,0,51
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,20,0,20,0,20
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,18,0,18,0,18
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,0,1,0,1,1
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,0,2,0,2
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,0,1,0,1
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,14,1,14,1,15
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,0,2,0,2
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,5,0,5,0,5
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,3,0,3,0,3
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,1,1,1,1,2
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,0,2,0,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,10,2,10,2,12
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,1,2,1,3
VINTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,2,0,2,0,2
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,5,0,5,0,5
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-07-01,3,1,3,1,4
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,0,3,0,3,3
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,4,0,4,0,4
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,5,1,5,1,6
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,0,1,0,1,1
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,0,1,0,1,1
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,1,1,1,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,71,0,71,0,71
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,2,1,2,3
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,3,1,3,1,4
COPACABANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
COROICO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,6,0,6,0,6
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,87,1,87,1,88
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,5,0,5,0,5
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,3,0,3,0,3
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,132,2,132,2,134
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,3,0,3,0,3
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,3,0,3,0,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
MECAPACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,4,0,4,0,4
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,0,2,0,2,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,34,0,34,0,34
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,5,0,5,0,5
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,57,0,57,0,57
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,4,0,4,0,4
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,13,0,13,0,13
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,3,0,3,0,3
SACACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,7,1,7,1,8
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,0,1,0,1,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,4,0,4,0,4
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,3,0,3,0,3
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,100,0,100,0,100
SENA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,28,0,28,0,28
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,17,0,17,0,17
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,15,0,15,0,15
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,7,1,7,1,8
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,11,0,11,0,11
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,13,0,13,0,13
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,5,0,5,0,5
WARNES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,3,0,3,0,3
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,2,0,2,0,2
YUNCHARA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-08-01,1,0,1,0,1
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,4,0,4,0,4
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,1,1,1,2
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,1,0,1,1
BAURES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,5,0,5,0,5
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,5,0,5,0,5
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,0,3,0,3
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,1,1,1,2
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,3,0,3,3
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,0,2,0,2
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,11,0,11,0,11
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,75,2,75,2,77
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,2,0,2,2
COMANCHE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,2,0,2,2
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,0,2,0,2
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,0,3,0,3
COPACABANA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,47,1,47,1,48
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,4,0,4,0,4
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,1,0,1,1
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,0,2,0,2
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,65,0,65,0,65
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,4,1,4,1,5
LLICA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
LORETO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,1,0,1,1
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,1,0,1,1
MORO MORO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,53,0,53,0,53
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
PALCA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,3,3,3,6
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,4,0,4,0,4
POOPO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
PORCO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,41,0,41,0,41
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
PUERTO SUAREZ,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,4,0,4,0,4
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,5,0,5,0,5
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,2,0,2,0,2
REYES,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,20,0,20,0,20
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SABAYA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,0,3,0,3
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,3,0,3,0,3
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,1,0,1,0,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos con peso menor a 2500g,2024-09-01,0,4,0,4,4
