,group,variable,month,2. NACIDOS VIVOS EN MUJERES DE 15 A 49 AÑOS CON 4 CPN SERV/DOM,2. NACIDOS VIVOS EN MUJERES DE 15 A 49 AÑOS CON 4 CPN SERV/DOM,TOTALES,TOTALES,TOTALES
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,10,1,10,1,11
ENTRE RIOS CBBA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,26,0,26,0,26
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,1,5,1,6
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
EUREKA (SANTOS MERCADO),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,1,0,1,1
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,0,5,0,5
FILADELFIA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,9,0,9,9
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,15,2,15,2,17
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,1,2,1,3
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,33,0,33,0,33
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,7,1,7,1,8
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,8,1,8,1,9
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,3,1,3,4
HUATAJATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,2,1,2,3
ICLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,3,3,3,6
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,6,5,6,5,11
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,3,3,3,6
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,0,5,0,5
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,8,1,8,1,9
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,37,9,37,9,46
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,55,0,55,0,55
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,543,1,543,1,544
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
LAJA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,19,4,19,23
LAS CARRERAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,54,0,54,0,54
LLICA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,0,4,0,4
LORETO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,2,2,2,4
MACHACAMARCA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,0,5,0,5
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,11,2,11,2,13
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,7,0,7,0,7
MALLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,3,0,3,3
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,10,2,10,2,12
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,0,4,0,4
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,7,0,7,7
MOJINETE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,24,0,24,0,24
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,17,0,17,0,17
MORO MORO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,2,1,2,3
NUEVO MANOA (NUEVA ESPERANZA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,1,0,1,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,10,2,10,2,12
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
OMEREQUE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
ORURO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,342,3,342,3,345
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,0,4,0,4
PADILLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,13,0,13,0,13
PAILON,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,0,4,0,4
PALCA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,9,5,9,14
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,13,14,13,14,27
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,2,1,2,3
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,20,1,20,1,21
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,4,1,4,5
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,6,9,6,9,15
POCONA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,9,0,9,0,9
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,8,0,8,0,8
POOPO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
PORCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,10,0,10,0,10
POROMA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,5,5,5,10
PORONGO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
PORTACHUELO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,14,0,14,0,14
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,205,3,205,3,208
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,7,1,7,8
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,18,4,18,22
PUERTO ACOSTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,1,3,1,4
PUERTO CARABUCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,1,2,1,3
PUERTO GONZALO MORENO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
PUERTO PEREZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,1,0,1,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,11,1,11,1,12
PUERTO RICO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,101,0,101,0,101
PUNA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,6,0,6,0,6
PUNATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,91,0,91,0,91
QUIABAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,1,2,1,3
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,140,1,140,1,141
QUIME,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
QUIRUSILLAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
RAVELO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,2,5,2,7
REYES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,14,0,14,0,14
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,176,0,176,0,176
ROBORE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,18,0,18,0,18
RURRENABAQUE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,6,0,6,0,6
SACABA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,113,1,113,1,114
SACACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,6,6,6,6,12
SAIPINA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
SALINAS DE GARCI MENDOZA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,2,2,2,4
SAN AGUSTIN,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
SAN ANDRES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,17,1,17,1,18
SAN ANDRES DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,2,0,2,2
SAN ANTONIO DE ESMORUCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,9,0,9,0,9
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,37,9,37,9,46
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,22,0,22,0,22
SAN CARLOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,18,1,18,1,19
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,12,3,12,3,15
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,77,1,77,1,78
SAN JAVIER(STC),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,18,0,18,0,18
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,25,0,25,0,25
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,58,0,58,0,58
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,1,4,1,5
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,13,10,13,10,23
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,15,0,15,0,15
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,10,1,10,1,11
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,6,11,6,11,17
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,1,0,1,1
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,15,6,15,6,21
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
SAN RAMON BENI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
SAN RAMON SCZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,0,4,0,4
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,19,0,19,0,19
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,607,0,607,0,607
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,6,0,6,0,6
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,0,4,0,4
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,2,0,2,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,5,3,5,8
SANTIAGO DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,1,0,1,1
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,3,3,3,6
SENA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,0,4,0,4
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,38,0,38,0,38
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,7,5,7,5,12
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,31,4,31,4,35
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,2,1,2,3
SORATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,2,4,2,6
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,350,2,350,2,352
TACACHI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,4,1,4,5
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,2,0,2,2
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,7,0,7,0,7
TARACO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,1,0,1,1
TARATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,9,0,9,0,9
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,268,0,268,0,268
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,11,2,11,2,13
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,1,2,1,3
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,6,3,6,3,9
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,2,4,2,6
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,1,4,1,5
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,45,2,45,2,47
TITO YUPANQUI (PARQUIPUJIO),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,1,0,1,1
TOCO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
TOLATA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,4,0,4,0,4
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,2,5,2,7
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,6,3,6,9
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,13,2,13,2,15
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,23,1,23,1,24
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,47,5,47,5,52
UMALA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,0,2,0,2,2
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,12,3,12,3,15
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,0,5,0,5
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,1,1,1,2
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,26,0,26,0,26
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,53,2,53,2,55
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,8,5,8,5,13
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,36,0,36,0,36
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,1,2,1,3
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,2,1,2,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,87,8,87,8,95
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,28,0,28,0,28
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,5,2,5,2,7
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,2,1,2,3
WARNES,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,34,0,34,0,34
YACO,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,6,2,6,8
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,104,1,104,1,105
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,1,0,1,0,1
YANACACHI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,74,0,74,0,74
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos en mujeres de 15 a 49 anos con 4 cpn,2024-06-01,3,0,3,0,3
