,group,variable,month,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,6. NACIDOS VIVOS ATENDIDOS POR PERSONAL DE SALUD SERV/DOM,TOTALES,TOTALES,TOTALES
SAN JOAQUIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,9,0,9,0,9
SAN JOSE DE CHIQUITOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,32,0,32,0,32
SAN JUAN DE YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,3,0,3,0,3
SAN JULIAN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,68,0,68,0,68
SAN LORENZO(PND),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,2,4,2,6
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,13,10,13,10,23
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,15,0,15,0,15
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,12,1,12,1,13
SAN PEDRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,0,2,0,2
SAN PEDRO DE BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,6,17,6,17,23
SAN PEDRO DE CURAHUARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,1,2,1,3
SAN PEDRO DE MACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,18,8,18,8,26
SAN PEDRO DE TIQUINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,1,4,1,5
SAN RAFAEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,3,0,3,0,3
SAN RAMON BENI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,0,1,0,1
SANTA ANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,19,0,19,0,19
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1803,0,1803,0,1803
SANTA ROSA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,9,0,9,0,9
SANTA ROSA DEL SARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,0,4,0,4
SANTIAGO DE CALLAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,0,2,0,2,2
SANTIAGO DE HUARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,0,2,0,2
SANTIAGO DE HUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,3,5,3,5,8
SANTIVAÑES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,3,0,3,0,3
SANTUARIO DE QUILLACAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,0,1,0,1,1
SAPAHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,3,3,3,3,6
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,0,4,0,4
SHINAOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,41,0,41,0,41
SICA SICA (VILLA AROMA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,7,4,7,11
SICAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,1,1,1,2
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,31,0,31,0,31
SOPACHUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,0,2,0,2
SORACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,2,1,2,3
SORATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,5,3,5,3,8
SUCRE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,371,1,371,1,372
TACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,0,1,0,1
TACACOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,1,2,1,3
TACOBAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,5,1,5,6
TACOPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,2,2,2,4
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,20,4,20,24
TARABUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,9,0,9,0,9
TARACO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,1,2,1,3
TARATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,9,0,9,0,9
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,304,0,304,0,304
TARVITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,11,2,11,2,13
TEOPONTE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,1,1,1,2
TIAHUANACU,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,6,3,6,3,9
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,6,2,6,8
TIPUANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,1,4,1,5
TIQUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,47,6,47,6,53
TITO YUPANQUI (PARQUIPUJIO),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,0,1,0,1,1
TOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,0,2,0,2
TOLATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,0,4,0,4
TOMAVE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,2,4,2,6
TOMINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,0,1,0,1
TORO TORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,3,6,3,6,9
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,15,0,15,0,15
TRINIDAD,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,7,0,7,0,7
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,47,5,47,5,52
UMALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,0,2,0,2,2
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,19,5,19,5,24
URIONDO (A. CONCEPCION),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,5,0,5,0,5
URUBICHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,0,2,0,2
UYUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,38,1,38,1,39
VALLEGRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,25,0,25,0,25
VIACHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,59,1,59,1,60
VILA VILA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,0,2,0,2
VILLA CHARCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,8,4,8,4,12
VILLA MONTES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,47,0,47,0,47
VILLA NUEVA (LOMA ALTA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,1,2,1,3
VILLA SERRANO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,2,1,2,3
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,118,6,118,6,124
VILLA VACA GUZMAN (MUYUPAMPA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,4,0,4,0,4
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,71,1,71,1,72
VITICHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,5,2,5,2,7
WALDO BALLIVIAN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,2,1,2,3
WARNES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,0,1,0,1,1
YACO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,5,2,5,7
YACUIBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,93,2,93,2,95
YAMPARAEZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,0,1,0,1
YANACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,0,2,0,2
YAPACANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,75,0,75,0,75
YOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,1,0,1,0,1
YOTALA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-06-01,2,0,2,0,2
ACHACACHI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,11,3,11,14
ACHOCALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,7,1,7,1,8
AIQUILE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,1,0,1,1
ALALAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,1,0,1,1
ALTO BENI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,4,0,4,0,4
ANCORAIMES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,3,1,3,4
ANDAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,0,3,0,3
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,8,6,8,6,14
ARAMPAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,3,0,3,3
ARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
ARQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,6,0,6,6
ATOCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,7,0,7,0,7
AUCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,4,3,4,7
AYATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,4,2,4,2,6
AYO AYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,4,2,4,6
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,10,13,10,13,23
AZURDUY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,7,2,7,2,9
BATALLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,6,3,6,9
BAURES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
BERMEJO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
BETANZOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,17,1,17,1,18
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,6,0,6,6
BOYUIBE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
BUENA VISTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,0,2,0,2
CABEZAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,15,0,15,0,15
CAIROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,4,1,4,1,5
"CAIZA ""D""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,4,2,4,2,6
CAJUATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,10,0,10,0,10
CALACOTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,7,7,7,7,14
CAMARGO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,17,0,17,0,17
CAMIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,0,5,0,5
CAQUIAVIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,5,1,5,6
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,14,0,14,0,14
CARANAVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,51,4,51,4,55
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,9,1,9,1,10
CARIPUYO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,2,2,2,4
CARMEN RIVERO TORREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,42,4,42,4,46
CHAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,2,1,2,3
CHARAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,27,3,27,3,30
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,10,1,10,1,11
CHIMORE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,13,2,13,2,15
CHOQUE COTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
CHUA COCANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,3,0,3,3
CHULUMANI (V. DE LA LIBERTAD),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,21,2,21,2,23
CHUMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,1,3,1,4
CHUQUIHUTA AYLLU JUCUMANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,6,0,6,0,6
CKOCHAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,6,3,6,9
CLIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,26,0,26,0,26
COBIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,87,0,87,0,87
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,9,8,9,8,17
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,748,1,748,1,749
COLCAPIRHUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,38,0,38,0,38
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,4,3,4,7
COLLANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,0,2,0,2
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,15,0,15,0,15
COLQUECHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,8,13,8,13,21
COLQUENCHA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,3,2,3,5
COLQUIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,4,8,4,8,12
COMARAPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,18,0,18,0,18
CONCEPCION,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,36,0,36,0,36
COPACABANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,7,1,7,1,8
CORIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,8,0,8,0,8
CORO CORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,4,2,4,6
COROICO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,19,5,19,5,24
CORQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,2,1,2,3
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,7,1,7,1,8
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,64,4,64,4,68
CUEVO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,0,5,0,5
CULPINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,8,3,8,3,11
CURAHUARA DE CARANGAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
CURVA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,3,0,3,3
DESAGUADERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,595,8,595,8,603
EL PUENTE(STC),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,6,0,6,0,6
EL PUENTE(TJA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,1,5,1,6
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,16,0,16,0,16
EL VILLAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,0,2,0,2
ENTRE RIOS TRJ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,0,5,0,5
ESCARA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
ESCOMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,0,2,0,2
FERNANDEZ ALONSO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,0,5,0,5
GENERAL SAAVEDRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
GIA-TIM,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,1,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,8,0,8,8
GUANAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,16,0,16,0,16
GUAQUI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,1,3,1,4
GUAYARAMERIN,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,54,0,54,0,54
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,7,1,7,1,8
HUACARAJE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,0,3,0,3
HUACARETA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,0,2,0,2
HUACAYA (VILLA DE HUACAYA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,2,3,2,5
HUANUNI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,12,0,12,0,12
HUARINA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
HUAYLLAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,4,0,4,0,4
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,1,3,1,4
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,2,0,2,2
ICLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,0,3,0,3
INCAHUASI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,7,11,7,11,18
INGAVI (HUMAITA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,1,0,1,1
INQUISIVI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,7,5,7,12
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,6,1,6,1,7
IXIAMAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,1,5,1,6
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,4,3,4,3,7
LA ASUNTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,44,2,44,2,46
LA GUARDIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,60,0,60,0,60
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,853,0,853,0,853
LAGUNILLAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
LAJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,10,8,10,8,18
LICOMA PAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,0,2,0,2
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,56,1,56,1,57
LLICA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,1,0,1,1
LURIBAY,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,0,3,0,3
MACHARETI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,1,2,1,3
MAGDALENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,8,2,8,2,10
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,14,0,14,0,14
MALLA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,3,1,3,4
MAPIRI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,0,5,0,5
MINEROS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,18,0,18,0,18
MIZQUE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,12,0,12,0,12
MOCOMOCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,7,0,7,7
MOJOCOYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,0,2,0,2
MONTEAGUDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,29,1,29,1,30
MONTERO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,19,0,19,0,19
MORO MORO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
MOROCHATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,1,0,1,1
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
NAZACARA DE PACAJES,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,0,1,0,1
OCURI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,8,5,8,13
OKINAWA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,0,3,0,3
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,499,4,499,4,503
PADCAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,1,5,1,6
PAILON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,23,3,23,3,26
PALCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,3,8,3,8,11
PALOS BLANCOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,12,5,12,5,17
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,2,0,2,0,2
PAPEL PAMPA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,0,1,0,1,1
PATACAMAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,30,9,30,9,39
PAZÑA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,1,1,1,2
PELECHUCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,7,1,7,8
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,8,9,8,9,17
POCONA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,5,1,5,1,6
POJO (CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,8,0,8,0,8
POOPO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,1,1,1,1,2
PORCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por personal de salud,2024-07-01,10,1,10,1,11
