,group,variable,month,8. NACIDOS VIVOS ATENDIDOS POR OTROS SERV/DOM,8. NACIDOS VIVOS ATENDIDOS POR OTROS SERV/DOM,TOTALES,TOTALES,TOTALES
"COLCHA ""K""",recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,2,0,2,2
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
COTOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
CUCHUMUELA (V. G. VILLARROEL),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,14,0,14,14
EL TORNO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,2,0,2,2
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
GAIOC JATUN AYLLU YURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
GUTIERREZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,3,0,3,3
LLALLAGUA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
MAIRANA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,16,0,16,16
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
POCOATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
POROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,5,0,5,5
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,4,0,4,4
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,3,0,3,3
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,2,0,2,2
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,3,0,3,3
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,2,0,2,2
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,3,0,3,3
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
SAN MATIAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
SAN MIGUEL DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,5,0,5,5
SENA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,3,0,3,3
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,4,0,4,4
SORATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
TAPACARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,2,0,2,2
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,2,0,2,2
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
TUPIZA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
VACAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,2,0,2,2
ZUDAÑEZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-11-01,0,1,0,1,1
ANZALDO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
APOLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
ASCENCION DE GUARAYOS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,2,0,2,2
BOLIVAR,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
CALAMARCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
CAPINOTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
CARACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,2,0,2,2
CARAPARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,2,0,2,2
CHALLAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
CHAYANTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
COCAPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,2,0,2,2
COCHABAMBA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,5,0,5,5
COLOMI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
COTAGAITA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
EL ALTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,8,0,8,8
EUCALIPTUS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
HUMANATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
ICHOCA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
IRUPANA (VILLA DE LANZA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
JESUS DE MACHACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
LA PAZ,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,6,0,6,6
LAJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,2,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
ORURO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,17,0,17,17
PAMPA GRANDE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
POROMA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
POTOSI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
PRESTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,2,0,2,2
PUCARANI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
PUERTO QUIJARRO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
PUERTO VILLARROEL,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
QUILLACOLLO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,6,0,6,6
RIBERALTA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
SACABA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,2,0,2,2
SACACA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
SAMAIPATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
SAN BORJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
SAN BUENA VENTURA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
SAN IGNACIO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
SAN LUCAS,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,6,0,6,6
SIPE SIPE,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,6,0,6,6
SORATA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
TARIJA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,3,0,3,3
TINGUIPAYA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
TOTORA(CBBA),recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
UNCIA,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,2,0,2,2
VILLA TUNARI,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,3,0,3,3
VILLAZON,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,1,0,1,1
VINTO,recien nacidos en servicio y domicilio,nacidos vivos atendidos por otros,2024-12-01,0,4,0,4,4
