,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,8,5,13
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
PUERTO RICO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,2,0,2
PUERTO VILLARROEL,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,4,10,14
SAN BUENA VENTURA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,2,1,3
SANTA ANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,5,4,9
SANTIAGO DE MACHACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,102,67,169
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,50,32,82
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,0,1,1
TOTORA(ORR),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,13,8,21
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,0,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,3,4,7
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,3,3,6
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,2,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-11-01,1,1,2
AIQUILE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,0,1,1
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,2,3,5
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,2,2,4
CARAPARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
CKOCHAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,2,1,3
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,7,6,13
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,62,40,102
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,2,0,2
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,19,16,35
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,25,19,44
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,5,3,8
PATACAMAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,2,3
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
POTOSI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,2,1,3
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,2,3
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,4,6,10
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,48,37,85
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,21,11,32
TIAWANACU,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,0,1,1
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,4,5,9
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,6,6,12
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,3,0,3
VILLA SERRANO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,0,1,1
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,3,0,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2011-12-01,0,1,1
