,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
AZURDUY,vih,n de personas con prueba rapida,2013-06-01,2,22,24
BERMEJO,vih,n de personas con prueba rapida,2013-06-01,8,13,21
BETANZOS,vih,n de personas con prueba rapida,2013-06-01,2,42,44
BOLPEBRA,vih,n de personas con prueba rapida,2013-06-01,5,2,7
CABEZAS,vih,n de personas con prueba rapida,2013-06-01,3,11,14
CAMARGO,vih,n de personas con prueba rapida,2013-06-01,27,55,82
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2013-06-01,2,10,12
CAMIRI,vih,n de personas con prueba rapida,2013-06-01,11,157,168
CAPINOTA,vih,n de personas con prueba rapida,2013-06-01,2,29,31
CARACOLLO,vih,n de personas con prueba rapida,2013-06-01,1,39,40
CARANAVI,vih,n de personas con prueba rapida,2013-06-01,21,9,30
CARAPARI,vih,n de personas con prueba rapida,2013-06-01,1,21,22
CHALLAPATA,vih,n de personas con prueba rapida,2013-06-01,0,46,46
CHAQUI,vih,n de personas con prueba rapida,2013-06-01,0,8,8
CHARAGUA,vih,n de personas con prueba rapida,2013-06-01,0,1,1
CHIMORE,vih,n de personas con prueba rapida,2013-06-01,4,6,10
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2013-06-01,3,9,12
CLIZA,vih,n de personas con prueba rapida,2013-06-01,2,7,9
COBIJA,vih,n de personas con prueba rapida,2013-06-01,54,69,123
COCHABAMBA,vih,n de personas con prueba rapida,2013-06-01,52,363,415
"COLCHA ""K""",vih,n de personas con prueba rapida,2013-06-01,2,6,8
COLOMI,vih,n de personas con prueba rapida,2013-06-01,1,0,1
COLPA BELGICA,vih,n de personas con prueba rapida,2013-06-01,0,1,1
COLQUIRI,vih,n de personas con prueba rapida,2013-06-01,0,20,20
COMARAPA,vih,n de personas con prueba rapida,2013-06-01,0,3,3
CORO CORO,vih,n de personas con prueba rapida,2013-06-01,36,9,45
COROICO,vih,n de personas con prueba rapida,2013-06-01,1,41,42
COTOCA,vih,n de personas con prueba rapida,2013-06-01,4,2,6
CULPINA,vih,n de personas con prueba rapida,2013-06-01,5,8,13
EL ALTO,vih,n de personas con prueba rapida,2013-06-01,232,1600,1832
EL PUENTE(STC),vih,n de personas con prueba rapida,2013-06-01,20,46,66
EL PUENTE(TJA),vih,n de personas con prueba rapida,2013-06-01,2,0,2
EL TORNO,vih,n de personas con prueba rapida,2013-06-01,31,35,66
EL VILLAR,vih,n de personas con prueba rapida,2013-06-01,4,2,6
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2013-06-01,16,42,58
ENTRE RIOS CBBA,vih,n de personas con prueba rapida,2013-06-01,1,4,5
ESCOMA,vih,n de personas con prueba rapida,2013-06-01,1,0,1
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2013-06-01,6,18,24
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2013-06-01,4,5,9
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2013-06-01,4,0,4
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2013-06-01,1,0,1
GUAYARAMERIN,vih,n de personas con prueba rapida,2013-06-01,112,147,259
GUTIERREZ,vih,n de personas con prueba rapida,2013-06-01,0,11,11
HUACARETA,vih,n de personas con prueba rapida,2013-06-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2013-06-01,5,14,19
HUANUNI,vih,n de personas con prueba rapida,2013-06-01,1,0,1
ICLA,vih,n de personas con prueba rapida,2013-06-01,2,3,5
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2013-06-01,0,2,2
INQUISIVI,vih,n de personas con prueba rapida,2013-06-01,3,0,3
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2013-06-01,2,0,2
LA ASUNTA,vih,n de personas con prueba rapida,2013-06-01,7,2,9
LA GUARDIA,vih,n de personas con prueba rapida,2013-06-01,4,7,11
LA PAZ,vih,n de personas con prueba rapida,2013-06-01,159,1139,1298
LAS CARRERAS,vih,n de personas con prueba rapida,2013-06-01,1,1,2
LLALLAGUA,vih,n de personas con prueba rapida,2013-06-01,14,139,153
MACHARETI,vih,n de personas con prueba rapida,2013-06-01,1,15,16
MAIRANA,vih,n de personas con prueba rapida,2013-06-01,0,3,3
MINEROS,vih,n de personas con prueba rapida,2013-06-01,4,1,5
MIZQUE,vih,n de personas con prueba rapida,2013-06-01,11,72,83
MOJOCOYA,vih,n de personas con prueba rapida,2013-06-01,5,6,11
MONTEAGUDO,vih,n de personas con prueba rapida,2013-06-01,3,11,14
MONTERO,vih,n de personas con prueba rapida,2013-06-01,24,40,64
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2013-06-01,0,7,7
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2013-06-01,0,4,4
ORURO,vih,n de personas con prueba rapida,2013-06-01,70,418,488
PADCAYA,vih,n de personas con prueba rapida,2013-06-01,0,23,23
PADILLA,vih,n de personas con prueba rapida,2013-06-01,0,4,4
PAILON,vih,n de personas con prueba rapida,2013-06-01,0,32,32
PATACAMAYA,vih,n de personas con prueba rapida,2013-06-01,61,51,112
POCOATA,vih,n de personas con prueba rapida,2013-06-01,26,43,69
POJO (CBBA),vih,n de personas con prueba rapida,2013-06-01,0,1,1
POOPO,vih,n de personas con prueba rapida,2013-06-01,1,0,1
POROMA,vih,n de personas con prueba rapida,2013-06-01,1,14,15
PORTACHUELO,vih,n de personas con prueba rapida,2013-06-01,2,4,6
POTOSI,vih,n de personas con prueba rapida,2013-06-01,233,117,350
PRESTO,vih,n de personas con prueba rapida,2013-06-01,0,1,1
PUCARANI,vih,n de personas con prueba rapida,2013-06-01,2,23,25
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2013-06-01,50,58,108
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2013-06-01,14,14,28
PUERTO RICO,vih,n de personas con prueba rapida,2013-06-01,0,16,16
PUERTO SUAREZ,vih,n de personas con prueba rapida,2013-06-01,1,29,30
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2013-06-01,19,309,328
QUIME,vih,n de personas con prueba rapida,2013-06-01,4,5,9
RIBERALTA,vih,n de personas con prueba rapida,2013-06-01,6,52,58
ROBORE,vih,n de personas con prueba rapida,2013-06-01,1,0,1
RURRENABAQUE,vih,n de personas con prueba rapida,2013-06-01,4,33,37
SACABA,vih,n de personas con prueba rapida,2013-06-01,16,80,96
SAIPINA,vih,n de personas con prueba rapida,2013-06-01,1,0,1
SAMAIPATA,vih,n de personas con prueba rapida,2013-06-01,0,1,1
SAN ANDRES,vih,n de personas con prueba rapida,2013-06-01,1,0,1
SAN BENITO,vih,n de personas con prueba rapida,2013-06-01,8,40,48
SAN BORJA,vih,n de personas con prueba rapida,2013-06-01,1,9,10
SAN CARLOS,vih,n de personas con prueba rapida,2013-06-01,1,15,16
SAN IGNACIO,vih,n de personas con prueba rapida,2013-06-01,5,29,34
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2013-06-01,8,75,83
SAN JAVIER(STC),vih,n de personas con prueba rapida,2013-06-01,0,18,18
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2013-06-01,9,24,33
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2013-06-01,0,1,1
SAN JULIAN,vih,n de personas con prueba rapida,2013-06-01,5,33,38
SAN LORENZO(PND),vih,n de personas con prueba rapida,2013-06-01,0,35,35
SAN LUCAS,vih,n de personas con prueba rapida,2013-06-01,2,3,5
SAN MATIAS,vih,n de personas con prueba rapida,2013-06-01,1,44,45
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2013-06-01,2,2,4
SAN PEDRO,vih,n de personas con prueba rapida,2013-06-01,2,14,16
SAN PEDRO DE BUENA VISTA,vih,n de personas con prueba rapida,2013-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2013-06-01,262,973,1235
SANTA ROSA DEL SARA,vih,n de personas con prueba rapida,2013-06-01,1,7,8
SENA,vih,n de personas con prueba rapida,2013-06-01,2,21,23
SHINAOTA,vih,n de personas con prueba rapida,2013-06-01,23,19,42
SIPE SIPE,vih,n de personas con prueba rapida,2013-06-01,3,57,60
SOPACHUY,vih,n de personas con prueba rapida,2013-06-01,20,42,62
SUCRE,vih,n de personas con prueba rapida,2013-06-01,71,102,173
TACOBAMBA,vih,n de personas con prueba rapida,2013-06-01,0,1,1
TAPACARI,vih,n de personas con prueba rapida,2013-06-01,8,9,17
TARABUCO,vih,n de personas con prueba rapida,2013-06-01,44,14,58
TARIJA,vih,n de personas con prueba rapida,2013-06-01,282,163,445
TARVITA,vih,n de personas con prueba rapida,2013-06-01,4,10,14
TEOPONTE,vih,n de personas con prueba rapida,2013-06-01,0,1,1
TIPUANI,vih,n de personas con prueba rapida,2013-06-01,4,1,5
TOLATA,vih,n de personas con prueba rapida,2013-06-01,0,1,1
TOMINA,vih,n de personas con prueba rapida,2013-06-01,2,1,3
TOTORA(CBBA),vih,n de personas con prueba rapida,2013-06-01,1,54,55
TOTORA(ORR),vih,n de personas con prueba rapida,2013-06-01,0,1,1
TRINIDAD,vih,n de personas con prueba rapida,2013-06-01,13,55,68
TUPIZA,vih,n de personas con prueba rapida,2013-06-01,0,39,39
TURCO,vih,n de personas con prueba rapida,2013-06-01,19,16,35
UNCIA,vih,n de personas con prueba rapida,2013-06-01,0,10,10
URIONDO (A. CONCEPCION),vih,n de personas con prueba rapida,2013-06-01,0,2,2
URUBICHA,vih,n de personas con prueba rapida,2013-06-01,20,22,42
UYUNI,vih,n de personas con prueba rapida,2013-06-01,0,50,50
VALLEGRANDE,vih,n de personas con prueba rapida,2013-06-01,2,61,63
VIACHA,vih,n de personas con prueba rapida,2013-06-01,1,6,7
VILLA CHARCAS,vih,n de personas con prueba rapida,2013-06-01,0,29,29
VILLA MONTES,vih,n de personas con prueba rapida,2013-06-01,14,23,37
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2013-06-01,0,8,8
VILLA SERRANO,vih,n de personas con prueba rapida,2013-06-01,2,15,17
VILLA TUNARI,vih,n de personas con prueba rapida,2013-06-01,13,13,26
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2013-06-01,1,3,4
VILLAZON,vih,n de personas con prueba rapida,2013-06-01,18,129,147
WARNES,vih,n de personas con prueba rapida,2013-06-01,5,8,13
YACUIBA,vih,n de personas con prueba rapida,2013-06-01,50,120,170
YAPACANI,vih,n de personas con prueba rapida,2013-06-01,29,83,112
YOTALA,vih,n de personas con prueba rapida,2013-06-01,12,5,17
YUNCHARA,vih,n de personas con prueba rapida,2013-06-01,3,7,10
ZUDAÑEZ,vih,n de personas con prueba rapida,2013-06-01,0,5,5
ACHACACHI,vih,n de personas con prueba rapida,2013-07-01,5,8,13
AIQUILE,vih,n de personas con prueba rapida,2013-07-01,1,52,53
ALCALA,vih,n de personas con prueba rapida,2013-07-01,10,11,21
ANCORAIMES,vih,n de personas con prueba rapida,2013-07-01,0,1,1
ANZALDO,vih,n de personas con prueba rapida,2013-07-01,1,0,1
APOLO,vih,n de personas con prueba rapida,2013-07-01,0,13,13
ARBIETO,vih,n de personas con prueba rapida,2013-07-01,1,0,1
ARQUE,vih,n de personas con prueba rapida,2013-07-01,0,2,2
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2013-07-01,16,36,52
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2013-07-01,1,1,2
AZURDUY,vih,n de personas con prueba rapida,2013-07-01,0,18,18
BERMEJO,vih,n de personas con prueba rapida,2013-07-01,7,10,17
BETANZOS,vih,n de personas con prueba rapida,2013-07-01,1,45,46
BOLPEBRA,vih,n de personas con prueba rapida,2013-07-01,5,11,16
BOYUIBE,vih,n de personas con prueba rapida,2013-07-01,1,0,1
CABEZAS,vih,n de personas con prueba rapida,2013-07-01,30,45,75
CAMARGO,vih,n de personas con prueba rapida,2013-07-01,0,127,127
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2013-07-01,0,3,3
CAMIRI,vih,n de personas con prueba rapida,2013-07-01,34,198,232
CAPINOTA,vih,n de personas con prueba rapida,2013-07-01,2,36,38
CARACOLLO,vih,n de personas con prueba rapida,2013-07-01,0,4,4
CARAPARI,vih,n de personas con prueba rapida,2013-07-01,1,27,28
CHALLAPATA,vih,n de personas con prueba rapida,2013-07-01,2,110,112
CHARAGUA,vih,n de personas con prueba rapida,2013-07-01,1,1,2
CLIZA,vih,n de personas con prueba rapida,2013-07-01,1,1,2
COBIJA,vih,n de personas con prueba rapida,2013-07-01,19,67,86
COCHABAMBA,vih,n de personas con prueba rapida,2013-07-01,89,461,550
COLOMI,vih,n de personas con prueba rapida,2013-07-01,1,0,1
COLPA BELGICA,vih,n de personas con prueba rapida,2013-07-01,4,10,14
COLQUIRI,vih,n de personas con prueba rapida,2013-07-01,3,15,18
COMARAPA,vih,n de personas con prueba rapida,2013-07-01,2,2,4
CORO CORO,vih,n de personas con prueba rapida,2013-07-01,26,9,35
COROICO,vih,n de personas con prueba rapida,2013-07-01,1,29,30
CORQUE,vih,n de personas con prueba rapida,2013-07-01,0,4,4
COTOCA,vih,n de personas con prueba rapida,2013-07-01,13,11,24
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2013-07-01,0,2,2
CULPINA,vih,n de personas con prueba rapida,2013-07-01,1,0,1
DESAGUADERO,vih,n de personas con prueba rapida,2013-07-01,3,20,23
EL ALTO,vih,n de personas con prueba rapida,2013-07-01,498,2026,2524
EL PUENTE(STC),vih,n de personas con prueba rapida,2013-07-01,23,40,63
EL PUENTE(TJA),vih,n de personas con prueba rapida,2013-07-01,0,4,4
EL TORNO,vih,n de personas con prueba rapida,2013-07-01,36,61,97
EL VILLAR,vih,n de personas con prueba rapida,2013-07-01,2,4,6
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2013-07-01,3,27,30
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2013-07-01,1,2,3
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2013-07-01,6,5,11
FILADELFIA,vih,n de personas con prueba rapida,2013-07-01,1,2,3
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2013-07-01,0,41,41
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2013-07-01,2,0,2
GUAYARAMERIN,vih,n de personas con prueba rapida,2013-07-01,79,193,272
GUTIERREZ,vih,n de personas con prueba rapida,2013-07-01,0,6,6
HUACARETA,vih,n de personas con prueba rapida,2013-07-01,3,2,5
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2013-07-01,47,25,72
HUACHACALLA,vih,n de personas con prueba rapida,2013-07-01,0,1,1
HUANUNI,vih,n de personas con prueba rapida,2013-07-01,4,3,7
HUAYLLAMARCA,vih,n de personas con prueba rapida,2013-07-01,2,4,6
ICLA,vih,n de personas con prueba rapida,2013-07-01,3,2,5
INCAHUASI,vih,n de personas con prueba rapida,2013-07-01,0,1,1
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2013-07-01,3,1,4
LA ASUNTA,vih,n de personas con prueba rapida,2013-07-01,6,6,12
LA GUARDIA,vih,n de personas con prueba rapida,2013-07-01,15,22,37
LA PAZ,vih,n de personas con prueba rapida,2013-07-01,320,1141,1461
LAS CARRERAS,vih,n de personas con prueba rapida,2013-07-01,1,0,1
LLALLAGUA,vih,n de personas con prueba rapida,2013-07-01,12,190,202
MACHARETI,vih,n de personas con prueba rapida,2013-07-01,3,21,24
MAIRANA,vih,n de personas con prueba rapida,2013-07-01,1,23,24
MINEROS,vih,n de personas con prueba rapida,2013-07-01,1,2,3
MIZQUE,vih,n de personas con prueba rapida,2013-07-01,14,76,90
MONTEAGUDO,vih,n de personas con prueba rapida,2013-07-01,6,14,20
MONTERO,vih,n de personas con prueba rapida,2013-07-01,34,53,87
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2013-07-01,0,10,10
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2013-07-01,8,1,9
ORURO,vih,n de personas con prueba rapida,2013-07-01,40,368,408
PADCAYA,vih,n de personas con prueba rapida,2013-07-01,0,26,26
PADILLA,vih,n de personas con prueba rapida,2013-07-01,0,6,6
PAILON,vih,n de personas con prueba rapida,2013-07-01,1,25,26
PALOS BLANCOS,vih,n de personas con prueba rapida,2013-07-01,20,11,31
PAMPA GRANDE,vih,n de personas con prueba rapida,2013-07-01,1,1,2
PATACAMAYA,vih,n de personas con prueba rapida,2013-07-01,28,24,52
POCOATA,vih,n de personas con prueba rapida,2013-07-01,3,14,17
POCONA,vih,n de personas con prueba rapida,2013-07-01,2,29,31
POROMA,vih,n de personas con prueba rapida,2013-07-01,0,24,24
PORONGO,vih,n de personas con prueba rapida,2013-07-01,1,34,35
PORTACHUELO,vih,n de personas con prueba rapida,2013-07-01,1,1,2
POTOSI,vih,n de personas con prueba rapida,2013-07-01,17,320,337
PRESTO,vih,n de personas con prueba rapida,2013-07-01,2,0,2
PUCARANI,vih,n de personas con prueba rapida,2013-07-01,1,18,19
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2013-07-01,29,78,107
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2013-07-01,10,9,19
PUERTO RICO,vih,n de personas con prueba rapida,2013-07-01,16,33,49
PUERTO SUAREZ,vih,n de personas con prueba rapida,2013-07-01,1,43,44
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2013-07-01,8,30,38
PUNATA,vih,n de personas con prueba rapida,2013-07-01,4,110,114
QUILLACOLLO,vih,n de personas con prueba rapida,2013-07-01,0,2,2
QUIME,vih,n de personas con prueba rapida,2013-07-01,2,5,7
RIBERALTA,vih,n de personas con prueba rapida,2013-07-01,15,485,500
ROBORE,vih,n de personas con prueba rapida,2013-07-01,4,8,12
RURRENABAQUE,vih,n de personas con prueba rapida,2013-07-01,9,61,70
SACABA,vih,n de personas con prueba rapida,2013-07-01,24,103,127
SACACA,vih,n de personas con prueba rapida,2013-07-01,0,1,1
SAIPINA,vih,n de personas con prueba rapida,2013-07-01,1,0,1
SAMAIPATA,vih,n de personas con prueba rapida,2013-07-01,1,0,1
SAN BENITO,vih,n de personas con prueba rapida,2013-07-01,2,23,25
SAN BORJA,vih,n de personas con prueba rapida,2013-07-01,3,10,13
SAN CARLOS,vih,n de personas con prueba rapida,2013-07-01,6,5,11
SAN IGNACIO,vih,n de personas con prueba rapida,2013-07-01,1,13,14
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2013-07-01,10,86,96
SAN JAVIER(BNI),vih,n de personas con prueba rapida,2013-07-01,1,2,3
SAN JAVIER(STC),vih,n de personas con prueba rapida,2013-07-01,1,46,47
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2013-07-01,18,59,77
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2013-07-01,3,18,21
SAN JULIAN,vih,n de personas con prueba rapida,2013-07-01,8,129,137
SAN LORENZO(PND),vih,n de personas con prueba rapida,2013-07-01,0,1,1
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2013-07-01,1,1,2
SAN LUCAS,vih,n de personas con prueba rapida,2013-07-01,2,15,17
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2013-07-01,0,1,1
SAN PEDRO,vih,n de personas con prueba rapida,2013-07-01,0,15,15
SAN PEDRO DE BUENA VISTA,vih,n de personas con prueba rapida,2013-07-01,0,2,2
SANTA ANA,vih,n de personas con prueba rapida,2013-07-01,23,16,39
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2013-07-01,337,1069,1406
SANTA ROSA DEL SARA,vih,n de personas con prueba rapida,2013-07-01,4,0,4
SENA,vih,n de personas con prueba rapida,2013-07-01,0,10,10
SHINAOTA,vih,n de personas con prueba rapida,2013-07-01,26,17,43
SIPE SIPE,vih,n de personas con prueba rapida,2013-07-01,0,5,5
SOPACHUY,vih,n de personas con prueba rapida,2013-07-01,63,46,109
SUCRE,vih,n de personas con prueba rapida,2013-07-01,123,151,274
TACOBAMBA,vih,n de personas con prueba rapida,2013-07-01,16,10,26
TAPACARI,vih,n de personas con prueba rapida,2013-07-01,6,10,16
TARABUCO,vih,n de personas con prueba rapida,2013-07-01,19,17,36
TARATA,vih,n de personas con prueba rapida,2013-07-01,4,4,8
TARIJA,vih,n de personas con prueba rapida,2013-07-01,69,208,277
TARVITA,vih,n de personas con prueba rapida,2013-07-01,2,5,7
TIPUANI,vih,n de personas con prueba rapida,2013-07-01,6,5,11
TOCO,vih,n de personas con prueba rapida,2013-07-01,1,0,1
TOLATA,vih,n de personas con prueba rapida,2013-07-01,0,1,1
TOMAVE,vih,n de personas con prueba rapida,2013-07-01,0,4,4
TOMINA,vih,n de personas con prueba rapida,2013-07-01,22,1,23
TOTORA(CBBA),vih,n de personas con prueba rapida,2013-07-01,5,66,71
TOTORA(ORR),vih,n de personas con prueba rapida,2013-07-01,0,4,4
TRINIDAD,vih,n de personas con prueba rapida,2013-07-01,99,248,347
TUPIZA,vih,n de personas con prueba rapida,2013-07-01,1,18,19
UNCIA,vih,n de personas con prueba rapida,2013-07-01,1,4,5
URUBICHA,vih,n de personas con prueba rapida,2013-07-01,11,1,12
UYUNI,vih,n de personas con prueba rapida,2013-07-01,0,25,25
VACAS,vih,n de personas con prueba rapida,2013-07-01,0,12,12
VALLEGRANDE,vih,n de personas con prueba rapida,2013-07-01,12,67,79
VIACHA,vih,n de personas con prueba rapida,2013-07-01,15,3,18
VILLA CHARCAS,vih,n de personas con prueba rapida,2013-07-01,0,32,32
VILLA MONTES,vih,n de personas con prueba rapida,2013-07-01,23,45,68
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2013-07-01,10,16,26
VILLA SERRANO,vih,n de personas con prueba rapida,2013-07-01,1,22,23
VILLA TUNARI,vih,n de personas con prueba rapida,2013-07-01,57,310,367
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2013-07-01,5,17,22
VILLAZON,vih,n de personas con prueba rapida,2013-07-01,20,31,51
VITICHI,vih,n de personas con prueba rapida,2013-07-01,1,0,1
WARNES,vih,n de personas con prueba rapida,2013-07-01,2,5,7
YACUIBA,vih,n de personas con prueba rapida,2013-07-01,72,133,205
YAPACANI,vih,n de personas con prueba rapida,2013-07-01,7,113,120
YOTALA,vih,n de personas con prueba rapida,2013-07-01,1,1,2
YUNCHARA,vih,n de personas con prueba rapida,2013-07-01,4,6,10
ACHACACHI,vih,n de personas con prueba rapida,2013-08-01,0,5,5
AIQUILE,vih,n de personas con prueba rapida,2013-08-01,2,76,78
ALCALA,vih,n de personas con prueba rapida,2013-08-01,4,3,7
ARBIETO,vih,n de personas con prueba rapida,2013-08-01,2,0,2
ARQUE,vih,n de personas con prueba rapida,2013-08-01,0,3,3
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2013-08-01,24,62,86
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2013-08-01,0,1,1
AZURDUY,vih,n de personas con prueba rapida,2013-08-01,1,6,7
BELLA FLOR,vih,n de personas con prueba rapida,2013-08-01,1,4,5
BETANZOS,vih,n de personas con prueba rapida,2013-08-01,1,44,45
BOLPEBRA,vih,n de personas con prueba rapida,2013-08-01,0,1,1
CABEZAS,vih,n de personas con prueba rapida,2013-08-01,19,3,22
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2013-08-01,5,7,12
CAMIRI,vih,n de personas con prueba rapida,2013-08-01,27,153,180
CAPINOTA,vih,n de personas con prueba rapida,2013-08-01,1,46,47
CARACOLLO,vih,n de personas con prueba rapida,2013-08-01,1,5,6
CARAPARI,vih,n de personas con prueba rapida,2013-08-01,3,13,16
CARMEN RIVERO TORREZ,vih,n de personas con prueba rapida,2013-08-01,1,0,1
CHALLAPATA,vih,n de personas con prueba rapida,2013-08-01,3,97,100
CHARAGUA,vih,n de personas con prueba rapida,2013-08-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2013-08-01,5,9,14
CLIZA,vih,n de personas con prueba rapida,2013-08-01,0,4,4
COBIJA,vih,n de personas con prueba rapida,2013-08-01,12,57,69
COCHABAMBA,vih,n de personas con prueba rapida,2013-08-01,158,475,633
COLPA BELGICA,vih,n de personas con prueba rapida,2013-08-01,1,1,2
COLQUIRI,vih,n de personas con prueba rapida,2013-08-01,0,29,29
COMARAPA,vih,n de personas con prueba rapida,2013-08-01,1,0,1
COROICO,vih,n de personas con prueba rapida,2013-08-01,3,3,6
COTOCA,vih,n de personas con prueba rapida,2013-08-01,2,4,6
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2013-08-01,3,15,18
EL ALTO,vih,n de personas con prueba rapida,2013-08-01,180,1789,1969
EL PUENTE(STC),vih,n de personas con prueba rapida,2013-08-01,45,64,109
EL TORNO,vih,n de personas con prueba rapida,2013-08-01,62,39,101
EL VILLAR,vih,n de personas con prueba rapida,2013-08-01,0,3,3
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2013-08-01,27,85,112
EUCALIPTUS,vih,n de personas con prueba rapida,2013-08-01,0,10,10
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2013-08-01,4,15,19
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2013-08-01,12,19,31
FILADELFIA,vih,n de personas con prueba rapida,2013-08-01,0,2,2
GUANAY,vih,n de personas con prueba rapida,2013-08-01,5,1,6
GUAYARAMERIN,vih,n de personas con prueba rapida,2013-08-01,104,220,324
GUTIERREZ,vih,n de personas con prueba rapida,2013-08-01,0,8,8
HUACARETA,vih,n de personas con prueba rapida,2013-08-01,9,14,23
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2013-08-01,0,5,5
HUACHACALLA,vih,n de personas con prueba rapida,2013-08-01,0,3,3
HUANUNI,vih,n de personas con prueba rapida,2013-08-01,3,1,4
HUAYLLAMARCA,vih,n de personas con prueba rapida,2013-08-01,4,6,10
ICLA,vih,n de personas con prueba rapida,2013-08-01,0,1,1
INCAHUASI,vih,n de personas con prueba rapida,2013-08-01,1,3,4
INGAVI (HUMAITA),vih,n de personas con prueba rapida,2013-08-01,1,7,8
INQUISIVI,vih,n de personas con prueba rapida,2013-08-01,0,1,1
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2013-08-01,4,1,5
LA ASUNTA,vih,n de personas con prueba rapida,2013-08-01,7,4,11
LA GUARDIA,vih,n de personas con prueba rapida,2013-08-01,3,71,74
LA PAZ,vih,n de personas con prueba rapida,2013-08-01,533,2084,2617
LAS CARRERAS,vih,n de personas con prueba rapida,2013-08-01,1,0,1
LLALLAGUA,vih,n de personas con prueba rapida,2013-08-01,24,181,205
MACHARETI,vih,n de personas con prueba rapida,2013-08-01,6,24,30
MAIRANA,vih,n de personas con prueba rapida,2013-08-01,0,22,22
MINEROS,vih,n de personas con prueba rapida,2013-08-01,1,21,22
MIZQUE,vih,n de personas con prueba rapida,2013-08-01,14,63,77
MOJOCOYA,vih,n de personas con prueba rapida,2013-08-01,0,3,3
MONTEAGUDO,vih,n de personas con prueba rapida,2013-08-01,13,33,46
MONTERO,vih,n de personas con prueba rapida,2013-08-01,82,147,229
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2013-08-01,29,6,35
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2013-08-01,25,30,55
