,group,variable,month,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,PERSONAS CON PRE-CONSEJERIA REALIZADAS PARA ACCESO A LA PRUEBA RÁPIDA CANTIDAD,TOTALES
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,47,48
DESAGUADERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,13,16
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,496,2677,3173
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,23,40,63
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,1,1
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,36,247,283
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,4,6
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,5,5
ESCOMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,16,16
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,2,3
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,6,36,42
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,8,9
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,49,49
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,3,5
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,71,219,290
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,6,6
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,16,19
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,47,25,72
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,4,75,79
HUAYLLAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,7,7
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,11,14
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,29,29
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,19,22
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,6,59,65
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,15,165,180
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,275,1202,1477
LAGUNILLAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,9,9
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,6,7
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,12,4,16
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,21,24
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,36,37
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,22,23
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,14,24,38
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,11,11
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,6,78,84
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,21,363,384
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,10,10
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,8,1,9
OMEREQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,3,3
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,30,541,571
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,26,26
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,24,24
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,25,26
PALOS BLANCOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,10,11,21
PAMPA GRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,20,21
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,28,0,28
POCOATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,25,28
POCONA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,27,29
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,1,1
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,36,36
PORONGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,34,35
PORTACHUELO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,6,7
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,20,20
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,112,189,301
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,7,9
PUCARANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,18,19
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,29,78,107
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,8,8,16
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,16,33,49
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,43,44
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,9,351,360
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,4,112,116
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,13,15
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,59,613,672
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,4,52,56
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,9,63,72
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,24,522,546
SACACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,8,8
SAMAIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,13,14
SAN ANTONIO DE LOMERIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,4,4
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,23,25
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,10,13
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,5,77,82
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,13,14
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,10,74,84
SAN JAVIER(BNI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,3,4
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,46,47
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,39,47,86
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,3,6
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,8,36,44
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,5,5
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,45,46
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,90,92
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,20,20
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,38,38
SAN PEDRO DE BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,20,20
SANTA ANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,23,62,85
SANTA CRUZ DE LA SIERRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,220,1564,1784
SANTA ROSA DEL SARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,4,25,29
SENA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,10,10
SHINAOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,26,29,55
SIPE SIPE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,10,16,26
SOPACHUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,65,47,112
SORACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,5,5
SUCRE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,140,785,925
TACOBAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,3,3
TACOPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,1,1
TAPACARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,3,17,20
TARABUCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,19,44,63
TARIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,69,333,402
TARVITA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,34,36
TIPUANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,6,12,18
TOCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,7,8
TOLATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,12,12
TOLEDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,4,4
TOMAVE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,6,6
TOTORA(CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,5,66,71
TOTORA(ORR),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,4,4
TRINIDAD,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,130,262,392
TUPIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,21,21
UNCIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,1,2
URIONDO (A. CONCEPCION),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,2,2
URUBICHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,11,20,31
VACAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,12,12
VALLEGRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,12,67,79
VIACHA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,14,23,37
VILLA CHARCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,32,32
VILLA MONTES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,43,43
VILLA NUEVA (LOMA ALTA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,10,16,26
VILLA SERRANO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,23,24
VILLA TUNARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,57,640,697
VILLA VACA GUZMAN (MUYUPAMPA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,5,35,40
VILLAZON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,20,129,149
VINTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,1,3
VITICHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,12,13
WARNES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,2,5,7
YACUIBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,67,185,252
YAMPARAEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,8,8
YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,7,113,120
YOTALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,1,23,24
YUNCHARA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,4,10,14
ZUDAÑEZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-07-01,0,11,11
ACHACACHI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,45,46
AIQUILE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,2,10,12
ALCALA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,4,7,11
ARBIETO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,4,17,21
ARQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,6,6
ASCENCION DE GUARAYOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,24,163,187
AYOPAYA (V. DE INDEPENDENCIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,18,18
AZURDUY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,16,17
BELLA FLOR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,4,5
BERMEJO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,38,71,109
BETANZOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,46,47
BOLPEBRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,5,5
CABEZAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,19,59,78
CAMARGO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,48,48
CAMATAQUI (C. VILLA ABECIA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,5,7,12
CAMIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,27,50,77
CAPINOTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,3,4
CARACOLLO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,23,24
CARAPARI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,14,17
CARMEN RIVERO TORREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,10,11
CHALLAPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,4,7
CHIMORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,2,2
CHIPAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,5,38,43
CLIZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,2,64,66
COBIJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,19,291,310
COCHABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,244,1496,1740
"COLCHA ""K""",vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,2,5,7
COLOMI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,3,3
COLPA BELGICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,1,2
COLQUIRI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,29,29
COMARAPA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,0,1
COROICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,53,56
CORQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,2,2
COTOCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,2,79,81
CUATRO CAÑADAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,1,1
CUEVO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,2,2
CULPINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,36,36
DESAGUADERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,1,1
EL ALTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,215,2335,2550
EL PUENTE(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,45,77,122
EL PUENTE(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,20,20
EL TORNO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,62,176,238
EL VILLAR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,6,6
ENTRE RIOS TRJ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,21,50,71
ESCOMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,26,26
EUREKA (SANTOS MERCADO),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,4,10,14
FERNANDEZ ALONSO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,6,37,43
FILADELFIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,4,4
GENERAL SAAVEDRA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,70,70
GRAL. J.J. PEREZ (CHARAZANI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,5,5
GUANAY,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,5,1,6
GUAYARAMERIN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,65,237,302
GUTIERREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,8,8
HUACARETA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,9,24,33
HUACAYA (VILLA DE HUACAYA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,5,5
HUACHACALLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,4,5
HUANUNI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,61,64
HUARINA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,5,5
HUAYLLAMARCA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,4,8,12
ICLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,16,16
INCAHUASI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,13,14
INGAVI (HUMAITA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,7,8
INQUISIVI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,2,2
IRUPANA (VILLA DE LANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,4,8,12
LA ASUNTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,7,69,76
LA GUARDIA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,124,127
LA PAZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,470,1285,1755
LAS CARRERAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,0,1
LLALLAGUA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,24,2,26
LLICA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,4,4
MACHARETI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,6,24,30
MAIRANA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,51,51
MINEROS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,93,94
MIZQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,14,19,33
MOJOCOYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,12,13
MONTEAGUDO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,13,87,100
MONTERO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,53,258,311
NACEBE (SANTA ROSA DEL ABUNA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,29,11,40
NUEVO MANOA (NUEVA ESPERANZA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,25,30,55
ORURO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,29,496,525
PADCAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,19,19
PADILLA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,31,32
PAILON,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,22,115,137
PALOS BLANCOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,42,42
PAMPA GRANDE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,25,25
PATACAMAYA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,6,0,6
POCOATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,7,7
POCONA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,3,6
POJO (CBBA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,1,1
POROMA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,13,14
PORVENIR,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,23,23
POSTRER VALLE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,7,5,12
POTOSI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,332,464,796
PRESTO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,15,15
PUCARANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,21,22
PUERTO GONZALO MORENO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,23,50,73
PUERTO QUIJARRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,7,13,20
PUERTO RICO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,35,36
PUERTO SUAREZ,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,44,47
PUERTO VILLARROEL,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,20,349,369
PUNA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,11,11
PUNATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,1,1
QUIME,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,4,6,10
REYES,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,5,5
RIBERALTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,5,733,738
ROBORE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,44,47
RURRENABAQUE,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,44,44
SACABA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,20,522,542
SACABAMBA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,0,1
SACACA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,12,12
SALINAS DE GARCI MENDOZA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,3,3
SAMAIPATA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,6,6
SAN ANTONIO DE LOMERIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,6,6
SAN BENITO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,20,20
SAN BORJA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,15,15
SAN CARLOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,77,80
SAN IGNACIO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,38,41
SAN IGNACIO DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,27,156,183
SAN JAVIER(BNI),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,2,2
SAN JAVIER(STC),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,37,38
SAN JOSE DE CHIQUITOS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,116,87,203
SAN JUAN DE YAPACANI,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,1,1,2
SAN JULIAN,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,6,94,100
SAN LORENZO(PND),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,7,7
SAN LORENZO(TJA),vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,4,40,44
SAN LUCAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,76,76
SAN MATIAS,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,2,31,33
SAN MIGUEL DE VELASCO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,0,27,27
SAN PEDRO,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,3,32,35
SAN PEDRO DE BUENA VISTA,vih,personas con pre-consejeria realizadas para acceso a la prueba rapida,2013-08-01,2,18,20
