,group,variable,month,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS ANTES DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
ALCALA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,0,3,0,3
ALTO BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,11,0,11,0,11
ANCORAIMES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,2,10,2,12
ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,4,0,4,0,4
ANTEQUERA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,1,1,1,2
ANZALDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,0,2,0,2,2
APOLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,2,9,2,11
ARAMPAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
ARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,19,0,19,0,19
ARBIETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,11,4,11,4,15
ARQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,0,12,0,12
ASCENCION DE GUARAYOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,75,0,75,0,75
ATOCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,26,0,26,0,26
AUCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
AYATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,0,6,0,6
AYO AYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,1,5,1,6
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,19,3,19,3,22
AZURDUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,31,2,31,2,33
BATALLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,24,0,24,0,24
BAURES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,1,7,1,8
BELEN DE ANDAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
BELLA FLOR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,5,1,5,6
BERMEJO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,94,0,94,0,94
BETANZOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,33,6,33,6,39
BOLIVAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,2,9,2,11
BOLPEBRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,3,1,3,4
BOYUIBE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,0,5,0,5
BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,23,2,23,2,25
CABEZAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,43,1,43,1,44
CAIROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,18,0,18,0,18
"CAIZA ""D""",consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,8,1,8,1,9
CAJUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,20,2,20,2,22
CALACOTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,4,1,4,5
CALAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,13,0,13,0,13
CAMARGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,26,1,26,1,27
CAMIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,76,0,76,0,76
CAPINOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,37,0,37,0,37
CAQUIAVIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,0,5,0,5
CARACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,0,12,0,12
CARANAVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,86,4,86,4,90
CARAPARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,17,0,17,0,17
CARIPUYO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,11,2,11,2,13
CARMEN RIVERO TORREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,0,9,0,9
CATACORA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,4,0,4,0,4
CHACARILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,0,3,0,3
CHALLAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,36,4,36,4,40
CHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,0,3,0,3
CHARAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,44,6,44,6,50
CHARAÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
CHAYANTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,5,9,5,14
CHIMORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,45,1,45,1,46
CHIPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,0,5,0,5
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,42,1,42,1,43
CHUMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,0,3,0,3
CKOCHAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,17,1,17,1,18
CLIZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,37,1,37,1,38
COBIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,115,0,115,0,115
COCAPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,4,8,4,8,12
COCHABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1613,9,1613,9,1622
COIPASA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
COLCAPIRHUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,166,0,166,0,166
"COLCHA ""K""",consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,1,10,1,11
COLLANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
COLOMI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,31,1,31,1,32
COLPA BELGICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,0,9,0,9
COLQUECHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,35,23,35,23,58
COLQUENCHA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,8,0,8,0,8
COLQUIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,24,17,24,17,41
COMANCHE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,0,5,0,5
COMARAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,42,1,42,1,43
COMBAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,2,1,2,3
CONCEPCION,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,66,4,66,4,70
COPACABANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,14,1,14,1,15
CORIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,17,0,17,0,17
CORO CORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,2,9,2,11
COROICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,18,0,18,0,18
CORQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,2,6,2,8
COTAGAITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,29,8,29,8,37
COTOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,102,0,102,0,102
CUATRO CAÑADAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,33,0,33,0,33
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
CUEVO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,0,5,0,5
CULPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,17,5,17,5,22
CURAHUARA DE CARANGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,1,7,1,8
CURVA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
DESAGUADERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,0,12,0,12
EL ALTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1742,3,1742,3,1745
EL CHORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
EL PUENTE(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,37,0,37,0,37
EL PUENTE(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,21,1,21,1,22
EL TORNO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,108,5,108,5,113
EL VILLAR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,0,7,0,7
ENTRE RIOS TRJ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,27,2,27,2,29
ENTRE RIOS CBBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,41,0,41,0,41
ESCOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,1,12,1,13
EUCALIPTUS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,0,10,0,10
EXALTACION,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
FERNANDEZ ALONSO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,36,0,36,0,36
FILADELFIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,8,0,8,0,8
GENERAL SAAVEDRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,23,7,23,7,30
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,13,0,13,0,13
GUANAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,25,0,25,0,25
GUAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,1,10,1,11
GUAYARAMERIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,104,6,104,6,110
GUTIERREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,22,5,22,5,27
HUACARETA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,15,4,15,4,19
HUACAYA (VILLA DE HUACAYA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,1,6,1,7
HUACHACALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
HUANUNI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,43,0,43,0,43
HUARACAJE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,0,6,0,6
HUARINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,1,3,1,4
HUAYLLAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
HUMANATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
ICHOCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,4,1,4,5
ICLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,3,12,3,15
INCAHUASI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,13,7,13,7,20
INQUISIVI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,8,1,8,1,9
IRUPANA (VILLA DE LANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,13,0,13,0,13
IXIAMAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,26,0,26,0,26
JESUS DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,16,1,16,1,17
LA ASUNTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,73,0,73,0,73
LA GUARDIA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,171,0,171,0,171
LA PAZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1454,1,1454,1,1455
LAGUNILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,1,12,1,13
LAJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,14,2,14,2,16
LAS CARRERAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,4,0,4,0,4
LICOMA PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
LLALLAGUA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,87,3,87,3,90
LLICA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,0,6,0,6
LORETO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,3,6,3,9
LURIBAY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,4,10,4,14
MACHACAMARCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,0,1,0,1,1
MACHARETI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,1,10,1,11
MAGDALENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,18,1,18,1,19
MAIRANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,22,0,22,0,22
MALLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,0,4,0,4,4
MAPIRI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,28,3,28,3,31
MECAPACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,1,7,1,8
MINEROS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,51,2,51,2,53
MIZQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,35,2,35,2,37
MOCOMOCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,2,12,2,14
MOJINETE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
MOJOCOYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,13,0,13,0,13
MONTEAGUDO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,56,5,56,5,61
MONTERO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,178,0,178,0,178
MORO MORO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,0,6,0,6
MOROCHATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,5,10,5,15
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,1,3,1,4
OCURI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,11,11,11,11,22
OKINAWA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,36,2,36,2,38
OMEREQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,2,7,2,9
ORURO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,655,0,655,0,655
PADCAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,31,3,31,3,34
PADILLA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,17,5,17,5,22
PAILON,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,39,4,39,4,43
PALCA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,3,9,3,12
PALOS BLANCOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,69,0,69,0,69
PAMPA AULLAGAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
PAMPA GRANDE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,0,10,0,10
PAPEL PAMPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,1,2,1,3
PASORAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,0,6,0,6
PATACAMAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,30,0,30,0,30
PAZÑA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,1,5,1,6
PELECHUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,10,2,10,12
POCOATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,14,11,14,11,25
POCONA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,15,1,15,1,16
POJO (CBBA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,21,0,21,0,21
POOPO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,0,9,0,9
PORCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,28,0,28,0,28
POROMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,14,10,14,10,24
PORONGO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,19,0,19,0,19
PORTACHUELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,48,0,48,0,48
PORVENIR,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,0,12,0,12
POSTRER VALLE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,1,1,1,2
POTOSI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,540,0,540,0,540
PRESTO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,3,6,3,9
PUCARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,1,3,1,4
PUCARANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,19,0,19,0,19
PUERTO ACOSTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,0,3,0,3
PUERTO CARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,0,12,0,12
PUERTO GONZALO MORENO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,0,5,0,5
PUERTO PEREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,0,3,0,3
PUERTO QUIJARRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,26,0,26,0,26
PUERTO RICO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,13,4,13,4,17
PUERTO SUAREZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,33,0,33,0,33
PUERTO VILLARROEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,97,2,97,2,99
PUNA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,24,0,24,0,24
PUNATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,53,0,53,0,53
QUIABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,5,0,5,0,5
QUILLACOLLO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,277,3,277,3,280
QUIME,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,11,1,11,1,12
QUIRUSILLAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
RAVELO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,20,3,20,3,23
REYES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,31,3,31,3,34
RIBERALTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,220,4,220,4,224
ROBORE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,41,0,41,0,41
RURRENABAQUE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,42,2,42,2,44
SABAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,0,7,0,7
SACABA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,293,2,293,2,295
SACABAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,15,0,15,0,15
SACACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,34,6,34,6,40
SAIPINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,13,2,13,2,15
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,1,3,1,4
SAMAIPATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,0,12,0,12
SAN ANDRES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,14,1,14,1,15
SAN ANDRES DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,1,1,1,2
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,6,3,6,3,9
SAN BENITO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,25,5,25,5,30
SAN BORJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,91,10,91,10,101
SAN BUENA VENTURA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,37,1,37,1,38
SAN CARLOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,43,0,43,0,43
SAN IGNACIO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,57,5,57,5,62
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,98,25,98,25,123
SAN JAVIER(BNI),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,1,2,1,3
SAN JAVIER(STC),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,30,0,30,0,30
SAN JOAQUIN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,3,10,3,13
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,33,0,33,0,33
SAN JUAN DE YAPACANI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,23,0,23,0,23
SAN JULIAN,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,89,3,89,3,92
SAN LORENZO(PND),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,3,7,3,10
SAN LORENZO(TJA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,27,1,27,1,28
SAN LUCAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,48,9,48,9,57
SAN MATIAS,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,15,1,15,1,16
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,17,2,17,2,19
SAN PABLO DE LIPEZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SAN PEDRO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,28,0,28,0,28
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,32,9,32,9,41
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,0,3,0,3
SAN RAFAEL,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,0,12,0,12
SAN RAMON BENI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,24,0,24,0,24
SAN RAMON SCZ,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,33,0,33,0,33
SANTA ANA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,30,0,30,0,30
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2871,31,2871,31,2902
SANTA ROSA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,14,0,14,0,14
SANTA ROSA DEL SARA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,32,0,32,0,32
SANTIAGO DE CALLAPA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,1,1,1,2
SANTIAGO DE HUARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,9,1,9,1,10
SANTIAGO DE HUATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,3,0,3,0,3
SANTIAGO DE MACHACA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,4,0,4,0,4
SANTIVAÑES,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,11,0,11,0,11
SAPAHAQUI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,4,0,4,0,4
SENA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,0,10,0,10
SHINAOTA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,50,0,50,0,50
SICA SICA (VILLA AROMA),consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,21,1,21,1,22
SICAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,2,1,2,3
SIPE SIPE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,52,0,52,0,52
SOPACHUY,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,8,2,8,2,10
SORACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,13,4,13,4,17
SORATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,23,3,23,3,26
SUCRE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,638,3,638,3,641
TACACHI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,1,0,1,0,1
TACACOMA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,0,7,0,7
TACOBAMBA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,2,10,2,12
TACOPAYA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,12,0,12,0,12
TAPACARI,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,21,1,21,1,22
TARABUCO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,20,3,20,3,23
TARACO,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,2,0,2,0,2
TARATA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,7,0,7,0,7
TARIJA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,445,2,445,2,447
TARVITA,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,15,3,15,3,18
TEOPONTE,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,8,3,8,3,11
TIAWANACU,consultas prenatales,nuevas antes del 5to mes de embarazo,2010-07-01,10,1,10,1,11
