,group,variable,month,REPETIDAS TOTAL 4.3 REPETIDAS,REPETIDAS TOTAL 4.3 REPETIDAS,TOTALES,TOTALES,TOTALES
IXIAMAS,consultas prenatales,repetidas,2010-07-01,56,0,56,0,56
JESUS DE MACHACA,consultas prenatales,repetidas,2010-07-01,70,4,70,4,74
LA ASUNTA,consultas prenatales,repetidas,2010-07-01,182,0,182,0,182
LA GUARDIA,consultas prenatales,repetidas,2010-07-01,543,2,543,2,545
LA PAZ,consultas prenatales,repetidas,2010-07-01,7568,4,7568,4,7572
LA RIVERA,consultas prenatales,repetidas,2010-07-01,1,0,1,0,1
LAGUNILLAS,consultas prenatales,repetidas,2010-07-01,41,6,41,6,47
LAJA,consultas prenatales,repetidas,2010-07-01,67,9,67,9,76
LAS CARRERAS,consultas prenatales,repetidas,2010-07-01,18,7,18,7,25
LICOMA PAMPA,consultas prenatales,repetidas,2010-07-01,17,0,17,0,17
LLALLAGUA,consultas prenatales,repetidas,2010-07-01,299,11,299,11,310
LLICA,consultas prenatales,repetidas,2010-07-01,18,3,18,3,21
LORETO,consultas prenatales,repetidas,2010-07-01,5,0,5,0,5
LURIBAY,consultas prenatales,repetidas,2010-07-01,28,1,28,1,29
MACHACAMARCA,consultas prenatales,repetidas,2010-07-01,4,1,4,1,5
MACHARETI,consultas prenatales,repetidas,2010-07-01,52,10,52,10,62
MAGDALENA,consultas prenatales,repetidas,2010-07-01,72,1,72,1,73
MAIRANA,consultas prenatales,repetidas,2010-07-01,84,0,84,0,84
MALLA,consultas prenatales,repetidas,2010-07-01,4,3,4,3,7
MAPIRI,consultas prenatales,repetidas,2010-07-01,107,2,107,2,109
MECAPACA,consultas prenatales,repetidas,2010-07-01,62,2,62,2,64
MINEROS,consultas prenatales,repetidas,2010-07-01,126,3,126,3,129
MIZQUE,consultas prenatales,repetidas,2010-07-01,137,0,137,0,137
MOCOMOCO,consultas prenatales,repetidas,2010-07-01,38,4,38,4,42
MOJINETE,consultas prenatales,repetidas,2010-07-01,5,1,5,1,6
MOJOCOYA,consultas prenatales,repetidas,2010-07-01,37,12,37,12,49
MONTEAGUDO,consultas prenatales,repetidas,2010-07-01,242,21,242,21,263
MONTERO,consultas prenatales,repetidas,2010-07-01,776,0,776,0,776
MORO MORO,consultas prenatales,repetidas,2010-07-01,4,2,4,2,6
MOROCHATA,consultas prenatales,repetidas,2010-07-01,48,30,48,30,78
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2010-07-01,15,0,15,0,15
NAZACARA DE PACAJES,consultas prenatales,repetidas,2010-07-01,1,1,1,1,2
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2010-07-01,12,1,12,1,13
OCURI,consultas prenatales,repetidas,2010-07-01,64,66,64,66,130
OKINAWA,consultas prenatales,repetidas,2010-07-01,89,2,89,2,91
OMEREQUE,consultas prenatales,repetidas,2010-07-01,28,1,28,1,29
ORURO,consultas prenatales,repetidas,2010-07-01,2619,0,2619,0,2619
PADCAYA,consultas prenatales,repetidas,2010-07-01,86,6,86,6,92
PADILLA,consultas prenatales,repetidas,2010-07-01,52,15,52,15,67
PAILON,consultas prenatales,repetidas,2010-07-01,131,0,131,0,131
PALCA,consultas prenatales,repetidas,2010-07-01,23,3,23,3,26
PALOS BLANCOS,consultas prenatales,repetidas,2010-07-01,204,0,204,0,204
PAMPA AULLAGAS,consultas prenatales,repetidas,2010-07-01,20,2,20,2,22
PAMPA GRANDE,consultas prenatales,repetidas,2010-07-01,53,0,53,0,53
PAPEL PAMPA,consultas prenatales,repetidas,2010-07-01,12,2,12,2,14
PASORAPA,consultas prenatales,repetidas,2010-07-01,17,4,17,4,21
PATACAMAYA,consultas prenatales,repetidas,2010-07-01,161,0,161,0,161
PAZÑA,consultas prenatales,repetidas,2010-07-01,35,10,35,10,45
PELECHUCO,consultas prenatales,repetidas,2010-07-01,9,13,9,13,22
POCOATA,consultas prenatales,repetidas,2010-07-01,60,36,60,36,96
POCONA,consultas prenatales,repetidas,2010-07-01,41,4,41,4,45
POJO (CBBA),consultas prenatales,repetidas,2010-07-01,73,5,73,5,78
POOPO,consultas prenatales,repetidas,2010-07-01,24,0,24,0,24
PORCO,consultas prenatales,repetidas,2010-07-01,92,5,92,5,97
POROMA,consultas prenatales,repetidas,2010-07-01,58,36,58,36,94
PORONGO,consultas prenatales,repetidas,2010-07-01,66,7,66,7,73
PORTACHUELO,consultas prenatales,repetidas,2010-07-01,225,0,225,0,225
PORVENIR,consultas prenatales,repetidas,2010-07-01,31,0,31,0,31
POSTRER VALLE,consultas prenatales,repetidas,2010-07-01,7,0,7,0,7
POTOSI,consultas prenatales,repetidas,2010-07-01,1461,0,1461,0,1461
PRESTO,consultas prenatales,repetidas,2010-07-01,24,30,24,30,54
PUCARA,consultas prenatales,repetidas,2010-07-01,7,4,7,4,11
PUCARANI,consultas prenatales,repetidas,2010-07-01,144,0,144,0,144
PUERTO ACOSTA,consultas prenatales,repetidas,2010-07-01,17,3,17,3,20
PUERTO CARABUCO,consultas prenatales,repetidas,2010-07-01,26,12,26,12,38
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2010-07-01,31,6,31,6,37
PUERTO PEREZ,consultas prenatales,repetidas,2010-07-01,25,1,25,1,26
PUERTO QUIJARRO,consultas prenatales,repetidas,2010-07-01,53,0,53,0,53
PUERTO RICO,consultas prenatales,repetidas,2010-07-01,39,4,39,4,43
PUERTO SILES,consultas prenatales,repetidas,2010-07-01,5,1,5,1,6
PUERTO SUAREZ,consultas prenatales,repetidas,2010-07-01,90,0,90,0,90
PUERTO VILLARROEL,consultas prenatales,repetidas,2010-07-01,445,1,445,1,446
PUNA,consultas prenatales,repetidas,2010-07-01,104,10,104,10,114
PUNATA,consultas prenatales,repetidas,2010-07-01,297,6,297,6,303
QUIABAYA,consultas prenatales,repetidas,2010-07-01,7,0,7,0,7
QUILLACOLLO,consultas prenatales,repetidas,2010-07-01,668,14,668,14,682
QUIME,consultas prenatales,repetidas,2010-07-01,36,0,36,0,36
QUIRUSILLAS,consultas prenatales,repetidas,2010-07-01,5,0,5,0,5
RAVELO,consultas prenatales,repetidas,2010-07-01,49,28,49,28,77
REYES,consultas prenatales,repetidas,2010-07-01,77,15,77,15,92
RIBERALTA,consultas prenatales,repetidas,2010-07-01,1063,22,1063,22,1085
ROBORE,consultas prenatales,repetidas,2010-07-01,69,0,69,0,69
RURRENABAQUE,consultas prenatales,repetidas,2010-07-01,105,11,105,11,116
SABAYA,consultas prenatales,repetidas,2010-07-01,12,1,12,1,13
SACABA,consultas prenatales,repetidas,2010-07-01,1077,8,1077,8,1085
SACABAMBA,consultas prenatales,repetidas,2010-07-01,17,0,17,0,17
SACACA,consultas prenatales,repetidas,2010-07-01,133,6,133,6,139
SAIPINA,consultas prenatales,repetidas,2010-07-01,43,1,43,1,44
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2010-07-01,49,12,49,12,61
SAMAIPATA,consultas prenatales,repetidas,2010-07-01,53,0,53,0,53
SAN AGUSTIN,consultas prenatales,repetidas,2010-07-01,3,0,3,0,3
SAN ANDRES,consultas prenatales,repetidas,2010-07-01,48,0,48,0,48
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2010-07-01,6,12,6,12,18
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2010-07-01,10,4,10,4,14
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2010-07-01,19,3,19,3,22
SAN BENITO,consultas prenatales,repetidas,2010-07-01,68,3,68,3,71
SAN BORJA,consultas prenatales,repetidas,2010-07-01,206,12,206,12,218
SAN BUENA VENTURA,consultas prenatales,repetidas,2010-07-01,102,0,102,0,102
SAN CARLOS,consultas prenatales,repetidas,2010-07-01,158,0,158,0,158
SAN IGNACIO,consultas prenatales,repetidas,2010-07-01,132,1,132,1,133
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2010-07-01,405,26,405,26,431
SAN JAVIER(BNI),consultas prenatales,repetidas,2010-07-01,7,1,7,1,8
SAN JAVIER(STC),consultas prenatales,repetidas,2010-07-01,129,0,129,0,129
SAN JOAQUIN,consultas prenatales,repetidas,2010-07-01,30,31,30,31,61
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2010-07-01,86,2,86,2,88
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2010-07-01,54,0,54,0,54
SAN JULIAN,consultas prenatales,repetidas,2010-07-01,222,12,222,12,234
SAN LORENZO(PND),consultas prenatales,repetidas,2010-07-01,16,3,16,3,19
SAN LORENZO(TJA),consultas prenatales,repetidas,2010-07-01,90,10,90,10,100
SAN LUCAS,consultas prenatales,repetidas,2010-07-01,226,96,226,96,322
SAN MATIAS,consultas prenatales,repetidas,2010-07-01,63,2,63,2,65
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2010-07-01,85,10,85,10,95
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2010-07-01,10,2,10,2,12
SAN PEDRO,consultas prenatales,repetidas,2010-07-01,89,0,89,0,89
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2010-07-01,110,23,110,23,133
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2010-07-01,12,5,12,5,17
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2010-07-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2010-07-01,10,0,10,0,10
SAN PEDRO(PND),consultas prenatales,repetidas,2010-07-01,2,4,2,4,6
SAN RAFAEL,consultas prenatales,repetidas,2010-07-01,59,1,59,1,60
SAN RAMON BENI,consultas prenatales,repetidas,2010-07-01,51,0,51,0,51
SAN RAMON SCZ,consultas prenatales,repetidas,2010-07-01,90,0,90,0,90
SANTA ANA,consultas prenatales,repetidas,2010-07-01,127,0,127,0,127
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2010-07-01,9048,49,9048,49,9097
SANTA ROSA,consultas prenatales,repetidas,2010-07-01,56,3,56,3,59
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2010-07-01,110,1,110,1,111
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2010-07-01,9,5,9,5,14
SANTIAGO DE HUARI,consultas prenatales,repetidas,2010-07-01,31,5,31,5,36
SANTIAGO DE HUATA,consultas prenatales,repetidas,2010-07-01,19,7,19,7,26
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2010-07-01,16,0,16,0,16
SANTIVAÑES,consultas prenatales,repetidas,2010-07-01,28,0,28,0,28
SANTUARIO DE QUILLACAS,consultas prenatales,repetidas,2010-07-01,14,1,14,1,15
SAPAHAQUI,consultas prenatales,repetidas,2010-07-01,25,2,25,2,27
SENA,consultas prenatales,repetidas,2010-07-01,33,0,33,0,33
SHINAOTA,consultas prenatales,repetidas,2010-07-01,178,0,178,0,178
SICA SICA (VILLA AROMA),consultas prenatales,repetidas,2010-07-01,79,3,79,3,82
SICAYA,consultas prenatales,repetidas,2010-07-01,13,7,13,7,20
SIPE SIPE,consultas prenatales,repetidas,2010-07-01,291,20,291,20,311
SOPACHUY,consultas prenatales,repetidas,2010-07-01,38,13,38,13,51
SORACACHI,consultas prenatales,repetidas,2010-07-01,26,17,26,17,43
SORATA,consultas prenatales,repetidas,2010-07-01,73,25,73,25,98
SUCRE,consultas prenatales,repetidas,2010-07-01,3165,20,3165,20,3185
TACACHI,consultas prenatales,repetidas,2010-07-01,3,0,3,0,3
TACACOMA,consultas prenatales,repetidas,2010-07-01,28,10,28,10,38
TACOBAMBA,consultas prenatales,repetidas,2010-07-01,19,6,19,6,25
TACOPAYA,consultas prenatales,repetidas,2010-07-01,37,8,37,8,45
TAHUA,consultas prenatales,repetidas,2010-07-01,2,2,2,2,4
TAPACARI,consultas prenatales,repetidas,2010-07-01,119,30,119,30,149
TARABUCO,consultas prenatales,repetidas,2010-07-01,112,29,112,29,141
TARACO,consultas prenatales,repetidas,2010-07-01,5,0,5,0,5
TARATA,consultas prenatales,repetidas,2010-07-01,53,1,53,1,54
TARIJA,consultas prenatales,repetidas,2010-07-01,1623,3,1623,3,1626
TARVITA,consultas prenatales,repetidas,2010-07-01,80,48,80,48,128
TEOPONTE,consultas prenatales,repetidas,2010-07-01,33,1,33,1,34
TIAWANACU,consultas prenatales,repetidas,2010-07-01,46,11,46,11,57
TINGUIPAYA,consultas prenatales,repetidas,2010-07-01,61,12,61,12,73
TIPUANI,consultas prenatales,repetidas,2010-07-01,58,0,58,0,58
TIQUIPAYA,consultas prenatales,repetidas,2010-07-01,460,0,460,0,460
TIRAQUE (CBBA),consultas prenatales,repetidas,2010-07-01,105,8,105,8,113
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,repetidas,2010-07-01,3,0,3,0,3
TOCO,consultas prenatales,repetidas,2010-07-01,37,0,37,0,37
TODOS SANTOS,consultas prenatales,repetidas,2010-07-01,1,0,1,0,1
TOLATA,consultas prenatales,repetidas,2010-07-01,40,3,40,3,43
TOLEDO,consultas prenatales,repetidas,2010-07-01,28,5,28,5,33
TOMAVE,consultas prenatales,repetidas,2010-07-01,39,17,39,17,56
TOMINA,consultas prenatales,repetidas,2010-07-01,54,1,54,1,55
TORO TORO,consultas prenatales,repetidas,2010-07-01,27,14,27,14,41
TOTORA(CBBA),consultas prenatales,repetidas,2010-07-01,101,3,101,3,104
TOTORA(ORR),consultas prenatales,repetidas,2010-07-01,8,9,8,9,17
TRIGAL,consultas prenatales,repetidas,2010-07-01,8,0,8,0,8
TRINIDAD,consultas prenatales,repetidas,2010-07-01,822,0,822,0,822
TUPIZA,consultas prenatales,repetidas,2010-07-01,322,15,322,15,337
TURCO,consultas prenatales,repetidas,2010-07-01,16,2,16,2,18
UMALA,consultas prenatales,repetidas,2010-07-01,14,7,14,7,21
UNCIA,consultas prenatales,repetidas,2010-07-01,104,14,104,14,118
URIONDO (A. CONCEPCION),consultas prenatales,repetidas,2010-07-01,90,6,90,6,96
URUBICHA,consultas prenatales,repetidas,2010-07-01,55,0,55,0,55
UYUNI,consultas prenatales,repetidas,2010-07-01,125,9,125,9,134
VACAS,consultas prenatales,repetidas,2010-07-01,54,4,54,4,58
VALLEGRANDE,consultas prenatales,repetidas,2010-07-01,80,5,80,5,85
VIACHA,consultas prenatales,repetidas,2010-07-01,283,3,283,3,286
VILA VILA,consultas prenatales,repetidas,2010-07-01,22,2,22,2,24
VILLA CHARCAS,consultas prenatales,repetidas,2010-07-01,85,10,85,10,95
VILLA MONTES,consultas prenatales,repetidas,2010-07-01,250,15,250,15,265
VILLA NUEVA (LOMA ALTA),consultas prenatales,repetidas,2010-07-01,14,0,14,0,14
VILLA RIVERO,consultas prenatales,repetidas,2010-07-01,23,6,23,6,29
VILLA SERRANO,consultas prenatales,repetidas,2010-07-01,86,27,86,27,113
VILLA TUNARI,consultas prenatales,repetidas,2010-07-01,601,15,601,15,616
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,repetidas,2010-07-01,55,21,55,21,76
VILLAZON,consultas prenatales,repetidas,2010-07-01,389,30,389,30,419
VINTO,consultas prenatales,repetidas,2010-07-01,287,0,287,0,287
VITICHI,consultas prenatales,repetidas,2010-07-01,44,15,44,15,59
WALDO BALLIVIAN,consultas prenatales,repetidas,2010-07-01,6,2,6,2,8
WARNES,consultas prenatales,repetidas,2010-07-01,473,6,473,6,479
YACO,consultas prenatales,repetidas,2010-07-01,22,9,22,9,31
YACUIBA,consultas prenatales,repetidas,2010-07-01,513,21,513,21,534
YAMPARAEZ,consultas prenatales,repetidas,2010-07-01,44,7,44,7,51
YANACACHI,consultas prenatales,repetidas,2010-07-01,32,0,32,0,32
YAPACANI,consultas prenatales,repetidas,2010-07-01,520,2,520,2,522
YOCALLA,consultas prenatales,repetidas,2010-07-01,22,1,22,1,23
YOTALA,consultas prenatales,repetidas,2010-07-01,62,2,62,2,64
YUNCHARA,consultas prenatales,repetidas,2010-07-01,13,15,13,15,28
ZUDAÑEZ,consultas prenatales,repetidas,2010-07-01,31,5,31,5,36
ACACIO,consultas prenatales,repetidas,2010-08-01,29,3,29,3,32
ACHACACHI,consultas prenatales,repetidas,2010-08-01,199,31,199,31,230
ACHOCALLA,consultas prenatales,repetidas,2010-08-01,60,1,60,1,61
AIQUILE,consultas prenatales,repetidas,2010-08-01,191,2,191,2,193
ALALAY,consultas prenatales,repetidas,2010-08-01,8,5,8,5,13
ALCALA,consultas prenatales,repetidas,2010-08-01,24,1,24,1,25
ALTO BENI,consultas prenatales,repetidas,2010-08-01,43,6,43,6,49
ANCORAIMES,consultas prenatales,repetidas,2010-08-01,46,4,46,4,50
ANDAMARCA,consultas prenatales,repetidas,2010-08-01,11,4,11,4,15
ANTEQUERA,consultas prenatales,repetidas,2010-08-01,12,0,12,0,12
ANZALDO,consultas prenatales,repetidas,2010-08-01,36,9,36,9,45
APOLO,consultas prenatales,repetidas,2010-08-01,101,4,101,4,105
ARAMPAMPA,consultas prenatales,repetidas,2010-08-01,15,4,15,4,19
ARANI,consultas prenatales,repetidas,2010-08-01,106,6,106,6,112
ARBIETO,consultas prenatales,repetidas,2010-08-01,43,18,43,18,61
ARQUE,consultas prenatales,repetidas,2010-08-01,58,0,58,0,58
ASCENCION DE GUARAYOS,consultas prenatales,repetidas,2010-08-01,291,0,291,0,291
ATOCHA,consultas prenatales,repetidas,2010-08-01,64,3,64,3,67
AUCAPATA,consultas prenatales,repetidas,2010-08-01,9,1,9,1,10
AYATA,consultas prenatales,repetidas,2010-08-01,12,1,12,1,13
AYO AYO,consultas prenatales,repetidas,2010-08-01,25,0,25,0,25
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,repetidas,2010-08-01,118,11,118,11,129
AZURDUY,consultas prenatales,repetidas,2010-08-01,70,19,70,19,89
BATALLAS,consultas prenatales,repetidas,2010-08-01,77,3,77,3,80
BAURES,consultas prenatales,repetidas,2010-08-01,25,0,25,0,25
BELEN DE ANDAMARCA,consultas prenatales,repetidas,2010-08-01,3,1,3,1,4
BELEN DE URMIRI,consultas prenatales,repetidas,2010-08-01,1,2,1,2,3
BELLA FLOR,consultas prenatales,repetidas,2010-08-01,4,6,4,6,10
BERMEJO,consultas prenatales,repetidas,2010-08-01,353,0,353,0,353
BETANZOS,consultas prenatales,repetidas,2010-08-01,156,24,156,24,180
BOLIVAR,consultas prenatales,repetidas,2010-08-01,21,9,21,9,30
BOLPEBRA,consultas prenatales,repetidas,2010-08-01,4,6,4,6,10
BOYUIBE,consultas prenatales,repetidas,2010-08-01,20,3,20,3,23
BUENA VISTA,consultas prenatales,repetidas,2010-08-01,48,6,48,6,54
CABEZAS,consultas prenatales,repetidas,2010-08-01,119,0,119,0,119
CAIROMA,consultas prenatales,repetidas,2010-08-01,52,3,52,3,55
"CAIZA ""D""",consultas prenatales,repetidas,2010-08-01,59,3,59,3,62
CAJUATA,consultas prenatales,repetidas,2010-08-01,66,4,66,4,70
CALACOTO,consultas prenatales,repetidas,2010-08-01,6,10,6,10,16
CALAMARCA,consultas prenatales,repetidas,2010-08-01,49,8,49,8,57
CAMARGO,consultas prenatales,repetidas,2010-08-01,136,10,136,10,146
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2010-08-01,15,5,15,5,20
CAMIRI,consultas prenatales,repetidas,2010-08-01,294,3,294,3,297
CAPINOTA,consultas prenatales,repetidas,2010-08-01,165,19,165,19,184
CAQUIAVIRI,consultas prenatales,repetidas,2010-08-01,25,2,25,2,27
CARACOLLO,consultas prenatales,repetidas,2010-08-01,90,8,90,8,98
CARANAVI,consultas prenatales,repetidas,2010-08-01,398,13,398,13,411
CARAPARI,consultas prenatales,repetidas,2010-08-01,90,0,90,0,90
CARIPUYO,consultas prenatales,repetidas,2010-08-01,38,3,38,3,41
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2010-08-01,18,0,18,0,18
CATACORA,consultas prenatales,repetidas,2010-08-01,1,0,1,0,1
CHACARILLA,consultas prenatales,repetidas,2010-08-01,1,4,1,4,5
CHALLAPATA,consultas prenatales,repetidas,2010-08-01,232,24,232,24,256
CHAQUI,consultas prenatales,repetidas,2010-08-01,29,7,29,7,36
CHARAGUA,consultas prenatales,repetidas,2010-08-01,159,11,159,11,170
CHARAÑA,consultas prenatales,repetidas,2010-08-01,7,2,7,2,9
CHAYANTA,consultas prenatales,repetidas,2010-08-01,44,30,44,30,74
CHIMORE,consultas prenatales,repetidas,2010-08-01,139,0,139,0,139
CHIPAYA,consultas prenatales,repetidas,2010-08-01,22,0,22,0,22
CHOQUE COTA,consultas prenatales,repetidas,2010-08-01,5,1,5,1,6
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2010-08-01,167,1,167,1,168
CHUMA,consultas prenatales,repetidas,2010-08-01,29,5,29,5,34
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2010-08-01,28,13,28,13,41
CKOCHAS,consultas prenatales,repetidas,2010-08-01,54,11,54,11,65
CLIZA,consultas prenatales,repetidas,2010-08-01,229,2,229,2,231
COBIJA,consultas prenatales,repetidas,2010-08-01,704,0,704,0,704
COCAPATA,consultas prenatales,repetidas,2010-08-01,23,38,23,38,61
COCHABAMBA,consultas prenatales,repetidas,2010-08-01,7106,46,7106,46,7152
COIPASA,consultas prenatales,repetidas,2010-08-01,4,1,4,1,5
COLCAPIRHUA,consultas prenatales,repetidas,2010-08-01,608,8,608,8,616
"COLCHA ""K""",consultas prenatales,repetidas,2010-08-01,29,7,29,7,36
COLLANA,consultas prenatales,repetidas,2010-08-01,4,0,4,0,4
COLOMI,consultas prenatales,repetidas,2010-08-01,116,0,116,0,116
COLPA BELGICA,consultas prenatales,repetidas,2010-08-01,40,0,40,0,40
COLQUECHACA,consultas prenatales,repetidas,2010-08-01,95,42,95,42,137
COLQUENCHA,consultas prenatales,repetidas,2010-08-01,48,0,48,0,48
COLQUIRI,consultas prenatales,repetidas,2010-08-01,57,55,57,55,112
COMANCHE,consultas prenatales,repetidas,2010-08-01,14,3,14,3,17
COMARAPA,consultas prenatales,repetidas,2010-08-01,197,1,197,1,198
COMBAYA,consultas prenatales,repetidas,2010-08-01,8,4,8,4,12
CONCEPCION,consultas prenatales,repetidas,2010-08-01,113,7,113,7,120
COPACABANA,consultas prenatales,repetidas,2010-08-01,69,4,69,4,73
CORIPATA,consultas prenatales,repetidas,2010-08-01,67,0,67,0,67
CORO CORO,consultas prenatales,repetidas,2010-08-01,34,9,34,9,43
COROICO,consultas prenatales,repetidas,2010-08-01,141,4,141,4,145
CORQUE,consultas prenatales,repetidas,2010-08-01,22,7,22,7,29
COTAGAITA,consultas prenatales,repetidas,2010-08-01,115,24,115,24,139
COTOCA,consultas prenatales,repetidas,2010-08-01,445,0,445,0,445
CUATRO CAÑADAS,consultas prenatales,repetidas,2010-08-01,105,2,105,2,107
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2010-08-01,3,0,3,0,3
CUEVO,consultas prenatales,repetidas,2010-08-01,20,3,20,3,23
CULPINA,consultas prenatales,repetidas,2010-08-01,93,18,93,18,111
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2010-08-01,18,1,18,1,19
CURVA,consultas prenatales,repetidas,2010-08-01,4,1,4,1,5
DESAGUADERO,consultas prenatales,repetidas,2010-08-01,42,0,42,0,42
EL ALTO,consultas prenatales,repetidas,2010-08-01,6404,19,6404,19,6423
EL CHORO,consultas prenatales,repetidas,2010-08-01,11,12,11,12,23
EL PUENTE(STC),consultas prenatales,repetidas,2010-08-01,114,2,114,2,116
EL PUENTE(TJA),consultas prenatales,repetidas,2010-08-01,84,0,84,0,84
EL TORNO,consultas prenatales,repetidas,2010-08-01,434,6,434,6,440
EL VILLAR,consultas prenatales,repetidas,2010-08-01,20,1,20,1,21
ENTRE RIOS TRJ,consultas prenatales,repetidas,2010-08-01,140,9,140,9,149
ENTRE RIOS CBBA,consultas prenatales,repetidas,2010-08-01,227,0,227,0,227
ESCOMA,consultas prenatales,repetidas,2010-08-01,39,0,39,0,39
EUCALIPTUS,consultas prenatales,repetidas,2010-08-01,22,1,22,1,23
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2010-08-01,6,3,6,3,9
EXALTACION,consultas prenatales,repetidas,2010-08-01,3,0,3,0,3
FERNANDEZ ALONSO,consultas prenatales,repetidas,2010-08-01,106,0,106,0,106
FILADELFIA,consultas prenatales,repetidas,2010-08-01,13,4,13,4,17
GENERAL SAAVEDRA,consultas prenatales,repetidas,2010-08-01,87,5,87,5,92
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2010-08-01,32,6,32,6,38
GUANAY,consultas prenatales,repetidas,2010-08-01,77,1,77,1,78
GUAQUI,consultas prenatales,repetidas,2010-08-01,16,3,16,3,19
GUAYARAMERIN,consultas prenatales,repetidas,2010-08-01,396,30,396,30,426
GUTIERREZ,consultas prenatales,repetidas,2010-08-01,77,10,77,10,87
HUACARETA,consultas prenatales,repetidas,2010-08-01,55,11,55,11,66
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2010-08-01,11,7,11,7,18
HUACHACALLA,consultas prenatales,repetidas,2010-08-01,3,0,3,0,3
HUANUNI,consultas prenatales,repetidas,2010-08-01,182,0,182,0,182
HUARACAJE,consultas prenatales,repetidas,2010-08-01,23,0,23,0,23
HUARINA,consultas prenatales,repetidas,2010-08-01,17,3,17,3,20
HUAYLLAMARCA,consultas prenatales,repetidas,2010-08-01,9,1,9,1,10
HUMANATA,consultas prenatales,repetidas,2010-08-01,13,3,13,3,16
ICHOCA,consultas prenatales,repetidas,2010-08-01,1,8,1,8,9
ICLA,consultas prenatales,repetidas,2010-08-01,42,14,42,14,56
INCAHUASI,consultas prenatales,repetidas,2010-08-01,44,29,44,29,73
INGAVI (HUMAITA),consultas prenatales,repetidas,2010-08-01,3,2,3,2,5
INQUISIVI,consultas prenatales,repetidas,2010-08-01,23,7,23,7,30
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2010-08-01,58,1,58,1,59
IXIAMAS,consultas prenatales,repetidas,2010-08-01,56,0,56,0,56
JESUS DE MACHACA,consultas prenatales,repetidas,2010-08-01,71,3,71,3,74
LA ASUNTA,consultas prenatales,repetidas,2010-08-01,242,0,242,0,242
LA GUARDIA,consultas prenatales,repetidas,2010-08-01,531,0,531,0,531
LA PAZ,consultas prenatales,repetidas,2010-08-01,8440,13,8440,13,8453
LAGUNILLAS,consultas prenatales,repetidas,2010-08-01,24,2,24,2,26
LAJA,consultas prenatales,repetidas,2010-08-01,67,6,67,6,73
LAS CARRERAS,consultas prenatales,repetidas,2010-08-01,23,8,23,8,31
LICOMA PAMPA,consultas prenatales,repetidas,2010-08-01,15,0,15,0,15
LLALLAGUA,consultas prenatales,repetidas,2010-08-01,296,3,296,3,299
LLICA,consultas prenatales,repetidas,2010-08-01,13,1,13,1,14
LORETO,consultas prenatales,repetidas,2010-08-01,11,0,11,0,11
LURIBAY,consultas prenatales,repetidas,2010-08-01,32,7,32,7,39
MACHACAMARCA,consultas prenatales,repetidas,2010-08-01,36,1,36,1,37
MACHARETI,consultas prenatales,repetidas,2010-08-01,58,12,58,12,70
MAGDALENA,consultas prenatales,repetidas,2010-08-01,61,0,61,0,61
MAIRANA,consultas prenatales,repetidas,2010-08-01,114,0,114,0,114
MALLA,consultas prenatales,repetidas,2010-08-01,1,3,1,3,4
MAPIRI,consultas prenatales,repetidas,2010-08-01,115,6,115,6,121
MECAPACA,consultas prenatales,repetidas,2010-08-01,54,4,54,4,58
MINEROS,consultas prenatales,repetidas,2010-08-01,153,2,153,2,155
MIZQUE,consultas prenatales,repetidas,2010-08-01,137,0,137,0,137
