,group,variable,month,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,NUEVAS A PARTIR DEL 5TO MES DE EMBARAZO CANTIDAD,TOTALES,TOTALES,TOTALES
LA PAZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1260,1,1260,1,1261
LA RIVERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
LAGUNILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
LAJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,0,8,0,8
LAS CARRERAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
LICOMA PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
LLALLAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,65,7,65,7,72
LLICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
LORETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,4,5,4,9
LURIBAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,9,0,9,0,9
MACHACAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
MACHARETI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
MAGDALENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
MAIRANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,0,5,0,5
MALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,3,2,3,5
MAPIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,9,0,9,0,9
MECAPACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,2,5,2,7
MINEROS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,19,2,19,2,21
MIZQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,19,1,19,1,20
MOCOMOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,11,4,11,4,15
MOJOCOYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
MONTEAGUDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,15,0,15,0,15
MONTERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,68,1,68,1,69
MOROCHATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,3,5,3,8
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
OCURI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,11,6,11,6,17
OKINAWA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,0,8,0,8
OMEREQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,1,2,1,3
ORURO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,536,0,536,0,536
PADCAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,0,4,0,4
PADILLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,1,10,1,11
PAILON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,7,10,7,17
PALCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,1,8,1,9
PALOS BLANCOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,27,2,27,2,29
PAMPA GRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
PAPEL PAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
PASORAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,0,1,0,1,1
PATACAMAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,34,2,34,2,36
PAZÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,1,3,1,4
PELECHUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,3,3,3,6
POCOATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,5,10,5,15
POCONA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,0,6,0,6
POJO (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,1,10,1,11
POOPO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,0,4,0,4
PORCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,0,5,0,5
POROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,3,8,3,11
PORONGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
PORTACHUELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,18,0,18,0,18
PORVENIR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
POSTRER VALLE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
POTOSI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,418,0,418,0,418
PRESTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,1,4,1,5
PUCARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,22,0,22,0,22
PUERTO ACOSTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,1,4,1,5
PUERTO CARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,8,3,8,11
PUERTO GONZALO MORENO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
PUERTO QUIJARRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,0,10,0,10
PUERTO RICO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,0,6,0,6
PUERTO SUAREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,13,0,13,0,13
PUERTO VILLARROEL,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,70,1,70,1,71
PUNA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,11,0,11,0,11
PUNATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,34,0,34,0,34
QUILLACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,159,2,159,2,161
QUIME,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
QUIRUSILLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
RAVELO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,11,12,11,12,23
REYES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,0,3,0,3,3
RIBERALTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,138,6,138,6,144
ROBORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
RURRENABAQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,12,1,12,1,13
SABAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,1,5,1,6
SACABA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,189,2,189,2,191
SACABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,1,4,1,5
SACACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,11,5,11,5,16
SAIPINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,1,5,1,6
SALINAS DE GARCI MENDOZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,1,6,1,7
SAMAIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
SAN AGUSTIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SAN ANDRES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,0,5,0,5
SAN ANDRES DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,0,1,0,1,1
SAN ANTONIO DE ESMORUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,1,8,1,9
SAN BENITO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,23,2,23,2,25
SAN BORJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,27,15,27,15,42
SAN BUENA VENTURA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,12,0,12,0,12
SAN CARLOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,0,5,0,5
SAN IGNACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,23,5,23,5,28
SAN IGNACIO DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,53,4,53,4,57
SAN JAVIER(BNI),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,0,4,0,4
SAN JAVIER(STC),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,13,0,13,0,13
SAN JOAQUIN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,3,2,3,5
SAN JOSE DE CHIQUITOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,26,0,26,0,26
SAN JUAN DE YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,0,8,0,8
SAN JULIAN,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,16,1,16,1,17
SAN LORENZO(PND),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SAN LORENZO(TJA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,9,2,9,2,11
SAN LUCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,3,10,3,13
SAN MATIAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,14,1,14,1,15
SAN MIGUEL DE VELASCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,0,8,0,8
SAN PABLO DE LIPEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SAN PEDRO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,7,0,7,0,7
SAN PEDRO DE BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,14,12,14,12,26
SAN PEDRO DE CURAHUARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,1,1,1,2
SAN PEDRO DE QUEMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
SAN RAMON BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,11,0,11,0,11
SAN RAMON SCZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,0,10,0,10
SANTA ANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,21,0,21,0,21
SANTA CRUZ DE LA SIERRA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2360,22,2360,22,2382
SANTA ROSA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,13,0,13,0,13
SANTA ROSA DEL SARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,0,8,0,8
SANTIAGO DE CALLAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,1,2,1,3
SANTIAGO DE HUARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,0,6,0,6
SANTIAGO DE HUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,2,3,2,5
SANTIAGO DE MACHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
SANTIVAÑES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SANTUARIO DE QUILLACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,1,2,1,3
SAPAHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,0,5,0,5
SENA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,0,4,0,4
SHINAOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,7,0,7,0,7
SICA SICA (VILLA AROMA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,25,6,25,6,31
SICAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,2,2,2,4
SIPE SIPE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,35,1,35,1,36
SOPACHUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
SORACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,13,5,13,5,18
SORATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,17,9,17,9,26
SUCRE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,218,2,218,2,220
TACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
TACACOMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,3,3,3,6
TACOBAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,6,3,6,9
TACOPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,0,6,0,6
TAHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,0,2,0,2,2
TAPACARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,13,7,13,7,20
TARABUCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,11,4,11,4,15
TARACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,2,2,2,4
TARATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,9,2,9,2,11
TARIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,174,2,174,2,176
TARVITA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,0,1,0,1,1
TEOPONTE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,3,3,3,6
TIAWANACU,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,9,8,9,17
TINGUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,3,10,3,13
TIPUANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,1,8,1,9
TIQUIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,79,0,79,0,79
TIRAQUE (CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,36,2,36,2,38
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,0,1,0,1,1
TOCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
TODOS SANTOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
TOLATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
TOLEDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,0,3,0,3,3
TOMAVE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,3,1,3,4
TOMINA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
TORO TORO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,10,6,10,6,16
TOTORA(CBBA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,12,2,12,2,14
TOTORA(ORR),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
TRINIDAD,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,116,2,116,2,118
TUPIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,41,4,41,4,45
TURCO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
UMALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,1,3,1,4
UNCIA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,19,3,19,3,22
URIONDO (A. CONCEPCION),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,1,6,1,7
URUBICHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,0,2,0,2
UYUNI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,18,0,18,0,18
VACAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,7,1,7,1,8
VALLEGRANDE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,0,5,0,5
VIACHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,48,3,48,3,51
VILA VILA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,8,0,8,0,8
VILLA CHARCAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,3,6,3,9
VILLA MONTES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,18,0,18,0,18
VILLA NUEVA (LOMA ALTA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,0,1,0,1
VILLA RIVERO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,11,0,11,0,11
VILLA SERRANO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,1,4,1,5
VILLA TUNARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,86,4,86,4,90
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,2,1,2,1,3
VILLAZON,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,32,2,32,2,34
VINTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,45,1,45,1,46
VITICHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,7,1,7,1,8
WARNES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,64,1,64,1,65
YACO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,0,1,0,1,1
YACUIBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,94,2,94,2,96
YAMPARAEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,5,0,5,0,5
YANACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,0,6,0,6
YAPACANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,37,0,37,0,37
YOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,6,1,6,1,7
YOTALA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,3,0,3,0,3
YUNCHARA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,1,1,1,1,2
ZUDAÑEZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-07-01,4,0,4,0,4
ACACIO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,1,0,1,0,1
ACHACACHI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,31,11,31,11,42
ACHOCALLA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,8,4,8,4,12
AIQUILE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,23,2,23,2,25
ALALAY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,3,0,3,0,3
ALTO BENI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,4,0,4,0,4
ANCORAIMES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,14,1,14,1,15
ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,1,0,1,0,1
ANTEQUERA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,3,0,3,0,3
ANZALDO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,3,6,3,6,9
APOLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,11,1,11,1,12
ARAMPAMPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,10,3,10,3,13
ARANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,5,2,5,2,7
ARBIETO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,3,2,3,2,5
ARQUE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,11,0,11,0,11
ASCENCION DE GUARAYOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,52,0,52,0,52
ATOCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,17,0,17,0,17
AUCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,1,1,1,1,2
AYATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,2,2,2,2,4
AYO AYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,23,6,23,6,29
AZURDUY,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,3,4,3,4,7
BATALLAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,16,2,16,2,18
BAURES,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,15,0,15,0,15
BELEN DE ANDAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,0,1,0,1,1
BELEN DE URMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,2,0,2,0,2
BELLA FLOR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,1,2,1,2,3
BERMEJO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,26,0,26,0,26
BETANZOS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,25,8,25,8,33
BOLIVAR,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,8,2,8,2,10
BOYUIBE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,0,1,0,1,1
BUENA VISTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,7,1,7,1,8
CABEZAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,21,0,21,0,21
CAIROMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,10,4,10,4,14
"CAIZA ""D""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,7,0,7,0,7
CAJUATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,2,0,2,0,2
CALACOTO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,1,1,1,1,2
CALAMARCA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,13,3,13,3,16
CAMARGO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,5,3,5,3,8
CAMIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,58,1,58,1,59
CAPINOTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,19,2,19,2,21
CAQUIAVIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,12,2,12,2,14
CARACOLLO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,19,2,19,2,21
CARANAVI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,60,2,60,2,62
CARAPARI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,5,0,5,0,5
CARIPUYO,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,3,2,3,2,5
CARMEN RIVERO TORREZ,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,2,0,2,0,2
CATACORA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,4,0,4,0,4
CHALLAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,16,3,16,3,19
CHAQUI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,8,1,8,1,9
CHARAGUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,38,5,38,5,43
CHARAÑA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,2,2,2,2,4
CHAYANTA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,5,7,5,7,12
CHIMORE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,11,2,11,2,13
CHIPAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,6,0,6,0,6
CHUMA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,9,9,9,9,18
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,4,4,4,4,8
CKOCHAS,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,6,1,6,1,7
CLIZA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,20,3,20,3,23
COBIJA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,44,0,44,0,44
COCAPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,6,14,6,14,20
COCHABAMBA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,1157,14,1157,14,1171
COLCAPIRHUA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,70,4,70,4,74
"COLCHA ""K""",consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,5,1,5,1,6
COLLANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,5,0,5,0,5
COLOMI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,25,1,25,1,26
COLPA BELGICA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,4,0,4,0,4
COLQUECHACA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,16,6,16,6,22
COLQUENCHA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,8,0,8,0,8
COLQUIRI,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,5,4,5,4,9
COMANCHE,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,1,3,1,3,4
COMARAPA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,11,1,11,1,12
COMBAYA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,0,2,0,2,2
CONCEPCION,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,18,1,18,1,19
COPACABANA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,5,2,5,2,7
CORIPATA,consultas prenatales,nuevas a partir del 5to mes de embarazo,2010-08-01,9,0,9,0,9
