,group,variable,month,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,MUJERES CON 4TA CONSULTA PRENATAL TOTAL 4.4 MUJERES CON 4TA CONSULTA PRENATAL,TOTALES,TOTALES,TOTALES
EUCALIPTUS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
EXALTACION,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,0,2,0,2
FERNANDEZ ALONSO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,28,0,28,0,28
FILADELFIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
GENERAL SAAVEDRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,22,5,22,5,27
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,1,4,1,5
GUANAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,15,0,15,0,15
GUAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,1,1,1,2
GUAYARAMERIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,56,6,56,6,62
GUTIERREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,3,9,3,12
HUACARETA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,5,9,5,14
HUACAYA (VILLA DE HUACAYA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,2,4,2,6
HUANUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,53,0,53,0,53
HUARACAJE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
HUARINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,1,3,1,4
HUAYLLAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
HUMANATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,0,4,0,4
ICHOCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,2,1,2,3
ICLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,16,6,16,6,22
INCAHUASI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,8,9,8,17
INQUISIVI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,2,5,2,7
IRUPANA (VILLA DE LANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,0,12,0,12
IXIAMAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,0,10,0,10
JESUS DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,14,2,14,2,16
LA ASUNTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,53,0,53,0,53
LA GUARDIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,101,1,101,1,102
LA PAZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1040,1,1040,1,1041
LAGUNILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,8,0,8,0,8
LAJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,19,2,19,2,21
LAS CARRERAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,4,5,4,9
LICOMA PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
LLALLAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,52,1,52,1,53
LLICA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,0,5,0,5
LORETO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,0,2,0,2
LURIBAY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,8,0,8,0,8
MACHARETI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,1,9,1,10
MAGDALENA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,22,1,22,1,23
MAIRANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,6,0,6,0,6
MALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,0,1,0,1,1
MAPIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,16,0,16,0,16
MECAPACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,0,9,0,9
MINEROS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,35,0,35,0,35
MIZQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,26,0,26,0,26
MOCOMOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,2,10,2,12
MOJINETE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,0,2,0,2
MOJOCOYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,8,0,8,0,8
MONTEAGUDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,53,6,53,6,59
MONTERO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,132,0,132,0,132
MORO MORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
MOROCHATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,13,9,13,9,22
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,8,0,8,0,8
NAZACARA DE PACAJES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,1,4,1,5
OCURI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,17,17,17,17,34
OKINAWA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,1,12,1,13
OMEREQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,0,5,0,5
ORURO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,387,0,387,0,387
PADCAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,18,3,18,3,21
PADILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,20,6,20,6,26
PAILON,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,22,0,22,0,22
PALCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,0,4,0,4
PALOS BLANCOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,29,0,29,0,29
PAMPA AULLAGAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,2,5,2,7
PAMPA GRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,0,5,0,5
PAPEL PAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
PASORAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,1,4,1,5
PATACAMAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,50,0,50,0,50
PAZÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,7,2,7,2,9
PELECHUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,1,5,1,6
POCOATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,8,10,8,18
POCONA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,11,1,11,1,12
POJO (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,16,1,16,1,17
POOPO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,0,4,0,4
PORCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,19,0,19,0,19
POROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,24,8,24,8,32
PORONGO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,0,12,0,12
PORTACHUELO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,56,0,56,0,56
PORVENIR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,0,10,0,10
POSTRER VALLE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,0,2,0,2
POTOSI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,334,0,334,0,334
PRESTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,5,10,5,15
PUCARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,1,2,1,3
PUCARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,29,0,29,0,29
PUERTO ACOSTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,2,5,2,7
PUERTO CARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,8,8,8,8,16
PUERTO GONZALO MORENO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,1,3,1,4
PUERTO PEREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,0,5,0,5
PUERTO QUIJARRO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,6,0,6,0,6
PUERTO RICO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,1,9,1,10
PUERTO SILES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
PUERTO SUAREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,22,0,22,0,22
PUERTO VILLARROEL,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,93,0,93,0,93
PUNA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,34,2,34,2,36
PUNATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,39,1,39,1,40
QUIABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
QUILLACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,145,6,145,6,151
QUIME,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,14,0,14,0,14
QUIRUSILLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
RAVELO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,3,12,3,15
REYES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,14,9,14,9,23
RIBERALTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,217,13,217,13,230
ROBORE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,18,0,18,0,18
RURRENABAQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,27,1,27,1,28
SABAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
SACABA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,289,2,289,2,291
SACABAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,7,0,7,0,7
SACACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,22,3,22,3,25
SAIPINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,0,9,0,9
SALINAS DE GARCI MENDOZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,14,4,14,4,18
SAMAIPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,16,0,16,0,16
SAN ANDRES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,0,12,0,12
SAN ANDRES DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,0,6,0,6,6
SAN ANTONIO DE ESMORUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,1,2,1,3
SAN ANTONIO DE LOMERIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,2,9,2,11
SAN BENITO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,1,12,1,13
SAN BORJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,70,0,70,0,70
SAN BUENA VENTURA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,15,0,15,0,15
SAN CARLOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,18,0,18,0,18
SAN IGNACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,27,0,27,0,27
SAN IGNACIO DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,57,9,57,9,66
SAN JAVIER(BNI),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,1,4,1,5
SAN JAVIER(STC),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,30,0,30,0,30
SAN JOAQUIN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,2,10,2,12
SAN JOSE DE CHIQUITOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,26,0,26,0,26
SAN JUAN DE YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,29,0,29,0,29
SAN JULIAN,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,47,2,47,2,49
SAN LORENZO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,1,9,1,10
SAN LORENZO(TJA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,16,3,16,3,19
SAN LUCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,58,23,58,23,81
SAN MATIAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,0,12,0,12
SAN MIGUEL DE VELASCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,22,1,22,1,23
SAN PABLO DE LIPEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
SAN PEDRO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,21,0,21,0,21
SAN PEDRO DE BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,23,0,23,0,23
SAN PEDRO DE CURAHUARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,0,4,0,4
SAN PEDRO(PND),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,0,2,0,2,2
SAN RAFAEL,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,1,12,1,13
SAN RAMON BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,38,0,38,0,38
SAN RAMON SCZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,22,0,22,0,22
SANTA ANA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,17,0,17,0,17
SANTA CRUZ DE LA SIERRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1198,6,1198,6,1204
SANTA ROSA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,13,0,13,0,13
SANTA ROSA DEL SARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,22,1,22,1,23
SANTIAGO DE CALLAPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,0,4,0,4
SANTIAGO DE HUARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,1,2,1,3
SANTIAGO DE HUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,2,4,2,6
SANTIAGO DE MACHACA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
SANTIVAÑES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,6,0,6,0,6
SANTUARIO DE QUILLACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,7,1,7,1,8
SAPAHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
SENA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,0,9,0,9
SHINAOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,18,0,18,0,18
SICA SICA (VILLA AROMA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,13,1,13,1,14
SICAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,2,2,2,4
SIPE SIPE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,70,0,70,0,70
SOPACHUY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,2,12,2,14
SORACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,2,5,2,7
SORATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,15,11,15,11,26
SUCRE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,752,5,752,5,757
TACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
TACACOMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,4,4,4,4,8
TACOBAMBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,6,1,6,1,7
TACOPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,4,10,4,14
TAHUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
TAPACARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,25,6,25,6,31
TARABUCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,21,3,21,3,24
TARACO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
TARATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,6,0,6,0,6
TARIJA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,316,1,316,1,317
TARVITA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,15,8,15,8,23
TEOPONTE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,0,10,0,10
TIAWANACU,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,5,12,5,17
TINGUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,18,3,18,3,21
TIPUANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,28,0,28,0,28
TIQUIPAYA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,78,0,78,0,78
TIRAQUE (CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,24,2,24,2,26
TITO YUPANQUI (PARQUIPUJIO),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,0,1,0,1
TOCO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,2,0,2,0,2
TOLATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,6,1,6,1,7
TOLEDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,7,4,7,4,11
TOMAVE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,11,3,11,3,14
TOMINA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,0,9,0,9
TORO TORO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,3,10,3,13
TOTORA(CBBA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,41,0,41,0,41
TOTORA(ORR),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,1,1,1,2
TRINIDAD,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,158,0,158,0,158
TUPIZA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,71,5,71,5,76
UMALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,1,2,1,2,3
UNCIA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,16,3,16,3,19
URIONDO (A. CONCEPCION),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,20,0,20,0,20
URUBICHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,5,0,5,0,5
UYUNI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,41,1,41,1,42
VACAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,1,9,1,10
VALLEGRANDE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,1,9,1,10
VIACHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,59,1,59,1,60
VILA VILA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
VILLA CHARCAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,15,4,15,4,19
VILLA MONTES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,47,1,47,1,48
VILLA NUEVA (LOMA ALTA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,0,3,0,3
VILLA RIVERO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,7,2,7,2,9
VILLA SERRANO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,14,5,14,5,19
VILLA TUNARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,137,0,137,0,137
VILLA VACA GUZMAN (MUYUPAMPA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,10,3,10,3,13
VILLAZON,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,53,4,53,4,57
VINTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,65,0,65,0,65
VITICHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,6,3,6,3,9
WARNES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,117,1,117,1,118
YACO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,7,0,7,0,7
YACUIBA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,89,11,89,11,100
YAMPARAEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,1,12,1,13
YANACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,7,0,7,0,7
YAPACANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,199,1,199,1,200
YOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,7,1,7,1,8
YOTALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,12,0,12,0,12
YUNCHARA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,3,2,3,2,5
ZUDAÑEZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-07-01,9,2,9,2,11
ACACIO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,7,0,7,0,7
ACHACACHI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,49,8,49,8,57
ACHOCALLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,14,0,14,0,14
AIQUILE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,84,1,84,1,85
ALCALA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,2,0,2,0,2
ALTO BENI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,11,4,11,4,15
ANCORAIMES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,13,1,13,1,14
ANDAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,7,0,7,0,7
ANTEQUERA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,4,0,4,0,4
ANZALDO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,8,3,8,3,11
APOLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,40,1,40,1,41
ARAMPAMPA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,3,0,3,0,3
ARANI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,20,4,20,4,24
ARBIETO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,5,5,5,5,10
ARQUE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,6,0,6,0,6
ASCENCION DE GUARAYOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,64,0,64,0,64
ATOCHA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,29,1,29,1,30
AUCAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,3,0,3,0,3
AYATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,4,1,4,1,5
AYO AYO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,4,0,4,0,4
AYOPAYA (V. DE INDEPENDENCIA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,31,2,31,2,33
AZURDUY,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,16,7,16,7,23
BATALLAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,14,3,14,3,17
BAURES,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,5,0,5,0,5
BELLA FLOR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,0,1,0,1,1
BERMEJO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,50,0,50,0,50
BETANZOS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,40,6,40,6,46
BOLIVAR,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,4,2,4,2,6
BOLPEBRA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,0,2,0,2,2
BOYUIBE,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,5,0,5,0,5
BUENA VISTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,12,1,12,1,13
CABEZAS,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,26,0,26,0,26
CAIROMA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,6,2,6,2,8
"CAIZA ""D""",consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,16,0,16,0,16
CAJUATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,12,1,12,1,13
CALACOTO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,0,5,0,5,5
CALAMARCA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,11,2,11,2,13
CAMARGO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,38,2,38,2,40
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,3,4,3,4,7
CAMIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,50,0,50,0,50
CAPINOTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,18,5,18,5,23
CAQUIAVIRI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,4,1,4,1,5
CARACOLLO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,19,1,19,1,20
CARANAVI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,60,4,60,4,64
CARAPARI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,20,0,20,0,20
CARIPUYO,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,10,2,10,2,12
CARMEN RIVERO TORREZ,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,4,0,4,0,4
CHACARILLA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,0,2,0,2,2
CHALLAPATA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,59,5,59,5,64
CHAQUI,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,9,1,9,1,10
CHARAGUA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,34,3,34,3,37
CHARAÑA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,1,0,1,0,1
CHAYANTA,consultas prenatales,mujeres con 4ta consulta prenatal,2010-08-01,9,0,9,0,9
