municipality,group,variable,month,10.3. Nº de comunidades que participaron en el CAI de establecimiento,TOTAL
SAN ANTONIO DE ESMORUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,2,2
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,6,6
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,52,52
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
SAN JOSE DE CHIQUITOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,64,64
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,34,34
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,13,13
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,3,3
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,5,5
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,7,7
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,4,4
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,5,5
SHINAOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,7,7
SIPE SIPE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
SORATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,14,14
SUCRE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,11,11
TACOPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,8,8
TAPACARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,62,62
TARATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,10,10
TARIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,8,8
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,13,13
TOCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
TOMAVE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
TRIGAL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,3,3
TUPIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,15,15
UMALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,6,6
UYUNI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,3,3
VACAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,11,11
VIACHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,14,14
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,3,3
VILLA RIVERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,21,21
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,12,12
YACUIBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-06-01,9,9
ACHACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,14,14
ALCALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
ALTO BENI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,19,19
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,17,17
ANZALDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
ARAMPAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
ARBIETO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
ARQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,51,51
ASCENCION DE GUARAYOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
BELLA FLOR,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,15,15
BERMEJO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,11,11
BOLIVAR,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
BOYUIBE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,19,19
CAIROMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
CAJUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
CAMARGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,14,14
CAMIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
CAPINOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
CARAPARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,22,22
CARIPUYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
CHARAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,10,10
CHAYANTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
CKOCHAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,20,20
COCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,8,8
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,16,16
COLLANA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
CORIPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
CORQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
COTAGAITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,30,30
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,11,11
CUEVO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
CURVA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,51,51
EL PUENTE(STC),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
EL TORNO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,8,8
EL VILLAR,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
ESCARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,11,11
EUCALIPTUS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
GUAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
GUAYARAMERIN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
GUTIERREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,12,12
HUACARETA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
HUANUNI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
HUATAJATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
HUAYLLAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,12,12
ICLA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
IXIAMAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
LA ASUNTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
LA PAZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,59,59
LAGUNILLAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,39,39
LAJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
LLALLAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
LORETO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,10,10
MAPIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
MECAPACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
MINEROS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
MIZQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,8,8
MOJINETE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
MONTEAGUDO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,18,18
MONTERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,8,8
MORO MORO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
PADCAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
PALOS BLANCOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
PAPEL PAMPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
PATACAMAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
PELECHUCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
POCOATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,15,15
POCONA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,14,14
POJO (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
PORCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
POROMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
PORONGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
POTOSI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,20,20
PUCARANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
PUERTO PEREZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
PUERTO RICO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,8,8
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
PUNA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,8,8
QUIABAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
QUILLACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,17,17
RIBERALTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
SACABA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
SACABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
SAMAIPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
SAN ANTONIO DE LOMERIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
SAN CARLOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,12,12
SAN IGNACIO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
SAN JULIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,44,44
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,10,10
SAN LUCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,20,20
SAN PEDRO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,11,11
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,11,11
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
SAN RAMON SCZ,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,12,12
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,11,11
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,9,9
SANTIAGO DE HUATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
SANTIAGO DE MACHACA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
SANTIVAÑES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,26,26
SANTUARIO DE QUILLACAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
SAPAHAQUI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,11,11
SIPE SIPE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
SORACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
SORATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
SUCRE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,107,107
TACOPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,54,54
TAPACARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,40,40
TARACO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
TARATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
TARIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,30,30
TARVITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
TIQUIPAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,15,15
TOCO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
TOLATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
TOTORA(CBBA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,11,11
TOTORA(ORR),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,8,8
TRIGAL,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,3,3
TRINIDAD,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
TUPIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,16,16
UMALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,5,5
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,28,28
UYUNI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
VALLEGRANDE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
VIACHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,12,12
VILLA CHARCAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
VILLA MONTES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
VILLA RIVERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,4,4
VILLA SERRANO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
VILLA TUNARI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,33,33
VILLAZON,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,7,7
VITICHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
WALDO BALLIVIAN,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,2,2
WARNES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,10,10
YACUIBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-07-01,6,6
ACHACACHI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,8,8
ANCORAIMES,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,12,12
APOLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,2,2
ARQUE,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,7,7
AUCAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,9,9
AYATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,9,9
AYO AYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
BERMEJO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,12,12
BETANZOS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,4,4
BUENA VISTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
CABEZAS,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
CALAMARCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,12,12
CAMARGO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,23,23
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,2,2
CAMIRI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
CAPINOTA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
CARACOLLO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
CARIPUYO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
CHALLAPATA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,46,46
CHARAGUA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
CHUA COCANI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,7,7
CHUMA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,7,7
CLIZA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
COBIJA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,7,7
"COLCHA ""K""",actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
COLOMI,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,2,2
COLQUENCHA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
COMBAYA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,2,2
CONCEPCION,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,5,5
COTAGAITA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,7,7
COTOCA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,7,7
CUEVO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,6,6
CULPINA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,10,10
CURVA,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,1,1
DESAGUADERO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,3,3
EL ALTO,actividades del establecimiento y con la comunidad,     no de comunidades que participaron en el cai de establecimiento,2014-08-01,52,52
