,group,variable,month,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,L 20.2 ANTIPOLIOMIELITICA 5TA DOSIS CANTIDAD,TOTALES
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,52,30,82
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,165,165
CULPINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,5,38,43
DESAGUADERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,6,7
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,159,752,911
EL PUENTE(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,7,10
EL TORNO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,114,826,940
EL VILLAR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,3,3
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,13,13
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,6,1,7
GUAQUI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,13,13
GUTIERREZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,5,5,10
HUACARETA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,4,7,11
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,3,3
HUANUNI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,1,1
HUARACAJE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,0,2
HUARINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,8,21,29
HUAYLLAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,4,6
ICLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,10,13
INCAHUASI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,5,7
INQUISIVI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,33,33
JESUS DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,4,0,4
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,13,41,54
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,49,110,159
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,4,4,8
LAS CARRERAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,16,16
LLALLAGUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,279,281
LURIBAY,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,5,0,5
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,1,2
MIZQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,28,31
MOJOCOYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,7,41,48
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,45,27,72
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,357,72,429
MOROCHATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,31,31
OCURI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,80,80
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,5,20,25
PADCAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,23,23,46
PADILLA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,18,5,23
PAILON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,81,159,240
PALCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,30,30
POROMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,9,54,63
PORONGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,13,13
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,2,2
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,175,177
PRESTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,5,16,21
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,3,5
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,6,154,160
PUERTO SUAREZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,12,15
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,6,4,10
PUNATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,0,1
RAVELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,7,7,14
ROBORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,2,2
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,105,106
SACABA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,0,2
SAIPINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,8,0,8
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,36,37
SAMAIPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,6,9
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,12,389,401
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,6,0,6
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,136,0,136
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,34,36
SAN JULIAN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,55,55
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,19,19
SAN LUCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,11,36,47
SAN MATIAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,7,34,41
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,9,8,17
SAN PEDRO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,18,18,36
SAN RAFAEL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,5,2,7
SANTA ANA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,0,3
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,127,1163,1290
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,15,27,42
SANTIAGO DE HUATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,5,5
SANTIAGO DE MACHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,5,1,6
SICA SICA (VILLA AROMA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,5,6
SORATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,4,14,18
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,58,33,91
TACOBAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,13,13
TAPACARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,6,6
TARABUCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,18,24,42
TARATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,37,38
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,16,115,131
TARVITA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,14,24,38
TEOPONTE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,4,0,4
TIQUIPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,13,20,33
TOCO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,11,11
TOLATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,4,4
TOMINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,26,32,58
TORO TORO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,50,0,50
TRIGAL,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,0,1
TUPIZA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,3,2,5
UNCIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,25,25
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,1,2
VALLEGRANDE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,0,1
VIACHA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,22,13,35
VILA VILA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,18,18
VILLA CHARCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,122,124
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,7,8,15
VILLA SERRANO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,5,7
VILLA TUNARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,14,14
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,2,0,2
VILLAZON,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,17,29,46
VITICHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,30,30
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,22,6,28
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,21,262,283
YAPACANI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,6,6
YOTALA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,10,11
YUNCHARA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,1,5,6
ZUDAÑEZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-04-01,0,10,10
ANZALDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,7,0,7
ARBIETO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,5,5
BELLA FLOR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,5,5
BETANZOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,1,0,1
"CAIZA ""D""",vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,10,10
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,1,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,2,2
CHAQUI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,1,1
CHIMORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,5,5
CHOQUE COTA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,1,1,2
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,12,13,25
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,4,0,4
COLCAPIRHUA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,15,15
COLPA BELGICA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,2,2
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,1,1
CULPINA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,3,0,3
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,18,0,18
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,1,1
HUACARETA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,1,0,1
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,19,0,19
LAGUNILLAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,1,2,3
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,6,0,6
MONTEAGUDO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,6,6
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,2,3,5
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,2,2
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,18,4,22
PAZÑA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,1,0,1
POJO (CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,4,4
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,2,0,2
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,2,2
PUNATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,12,0,12
RAVELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,2,2
SAN AGUSTIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,8,0,8
SAN IGNACIO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,2,1,3
SAN JULIAN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,17,17
SAN PEDRO(PND),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,3,0,3
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,7,0,7
TAPACARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,2,0,2
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,8,0,8
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,2,2
VACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,2,1,3
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,0,1,1
WARNES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,1,0,1
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-05-01,3,12,15
ANDAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,3,4
ARBIETO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,10,10
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,2,0,2
BELEN DE ANDAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,1,2
BOLPEBRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,4,4
"CAIZA ""D""",vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,1,1
CARACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,1,1
CARAPARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,5,6
CHUMA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,10,10
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,15,9,24
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,4,0,4
COLOMI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,6,6
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,0,1
EL PUENTE(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,2,0,2
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,4,29,33
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,0,1
ESMERALDA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,3,3
FILADELFIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,2,0,2
INCAHUASI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,10,10
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,2,0,2
MACHACAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,3,4
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,3,0,3
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,3,3
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,6,7
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,2,2
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,69,5,74
PAZÑA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,1,2
POCOATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,2,2
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,0,1
PORVENIR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,1,1
POTOSI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,3,0,3
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,2,1,3
QUILLACOLLO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,1,2
RURRENABAQUE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,2,0,2
SAN BORJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,6,9,15
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,4,0,4
SANTIAGO DE HUARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,2,2,4
SANTUARIO DE QUILLACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,1,0,1
SORACACHI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,5,5
SUCRE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,3,3
TACOPAYA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,2,1,3
TAPACARI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,3,3
TARIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,20,2,22
VACAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,0,4,4
VILLA CHARCAS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,9,0,9
VILLA MONTES,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,6,2,8
YACUIBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-06-01,15,45,60
AIQUILE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,1,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,2,2
AYOPAYA (V. DE INDEPENDENCIA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,2,2
BERMEJO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,2,1,3
BETANZOS,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,9,5,14
BOLIVAR,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,0,1
BOLPEBRA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,0,1
CATACORA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,0,1
CHIMORE,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,3,4
COBIJA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,4,1,5
COCHABAMBA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,21,0,21
COLQUECHACA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,4,4
COTOCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,4,31,35
EL ALTO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,6,2,8
EL TORNO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,2,3
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,1,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,7,7
HUAYLLAMARCA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,0,1
LA PAZ,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,9,0,9
MACHARETI,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,2,2
MONTERO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,1,0,1
ORURO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,2,1,3
POCOATA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,3,3
POCONA,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,2,0,2
PORONGO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,1,1
PORTACHUELO,vacunacion en ninos de 4 anos,l 20.2       antipoliomielitica 5ta dosis,2012-07-01,0,1,1
