,group,variable,month,PERSONAS CON DISCAPACIDAD CANTIDAD,PERSONAS CON DISCAPACIDAD CANTIDAD,TOTALES,TOTALES,TOTALES
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,5,2,5,2,7
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
SAN JAVIER(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,4,2,4,2,6
SAN JOAQUIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,42,51,42,51,93
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
SAN RAMON BENI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,3,6,3,6,9
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,5,4,5,4,9
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,3,5,3,5,8
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,66,62,66,62,128
TACACOMA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,0,1,0,1
TAPACARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,60,24,60,24,84
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,2,0,2,0,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,18,17,18,17,35
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,4,3,4,3,7
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,7,9,7,9,16
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,0,1,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,1,1,1,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,1,1,1,1,2
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-08-01,6,7,6,7,13
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
ANZALDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
AYATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,3,2,3,5
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
CHACARILLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,68,89,68,89,157
COLCAPIRHUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,3,1,3,1,4
CUATRO CAÑADAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,4,1,4,1,5
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,32,31,32,31,63
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
ENTRE RIOS CBBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,0,2,0,2
INGAVI (HUMAITA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,2,0,2,2
IRUPANA (VILLA DE LANZA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,32,29,32,29,61
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,3,2,3,5
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,1,1,1,2
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,3,10,3,10,13
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,7,3,7,3,10
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,3,1,3,1,4
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
PUERTO GONZALO MORENO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,1,2,1,3
PUNA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,1,1,1,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,5,2,5,7
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,4,2,4,2,6
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,0,2,0,2
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,1,1,1,2
SACABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,1,1,1,2
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
SAN BENITO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,3,3,3,3,6
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,3,3,3,3,6
SIPE SIPE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,70,64,70,64,134
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,2,2,2,4
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,113,295,113,295,408
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
TINGUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,2,2,2,4
TIPUANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,2,0,2,0,2
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,1,1,1,2
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,10,10,10,10,20
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,3,2,3,2,5
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,3,3,3,3,6
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,0,1,0,1,1
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-09-01,1,0,1,0,1
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,3,0,3,0,3
ACHOCALLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
ATOCHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,0,1,0,1,1
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,0,2,0,2,2
BELLA FLOR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
BERMEJO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,9,4,9,4,13
BOLIVAR,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,1,1,1,2
BOYUIBE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
CABEZAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,4,0,4,0,4
COCAPATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,3,1,3,1,4
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,65,88,65,88,153
COTOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,3,3,3,3,6
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,21,25,21,25,46
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,0,1,0,1,1
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,0,1,0,1,1
GUAYARAMERIN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,2,0,2,0,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,4,4,4,4,8
LAGUNILLAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,2,3,2,3,5
LORETO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
MACHACAMARCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,0,1,0,1,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,2,3,2,3,5
MOROCHATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,6,0,6,0,6
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
PADILLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,0,2,0,2,2
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
QUIME,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,3,3,3,3,6
REYES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,6,4,6,4,10
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,4,2,4,2,6
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,4,1,4,5
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,3,2,3,2,5
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,3,3,3,3,6
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,41,41,41,41,82
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,126,105,126,105,231
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,3,1,3,1,4
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,0,2,0,2,2
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,4,1,4,1,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,0,1,0,1
VINTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,1,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,2,3,2,3,5
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,1,2,1,2,3
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-10-01,4,4,4,4,8
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,12,13,12,13,25
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,2,0,2,0,2
CLIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,0,1,0,1,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,58,82,58,82,140
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,0,1,0,1,1
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,8,3,8,3,11
EL PUENTE(STC),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,0,2,0,2,2
ENTRE RIOS TRJ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,0,3,0,3,3
HUACARETA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,1,1,1,2
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,2,0,2,0,2
ICHOCA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,2,0,2,0,2
ICLA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,3,1,3,1,4
MACHARETI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,0,1,0,1,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,2,1,2,1,3
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,0,1,0,1
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,3,2,3,2,5
OCURI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,0,1,0,1
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,1,1,1,2
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,0,1,0,1
PUCARANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,2,0,2,0,2
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,3,4,3,4,7
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,5,2,5,2,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,5,2,5,2,7
SACACA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,0,1,0,1
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,0,1,0,1
SAN CARLOS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,0,1,0,1
SAN IGNACIO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,11,2,11,2,13
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,6,2,6,2,8
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,11,2,11,2,13
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,9,5,9,5,14
SHINAOTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,0,1,0,1,1
SORATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,1,1,1,2
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,50,48,50,48,98
TACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,4,3,4,3,7
TARABUCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,0,1,0,1,1
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,72,39,72,39,111
TIQUIPAYA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,2,1,2,3
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,7,6,7,6,13
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,3,2,3,2,5
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,9,13,9,13,22
VILLA RIVERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,2,0,2,0,2
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,0,1,0,1
YACO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,1,1,1,2
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,2,1,2,3
YAMPARAEZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,2,2,2,2,4
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-11-01,1,3,1,3,4
ACHACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,2,1,2,1,3
AZURDUY,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,2,0,2,2
CAMARGO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,1,0,1,1
CAMIRI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,2,0,2,0,2
CARMEN RIVERO TORREZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
COBIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
COCHABAMBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,54,80,54,80,134
COPACABANA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,1,0,1,1
CORQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,2,1,2,3
EL ALTO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,46,56,46,56,102
EL TORNO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,2,0,2,0,2
INCAHUASI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,1,0,1,1
LA PAZ,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,3,8,3,8,11
LLALLAGUA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
MIZQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
MONTEAGUDO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,3,2,3,2,5
MONTERO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,2,3,2,3,5
ORURO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,7,3,7,3,10
POCONA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,1,0,1,1
PORTACHUELO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
PUNATA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
QUILLACOLLO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,5,2,5,2,7
RIBERALTA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
ROBORE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,1,0,1,1
RURRENABAQUE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,2,5,2,5,7
SACABA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,4,0,4,0,4
SAN ANDRES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
SAN BORJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,3,3,3,3,6
SAN JAVIER(BNI),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
SAN JULIAN,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
SAN LUCAS,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,4,6,4,6,10
SANTA ROSA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,2,1,2,3
SICA SICA (VILLA AROMA),"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,1,0,1,1
SUCRE,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,73,36,73,36,109
TARIJA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,164,150,164,150,314
TARVITA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
TRINIDAD,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,6,5,6,5,11
TUPIZA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,0,1,0,1,1
VIACHA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,3,2,3,2,5
VILA VILA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,4,2,4,2,6
VILLA MONTES,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,3,12,3,12,15
VILLA TUNARI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,2,1,2,1,3
VILLAZON,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
YACUIBA,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,2,2,2,2,4
YANACACHI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,1,0,1,0,1
YAPACANI,"enf. no transmisibles, factores de riesgo y salud mental",personas con discapacidad,2010-12-01,2,1,2,1,3
